Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,52.3,52.35,50.55,50.9,2805331.0,50.9
2018-03-26,51.94,52.04,50.64,51.86,3185475.0,51.86
2018-03-23,52.63,53.1,50.99,51.01,3843474.0,51.01
2018-03-22,53.58,54.18,52.29,52.31,4820379.0,52.31
2018-03-21,54.21,54.61,53.165,54.09,4785030.0,54.09
2018-03-20,54.93,55.7,54.67,55.32,2497070.0,55.32
2018-03-19,55.33,55.69,54.19,54.62,3743641.0,54.62
2018-03-16,55.31,56.41,55.27,55.4,4455977.0,55.4
2018-03-15,55.35,55.56,54.93,55.17,2964323.0,55.17
2018-03-14,56.57,57.21,55.16,55.28,4262349.0,55.28
2018-03-13,56.86,57.44,56.03,56.23,4343055.0,56.23
2018-03-12,56.26,56.97,55.63,56.5,3177925.0,56.5
2018-03-09,55.05,56.08,54.65,56.07,3466720.0,56.07
2018-03-08,54.33,55.69,54.28,54.79,4120718.0,54.79
2018-03-07,53.12,54.17,53.04,54.11,3216908.0,54.11
2018-03-06,53.34,54.02,52.9,53.57,4273805.0,53.57
2018-03-05,52.9,53.6939,52.69,53.19,3974757.0,53.19
2018-03-02,52.9,53.415,51.87,53.18,4918160.0,53.18
2018-03-01,54.14,55.31,53.2995,53.48,5895581.0,53.48
2018-02-28,54.41,54.6,53.635,54.25,4015581.0,54.25
2018-02-27,54.89,55.6,54.24,54.26,4821958.0,54.26
2018-02-26,53.99,55.13,53.92,55.0,4954631.0,55.0
2018-02-23,53.3,53.48,52.72,53.39,3374064.0,53.39
2018-02-22,53.24,53.41,52.6998,52.98,4353760.0,52.98
2018-02-21,51.96,53.86,51.825,52.8,5368431.0,52.8
2018-02-20,51.23,52.23,51.1,51.72,3370618.0,51.72
2018-02-16,51.8,52.205,51.53,51.58,3861493.0,51.58
2018-02-15,51.45,51.88,50.94,51.67,3118731.0,51.67
2018-02-14,50.24,51.56,50.11,51.07,4928547.0,51.07
2018-02-13,49.7,50.92,49.64,50.87,3746713.0,50.87
2018-02-12,48.79,50.51,48.65,50.09,5422630.0,50.09
2018-02-09,49.7,49.73,46.33,48.32,6416929.0,48.32
2018-02-08,51.44,51.46,48.51,48.65,5501525.0,48.65
2018-02-07,50.91,51.98,50.89,51.4,4784551.0,51.4
2018-02-06,49.32,51.5,48.79,51.18,6679541.0,51.18
2018-02-05,51.99,52.39,49.75,49.97,5439532.0,49.97
2018-02-02,53.49,53.99,52.03,52.1,5074870.0,52.1
2018-02-01,54.0,54.64,53.59,53.88,3526322.0,53.88
2018-01-31,53.08,54.71,53.0,54.32,5852271.0,54.32
2018-01-30,52.45,53.05,52.36,52.59,4430353.0,52.59
2018-01-29,52.79,53.16,52.585,52.68,5908012.0,52.68
2018-01-26,53.65,53.9,52.34,53.07,6955935.0,53.07
2018-01-25,54.0,54.55,52.21,53.05,10110999.0,53.05
2018-01-24,54.35,55.46,53.45,54.79,16307891.0,54.79
2018-01-23,57.74,58.46,57.4,58.29,3121974.0,58.29
2018-01-22,57.99,58.34,57.5305,58.1,3512066.0,58.1
2018-01-19,58.59,58.59,57.76,58.06,3122989.0,58.06
2018-01-18,58.0,58.71,57.56,58.34,3949567.0,58.34
2018-01-17,58.31,58.58,57.8,58.16,3039127.0,58.16
2018-01-16,58.79,59.08,57.53,57.985,5263854.0,57.985
2018-01-12,56.56,58.73,56.56,58.47,7490353.0,58.47
2018-01-11,54.49,57.0,54.18,56.42,11304243.0,56.42
2018-01-10,53.23,54.02,52.88,53.78,7622514.0,53.78
2018-01-09,52.97,53.37,52.005,52.08,3387134.0,52.08
2018-01-08,52.6,52.64,51.93,52.13,3499793.0,52.13
2018-01-05,52.78,52.8388,52.43,52.65,2951083.0,52.65
2018-01-04,52.48,54.4,52.265,52.67,3551004.0,52.67
2018-01-03,52.86,52.86,52.055,52.33,5066630.0,52.33
2018-01-02,52.33,53.1,51.9,52.99,4060789.0,52.99
2017-12-29,52.42,52.82,52.01,52.03,2680572.0,52.03
2017-12-28,52.45,52.63,52.22,52.46,1576661.0,52.46
2017-12-27,52.8,52.88,52.06,52.4,2770411.0,52.4
2017-12-26,52.35,53.215,52.33,52.85,2772279.0,52.85
2017-12-22,52.72,52.88,52.42,52.59,2420149.0,52.59
2017-12-21,52.16,53.47,52.07,52.79,6910068.0,52.79
2017-12-20,51.57,52.1,51.17,51.92,5144156.0,51.92
2017-12-19,51.6,51.81,51.28,51.44,3007322.0,51.44
2017-12-18,51.25,51.66,51.25,51.49,3191046.0,51.49
2017-12-15,50.67,51.5,50.4,51.06,7929521.0,51.06
2017-12-14,50.59,51.36,50.075,50.21,4490177.0,50.21
2017-12-13,50.58,50.75,49.85,50.09,2755104.0,50.09
2017-12-12,51.27,51.53,50.38,50.47,2788331.0,50.47
2017-12-11,50.78,51.59,50.76,51.3,2785584.0,51.3
2017-12-08,51.23,51.79,50.93,51.02,3793349.0,51.02
2017-12-07,49.53,50.9205,49.3,50.88,3015505.0,50.88
2017-12-06,49.39,49.81,49.19,49.61,2789870.0,49.61
2017-12-05,49.85,50.0,49.2099,49.47,3573259.0,49.47
2017-12-04,50.1,51.47,49.65,49.93,7096721.0,49.93
2017-12-01,49.67,50.38,48.69,49.01,6191854.0,49.01
2017-11-30,49.76,51.1116,49.3,50.49,5876280.0,50.49
2017-11-29,49.38,51.16,48.66,49.25,8146061.0,49.25
2017-11-28,48.44,49.42,48.2,49.22,3748884.0,49.22
2017-11-27,48.61,48.8336,48.3,48.42,2308859.0,48.42
2017-11-24,48.66,48.76,48.35,48.56,1351201.0,48.56
2017-11-22,48.58,48.97,48.27,48.66,1883499.0,48.66
2017-11-21,47.89,48.92,47.54,48.65,2777846.0,48.65
2017-11-20,47.33,47.88,47.12,47.69,2416937.0,47.69
2017-11-17,47.6,47.75,47.1883,47.39,2300688.0,47.39
2017-11-16,47.26,48.06,47.24,47.68,4456318.0,47.68
