Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,61.27,61.62,59.985,60.28,6290139.0,60.28
2018-03-26,60.28,61.15,59.68,61.07,5312349.0,61.07
2018-03-23,61.03,61.27,59.36,59.5,5890862.0,59.5
2018-03-22,61.82,62.1,60.85,60.93,5245583.0,60.93
2018-03-21,62.75,63.07,62.34,62.42,3475906.0,62.42
2018-03-20,62.48,62.76,62.15,62.65,3899638.0,62.65
2018-03-19,63.13,63.24,61.6901,62.26,5014855.0,62.26
2018-03-16,62.78,63.315,62.71,63.18,10197554.0,63.18
2018-03-15,63.05,63.13,62.52,62.59,3320488.0,62.59
2018-03-14,63.42,63.62,62.73,62.86,4768873.0,62.86
2018-03-13,63.89,63.95,63.005,63.2,6333137.0,63.2
2018-03-12,63.59,63.95,63.415,63.62,7680973.0,63.62
2018-03-09,62.05,63.7,62.0172,63.6,8089917.0,63.6
2018-03-08,61.34,61.95,61.3,61.87,5052912.0,61.87
2018-03-07,60.27,61.415,60.19,61.29,7726484.0,61.29
2018-03-06,60.59,61.02,60.105,60.88,6599021.0,60.88
2018-03-05,58.91,60.63,58.9,60.37,9000405.0,60.37
2018-03-02,58.48,59.53,58.43,59.46,7979196.0,59.46
2018-03-01,60.16,60.18,58.53,58.79,9711891.0,58.79
2018-02-28,60.67,61.12,60.18,60.33,8270823.0,60.33
2018-02-27,60.75,61.24,60.39,60.55,6709792.0,60.55
2018-02-26,59.86,60.585,59.73,60.53,5357824.0,60.53
2018-02-23,59.22,59.74,58.98,59.71,5118397.0,59.71
2018-02-22,59.21,59.4,58.8,58.99,5408042.0,58.99
2018-02-21,59.07,59.99,58.82,58.99,4774560.0,58.99
2018-02-20,59.68,59.87,58.84,59.12,8147815.0,59.12
2018-02-16,59.44,60.538999999999994,59.33,60.17,7794182.0,60.17
2018-02-15,58.72,59.51,58.33,59.5,3821488.0,59.5
2018-02-14,57.32,58.4,57.15,58.28,3607440.0,58.28
2018-02-13,57.14,57.7919,56.81,57.64,5504247.0,57.64
2018-02-12,57.7,57.98,56.875,57.41,8219430.0,57.41
2018-02-09,56.63,57.69,55.58,57.17,7984128.0,57.17
2018-02-08,58.77,58.83,56.22,56.27,6702628.0,56.27
2018-02-07,58.6,59.85,58.5,58.67,6616080.0,58.67
2018-02-06,57.92,59.2606,57.33,58.86,15017102.0,58.86
2018-02-05,61.6,61.87,58.55,58.73,11264523.0,58.73
2018-02-02,62.2,62.42,61.64,61.69,11488887.0,61.69
2018-02-01,61.75,62.54,61.66,62.18,7594021.0,62.18
2018-01-31,62.66,62.76,61.85,62.16,7668073.0,62.16
2018-01-30,62.44,63.115,62.2901,62.44,6390860.0,62.44
2018-01-29,63.09,63.465,62.85,63.31,8448607.0,63.31
