Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,153.23,153.66,147.8,148.86,3167844.0,148.86
2018-03-26,149.0,153.17,149.0,152.85,4216908.0,152.85
2018-03-23,151.33,152.47,147.16,147.35,3926149.0,147.35
2018-03-22,156.75,157.94,149.73,150.23,8119264.0,150.23
2018-03-21,163.2,163.72,161.93,162.03,3378087.0,162.03
2018-03-20,160.95,163.15,160.95,162.88,2234146.0,162.88
2018-03-19,160.56,161.5,159.37,160.62,1872926.0,160.62
2018-03-16,162.61,163.29,160.88,160.89,3564026.0,160.89
2018-03-15,161.29,163.485,160.89,162.86,1834602.0,162.86
2018-03-14,162.76,163.2,160.42,161.0,2212749.0,161.0
2018-03-13,162.12,164.3,162.06,162.49,2664067.0,162.49
2018-03-12,162.0,162.77,161.02,161.69,2104983.0,161.69
2018-03-09,159.65,161.8328,159.21,161.51,2836778.0,161.51
2018-03-08,159.01,159.42,158.04,158.5,2593927.0,158.5
2018-03-07,156.98,158.96,156.5201,158.55,3176151.0,158.55
2018-03-06,159.17,160.15,156.98,158.03,2048358.0,158.03
2018-03-05,157.17,159.66,156.99,158.85,1936791.0,158.85
2018-03-02,155.21,157.63,154.69,157.5,2960136.0,157.5
2018-03-01,161.28,161.5884,155.88,156.15,3005395.0,156.15
2018-02-28,162.9,164.39,160.95,161.01,1959099.0,161.01
2018-02-27,164.8,165.58,162.55,162.55,1756122.0,162.55
2018-02-26,163.82,164.83,162.915,164.74,1780544.0,164.74
2018-02-23,161.1,163.05,160.32,162.95,1539389.0,162.95
2018-02-22,161.08,161.995,159.905,160.32,1506055.0,160.32
2018-02-21,161.59,163.76,160.42,160.46,1622377.0,160.46
2018-02-20,162.38,162.72,161.07,161.44,1411306.0,161.44
2018-02-16,160.96,163.6,160.845,162.66,1997852.0,162.66
2018-02-15,160.39,161.11,158.11,161.06,1815828.0,161.06
2018-02-14,156.01,160.12,155.15,159.79,2488848.0,159.79
2018-02-13,154.2,156.99,153.99,156.84,2029692.0,156.84
2018-02-12,154.67,156.47,153.9,154.95,2229969.0,154.95
2018-02-09,151.69,154.99,148.79,153.84,3643267.0,153.84
2018-02-08,155.31,155.47,150.37,150.51,2561721.0,150.51
2018-02-07,154.22,158.93,153.07,155.15,2899684.0,155.15
2018-02-06,150.29,155.18,149.43,154.69,3892071.0,154.69
2018-02-05,156.12,159.27,150.73,151.83,3279792.0,151.83
2018-02-02,159.98,160.27,156.63,156.9,1996693.0,156.9
2018-02-01,160.155,161.13,159.54,160.46,1688252.0,160.46
2018-01-31,160.09,160.945,159.73,160.7,1834626.0,160.7
2018-01-30,160.96,161.16,159.11,159.7,1658261.0,159.7
2018-01-29,162.33,162.6,160.97,161.19,1258390.0,161.19
2018-01-26,161.25,162.58,160.33,162.55,1891690.0,162.55
2018-01-25,161.12,161.75,160.615,160.79,1297824.0,160.79
2018-01-24,161.2,161.99,160.54,160.6,1927625.0,160.6
2018-01-23,161.29,162.05,160.64,160.88,1611711.0,160.88
2018-01-22,161.21,161.88,160.82,161.43,1698171.0,161.43
2018-01-19,161.6,162.498,160.2,161.75,2217918.0,161.75
2018-01-18,160.13,161.0823,159.82,160.94,1591559.0,160.94
2018-01-17,159.1,160.47,158.81,160.21,2084323.0,160.21
2018-01-16,160.25,160.37,157.91,157.96,2778473.0,157.96
2018-01-12,159.5,160.635,158.57,160.11,2048771.0,160.11
2018-01-11,158.9,159.4,158.05100000000002,159.11,1809182.0,159.11
2018-01-10,158.95,159.15,157.7308,158.9,1618687.0,158.9
2018-01-09,158.5,159.49,157.4535,159.46,3204721.0,159.46
2018-01-08,157.37,159.01,156.84,158.93,2610112.0,158.93
