Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,222.3,222.3,218.32,219.12,684858.0,219.12
2018-03-26,218.27,222.79,217.15,222.25,644591.0,222.25
2018-03-23,220.86,222.93,214.94,215.01,638051.0,215.01
2018-03-22,225.73,226.22,220.24,220.37,550287.0,220.37
2018-03-21,227.31,229.68,226.61,226.78,298801.0,226.78
2018-03-20,230.09,230.83,226.85,227.68,488212.0,227.68
2018-03-19,228.0,230.12,227.44,229.85,544074.0,229.85
2018-03-16,228.44,230.155,227.7,229.09,537095.0,229.09
2018-03-15,230.28,231.03,226.34,228.24,745947.0,228.24
2018-03-14,233.22,234.38,229.44,230.33,667347.0,230.33
2018-03-13,237.97,237.97,229.9,232.63,883032.0,232.63
2018-03-12,239.05,241.48,237.93,238.06,464479.0,238.06
2018-03-09,237.26,240.06,235.46,239.19,403961.0,239.19
2018-03-08,236.96,237.25,234.09,236.17,321194.0,236.17
2018-03-07,233.22,236.09,232.81,235.38,404504.0,235.38
2018-03-06,233.7,238.41,231.87,235.09,593292.0,235.09
2018-03-05,230.8,233.99,230.8,231.77,802601.0,231.77
2018-03-02,232.82,234.65,229.95,232.72,850553.0,232.72
2018-03-01,241.06,244.02,235.06,235.35,859054.0,235.35
2018-02-28,243.6,245.19,240.76,240.96,494921.0,240.96
2018-02-27,245.64,246.545,242.3,242.39,382229.0,242.39
2018-02-26,243.02,246.18,241.64,245.66,723281.0,245.66
2018-02-23,240.26,242.28,239.16,242.09,548078.0,242.09
2018-02-22,241.34,244.465,237.5,238.82,783407.0,238.82
2018-02-21,243.77,246.09,239.535,239.59,766812.0,239.59
2018-02-20,244.5,249.34,243.69,244.57,494158.0,244.57
2018-02-16,240.5,246.505,240.5,244.68,560607.0,244.68
2018-02-15,250.8,250.93,237.05,240.65,1333091.0,240.65
2018-02-14,246.26,250.72,245.16,250.05,466567.0,250.05
2018-02-13,247.11,248.45,243.97,246.26,472076.0,246.26
2018-02-12,243.56,249.69,242.11,248.29,594397.0,248.29
2018-02-09,242.77,242.77,232.69,240.67,756556.0,240.67
2018-02-08,246.08,248.31,240.42,240.6,797759.0,240.6
2018-02-07,240.08,249.73,240.08,246.75,828780.0,246.75
2018-02-06,233.57,242.5,232.75,241.47,1151717.0,241.47
2018-02-05,247.18,249.5,238.7,238.78,914517.0,238.78
2018-02-02,255.13,255.905,249.91,249.91,437950.0,249.91
2018-02-01,256.26,257.99,254.37,257.11,262452.0,257.11
2018-01-31,255.98,259.94,255.03,256.66,482767.0,256.66
2018-01-30,254.0,257.86,254.0,254.59,642231.0,254.59
2018-01-29,259.72,261.4,255.5,256.51,899831.0,256.51
2018-01-26,253.75,262.75,253.5,261.85,868285.0,261.85
2018-01-25,252.74,253.02,244.98,252.85,1255180.0,252.85
2018-01-24,262.45,262.58,257.04,259.49,730229.0,259.49
2018-01-23,260.97,262.69,260.25,260.78,402276.0,260.78
2018-01-22,262.09,262.09,260.32,261.85,553407.0,261.85
2018-01-19,255.01,262.02,255.01,261.82,690809.0,261.82
2018-01-18,258.1,259.31,255.58,255.94,537233.0,255.94
2018-01-17,260.38,262.15,257.73,258.26,893506.0,258.26
2018-01-16,276.0,276.0,254.63,258.07,1619109.0,258.07
2018-01-12,274.79,278.33,273.57,276.37,429861.0,276.37
2018-01-11,271.94,274.01,270.59,273.62,510093.0,273.62
2018-01-10,267.95,272.405,266.03,272.09,382319.0,272.09
2018-01-09,264.5,268.85,264.03,267.96,462972.0,267.96
2018-01-08,264.83,264.83,262.17,263.3,437560.0,263.3
2018-01-05,265.0,265.0,263.55,264.76,451015.0,264.76
2018-01-04,261.68,264.17,261.26,264.05,342414.0,264.05
2018-01-03,260.0,264.775,258.72,260.07,676801.0,260.07
2018-01-02,254.29,256.32,252.67,255.33,563496.0,255.33
2017-12-29,252.54,254.79,251.4535,253.48,353258.0,253.48
2017-12-28,251.365,252.19,249.44,251.35,320336.0,251.35
2017-12-27,250.41,250.59,248.95,250.42,206281.0,250.42
2017-12-26,250.5,252.0,249.98,250.64,258930.0,250.64
2017-12-22,250.56,252.315,249.03,251.99,573140.0,251.99
2017-12-21,248.18,250.79,247.6,249.78,703179.0,249.78
2017-12-20,244.85,247.93,242.76,247.15,525691.0,247.15
2017-12-19,247.8,249.22,244.69,244.85,473932.0,244.85
2017-12-18,243.79,248.23,240.66,247.22,945804.0,247.22
2017-12-15,237.0,240.88,230.53,239.81,989084.0,239.81
2017-12-14,235.24,237.46,233.29,236.29,677286.0,236.29
2017-12-13,237.5,238.31,233.29,234.0,586079.0,234.0
2017-12-12,234.13,238.59,233.69,238.34,825319.0,238.34
2017-12-11,233.12,235.595,232.695,234.28,719880.0,234.28
2017-12-08,233.71,234.885,231.74,233.05,257470.0,233.05
2017-12-07,228.81,234.17,228.81,232.45,360939.0,232.45
2017-12-06,232.3,232.675,229.4112,229.86,275709.0,229.86
