Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,160.87,163.52,158.81,160.32,2249138.0,160.32
2018-03-26,161.5,162.05,155.7,160.2,3200680.0,160.2
2018-03-23,163.44,164.675,159.26,159.48,2354600.0,159.48
2018-03-22,162.52,164.93,162.0,162.58,2455333.0,162.58
2018-03-21,163.8,165.87,163.14,163.7,2075524.0,163.7
2018-03-20,166.37,167.23,162.5,163.62,3914393.0,163.62
2018-03-19,167.99,169.6863,164.65,166.27,2834296.0,166.27
2018-03-16,166.8,170.81,166.74,168.96,3681367.0,168.96
2018-03-15,167.22,168.5799,164.98,166.12,3641273.0,166.12
2018-03-14,163.24,168.85,163.24,167.06,5032757.0,167.06
2018-03-13,159.19,164.6,158.74,163.19,4250323.0,163.19
2018-03-12,157.59,160.04,157.52,158.41,2733848.0,158.41
2018-03-09,154.96,157.43,153.79,157.28,3291115.0,157.28
2018-03-08,153.96,154.4655,151.51,153.5,3242909.0,153.5
2018-03-07,149.28,153.28,148.89,153.22,2927674.0,153.22
2018-03-06,149.25,151.7,148.21,150.71,3304358.0,150.71
2018-03-05,143.42,149.65,142.81,148.73,4028970.0,148.73
2018-03-02,147.18,147.27,143.1,144.02,8464754.0,144.02
2018-03-01,150.76,151.8,144.75,148.19,9340223.0,148.19
2018-02-28,160.9,161.09,153.26,154.22,5928651.0,154.22
2018-02-27,164.7,165.89,159.86,159.91,3250935.0,159.91
2018-02-26,162.11,166.17,161.51,165.76,2694742.0,165.76
2018-02-23,161.53,162.56,160.05,162.09,2566425.0,162.09
2018-02-22,159.7,161.66,158.99,159.4,2761197.0,159.4
2018-02-21,160.25,162.02,159.23,159.31,2682218.0,159.31
2018-02-20,163.07,164.0,160.2464,160.59,2462273.0,160.59
2018-02-16,164.35,165.75,162.9,164.04,2647430.0,164.04
2018-02-15,168.14,169.5,162.71,164.47,3402381.0,164.47
2018-02-14,157.19,167.0,156.0,166.63,4799344.0,166.63
2018-02-13,161.25,162.46,156.11,158.72,3239435.0,158.72
2018-02-12,164.04,164.74,160.27,162.46,3064147.0,162.46
2018-02-09,165.04,166.58,157.7,162.77,4233822.0,162.77
2018-02-08,170.64,172.58,164.11,164.2,3452019.0,164.2
2018-02-07,168.93,172.98,167.07,170.39,3480616.0,170.39
2018-02-06,166.3,175.0,160.3,168.33,8233573.0,168.33
2018-02-05,171.9,172.43,165.0,165.0,4588076.0,165.0
2018-02-02,177.74,178.12,172.3,172.51,3385681.0,172.51
2018-02-01,179.98,180.95,178.11,178.54,2103112.0,178.54
2018-01-31,184.34,184.87,179.63,180.26,2915461.0,180.26
2018-01-30,184.15,186.13,182.36,184.38,2331725.0,184.38
2018-01-29,189.94,189.94,187.01,187.3,2613834.0,187.3
2018-01-26,187.24,187.42,184.33,186.93,1942588.0,186.93
2018-01-25,186.98,187.7,184.1401,187.12,2000612.0,187.12
2018-01-24,188.39,189.88,185.73,186.72,1987365.0,186.72
2018-01-23,190.5,193.33,186.3,188.06,3830632.0,188.06
2018-01-22,181.0,188.43,180.725,188.15,5064936.0,188.15
2018-01-19,180.87,181.97,179.12,181.33,4041057.0,181.33
2018-01-18,177.27,179.95,176.1,179.64,2775290.0,179.64
2018-01-17,179.45,179.45,176.33,176.72,2198260.0,176.72
2018-01-16,176.96,179.8,176.6025,178.66,2602033.0,178.66
2018-01-12,177.62,180.555,175.79,176.05,2801883.0,176.05
2018-01-11,174.49,177.35,173.81,177.12,2007228.0,177.12
