Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,90.84,90.97,89.22,89.69,516377.0,89.69
2018-03-26,88.37,91.1,88.37,90.84,657281.0,90.84
2018-03-23,89.9,90.36,87.26,87.49,557178.0,87.49
2018-03-22,90.0,91.68,89.44,89.48,558459.0,89.48
2018-03-21,91.08,91.83,90.07,91.01,592358.0,91.01
2018-03-20,90.53,91.64,90.26,90.93,667713.0,90.93
2018-03-19,89.91,90.7,89.88,90.13,817813.0,90.13
2018-03-16,88.88,90.2,88.57,89.93,1342367.0,89.93
2018-03-15,88.37,89.15,87.46,88.88,793697.0,88.88
2018-03-14,89.27,89.78,87.96,88.03,689260.0,88.03
2018-03-13,89.42,89.87,88.88,89.1,434938.0,89.1
2018-03-12,90.67,90.8,88.39,89.0,664819.0,89.0
2018-03-09,88.88,91.05,88.3,90.81,854031.0,90.81
2018-03-08,88.94,89.28,86.98,88.36,1367353.0,88.36
2018-03-07,89.04,91.09,88.76,89.08,1272620.0,89.08
2018-03-06,89.04,90.225,88.07,89.76,461044.0,89.76
2018-03-05,86.27,88.71,85.575,88.66,1081918.0,88.66
2018-03-02,85.39,86.59,84.34,86.44,823930.0,86.44
2018-03-01,85.72,86.41,84.9,85.69,773585.0,85.69
2018-02-28,87.74,87.96,85.46,85.47,556417.0,85.47
2018-02-27,88.33,89.24,87.35,87.35,303799.0,87.35
2018-02-26,88.63,89.07,87.39,88.44,419477.0,88.44
2018-02-23,87.82,88.595,87.34,88.56,270486.0,88.56
2018-02-22,88.65,89.57,87.61,87.84,319572.0,87.84
2018-02-21,88.52,89.76,88.225,88.26,266062.0,88.26
2018-02-20,89.71,89.84,88.17,88.58,302175.0,88.58
2018-02-16,89.68,90.84,89.4735,89.92,428588.0,89.92
2018-02-15,90.32,90.62,89.435,90.07,423627.0,90.07
2018-02-14,87.91,89.73,87.7,89.64,310417.0,89.64
2018-02-13,87.1,88.56,86.41,88.32,500518.0,88.32
2018-02-12,88.32,88.8825,86.07,87.52,518835.0,87.52
2018-02-09,86.5,88.45,84.98,88.01,647129.0,88.01
2018-02-08,88.45,88.51,85.15,85.16,500760.0,85.16
2018-02-07,88.04,89.72,87.21,88.49,453135.0,88.49
2018-02-06,86.71,89.02,85.91,88.49,540769.0,88.49
