Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,59.0,59.22,54.84,55.44,16959820.0,55.44
2018-03-26,57.21,58.52,56.61,58.47,14100037.0,58.47
2018-03-23,58.67,58.83,55.37,55.38,18689293.0,55.38
2018-03-22,59.67,60.62,58.9,58.92,14494507.0,58.92
2018-03-21,59.59,61.57,59.46,60.78,16977951.0,60.78
2018-03-20,58.42,59.52,58.32,59.23,8163303.0,59.23
2018-03-19,58.82,59.08,57.47,58.5,13292653.0,58.5
2018-03-16,60.38,60.52,59.2301,59.44,14375820.0,59.44
2018-03-15,60.4,61.24,59.59,60.28,11754057.0,60.28
2018-03-14,59.99,60.71,59.385,60.23,11847348.0,60.23
2018-03-13,61.38,62.24,59.485,59.69,15449563.0,59.69
2018-03-12,61.91,62.4,60.88,60.97,15598512.0,60.97
2018-03-09,59.71,61.76,59.47,61.61,16809967.0,61.61
2018-03-08,59.76,59.91,59.0,59.37,11739668.0,59.37
2018-03-07,59.15,60.09,58.6,59.42,17284037.0,59.42
2018-03-06,58.32,60.18,58.1,59.99,23269604.0,59.99
2018-03-05,57.31,58.42,57.11,57.63,13326704.0,57.63
2018-03-02,55.9,58.14,55.12,58.03,15719349.0,58.03
2018-03-01,57.54,58.44,56.12,57.07,17330221.0,57.07
2018-02-28,57.9,58.769,57.58,57.59,13014321.0,57.59
2018-02-27,58.64,58.9,57.63,57.64,12876903.0,57.64
2018-02-26,57.515,58.995,57.34,58.81,14325217.0,58.81
2018-02-23,56.59,57.13,56.31,57.01,13273501.0,57.01
2018-02-22,56.49,56.98,55.81,56.07,14704434.0,56.07
2018-02-21,57.0,57.34,56.08,56.13,15972650.0,56.13
2018-02-20,54.74,57.36,54.351000000000006,56.66,21461851.0,56.66
2018-02-16,53.8,56.09,53.67,55.03,27106419.0,55.03
2018-02-15,52.16,54.0,50.58,53.99,26497808.0,53.99
2018-02-14,49.4,52.12,49.1502,51.96,20004099.0,51.96
2018-02-13,49.26,49.65,48.5,49.55,12777703.0,49.55
2018-02-12,48.96,49.88,48.41,49.5,16134229.0,49.5
2018-02-09,46.84,48.5,45.13,47.99,21258164.0,47.99
2018-02-08,48.98,49.15,45.75,45.75,18095862.0,45.75
2018-02-07,49.87,50.58,48.67,48.69,14570054.0,48.69
2018-02-06,47.41,50.26,46.4,50.25,20726996.0,50.25
2018-02-05,49.98,51.465,48.5,48.635,15857335.0,48.635
2018-02-02,52.58,52.79,50.52,50.68,16381200.0,50.68
2018-02-01,53.16,54.18,52.93,53.28,9459981.0,53.28
2018-01-31,53.68,54.14,52.91,53.63,12855909.0,53.63
2018-01-30,54.28,54.33,53.21,53.38,14145314.0,53.38
2018-01-29,56.73,56.92,54.82,55.33,11795230.0,55.33
2018-01-26,56.42,57.12,55.93,57.12,10918953.0,57.12
2018-01-25,58.18,58.73,55.46,55.755,14707139.0,55.755
2018-01-24,57.32,57.42,56.36,56.91,11482430.0,56.91
2018-01-23,57.88,58.18,57.18,57.7904,8605103.0,57.7904
2018-01-22,57.47,57.53,56.87,57.46,11082023.0,57.46
2018-01-19,57.7,57.72,56.22,57.4,11367654.0,57.4
2018-01-18,56.75,58.63,56.68,57.4,15343341.0,57.4
2018-01-17,55.71,57.52,55.47,57.34,17492642.0,57.34
2018-01-16,54.82,55.4,54.01,54.5,14150321.0,54.5
2018-01-12,53.24,53.9999,53.08,53.45,9021781.0,53.45
2018-01-11,53.47,53.53,52.6199,53.2,10178904.0,53.2
2018-01-10,54.09,54.11,52.56,53.3,14080696.0,53.3
2018-01-09,56.17,56.18,54.04,54.86,13492273.0,54.86
2018-01-08,55.01,56.45,54.97,55.92,12508161.0,55.92
2018-01-05,54.65,54.91,54.22,54.6,10668866.0,54.6
2018-01-04,54.5,54.94,53.98,54.29,9370822.0,54.29
2018-01-03,53.54,54.2779,53.1855,53.98,10716388.0,53.98
2018-01-02,51.68,53.06,51.22,53.05,9721793.0,53.05
2017-12-29,51.82,51.94,51.06,51.12,6853581.0,51.12
2017-12-28,51.89,52.15,51.501000000000005,51.72,5507887.0,51.72
2017-12-27,51.34,51.83,50.97,51.68,5838377.0,51.68
2017-12-26,51.22,51.43,50.42,51.05,7350289.0,51.05
2017-12-22,51.75,52.24,51.3,52.06,7565240.0,52.06
2017-12-21,53.18,53.31,51.81,51.89,9439309.0,51.89
2017-12-20,54.11,54.25,52.92,53.29,9935768.0,53.29
2017-12-19,52.85,53.43,52.33,52.96,10559088.0,52.96
2017-12-18,53.16,53.54,52.76,53.4,12977805.0,53.4
2017-12-15,51.57,52.88,51.15,52.54,13432127.0,52.54
