Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,189.77,189.77,183.915,185.23,418759.0,185.23
2018-03-26,184.97,189.03,182.51,188.6,288311.0,188.6
2018-03-23,185.69,186.47,180.615,180.92,340119.0,180.92
2018-03-22,189.59,190.955,184.03,185.17,346186.0,185.17
2018-03-21,189.57,194.9,188.44,192.26,359738.0,192.26
2018-03-20,191.27,191.27,187.95,189.25,511934.0,189.25
2018-03-19,192.44,193.615,188.2,190.66,370537.0,190.66
2018-03-16,190.57,194.17,190.29,192.4,723519.0,192.4
2018-03-15,193.46,194.26,189.55,190.46,306876.0,190.46
2018-03-14,196.23,196.6,192.815,193.46,300148.0,193.46
2018-03-13,195.97,196.9,194.11,194.95,408291.0,194.95
2018-03-12,195.55,197.03,193.63,194.73,355524.0,194.73
2018-03-09,193.27,196.25,192.265,196.11,304010.0,196.11
2018-03-08,191.37,191.7,188.4,191.54,353211.0,191.54
2018-03-07,189.43,190.68,187.34,190.1,411565.0,190.1
2018-03-06,188.72,191.84,187.16,191.8,290582.0,191.8
2018-03-05,185.2,189.35,184.88,188.16,425713.0,188.16
2018-03-02,183.85,188.15,182.33,187.48,264405.0,187.48
2018-03-01,189.17,189.93,184.63,185.37,418456.0,185.37
2018-02-28,190.94,192.66,189.25,189.36,481419.0,189.36
2018-02-27,194.06,195.38,190.09,190.25,491401.0,190.25
2018-02-26,190.74,195.1,189.78,194.86,342972.0,194.86
2018-02-23,188.0,190.01,187.22,190.01,271870.0,190.01
2018-02-22,189.96,191.35,186.57,186.83,421074.0,186.83
2018-02-21,187.83,194.05,186.67,189.03,442861.0,189.03
2018-02-20,190.35,192.335,186.84,187.3,477294.0,187.3
2018-02-16,189.57,192.8,188.86,191.79,351384.0,191.79
2018-02-15,190.76,192.91,188.04,190.29,597304.0,190.29
2018-02-14,180.53,189.62,179.9,189.45,663955.0,189.45
2018-02-13,180.64,182.49,178.64,181.93,638556.0,181.93
2018-02-12,181.6,184.21,179.48,181.19,380409.0,181.19
2018-02-09,181.96,182.07,173.93,180.24,592132.0,180.24
2018-02-08,187.32,187.91,178.921,179.11,691626.0,179.11
2018-02-07,188.61,191.35,186.67,187.87,575736.0,187.87
2018-02-06,182.0,191.18,181.0135,190.7,689492.0,190.7
2018-02-05,194.65,197.645,186.6,188.5,521814.0,188.5
2018-02-02,199.86,200.52,195.29,197.11,441894.0,197.11
2018-02-01,198.39,202.43,196.687,201.76,474273.0,201.76
2018-01-31,203.84,203.84,197.355,199.63,859365.0,199.63
2018-01-30,208.25,209.25,201.89,203.22,754379.0,203.22
2018-01-29,206.15,212.84,203.56,209.21,566061.0,209.21
2018-01-26,211.31,216.995,211.13,215.76,394273.0,215.76
2018-01-25,212.0,212.0,209.4,211.0,217130.0,211.0
2018-01-24,214.27,214.29,210.11,211.45,490124.0,211.45
2018-01-23,213.84,214.53400000000002,211.9739,212.92,221363.0,212.92
2018-01-22,211.66,214.0,209.52,213.97,259923.0,213.97
2018-01-19,206.76,213.86,206.76,212.0,480505.0,212.0
2018-01-18,207.99,208.24,204.99,205.32,215530.0,205.32
2018-01-17,204.41,208.4999,202.92,207.68,331078.0,207.68
2018-01-16,204.84,206.07,201.51,203.01,380860.0,203.01
2018-01-12,201.75,203.12,200.44,202.8,245522.0,202.8
2018-01-11,198.64,200.72,198.0,200.72,264406.0,200.72
2018-01-10,200.39,201.985,196.99,198.38,333027.0,198.38
2018-01-09,200.61,202.86,199.68,200.27,304791.0,200.27
2018-01-08,199.4,200.97,198.61,200.53,230884.0,200.53
2018-01-05,198.94,199.71,197.77,199.47,247653.0,199.47
2018-01-04,202.58,203.73,198.24,198.54,362941.0,198.54
2018-01-03,204.22,204.97,200.19,202.12,278894.0,202.12
2018-01-02,206.52,206.52,202.5,203.04,273073.0,203.04
2017-12-29,207.32,207.6699,205.17,205.25,292887.0,205.25
2017-12-28,204.52,206.75,204.3203,206.51,177100.0,206.51
2017-12-27,204.59,205.62,203.72,204.67,205458.0,204.67
2017-12-26,203.98,204.61,203.01,204.06,127442.0,204.06
2017-12-22,204.585,204.89,202.14,204.2,164931.0,204.2
2017-12-21,203.07,203.9236,201.7,201.88,173486.0,201.88
2017-12-20,202.91,204.96,201.87,202.59,223093.0,202.59
2017-12-19,202.73,203.35,201.54,202.2,241753.0,202.2
2017-12-18,200.29,202.05,199.07,201.37,377718.0,201.37
2017-12-15,195.42,199.76,194.94,198.64,538696.0,198.64
2017-12-14,195.52,196.82,194.06,194.19,225112.0,194.19
2017-12-13,197.5,198.39,195.64,195.72,298792.0,195.72
2017-12-12,198.22,198.8,196.35,196.75,424386.0,196.75
2017-12-11,200.44,200.52,197.39,198.0,263667.0,198.0
2017-12-08,198.84,200.55,198.11,200.43,244831.0,200.43
2017-12-07,197.9,200.07,196.875,198.21,187832.0,198.21
2017-12-06,197.13,199.69,196.52,197.99,194397.0,197.99
2017-12-05,198.14,198.8,195.5,197.01,253998.0,197.01
2017-12-04,199.71,200.795,196.89,197.36,250543.0,197.36
2017-12-01,199.3,199.3,190.91,197.85,437611.0,197.85
2017-11-30,200.43,202.0922,197.795,198.67,325966.0,198.67
2017-11-29,197.73,200.51,196.94,198.63,338411.0,198.63
2017-11-28,193.48,196.83,191.74,196.63,358519.0,196.63
2017-11-27,190.35,193.05,190.35,192.68,296867.0,192.68
2017-11-24,190.78,190.82,189.09,190.37,85793.0,190.37
2017-11-22,190.54,190.945,189.87,189.99,148790.0,189.99
2017-11-21,187.88,190.35,187.005,190.33,269050.0,190.33
2017-11-20,186.87,188.35,186.15,186.68,203482.0,186.68
2017-11-17,184.54,187.57,184.1,186.09,319717.0,186.09
2017-11-16,186.0,187.15,185.05,185.49,243759.0,185.49
2017-11-15,180.92,185.2299,178.87,184.77,352717.0,184.77
2017-11-14,181.82,183.36,180.42,183.15,467228.0,183.15
