Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,87.39,88.0,85.09,85.59,1036580.0,85.59
2018-03-26,86.39,87.16,85.38,87.09,1146547.0,87.09
2018-03-23,88.2,88.72,85.22,85.33,1093491.0,85.33
2018-03-22,90.0,90.46,88.07,88.17,1093692.0,88.17
2018-03-21,91.61,92.02,90.82,91.03,749126.0,91.03
2018-03-20,91.69,92.01,91.18,91.7,849831.0,91.7
2018-03-19,91.9,92.11,90.35,91.34,1193661.0,91.34
2018-03-16,92.16,92.93,91.47,92.0,1617555.0,92.0
2018-03-15,91.55,92.39,91.21,91.95,688689.0,91.95
2018-03-14,92.85,92.96,91.205,91.37,574479.0,91.37
2018-03-13,93.16,93.5,92.22,92.51,882665.0,92.51
2018-03-12,92.51,93.07,92.34,92.66,1304904.0,92.66
2018-03-09,91.13,92.65,90.846,92.44,1194645.0,92.44
2018-03-08,90.32,90.65,89.93,90.58,1317674.0,90.58
2018-03-07,88.81,90.48,88.51,90.26,1103587.0,90.26
2018-03-06,89.5,90.13,89.125,89.75,1034625.0,89.75
2018-03-05,88.98,89.72,88.22,89.18,1088635.0,89.18
2018-03-02,88.5,89.85,88.14,89.65,1151699.0,89.65
2018-03-01,91.15,91.56,88.24,88.95,1567691.0,88.95
2018-02-28,92.4,92.7,91.38,91.39,1185520.0,91.39
2018-02-27,92.59,93.53,91.94,91.94,1130317.0,91.94
2018-02-26,91.07,92.425,90.7,92.41,803305.0,92.41
2018-02-23,90.48,90.86,89.92,90.83,956353.0,90.83
2018-02-22,90.79,91.2,90.06,90.23,1191091.0,90.23
2018-02-21,90.49,91.55,90.42,90.42,1032072.0,90.42
2018-02-20,89.5,90.83,89.3,90.36,1171787.0,90.36
2018-02-16,88.75,90.72,88.65,89.99,1173140.0,89.99
2018-02-15,88.01,89.14,87.79,89.14,1614714.0,89.14
2018-02-14,86.3,87.44,86.24,87.34,1071811.0,87.34
2018-02-13,85.84,87.08,85.8,86.88,868366.0,86.88
2018-02-12,85.79,86.9,85.69,86.41,1729166.0,86.41
2018-02-09,84.94,85.45,82.15,84.78,2612602.0,84.78
2018-02-08,88.24,88.52,84.4,84.44,2505181.0,84.44
2018-02-07,88.01,89.83,87.46,88.28,1682998.0,88.28
2018-02-06,86.72,88.88,85.71,88.56,2466456.0,88.56
2018-02-05,90.76,92.01,88.08,88.41,1885191.0,88.41
2018-02-02,92.53,92.84,91.19,91.25,1649650.0,91.25
2018-02-01,91.4,93.52,91.4,92.82,1320402.0,92.82
2018-01-31,93.07,93.11,92.4,92.77,1515916.0,92.77
2018-01-30,91.36,93.03,91.2,92.55,1497969.0,92.55
2018-01-29,92.36,93.0,91.965,92.13,1823922.0,92.13
2018-01-26,91.74,92.73,90.94,92.73,1540600.0,92.73
2018-01-25,91.5,92.68,91.0,91.2,1892465.0,91.2
2018-01-24,92.66,93.53,90.96,91.2,2132357.0,91.2
2018-01-23,91.95,92.2,91.67,91.82,1474443.0,91.82
2018-01-22,93.13,93.49,91.78,91.98,1937392.0,91.98
2018-01-19,93.16,93.62,92.88,93.13,1679349.0,93.13
2018-01-18,92.87,93.28,92.12,92.29,1456928.0,92.29
2018-01-17,91.95,93.0,91.12,92.85,933554.0,92.85
2018-01-16,92.0,92.61,91.19,91.28,1477988.0,91.28
2018-01-12,90.86,91.94,90.4625,91.83,843193.0,91.83
2018-01-11,89.52,90.82,89.33,90.79,728026.0,90.79
2018-01-10,90.59,90.69,89.26,89.51,933828.0,89.51
2018-01-09,91.0,91.51,90.76,90.81,1236142.0,90.81
2018-01-08,89.64,90.71,89.64,90.67,1316878.0,90.67
2018-01-05,89.14,89.81,88.9,89.71,1014021.0,89.71
2018-01-04,89.0,89.27,88.63,88.63,1298266.0,88.63
2018-01-03,87.58,88.96,87.5001,88.94,1198156.0,88.94
2018-01-02,88.47,88.85,87.5501,87.8,1227122.0,87.8
2017-12-29,89.0,89.15,87.53,87.8,845452.0,87.8
2017-12-28,88.25,88.65,87.84,88.6,804485.0,88.6
2017-12-27,88.09,88.19,87.7,88.09,869957.0,88.09
2017-12-26,88.06,88.06,87.4287,87.79,664315.0,87.79
2017-12-22,88.55,89.02,87.75,88.14,631354.0,88.14
2017-12-21,88.48,89.07,88.34,88.45,1053834.0,88.45
2017-12-20,88.77,89.15,88.24,88.64,996725.0,88.64
2017-12-19,89.65,90.07,88.79,88.8,1109348.0,88.8
2017-12-18,89.685,89.86,89.25,89.45,886397.0,89.45
2017-12-15,89.51,89.66,88.97,89.13,1540203.0,89.13
2017-12-14,89.655,89.93,89.22,89.23,867074.0,89.23
2017-12-13,89.64,90.01,89.07,89.5,877630.0,89.5
2017-12-12,89.24,89.95,88.96,89.67,1355745.0,89.67
2017-12-11,89.08,89.835,88.9,89.24,1024058.0,89.24
2017-12-08,88.67,89.35,88.67,89.34,1458237.0,89.34
2017-12-07,87.89,88.21,87.65,88.14,1513951.0,88.14
2017-12-06,87.62,88.28,87.4,87.78,949800.0,87.78
2017-12-05,88.5,88.73,87.97,88.18,1151311.0,88.18
2017-12-04,90.37,90.6,88.44,88.46,1182548.0,88.46
2017-12-01,90.66,90.74,88.0644,89.8,1319598.0,89.8
2017-11-30,90.43,91.08,90.01,90.59,4430828.0,90.59
2017-11-29,91.0,91.26,89.45100000000001,89.77,1479289.0,89.77
2017-11-28,90.76,91.25,90.62,91.04,1422986.0,91.04
2017-11-27,90.77,90.96,90.375,90.38,1055905.0,90.38
2017-11-24,89.99,91.09,89.9,90.91,641972.0,90.91
2017-11-22,90.84,90.94,89.88,89.9,1229311.0,89.9
2017-11-21,90.73,91.14,90.07,90.84,1484064.0,90.84
2017-11-20,89.73,90.12,89.53,89.88,824849.0,89.88
2017-11-17,89.11,89.725,88.9096,89.52,1051077.0,89.52
2017-11-16,88.72,89.69,88.59299999999999,89.31,1015894.0,89.31
2017-11-15,88.72,88.87,88.18,88.41,1144081.0,88.41
2017-11-14,88.28,89.16,88.08,88.98,1088555.0,88.98
2017-11-13,88.0,88.62,87.86,88.48,1024654.0,88.48
2017-11-10,86.68,88.36,86.58,88.21,1301307.0,88.21
2017-11-09,87.18,87.39,86.1446,86.72,837091.0,86.72
2017-11-07,87.18,87.7,87.11,87.37,919337.0,87.37
2017-11-06,87.3,87.64,87.11,87.24,1142423.0,87.24
2017-11-03,87.62,87.805,86.77,87.33,948715.0,87.33
2017-11-02,87.0,87.89,86.9,87.59,1363939.0,87.59
2017-11-01,87.55,87.83,86.74,86.87,1197113.0,86.87
2017-10-31,86.12,87.14,85.96,87.0,1219756.0,87.0
2017-10-30,86.43,86.56,85.65,85.76,891207.0,85.76
2017-10-27,85.5,86.6,85.45,86.6,1259523.0,86.6
2017-10-26,87.25,87.27,85.5,85.5,1808063.0,85.5
2017-10-25,87.57,88.19,86.51,87.25,1458647.0,87.25
2017-10-24,86.65,87.025,86.29,86.65,1068689.0,86.65
2017-10-23,86.94,86.94,86.17,86.35,1281912.0,86.35
2017-10-20,86.68,86.94,86.0,86.57,1249217.0,86.57
2017-10-19,86.37,86.485,85.39,86.1,1343273.0,86.1
2017-10-18,86.77,86.86,86.25,86.62,1043048.0,86.62
2017-10-17,86.98,87.0302,86.47,86.7,990438.0,86.7
2017-10-16,87.39,87.48,86.81,86.94,1580990.0,86.94
2017-10-13,87.93,88.0,87.09,87.2,2095059.0,87.2
2017-10-12,86.75,87.79,86.7,87.77,717267.0,87.77
2017-10-11,87.0,87.01,86.51,86.78,671093.0,86.78
2017-10-10,86.64,87.08,86.5,87.02,761971.0,87.02
2017-10-09,86.6,86.81,86.32,86.55,1023647.0,86.55
2017-10-06,86.13,86.59,85.98,86.58,795172.0,86.58
2017-10-05,86.05,86.3,85.67,86.3,997434.0,86.3
2017-10-04,84.99,85.875,84.76,85.76,1012420.0,85.76
2017-10-03,85.0,85.18,84.7,85.0,988380.0,85.0
2017-10-02,84.75,84.9,84.38,84.77,1531707.0,84.77
2017-09-29,83.49,84.87,83.03,84.64,1844528.0,84.64
2017-09-28,81.73,82.39,81.68,82.28,812299.0,82.28
2017-09-27,81.99,82.24,81.675,81.97,1114338.0,81.97
2017-09-26,82.05,82.16,81.55,81.62,868266.0,81.62
2017-09-25,82.86,82.915,81.57,81.92,1322640.0,81.92
2017-09-22,83.37,83.81,82.85,82.94,1615081.0,82.94
2017-09-21,83.2,83.36,82.77,83.14,728419.0,83.14
2017-09-20,83.23,83.25,82.4,82.99,644692.0,82.99
2017-09-19,83.07,83.15,82.67,83.07,681368.0,83.07
2017-09-18,82.56,83.01,82.23,82.8,1074625.0,82.8
2017-09-15,82.17,82.6,81.85,82.58,1129770.0,82.58
2017-09-14,81.52,82.29,81.52,82.21,782369.0,82.021285489912
2017-09-13,82.07,82.12,81.41,81.72,790997.0,81.532410293585
2017-09-12,81.95,82.3,81.751,82.12,757161.0,81.931492086505
2017-09-11,81.02,82.07,80.969,81.94,1006482.0,81.751905279691
2017-09-08,80.27,80.9,80.06,80.52,709275.0,80.335164914824
2017-09-07,80.71,80.835,80.27,80.51,686020.0,80.325187870001
2017-09-06,80.65,80.74,80.04,80.58,808311.0,80.395027183762
2017-09-05,80.7,80.9,79.86,80.35,821873.0,80.16555515283301
2017-09-01,80.98,81.165,80.31,80.87,866930.0,80.684361483629
2017-08-31,80.5,81.13,80.33,80.94,1062524.0,80.75420079739
