Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,70.67,70.67,65.56,66.29,7134493.0,66.29
2018-03-26,69.43,70.14,68.43,70.08,4664390.0,70.08
2018-03-23,69.86,70.52,68.02,68.04,5237847.0,68.04
2018-03-22,70.63,71.625,69.645,69.76,5057479.0,69.76
2018-03-21,71.2,72.63,71.11,71.61,4714769.0,71.61
2018-03-20,71.34,72.08,70.84,71.37,3849084.0,71.37
2018-03-19,71.0,72.15,69.81,71.05,7787476.0,71.05
2018-03-16,73.87,73.9,71.61,71.68,10308708.0,71.68
2018-03-15,72.99,73.7,72.51,73.38,9924358.0,73.38
2018-03-14,76.35,76.46,73.93,74.22,11744094.0,74.22
2018-03-13,77.49,77.85,75.805,75.93,5010331.0,75.93
2018-03-12,79.24,79.63,76.29,76.86,8343328.0,76.86
2018-03-09,76.855,78.25,76.41,78.22,8834722.0,78.22
2018-03-08,74.51,76.91,74.23,76.81,8576294.0,76.81
2018-03-07,73.38,74.14,72.75,74.07,5834774.0,74.07
2018-03-06,75.4,75.48,72.86,73.92,8413256.0,73.92
2018-03-05,73.66,75.35,72.92,75.1,6276549.0,75.1
2018-03-02,71.22,74.35,70.74,74.01,6942413.0,74.01
2018-03-01,73.16,73.42,71.52,72.01,8123915.0,72.01
2018-02-28,73.15,74.82,72.97,73.13,7396064.0,73.13
2018-02-27,73.05,73.36,72.0221,72.61,4013404.0,72.61
2018-02-26,72.68,74.12,72.68,73.16,4835168.0,73.16
2018-02-23,69.95,72.07,69.79,72.07,5633355.0,72.07
2018-02-22,70.06,70.7,69.07,69.49,5093076.0,69.49
2018-02-21,70.9,71.84,70.22,70.22,5533239.0,70.22
2018-02-20,69.97,71.29,69.75,70.84,5240786.0,70.84
2018-02-16,71.96,72.1252,69.79,70.19,6382932.0,70.19
2018-02-15,70.0,72.07,69.05,71.99,6150809.0,71.99
2018-02-14,67.21,69.9,67.11,69.65,7074660.0,69.65
2018-02-13,67.96,68.21,67.18,68.07,5012493.0,68.07
2018-02-12,67.16,69.2,67.16,68.32,8163088.0,68.32
2018-02-09,66.99,67.78,63.32,66.78,17754889.0,66.78
2018-02-08,69.63,69.79,65.76,65.83,9778437.0,65.83
2018-02-07,69.62,70.86,69.43,69.46,6093640.0,69.46
2018-02-06,66.0,69.84,65.72,69.7,10184870.0,69.7
2018-02-05,70.54,71.13,66.91,68.4,9021030.0,68.4
2018-02-02,72.66,72.96,71.38,71.42,5636144.0,71.42
2018-02-01,73.48,74.24,73.16,73.35,5093499.0,73.35
2018-01-31,72.96,74.945,72.96,74.13,6897612.0,74.13
2018-01-30,71.435,71.88,70.82,71.61,4711066.0,71.61
2018-01-29,72.5,72.68,71.7,72.45,7772773.0,72.45
2018-01-26,71.34,72.59,70.755,72.52,5647243.0,72.52
2018-01-25,70.6,71.2,69.95,70.82,4562462.0,70.82
2018-01-24,71.66,71.9,69.88,70.08,9066200.0,70.08
2018-01-23,71.32,72.3651,71.15,71.55,4980860.0,71.55
2018-01-22,70.45,71.4,69.68,71.3,3654197.0,71.3
2018-01-19,70.22,70.84,69.48,70.57,5150621.0,70.57
2018-01-18,70.11,70.725,69.17,69.8,5487073.0,69.8
2018-01-17,69.97,70.82,68.79,70.36,6856420.0,70.36
2018-01-16,70.92,71.18,68.4,68.7,5264681.0,68.7
2018-01-12,69.7,70.71,69.05,70.36,7796426.0,70.36
2018-01-11,68.29,69.33,67.23,69.24,8089856.0,69.24
2018-01-10,65.93,66.94,65.78,66.83,4108750.0,66.83
2018-01-09,66.75,66.75,64.9,66.19,5914145.0,66.19
2018-01-08,66.49,67.27,65.65,66.63,4502299.0,66.63
2018-01-05,64.88,66.47,64.49,66.37,4969918.0,66.37
2018-01-04,65.75,65.87,64.36,64.66,3896685.0,64.66
2018-01-03,64.55,65.745,64.3955,65.31,4333169.0,65.31
2018-01-02,63.54,64.67,63.37,64.31,5118509.0,64.31
2017-12-29,63.59,63.83,63.12,63.32,3188465.0,63.32
2017-12-28,63.34,63.5,62.6001,63.4,3102865.0,63.4
2017-12-27,63.67,63.7399,63.07,63.34,4764842.0,63.34
2017-12-26,64.24,64.47,63.38,63.45,3203245.0,63.45
2017-12-22,64.86,64.95,64.38,64.51,3297781.0,64.51
2017-12-21,64.51,65.2,64.14,65.08,3333438.0,65.08
2017-12-20,65.31,65.44,64.0061,64.38,4676308.0,64.38
2017-12-19,66.1,66.25,64.3901,64.9,5928911.0,64.9
2017-12-18,67.08,67.4,65.88,66.01,6179536.0,66.01
2017-12-15,65.47,67.0,64.99,66.73,9306372.0,66.73
2017-12-14,64.7,65.45,64.54,65.03,4683251.0,65.03
2017-12-13,64.85,65.28,64.3,64.6,5405265.0,64.6
2017-12-12,64.11,64.69,63.2,64.4,6413495.0,64.4
2017-12-11,62.14,63.18,62.14,63.17,3495142.0,63.17
2017-12-08,62.26,63.51,62.0403,62.43,5742404.0,62.43
2017-12-07,60.8,62.45,60.69,61.57,6940997.0,61.57
2017-12-06,59.48,60.81,58.63,60.75,8237480.0,60.75
2017-12-05,57.635,60.72,57.29,59.55,7587949.0,59.55
2017-12-04,62.39,62.48,58.35,58.6,12287139.0,58.6
2017-12-01,61.96,62.69,60.7128,61.96,5414035.0,61.96
2017-11-30,62.55,62.73,60.86,62.4,8598482.0,62.4
2017-11-29,65.61,65.71,61.95,62.01,8954002.0,62.01
2017-11-28,66.02,66.46,65.84,65.97,3336450.0,65.97
2017-11-27,66.18,66.45,65.63,65.74,4079998.0,65.74
2017-11-24,65.18,66.14,65.12,66.03,1644818.0,66.03
2017-11-22,64.91,66.31,64.89,65.14,5711411.0,65.14
2017-11-21,64.49,64.95,64.1901,64.5,3542389.0,64.5
2017-11-20,63.93,64.18,63.28,63.93,3115714.0,63.93
2017-11-17,64.0,64.44,63.18,64.1,4116771.0,64.1
2017-11-16,63.13,64.41,63.04,64.13,4325436.0,64.13
2017-11-15,63.43,63.67,62.5,62.89,4101191.0,62.89
2017-11-14,63.37,64.4,62.79,64.03,4344145.0,64.03
2017-11-13,62.72,63.97,62.67,63.62,3019231.0,63.62
2017-11-10,62.87,63.07,62.25,63.0,4809846.0,63.0
2017-11-09,63.49,64.18,62.59,63.31,5195422.0,63.31
2017-11-07,61.09,61.35,60.1,60.96,7200634.0,60.96
2017-11-06,63.41,63.72,60.71,60.87,12925543.0,60.87
2017-11-03,66.87,67.03,62.11,63.2,18650840.0,63.2
2017-11-02,65.41,65.84,64.825,65.45,5587306.0,65.45
2017-11-01,65.69,65.78,64.25,65.33,5109759.0,65.33
2017-10-31,65.34,66.03,64.86,65.49,6852101.0,65.49
2017-10-30,64.33,65.58,64.27,65.3,6555910.0,65.3
2017-10-27,62.36,64.27,62.36,64.14,6158704.0,64.14
2017-10-26,62.27,62.59,61.88,62.06,4717884.0,62.06
2017-10-25,62.28,62.6,61.19,61.81,5224099.0,61.81
2017-10-24,61.94,63.33,61.74,62.73,5938768.0,62.73
2017-10-23,62.7,62.88,61.225,61.46,4174942.0,61.46
2017-10-20,62.48,63.14,62.2256,62.63,5186464.0,62.63
2017-10-19,60.95,62.03,60.36,61.99,4982706.0,61.99
2017-10-18,61.72,62.12,61.46,61.5,3835502.0,61.5
2017-10-17,61.53,61.86,60.97,61.66,2663198.0,61.66
2017-10-16,61.12,61.973,61.01,61.48,4536670.0,61.48
2017-10-13,62.38,62.44,60.55,61.08,7081978.0,61.08
2017-10-12,61.45,62.58,61.2,62.05,4599444.0,62.05
2017-10-11,61.27,61.39,60.52,61.36,5604004.0,61.36
2017-10-10,61.15,61.56,60.76,61.45,5664133.0,61.45
2017-10-09,61.5,61.74,60.56,61.18,8723115.0,61.18
2017-10-06,62.73,63.3798,62.29,63.25,3427459.0,63.25
2017-10-05,62.65,63.24,62.21,63.09,3963933.0,63.09
2017-10-04,63.07,63.33,62.15,62.63,6662786.0,62.63
2017-10-03,63.61,63.7895,62.951,63.45,3761704.0,63.45
2017-10-02,64.42,64.71,62.99,63.39,5567851.0,63.39
2017-09-29,63.49,64.71,63.44,64.49,5006537.0,64.49
2017-09-28,63.05,63.6,62.63,63.54,5906305.0,63.54
2017-09-27,62.0,63.45,61.99,63.09,4899792.0,63.09
2017-09-26,62.53,62.75,61.58,61.76,5336494.0,61.76
2017-09-25,63.72,63.75,61.32,62.14,9200416.0,62.14
2017-09-22,63.74,64.59,63.34,63.9,5638985.0,63.9
2017-09-21,64.78,64.97,63.84,64.11,4448593.0,64.11
2017-09-20,64.81,65.19,63.87,65.0,6236055.0,65.0
2017-09-19,64.34,64.615,63.33,64.31,6589225.0,64.31
2017-09-18,65.0,65.45,64.02,64.2,6226270.0,64.2
2017-09-15,65.32,65.46,64.68,65.0,14774606.0,65.0
2017-09-14,65.03,65.995,64.68,65.17,4610832.0,65.17
2017-09-13,65.91,66.07,64.87,65.4,4495018.0,65.4
2017-09-12,66.48,66.5,65.25,66.09,4926225.0,66.09
