Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,92.81,93.74,90.87,91.42,4306212.0,91.42
2018-03-26,91.37,92.99,90.8,92.62,2716927.0,92.62
2018-03-23,91.82,92.36,90.41,90.45,5028935.0,90.45
2018-03-22,93.74,93.96,91.12,91.41,4043689.0,91.41
2018-03-21,94.62,96.27,94.4,94.74,2123354.0,94.74
2018-03-20,95.35,95.65,94.72,94.95,2418758.0,94.95
2018-03-19,95.44,95.48,93.8,94.84,2476373.0,94.84
2018-03-16,94.55,96.39,94.27,95.61,5077476.0,95.61
2018-03-15,95.06,95.41,93.96,94.39,3200089.0,94.39
2018-03-14,95.96,96.17,94.09,94.53,2971877.0,94.53
2018-03-13,98.12,98.23,95.08,95.37,4810020.0,95.37
2018-03-12,99.09,99.6995,97.48,97.67,3854156.0,97.67
2018-03-09,97.58,99.11,97.06,99.05,2985912.0,99.05
2018-03-08,96.05,96.675,95.09,96.59,3714152.0,96.59
2018-03-07,95.21,95.73,94.28,95.64,3594855.0,95.64
2018-03-06,96.99,96.99,95.14,96.07,3202747.0,96.07
2018-03-05,95.09,97.29,94.7,96.66,2661437.0,96.66
2018-03-02,94.63,95.75,93.2,95.6,3584668.0,95.6
2018-03-01,97.82,98.3,94.53,95.14,4369841.0,95.14
2018-02-28,100.04,100.36,97.43,97.51,4030945.0,97.51
2018-02-27,101.66,102.12,99.58,99.58,5148216.0,99.58
2018-02-26,99.43,101.675,98.97,101.64,4923683.0,101.64
2018-02-23,97.78,98.84,97.55,98.8,2404743.0,98.8
2018-02-22,97.59,98.0715,97.05,97.35,3945144.0,97.35
2018-02-21,96.92,98.49,96.75,97.5,4327928.0,97.5
2018-02-20,96.58,97.71,96.5,97.19,3502764.0,97.19
2018-02-16,96.37,97.49,96.25,96.79,3270966.0,96.79
2018-02-15,97.06,97.21,95.44,96.56,3049423.0,96.56
2018-02-14,93.97,96.56,93.67,96.23,3241579.0,96.23
2018-02-13,94.03,94.81,92.8201,94.56,3319734.0,94.56
2018-02-12,92.58,95.675,92.42,94.7,7347430.0,94.7
2018-02-09,89.47,92.52,87.54,91.72,8006447.0,91.72
2018-02-08,93.75,93.97,88.28,88.34,5525624.0,88.34
2018-02-07,93.53,94.85,93.41,93.61,3665422.0,93.61
2018-02-06,89.75,94.22,88.5105,94.18,7176373.0,94.18
2018-02-05,95.83,96.7247,88.61,92.01,6290990.0,92.01
2018-02-02,99.53,99.6885,96.64,96.68,4578750.0,96.68
2018-02-01,98.95,100.04,98.4,100.0,2946847.0,100.0
2018-01-31,98.74,99.7149,98.5,99.4,3160668.0,99.4
2018-01-30,99.45,100.1,98.6907,98.71,3433551.0,98.71
2018-01-29,99.75,100.18,99.2265,99.41,3163523.0,99.41
2018-01-26,99.85,99.95,98.95,99.63,3293367.0,99.63
2018-01-25,99.43,100.1099,99.2,99.69,2983411.0,99.69
2018-01-24,98.25,99.5101,98.16,99.3,4764582.0,99.3
2018-01-23,98.16,98.4,97.44,97.98,4365014.0,97.98
2018-01-22,97.26,98.34,96.84,98.32,4957432.0,98.32
2018-01-19,97.01,98.94,96.3475,98.03,12271926.0,98.03
2018-01-18,100.84,100.84,99.58,99.86,4981090.0,99.86
2018-01-17,100.99,101.0,99.24,100.76,4461257.0,100.76
2018-01-16,102.01,102.385,100.15,100.34,3773481.0,100.34
2018-01-12,100.86,101.03,99.93,100.97,3204207.0,100.97
2018-01-11,101.44,101.44,100.2,100.73,2737914.0,100.73
2018-01-10,100.39,101.59,100.33,101.22,2271356.0,101.22
2018-01-09,100.36,100.8,100.27,100.52,2960847.0,100.52
2018-01-08,101.0,101.2,100.12,100.15,1776126.0,100.15
2018-01-05,100.85,101.08,100.27,101.08,2458538.0,101.08
2018-01-04,100.03,101.65,99.91,100.85,3106483.0,100.85
2018-01-03,99.24,99.76,99.02,99.55,2916387.0,99.55
2018-01-02,99.73,99.73,98.22,98.94,2745208.0,98.94
2017-12-29,100.0,100.25,99.26,99.31,2048345.0,99.31
2017-12-28,99.64,99.905,99.36,99.7,1914882.0,99.7
2017-12-27,98.9,99.25,98.565,99.13,2545523.0,99.13
2017-12-26,98.8,98.9234,98.13,98.57,1568660.0,98.57
2017-12-22,98.74,99.04,98.21,98.74,1969464.0,98.74
2017-12-21,98.975,99.19,98.37,98.5,2321483.0,98.5
2017-12-20,99.69,99.94,98.46,98.51,3089028.0,98.51
2017-12-19,100.04,100.39,99.12,99.15,3269550.0,99.15
2017-12-18,99.07,100.5299,98.99,99.68,3463603.0,99.68
2017-12-15,97.86,98.84,97.44,98.52,7461188.0,98.52
2017-12-14,98.32,98.65,97.15,97.15,3457635.0,97.15
2017-12-13,99.12,99.31,97.76,97.78,3434294.0,97.78
2017-12-12,98.88,99.66,98.85,99.37,3442971.0,99.37
2017-12-11,98.6,99.04,98.24,99.0,2964899.0,99.0
2017-12-08,99.0,99.0,98.135,98.55,3835966.0,98.55
2017-12-07,97.76,99.12,97.4836,98.58,3017895.0,98.58
2017-12-06,98.64,98.82,98.17,98.21,3072543.0,98.21
2017-12-05,99.2,99.75,98.5761,98.71,3520193.0,98.71
2017-12-04,98.62,99.17,97.98,98.59,4479342.0,98.59
2017-12-01,98.08,98.22,95.85,97.86,3442381.0,97.86
2017-11-30,97.02,98.49,96.81,97.71,5144247.0,97.71
2017-11-29,95.96,97.32,95.6,96.6,4274124.0,96.6
2017-11-28,93.76,95.28,93.58,95.28,3466420.0,95.28
