Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,137.69,138.85,135.4,135.95,447698.0,135.95
2018-03-26,134.93,138.27,133.83,137.67,491542.0,137.67
2018-03-23,134.36,134.63,131.64,132.4,962795.0,132.4
2018-03-22,139.2,141.44,133.09,134.66,1862772.0,134.66
2018-03-21,147.0,149.08,146.87,147.04,534933.0,147.04
2018-03-20,149.17,149.17,145.64,146.73,413302.0,146.73
2018-03-19,149.94,149.97,147.8,149.36,378484.0,149.36
2018-03-16,149.53,150.84,148.64,150.13,561433.0,150.13
2018-03-15,149.17,150.43,148.26,149.84,427857.0,149.84
2018-03-14,151.95,152.48,148.28,148.87,239949.0,148.87
2018-03-13,151.53,152.02,149.01,151.09,328786.0,151.09
2018-03-12,152.62,153.94,150.42,150.81,358109.0,150.81
2018-03-09,153.27,153.27,150.06,152.69,416436.0,152.69
2018-03-08,147.43,152.45,146.39,151.76,662352.0,151.76
2018-03-07,151.89,153.14,146.03,146.8,820449.0,146.8
2018-03-06,150.85,154.52,149.92,154.2,625350.0,154.2
2018-03-05,147.21,151.01,145.63,149.84,519050.0,149.84
2018-03-02,145.19,147.86,143.46,146.97,495214.0,146.97
2018-03-01,142.84,147.75,141.68,146.79,871250.0,146.79
2018-02-28,146.5,146.735,142.51,142.58,820653.0,142.58
2018-02-27,148.56,150.395,145.52,145.55,385126.0,145.55
2018-02-26,147.48,148.95,144.54,148.49,539688.0,148.49
2018-02-23,147.15,147.99,144.87,146.56,303056.0,146.56
2018-02-22,148.36,149.27,145.63,146.3,531407.0,146.3
2018-02-21,148.98,150.35,147.55,147.58,592707.0,147.58
2018-02-20,150.57,151.4,148.11,148.81,441922.0,148.81
2018-02-16,153.12,154.24,151.12,151.14,332943.0,151.14
2018-02-15,152.28,155.17,152.2045,153.49,386203.0,153.49
2018-02-14,146.63,152.08,146.4,151.67,367620.0,151.67
2018-02-13,149.51,150.91,147.8934,148.87,335008.0,148.87
2018-02-12,148.07,152.92,146.92,150.49,562318.0,150.49
2018-02-09,146.95,148.62,141.77,147.05,557755.0,147.05
2018-02-08,148.15,148.77,145.215,145.41,636445.0,145.41
2018-02-07,147.98,150.67,147.98,148.07,813465.0,148.07
2018-02-06,142.0,150.0,142.0,148.91,1141850.0,148.91
2018-02-05,148.76,150.0,144.15,145.22,667891.0,145.22
2018-02-02,152.32,153.07,149.041,149.95,719258.0,149.95
2018-02-01,153.8,154.85,151.51,153.66,796296.0,153.66
2018-01-31,159.25,159.88,153.24,154.44,870552.0,154.44
2018-01-30,162.4,163.3,158.28,158.34,763404.0,158.34
2018-01-29,167.73,168.25,163.05,163.58,436776.0,163.58
2018-01-26,167.79,169.1,166.7,168.42,648972.0,168.42
2018-01-25,167.42,167.937,164.425,167.07,570585.0,167.07
2018-01-24,167.82,170.32,165.03,166.89,715983.0,166.89
2018-01-23,165.37,167.92,164.91,166.72,611749.0,166.72
2018-01-22,163.01,166.6,161.44,165.7,600168.0,165.7
2018-01-19,161.48,164.78,161.48,163.15,800972.0,163.15
2018-01-18,163.73,165.71,160.34,161.49,1305578.0,161.49
2018-01-17,161.2,165.23,161.2,163.8,1018917.0,163.8
2018-01-16,160.12,164.32,159.4,160.59,1887397.0,160.59
2018-01-12,159.8,161.27,157.84,158.74,1436818.0,158.74
2018-01-11,158.17,160.5,157.3083,159.85,1322358.0,159.85
2018-01-10,155.39,160.89,153.38,158.99,2426465.0,158.99
2018-01-09,164.0,167.5,157.15,157.95,5305347.0,157.95
2018-01-08,186.09,186.99,184.27,185.73,1443344.0,185.73
2018-01-05,181.0,185.815,180.1,185.36,1033738.0,185.36
2018-01-04,177.86,181.05,175.92,180.6,559924.0,180.6
2018-01-03,179.64,179.64,176.13,177.64,467107.0,177.64
2018-01-02,176.67,181.565,176.67,179.81,482795.0,179.81
2017-12-29,178.97,180.24,175.73,176.0,347928.0,176.0
2017-12-28,177.27,178.09,175.49099999999999,177.84,268079.0,177.84
2017-12-27,176.72,179.57,175.47,177.23,510567.0,177.23
2017-12-26,172.42,176.48,171.515,176.08,265641.0,176.08
2017-12-22,171.87,173.32,170.69,172.18,217655.0,172.18
2017-12-21,169.195,172.75,168.91,172.41,292870.0,172.41
2017-12-20,173.55,174.44,170.64,170.77,423861.0,170.77
2017-12-19,173.04,176.05,169.0,171.86,456296.0,171.86
2017-12-18,168.51,170.95,167.14,170.8,547389.0,170.8
2017-12-15,164.75,167.94,162.3831,165.83,591907.0,165.83
2017-12-14,165.16,168.3,160.44,161.53,804828.0,161.53
2017-12-13,173.0,173.0,160.88,167.44,1367747.0,167.44
2017-12-12,173.45,174.67,172.54,174.23,421837.0,174.23
2017-12-11,171.85,174.36,171.12,173.62,811839.0,173.62
2017-12-08,166.25,172.06,165.03,171.65,842468.0,171.65
2017-12-07,163.36,166.85,163.29,165.35,610230.0,165.35
2017-12-06,169.85,169.8919,163.55,164.05,462304.0,164.05
2017-12-05,172.27,173.14,169.79,170.3,374960.0,170.3
2017-12-04,169.56,176.86,169.24,172.18,564932.0,172.18
2017-12-01,171.78,172.53,165.97,167.01,551057.0,167.01
2017-11-30,170.91,174.77,169.1889,171.42,632175.0,171.42
2017-11-29,168.31,174.29,166.95,170.45,966771.0,170.45
2017-11-28,160.72,168.14,159.85,168.04,564797.0,168.04
2017-11-27,158.41,160.24,156.27,159.85,381916.0,159.85
2017-11-24,161.68,161.68,157.76,157.99,240114.0,157.99
2017-11-22,163.31,163.64,160.92,161.49,389150.0,161.49
2017-11-21,162.02,163.29,160.58,162.47,213769.0,162.47
2017-11-20,162.4,163.94,161.275,162.18,306005.0,162.18
2017-11-17,163.37,165.07,161.135,161.82,363049.0,161.82
2017-11-16,164.1,165.4,163.38,164.36,257901.0,164.36
2017-11-15,163.26,164.69,160.83,163.34,317001.0,163.34
2017-11-14,162.24,165.29,162.1201,164.31,661902.0,164.31
2017-11-13,159.55,164.365,159.11,163.53,466855.0,163.53
2017-11-10,160.0,160.75,159.14,160.18,242317.0,160.18
2017-11-09,157.12,160.98,157.03,160.08,282446.0,160.08
