Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,331.51,334.88,319.0,321.12,5296793.0,321.12
2018-03-26,330.48,331.9399,323.59,328.97,5161206.0,328.97
2018-03-23,320.15,331.14,318.3216,321.0,7140310.0,321.0
2018-03-22,330.11,332.68,319.01,319.61,7143279.0,319.61
2018-03-21,337.07,341.91,335.17,337.1,4046779.0,337.1
2018-03-20,331.84,339.7,331.0,337.63,6328835.0,337.63
2018-03-19,327.45,333.33,326.78,331.76,5748501.0,331.76
2018-03-16,329.82,330.83,325.63,330.47,9167315.0,330.47
2018-03-15,332.3,332.92,322.91,329.98,8445126.0,329.98
2018-03-14,339.7917,340.524,322.3,330.26,13034422.0,330.26
2018-03-13,345.32,347.88,337.61,338.67,5409969.0,338.67
2018-03-12,355.2,355.23,343.26,344.19,6035101.0,344.19
2018-03-09,352.65,354.89,350.23,354.52,3446524.0,354.52
2018-03-08,349.51,352.5,343.95,348.73,4131914.0,348.73
2018-03-07,341.52,348.4093,339.5,347.04,4575690.0,347.04
2018-03-06,354.24,355.21,346.0219,348.92,4866471.0,348.92
2018-03-05,338.0,354.77,336.61,352.75,8140161.0,352.75
2018-03-02,341.82,346.09,335.3,344.67,10021332.0,344.67
2018-03-01,362.33,362.74,346.4,349.69,8977971.0,349.69
2018-02-28,366.8,371.6,362.21,362.21,5376929.0,362.21
2018-02-27,364.6,369.89,363.3,364.64,4705949.0,364.64
2018-02-26,359.5,364.05,358.2123,363.48,4011405.0,363.48
2018-02-23,358.18,358.77,353.0668,356.66,3314255.0,356.66
2018-02-22,354.65,358.07,352.64,355.92,3339918.0,355.92
2018-02-21,352.56,360.81,351.75,352.37,5236531.0,352.37
2018-02-20,352.0,357.79,351.4,353.35,4187459.0,353.35
2018-02-16,356.59,359.5,353.5101,355.04,5205510.0,355.04
2018-02-15,348.47,356.55,348.05,356.46,5808306.0,356.46
2018-02-14,341.34,347.43,341.17,344.85,4329442.0,344.85
2018-02-13,340.45,347.8799,340.29,343.16,4021151.0,343.16
2018-02-12,336.57,347.75,335.13,343.8,6804880.0,343.8
2018-02-09,333.55,337.81,319.25,332.83,8812106.0,332.83
2018-02-08,348.0,349.0,329.4,329.66,8262322.0,329.66
2018-02-07,340.52,353.59,339.87,348.12,7880944.0,348.12
2018-02-06,320.0,341.67,317.65,340.91,11866673.0,340.91
2018-02-05,342.67,350.0,317.39,328.88,10352051.0,328.88
2018-02-02,354.0,355.199,348.7,348.91,5375809.0,348.91
2018-02-01,352.95,361.45,352.04,356.94,6045074.0,356.94
2018-01-31,360.5,360.97,351.62,354.37,10858051.0,354.37
2018-01-30,339.17,339.98,334.16,337.71,4944713.0,337.71
2018-01-29,341.23,344.48,340.1,340.82,3270253.0,340.82
2018-01-26,344.33,345.98,341.25,343.22,5010995.0,343.22
2018-01-25,336.21,343.615,335.3,343.11,4590959.0,343.11
2018-01-24,336.2,338.99,334.14,334.69,4184181.0,334.69
2018-01-23,338.34,338.94,334.81,335.59,4509416.0,335.59
2018-01-22,335.29,341.3812,332.04,338.0,6782420.0,338.0
2018-01-19,341.67,344.0,335.75,337.73,7246898.0,337.73
2018-01-18,350.7,350.83,339.15,340.16,9334400.0,340.16
2018-01-17,337.73,352.23,336.41,351.01,9611675.0,351.01
2018-01-16,339.9,347.73,331.33,335.16,11811999.0,335.16
2018-01-12,330.38,336.88,330.38,336.21,6519424.0,336.21
2018-01-11,322.13,328.4,321.19,328.12,4625973.0,328.12
2018-01-10,317.49,322.15,315.5,320.26,4464683.0,320.26
2018-01-09,310.59,319.91,310.49,318.43,5546203.0,318.43
2018-01-08,308.66,310.86,305.75,310.15,3970351.0,310.15
2018-01-05,296.77,308.89,296.72,308.84,6034693.0,308.84
2018-01-04,297.94,298.42,295.47,296.67,4037238.0,296.67
2018-01-03,295.94,298.5,295.47,297.8,3194965.0,297.8
2018-01-02,295.75,296.99,295.39599999999996,296.84,2868711.0,296.84
2017-12-29,296.94,297.3,294.83,294.91,1813317.0,294.91
2017-12-28,295.81,296.99,294.74,296.35,1432444.0,296.35
2017-12-27,296.41,296.8,294.8,295.62,1300956.0,295.62
2017-12-26,295.54,297.44,294.65,295.36,1392455.0,295.36
2017-12-22,295.135,296.52,293.01,295.1,2247179.0,295.1
2017-12-21,298.04,298.3852,294.1301,295.03,4710630.0,295.03
2017-12-20,298.88,299.33,297.11,297.9,2493059.0,297.9
2017-12-19,296.35,297.58,294.1809,297.25,2563712.0,297.25
2017-12-18,295.08,297.14,294.52,296.14,2880662.0,296.14
2017-12-15,296.05,297.37,293.02,293.94,6735640.0,293.94
2017-12-14,292.64,296.82,292.6,293.88,3875904.0,293.88
2017-12-13,290.5,295.85,289.7,291.84,4971729.0,291.84
2017-12-12,288.16,292.8,287.72,289.94,5354004.0,289.94
2017-12-11,286.21,286.49,279.9,283.16,3916713.0,283.16
2017-12-08,285.01,287.32,283.56,285.9,4272499.0,285.9
2017-12-07,278.49,284.79,277.8,281.97,4250615.0,281.97
2017-12-06,274.87,279.14,274.0046,278.27,2513180.0,278.27
2017-12-05,279.01,279.44,274.86,275.54,2732255.0,275.54
2017-12-04,276.16,281.83,276.0,277.97,5489835.0,277.97
2017-12-01,277.51,278.73,270.6,271.38,4542736.0,271.38
2017-11-30,269.91,277.04,269.43,276.8,4718559.0,276.8
2017-11-29,269.48,269.6807,266.15,269.3,2898983.0,269.3
2017-11-28,267.0,268.01,265.23,267.99,1884886.0,267.99
2017-11-27,265.38,266.84,264.72,265.58,1762650.0,265.58
2017-11-24,265.26,266.57,264.5304,265.88,788945.0,265.88
2017-11-22,267.0,267.48,264.53,265.15,1470345.0,265.15
2017-11-21,266.24,267.0,264.71,266.99,2173081.0,266.99
2017-11-20,263.0,265.6189,262.76,264.63,2402752.0,264.63
2017-11-17,262.82,263.74,262.03,262.26,1714329.0,262.26
2017-11-16,263.76,265.04,263.34,263.7,2702303.0,263.7
2017-11-15,261.42,264.77,260.15,262.86,2435329.0,262.86
2017-11-14,262.0,262.4,260.2,261.76,2356038.0,261.76
2017-11-13,261.67,263.36,260.49,262.42,2604075.0,262.42
2017-11-10,262.11,262.5,259.6,260.85,1739394.0,260.85
2017-11-09,265.01,266.75,259.5626,262.7,3214697.0,262.7
2017-11-07,264.07,267.28,264.07,266.13,3092379.0,264.69919354839
2017-11-06,262.62,265.84,262.5327,264.07,2909514.0,262.6502688172
2017-11-03,262.42,263.79,260.08,261.75,2600777.0,260.34274193548
2017-11-02,258.31,263.24,258.0,262.63,2523030.0,261.21801075268996
2017-11-01,258.29,259.41,256.24,258.5,2908029.0,257.11021505376
2017-10-31,259.34,259.93,257.47,257.98,2701839.0,256.59301075268996
2017-10-30,255.45,260.41,255.33,259.25,3022200.0,257.8561827957
2017-10-27,258.26,259.4994,255.8,256.46,2887175.0,255.0811827957
2017-10-26,259.72,261.44,257.31,259.27,3413776.0,257.87607526882005
2017-10-25,264.78,266.0,254.5,258.39,7314507.0,257.00080645161
2017-10-24,263.24,267.21,263.24,266.0,4366377.0,264.56989247312
