Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,38.14,38.46,37.395,37.61,4362828.0,37.61
2018-03-26,37.38,38.3,37.13,38.11,4037088.0,38.11
2018-03-23,37.5,37.59,36.57,36.65,4497269.0,36.65
2018-03-22,38.25,38.37,37.19,37.27,2703137.0,37.27
2018-03-21,38.37,39.24,38.36,38.69,2157417.0,38.69
2018-03-20,38.37,38.54,37.97,38.37,2538356.0,38.37
2018-03-19,38.88,39.08,37.85,38.24,2445615.0,38.24
2018-03-16,38.77,39.285,38.74,38.99,3766603.0,38.99
2018-03-15,38.88,39.0,38.4,38.66,4205339.0,38.66
2018-03-14,39.64,39.66,38.75,38.86,3301528.0,38.86
2018-03-13,40.09,40.1,39.29,39.42,2732688.0,39.42
2018-03-12,40.43,40.54,39.72,39.83,2934201.0,39.83
2018-03-09,39.78,40.56,39.49,40.46,3843844.0,40.46
2018-03-08,39.5,39.62,39.07,39.52,2183627.0,39.52
2018-03-07,39.2,39.535,38.82,39.31,2315833.0,39.31
2018-03-06,39.46,39.99,39.06,39.6,3373496.0,39.6
2018-03-05,38.4,39.53,38.31,39.38,3243977.0,39.38
2018-03-02,38.11,38.88,37.99,38.79,2746691.0,38.79
2018-03-01,38.73,38.98,38.1,38.36,4802653.0,38.36
2018-02-28,39.29,39.6,38.66,38.67,3652203.0,38.67
2018-02-27,39.72,40.1,39.16,39.16,3339322.0,39.16
2018-02-26,39.61,39.85,39.07,39.84,3367417.0,39.84
2018-02-23,38.88,39.32,38.64,39.31,3182763.0,39.31
2018-02-22,39.38,39.66,38.66,38.72,2636947.0,38.72
2018-02-21,39.11,39.85,38.86,39.07,3412192.0,39.07
2018-02-20,38.95,39.26,38.605,38.86,3349416.0,38.86
2018-02-16,38.86,39.53,38.77,39.1,4493145.0,39.1
2018-02-15,39.98,40.24,38.555,39.06,5110928.0,39.06
2018-02-14,38.66,39.87,38.51,39.81,3108370.0,39.81
2018-02-13,38.44,38.97,38.3,38.84,2683651.0,38.84
2018-02-12,38.6,39.35,38.48,38.83,3128765.0,38.83
2018-02-09,38.45,38.69,37.06,38.22,4381147.0,38.22
2018-02-08,39.41,39.56,37.99,38.0,4710083.0,38.0
2018-02-07,39.46,40.33,39.44,39.44,3561744.0,39.44
2018-02-06,37.68,39.83,37.01,39.72,5518391.0,39.72
2018-02-05,40.29,40.96,38.94,38.95,4990569.0,38.95
2018-02-02,41.58,41.97,40.67,40.88,3664494.0,40.88
2018-02-01,42.09,42.45,41.405,42.07,6705852.0,42.07
2018-01-31,42.92,42.92,42.23,42.41,6031151.0,42.41
2018-01-30,44.64,45.21,42.45,42.72,4729838.0,42.72
2018-01-29,45.7,45.87,45.06,45.12,2964628.0,45.12
2018-01-26,45.34,45.9,45.02,45.86,3188310.0,45.86
2018-01-25,45.58,45.73,44.9,45.16,2171217.0,45.16
2018-01-24,45.71,45.96,45.1682,45.52,2215511.0,45.52
2018-01-23,45.25,45.64,45.15,45.51,2237440.0,45.51
2018-01-22,44.85,45.35,44.59,45.35,2334166.0,45.35
2018-01-19,44.76,45.04,44.73,44.89,2948008.0,44.89
2018-01-18,44.88,45.2,44.58,44.63,3033233.0,44.63
2018-01-17,44.11,45.19,44.05,44.9,3214154.0,44.9
2018-01-16,45.77,45.9,43.75,43.79,4652383.0,43.79
2018-01-12,44.17,44.67,44.12,44.53,1991538.0,44.53
2018-01-11,43.42,43.95,43.03,43.94,2529007.0,43.94
2018-01-10,43.75,43.92,43.24,43.27,4613882.0,43.27
2018-01-09,44.05,44.56,43.62,43.66,2258179.0,43.66
2018-01-08,43.51,44.04,43.37,43.92,2210833.0,43.92
2018-01-05,43.37,43.58,43.06,43.57,1782612.0,43.57
2018-01-04,43.68,44.04,43.25,43.3,2108524.0,43.3
2018-01-03,43.25,43.505,43.06,43.45,2033053.0,43.45
2018-01-02,43.77,43.77,43.07,43.25,2377933.0,43.25
2017-12-29,43.73,43.73,43.325,43.33,1089278.0,43.33
2017-12-28,43.46,43.55,43.36,43.53,1255449.0,43.53
2017-12-27,43.58,43.66,43.32,43.43,820883.0,43.43
2017-12-26,43.97,44.11,43.49,43.57,941052.0,43.57
2017-12-22,43.86,44.03,43.661,43.91,965462.0,43.91
2017-12-21,43.96,44.005,43.73,43.84,1722264.0,43.84
2017-12-20,44.0,44.13,43.48,43.69,2674881.0,43.69
2017-12-19,44.025,44.16,43.645,43.68,2697345.0,43.68
2017-12-18,43.96,43.98,43.54,43.65,1873121.0,43.65
2017-12-15,43.465,43.855,43.26,43.46,2750694.0,43.46
2017-12-14,43.84,43.97,43.065,43.07,2250495.0,43.07
2017-12-13,44.16,44.61,43.67,43.69,2311942.0,43.69
2017-12-12,44.15,44.31,43.95,44.15,1746743.0,44.15
2017-12-11,44.7,44.78,44.03,44.1,1638831.0,44.1
2017-12-08,44.78,44.78,44.25,44.67,1498539.0,44.67
2017-12-07,44.12,44.8,44.12,44.5,1544189.0,44.5
2017-12-06,43.96,44.9,43.905,44.29,2473451.0,44.29
2017-12-05,44.67,44.71,44.07,44.15,2239774.0,44.15
2017-12-04,44.09,44.71,44.01,44.62,2751740.0,44.62
2017-12-01,43.42,43.57,42.33,43.48,2917426.0,43.48
2017-11-30,43.33,43.92,43.23,43.35,3572054.0,43.35
2017-11-29,42.46,43.76,42.45,43.13,3001492.0,43.13
2017-11-28,41.24,42.23,41.045,42.17,2864231.0,42.17
2017-11-27,41.23,41.5,41.14,41.18,1814274.0,41.18
2017-11-24,41.52,41.55,41.125,41.21,660470.0,41.21
2017-11-22,41.66,41.91,41.285,41.4,2224810.0,41.4
2017-11-21,40.97,41.965,40.89,41.58,3931261.0,41.58
2017-11-20,40.58,41.0,40.45,40.76,2086598.0,40.76
2017-11-17,40.4,40.71,40.27,40.48,1826915.0,40.48
2017-11-16,40.61,40.91,40.305,40.55,2033049.0,40.55
2017-11-15,40.5,40.74,40.22,40.45,2766620.0,40.45
2017-11-14,40.55,40.86,40.55,40.83,2339864.0,40.83
2017-11-13,40.8,40.97,40.47,40.81,1797201.0,40.81
2017-11-10,41.29,41.45,41.01,41.13,1957583.0,41.13
2017-11-09,41.58,41.72,40.89,41.33,2921025.0,41.33
2017-11-07,42.69,42.84,41.68,41.78,2309729.0,41.78
2017-11-06,42.74,42.88,42.58,42.59,1816328.0,42.59
2017-11-03,42.86,42.93,42.385,42.79,1899957.0,42.79
2017-11-02,42.34,43.29,42.31,43.03,1990082.0,43.03
2017-11-01,42.45,42.73,42.25,42.41,1759053.0,42.41
2017-10-31,42.55,42.58,42.12,42.13,2413736.0,42.13
2017-10-30,42.66,43.15,42.5,42.54,2470660.0,42.54
2017-10-27,43.76,43.95,42.82,42.88,2432458.0,42.88
2017-10-26,43.98,44.15,42.76,43.95,3197893.0,43.95
2017-10-25,44.74,44.74,43.72,44.16,3187242.0,44.16
2017-10-24,44.77,45.17,44.74,44.8,2586776.0,44.8
2017-10-23,45.04,45.395,44.54,44.54,2821755.0,44.54
2017-10-20,45.23,45.4,44.89,45.07,2006793.0,45.07
2017-10-19,44.52,44.98,44.52,44.87,1986448.0,44.87
2017-10-18,44.5,44.92,44.44,44.8,1420298.0,44.8
2017-10-17,44.76,44.894,44.29,44.39,1395335.0,44.39
2017-10-16,44.66,44.89,44.57,44.75,2360493.0,44.75
2017-10-13,44.76,45.095,44.64,44.64,1914037.0,44.64
2017-10-12,44.87,45.13,44.76,44.8,2134321.0,44.8
2017-10-11,45.0,45.04,44.66,44.93,3349748.0,44.93
2017-10-10,44.77,45.35,44.66,44.92,2355608.0,44.92
2017-10-09,44.89,44.93,44.64,44.71,1374839.0,44.71
2017-10-06,44.89,45.17,44.53,44.67,2396255.0,44.67
2017-10-05,45.0,45.1,44.76,44.76,3107176.0,44.76
2017-10-04,44.8,44.96,44.63,44.87,3465191.0,44.87
2017-10-03,44.65,44.855,44.41,44.77,1635632.0,44.77
2017-10-02,44.59,44.79,44.35,44.73,1506466.0,44.73
2017-09-29,44.42,44.665,44.38,44.51,2008650.0,44.51
2017-09-28,44.24,44.68,44.18,44.55,2166243.0,44.55
2017-09-27,43.94,44.78,43.92,44.48,4169065.0,44.281206703910996
2017-09-26,43.55,43.64,43.24,43.5,1816314.0,43.305586592179004
2017-09-25,42.78,43.475,42.78,43.41,2163888.0,43.215988826815995
2017-09-22,42.53,42.93,42.5,42.89,1150592.0,42.698312849162
2017-09-21,42.88,43.0,42.44,42.58,1785185.0,42.389698324022
2017-09-20,42.97,43.1,42.71,42.97,2448756.0,42.777955307263
2017-09-19,42.79,43.04,42.7,42.85,1968539.0,42.658491620112
2017-09-18,42.59,42.83,42.5,42.77,2419058.0,42.578849162011
2017-09-15,42.11,42.62,42.0,42.48,4544625.0,42.290145251397
2017-09-14,42.01,42.31,41.86,42.15,2146231.0,41.961620111732
2017-09-13,42.17,42.17,41.48,41.99,2161810.0,41.802335195531
2017-09-12,41.99,42.33,41.85,42.19,2791006.0,42.001441340782
2017-09-11,41.5,41.92,41.49,41.73,2005846.0,41.543497206704004
2017-09-08,41.08,41.37,40.96,41.04,1662607.0,40.856581005587
2017-09-07,41.68,41.74,40.95,41.14,1775492.0,40.956134078211996
2017-09-06,42.01,42.13,41.56,41.61,2614789.0,41.424033519553
2017-09-05,43.01,43.18,41.71,41.73,3468124.0,41.543497206704004
2017-09-01,43.27,43.57,43.18,43.4,943151.0,43.206033519553
2017-08-31,42.87,43.35,42.63,43.23,2086842.0,43.036793296089
2017-08-30,42.45,42.69,42.325,42.61,1048932.0,42.41956424581
2017-08-29,42.12,42.48,41.93,42.4,937438.0,42.210502793296
2017-08-28,42.84,42.9,42.495,42.6,1474910.0,42.409608938547
2017-08-25,42.63,42.83,42.56,42.67,2055153.0,42.479296089385
2017-08-24,42.47,42.53,42.23,42.39,2010301.0,42.200547486034004
2017-08-23,42.26,42.775,42.21,42.35,1714672.0,42.160726256983
2017-08-22,41.9,42.6,41.9,42.51,2396227.0,42.320011173184
2017-08-21,41.76,41.94,41.62,41.77,1307073.0,41.583318435754
2017-08-18,41.99,42.23,41.83,41.83,1791614.0,41.64305027933
2017-08-17,42.7,42.91,42.06,42.06,1800457.0,41.872022346369
2017-08-16,43.05,43.3925,42.78,42.83,1215564.0,42.638581005587
2017-08-15,43.1,43.28,42.67,42.89,1323597.0,42.698312849162
2017-08-14,43.07,43.28,42.91,43.02,1248210.0,42.827731843575
2017-08-11,42.66,43.1,42.63,42.75,1383709.0,42.558938547486
2017-08-10,43.33,43.55,42.61,42.63,1937773.0,42.439474860335004
2017-08-09,43.28,43.71,43.28,43.59,1498418.0,43.395184357542
2017-08-08,43.54,43.94,43.54,43.65,2163445.0,43.454916201117
2017-08-07,43.82,43.9,43.5,43.59,1471744.0,43.395184357542
2017-08-04,44.12,44.12,43.515,43.8,1678433.0,43.604245810056
2017-08-03,43.92,44.05,43.62,43.83,1264014.0,43.634111731843994
2017-08-02,44.63,44.72,43.54,43.94,3125783.0,43.743620111732
2017-08-01,45.0,45.08,44.535,44.72,2007529.0,44.520134078212
2017-07-31,44.72,44.96,44.4,44.78,2951307.0,44.579865921788
2017-07-28,45.77,45.825,44.3,44.69,2307696.0,44.490268156424996
2017-07-27,47.32,47.45,45.45,45.9,2722222.0,45.694860335196
2017-07-26,47.31,47.65,47.115,47.22,2531379.0,47.008960893855
2017-07-25,47.13,47.58,46.97,47.28,1360901.0,47.06869273743
2017-07-24,46.26,46.73,46.26,46.66,1030616.0,46.451463687151005
2017-07-21,46.74,46.96,46.6,46.67,1047173.0,46.461418994413
2017-07-20,46.6,47.05,46.52,46.81,2399671.0,46.600793296089
2017-07-19,46.41,46.6,46.2799,46.57,1092992.0,46.361865921787995
2017-07-18,45.94,46.3,45.89,46.24,1013355.0,46.033340782123005
2017-07-17,46.13,46.28,45.98,46.15,1749901.0,45.943743016759996
2017-07-14,46.1,46.61,46.035,46.27,2107854.0,46.063206703911
2017-07-13,46.11,46.51,46.04,46.32,1648126.0,46.112983240222995
2017-07-12,45.53,46.39,45.44,45.98,3109303.0,45.774502793296
2017-07-11,45.57,45.59,44.95,45.4,1516922.0,45.197094972067006
2017-07-10,45.19,45.79,45.19,45.54,1619384.0,45.336469273743
2017-07-07,45.14,45.65,45.01,45.42,1265203.0,45.217005586591995
2017-07-06,45.07,45.51,44.885,44.92,1646264.0,44.719240223464006
2017-07-05,45.26,45.37,44.85,45.24,1287657.0,45.037810055866004
2017-07-03,45.12,45.43,45.01,45.07,1038236.0,44.868569832402
2017-06-30,44.95,45.0,44.52,44.79,1526781.0,44.589821229049996
2017-06-29,45.36,45.6,44.28,44.55,1249390.0,44.350893854749
2017-06-28,44.69,45.07,44.62,44.87,1844944.0,44.669463687151
2017-06-27,44.41,44.71,44.29,44.46,1458584.0,44.064884746632
2017-06-26,44.23,44.41,43.88,44.24,2182174.0,43.846839882839
2017-06-23,44.48,44.495,43.825,43.98,3346612.0,43.589150498356
2017-06-22,44.11,44.7,43.99,44.34,1641701.0,43.945951184563
2017-06-21,44.76,44.76,44.11,44.26,1885380.0,43.866662143184
2017-06-20,44.62,44.815,44.495,44.51,1780049.0,44.114440397495
2017-06-19,44.34,45.21,44.28,44.84,2081836.0,44.441507693184995
2017-06-16,44.46,44.46,43.96,44.13,2947176.0,43.737817450942
2017-06-15,43.75,44.7,43.63,44.5,2106399.0,44.10452926732199
2017-06-14,43.99,44.24,43.715,44.2,1852498.0,43.807195362149
2017-06-13,44.0,44.31,43.96,44.14,2159052.0,43.747728581115
2017-06-12,43.71,44.09,43.61,43.9,2271399.0,43.509861456976004
2017-06-09,43.04,43.76,43.04,43.68,1958539.0,43.291816593183
2017-06-08,42.47,43.14,42.43,42.9,2180851.0,42.518748439733
2017-06-07,42.73,42.755,42.33,42.51,1754728.0,42.132214363007996
2017-06-06,42.46,42.76,42.37,42.55,1499945.0,42.171858883698
2017-06-05,42.78,43.095,42.68,42.81,1960784.0,42.429548268181
2017-06-02,42.52,42.92,42.34,42.76,2871259.0,42.379992617319004
2017-06-01,42.0,42.9,41.7,42.75,2165003.0,42.370081487147004
2017-05-31,41.7,41.79,41.2,41.79,2775824.0,41.418612990593
2017-05-30,41.54,41.74,41.41,41.61,2426295.0,41.240212647489
2017-05-26,41.53,41.858000000000004,41.5,41.7,2092859.0,41.329412819040996
2017-05-25,41.7,41.94,41.43,41.7,2258928.0,41.329412819040996
2017-05-24,41.57,41.65,40.855,41.35,3629817.0,40.982523263006
2017-05-23,41.98,42.0,41.24,41.4,2969321.0,41.032078913868
2017-05-22,42.24,42.43,41.83,42.12,1697091.0,41.745680286283005
2017-05-19,41.94,42.265,41.8,42.04,2885261.0,41.666391244904
2017-05-18,41.49,42.21,41.19,41.87,4857897.0,41.497902031973
2017-05-17,42.74,42.96,41.85,42.05,1883226.0,41.676302375076
2017-05-16,43.57,43.6,43.14,43.42,1631407.0,43.0341272087
2017-05-15,43.36,43.655,43.26,43.58,1236684.0,43.192705291458
2017-05-12,43.16,43.34,42.99,43.17,1179149.0,42.786348954389
2017-05-11,43.53,43.72,43.245,43.32,2097724.0,42.935015906975
2017-05-10,43.28,43.75,42.99,43.74,1987116.0,43.351283374217
2017-05-09,42.98,43.61,42.98,43.43,2294664.0,43.04403833887201
2017-05-08,42.79,43.04,42.59,42.98,1986796.0,42.598037481113
2017-05-05,42.62,42.77,42.35,42.77,1295429.0,42.389903747491005
