Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,50.6,50.6,48.845,49.2,774467.0,49.2
2018-03-26,49.44,50.42,49.11,50.31,1166488.0,50.31
2018-03-23,49.9,50.26,48.51,48.61,1345362.0,48.61
2018-03-22,51.03,52.44,49.83,49.84,2313421.0,49.84
2018-03-21,50.22,51.5825,49.965,51.08,898375.0,51.08
2018-03-20,50.72,50.72,49.825,50.08,1223380.0,50.08
2018-03-19,51.21,51.21,49.98,50.58,1081321.0,50.58
2018-03-16,50.63,51.53,50.48,51.44,1942891.0,51.44
2018-03-15,50.69,51.12,50.34,50.68,863314.0,50.68
2018-03-14,51.51,51.79,50.48,50.59,1217167.0,50.59
2018-03-13,50.94,51.66,50.71,50.83,1120232.0,50.83
2018-03-12,51.65,51.95,50.77,50.77,1186337.0,50.77
2018-03-09,50.2,51.59,50.0,51.56,1664142.0,51.56
2018-03-08,49.01,50.0,48.7,49.85,1498124.0,49.85
2018-03-07,48.37,49.08,48.26,48.85,1003843.0,48.85
2018-03-06,49.0,49.17,48.28,48.87,1009896.0,48.87
2018-03-05,47.78,48.96,47.42,48.72,1655598.0,48.72
2018-03-02,47.81,48.3,47.23,48.01,1794688.0,48.01
2018-03-01,49.11,49.47,47.8,48.32,2850350.0,48.32
2018-02-28,50.11,50.22,49.08,49.08,2186573.0,49.08
2018-02-27,52.05,52.12,50.09,50.09,1977744.0,50.09
2018-02-26,52.52,52.55,51.41,51.91,2139289.0,51.91
2018-02-23,52.63,52.63,51.81,52.32,992800.0,52.32
2018-02-22,52.26,52.65,51.93,52.24,1439871.0,52.24
2018-02-21,52.33,52.815,51.845,52.09,1737268.0,52.09
2018-02-20,52.0,53.04,51.38,52.26,1315182.0,52.26
2018-02-16,52.61,53.07,52.08,52.22,1333180.0,52.22
2018-02-15,53.98,54.06,52.37,52.67,1774211.0,52.67
2018-02-14,51.82,53.67,51.78,53.49,1503595.0,53.49
2018-02-13,52.5,53.17,51.83,52.31,1469631.0,52.31
2018-02-12,53.24,53.81,52.73,52.97,1708024.0,52.97
2018-02-09,53.09,53.555,50.4,52.61,2338256.0,52.61
2018-02-08,54.3,54.47,51.86,51.94,3502259.0,51.94
2018-02-07,53.92,55.78,53.07,55.0,2410139.0,55.0
2018-02-06,51.32,54.53,50.75,54.16,2666956.0,54.16
2018-02-05,54.17,54.77,52.35,52.35,2163246.0,52.35
2018-02-02,55.91,56.25,54.38,54.47,1233463.0,54.47
2018-02-01,55.73,56.62,55.21,56.39,1014613.0,56.39
2018-01-31,57.09,57.41,56.04,56.26,1092524.0,56.26
2018-01-30,56.58,57.19,56.33,56.72,933197.0,56.72
2018-01-29,56.96,57.73,56.81,56.82,1028089.0,56.82
2018-01-26,56.68,57.16,56.43,57.16,1122735.0,57.16
2018-01-25,57.07,57.15,56.02,56.26,1103996.0,56.26
2018-01-24,56.54,57.365,56.26,56.74,1272015.0,56.74
2018-01-23,56.55,56.595,55.61,56.11,1167185.0,56.11
2018-01-22,57.14,57.2,55.595,56.48,1481602.0,56.48
2018-01-19,57.23,57.41,56.82,56.94,956058.0,56.94
2018-01-18,58.0,58.16,56.9,57.11,1246331.0,57.11
2018-01-17,56.76,58.22,55.62,57.91,2015844.0,57.91
2018-01-16,57.5,57.69,56.18,56.32,1630282.0,56.32
2018-01-12,56.13,57.89,56.13,57.23,2346968.0,57.23
2018-01-11,54.56,55.99,54.52,55.91,1191472.0,55.91
2018-01-10,55.55,55.67,54.16,54.51,1196371.0,54.51
2018-01-09,55.59,56.25,55.39,55.74,1435132.0,55.74
