Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,119.97,123.01,118.73,120.87,674921.0,120.87
2018-03-26,119.78,120.135,118.705,119.87,817203.0,119.87
2018-03-23,122.05,122.77,117.94,118.43,1192750.0,118.43
2018-03-22,123.99,125.62,122.47,122.58,653202.0,122.58
2018-03-21,125.51,126.03,123.5,124.35,751147.0,124.35
2018-03-20,126.53,127.54,125.38,125.67,673893.0,125.67
2018-03-19,127.3,127.42,125.57,126.28,439248.0,126.28
2018-03-16,125.71,127.31,124.805,127.16,859925.0,127.16
2018-03-15,125.84,126.12,124.66,125.91,682299.0,125.91
2018-03-14,125.66,125.75,124.3,125.59,560026.0,125.59
2018-03-13,125.81,126.39,124.73,125.26,707861.0,125.26
2018-03-12,123.3,125.92,123.3,125.56,878519.0,125.56
2018-03-09,122.45,123.76,121.44,123.62,674863.0,123.62
2018-03-08,123.1,123.34,121.46,122.31,515623.0,122.31
2018-03-07,121.7,122.85,121.11,122.74,655823.0,122.74
2018-03-06,121.1,122.25,120.31,122.1,495358.0,122.1
2018-03-05,119.27,121.81,118.92,121.36,503085.0,121.36
2018-03-02,118.0,119.15,117.16,118.93,639876.0,118.93
2018-03-01,117.87,119.7,117.08,118.0,963510.0,118.0
2018-02-28,119.98,120.71,118.84,118.87,1006942.0,118.87
2018-02-27,121.91,122.23,119.2,119.51,979296.0,119.51
2018-02-26,121.41,121.905,119.87,121.43,687732.0,121.43
2018-02-23,118.61,120.99,118.35,120.97,646053.0,120.97
2018-02-22,116.49,119.92,116.27,118.47,805255.0,118.47
2018-02-21,119.0,119.58,115.85,115.85,1039391.0,115.85
2018-02-20,119.49,121.17,119.1,119.39,932967.0,119.39
2018-02-16,117.45,120.19,117.45,119.64,876736.0,119.64
2018-02-15,116.51,118.5,116.425,117.4,1062272.0,117.4
2018-02-14,115.67,115.67,113.32,115.46,1001099.0,115.46
2018-02-13,115.06,116.665,114.05,116.19,708125.0,116.19
