Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,70.24,70.62,67.61,68.28,20375061.0,68.28
2018-03-26,69.11,70.01,68.29,69.78,19076485.0,69.78
2018-03-23,70.32,70.73,67.75,67.9,31279642.0,67.9
2018-03-22,72.33,72.479,69.87,70.31,27093412.0,70.31
2018-03-21,73.18,74.27,72.69,73.32,14712435.0,73.32
2018-03-20,73.05,73.53,72.71,72.92,12703596.0,72.92
2018-03-19,73.47,73.5,71.92,72.7,14782636.0,72.7
2018-03-16,73.17,74.14,73.15,73.47,32130164.0,73.47
2018-03-15,73.78,73.87,73.01,73.34,12742306.0,73.34
2018-03-14,75.28,75.29,73.32,73.47,17941083.0,73.47
2018-03-13,76.14,76.41,74.655,74.91,12540423.0,74.91
2018-03-12,75.95,76.53,75.92,76.02,12590105.0,76.02
2018-03-09,74.95,76.37,74.6,76.11,15666985.0,76.11
2018-03-08,74.14,74.23,73.127,74.11,10637847.0,74.11
2018-03-07,73.18,74.075,72.86,73.92,14654894.0,73.92
2018-03-06,74.93,74.99,73.75,74.06,14865847.0,74.06
2018-03-05,73.07,74.94,72.7,74.42,16814605.0,74.42
2018-03-02,73.17,73.87,71.881,73.68,21061225.0,73.68
2018-03-01,75.5,75.935,73.2,73.66,23803242.0,73.66
2018-02-28,76.6,77.13,75.45,75.49,19187727.0,75.49
2018-02-27,77.52,77.8752,76.35,76.38,19638045.0,76.38
2018-02-26,77.23,77.735,76.72,77.65,17184307.0,77.65
2018-02-23,76.48,77.11,76.2,77.08,12161097.0,77.08
2018-02-22,77.28,77.48,75.94,76.27,15473156.0,76.27
2018-02-21,76.4,78.42,76.4,77.0,15838052.0,77.0
2018-02-20,76.64,77.23,76.087,76.46,11920887.0,76.46
2018-02-16,76.8,77.37,76.6133,76.82,11444838.0,76.82
2018-02-15,77.18,77.46,76.4,77.08,11025831.0,77.08
2018-02-14,75.03,76.86,74.73,76.71,16159903.0,76.71
2018-02-13,74.34,75.375,74.15,75.18,11541111.0,75.18
2018-02-12,74.47,75.5,73.97,74.76,16509439.0,74.76
2018-02-09,73.02,74.28,71.0,73.68,26472242.0,73.68
2018-02-08,75.07,75.25,71.8,71.87,24840350.0,71.87
2018-02-07,74.77,76.075,74.32,74.99,18692679.0,74.99
2018-02-06,71.52,75.19,71.15,74.82,31690957.0,74.82
2018-02-05,75.52,77.225,72.2,73.27,30726626.0,73.27
2018-02-02,78.65,79.06,76.88,77.02,18427516.0,77.02
2018-02-01,78.27,79.23,78.14,79.2,12315154.0,79.2
2018-01-31,78.78,79.39,78.19,78.48,16187923.0,78.48
2018-01-30,79.2,79.6,78.615,78.62,15680757.0,78.62
2018-01-29,80.12,80.7,79.83,79.96,14367465.0,79.96
2018-01-26,79.61,80.08,78.955,80.08,10966450.0,80.08
2018-01-25,79.85,80.3901,79.21,79.44,14601571.0,79.44
2018-01-24,78.96,79.705,78.66,79.45,16601922.0,79.45
2018-01-23,78.46,78.885,77.96,78.55,9894522.0,78.55
2018-01-22,78.24,78.9,78.05,78.59,11466361.0,78.59
2018-01-19,77.57,78.38,77.43,78.3,17728961.0,78.3
2018-01-18,77.66,77.7,77.08,77.39,15353142.0,77.39
2018-01-17,76.89,77.6568,76.1,77.47,20848327.0,77.47
2018-01-16,77.76,78.44,76.79,77.11,25796557.0,77.11
2018-01-12,75.9,76.96,75.78,76.84,16649034.0,76.84
2018-01-11,75.98,76.02,75.14,75.56,15353137.0,75.56
2018-01-10,75.7,76.2833,75.37,75.65,13894027.0,75.65
2018-01-09,74.76,75.89,74.6099,75.31,14181688.0,75.31
2018-01-08,75.17,75.24,74.331,74.53,13824356.0,74.53
2018-01-05,75.71,75.77,74.96,75.41,14863313.0,75.41
2018-01-04,75.01,76.115,74.66,75.51,16767881.0,75.51
2018-01-03,74.35,74.7356,73.97,74.59,14374660.0,74.59
2018-01-02,75.09,75.18,74.015,74.36,14674178.0,74.36
2017-12-29,75.17,75.29,74.38,74.41,10020995.0,74.41
2017-12-28,74.91,75.17,74.84,75.08,7934819.0,75.08
2017-12-27,74.67,75.08,74.52,74.89,9650457.0,74.89
2017-12-26,75.45,75.72,74.415,74.78,10852736.0,74.78
2017-12-22,75.87,75.99,75.05,75.49,11491632.0,75.49
2017-12-21,74.98,76.08,74.94,75.82,13907019.0,75.82
2017-12-20,75.37,75.765,74.61,74.66,15611957.0,74.66
2017-12-19,75.94,76.15,74.65,74.7,16939060.0,74.7
2017-12-18,75.39,76.005,75.27,75.67,16291919.0,75.67
2017-12-15,74.5,75.15,74.27,74.77,35798271.0,74.77
2017-12-14,75.25,75.4305,73.78,73.92,22687542.0,73.92
2017-12-13,75.95,76.315,75.05,75.14,18922320.0,75.14
2017-12-12,76.04,76.8,75.5244,76.15,18063062.0,76.15
2017-12-11,75.55,76.13,75.53,75.85,10309149.0,75.85
2017-12-08,75.32,75.72,74.965,75.71,12393028.0,75.71
2017-12-07,74.35,75.32,74.26,74.98,19132137.0,74.98
2017-12-06,76.24,76.5,75.09,75.44,16353888.0,75.44
2017-12-05,76.98,77.28,76.19,76.54,15836167.0,76.54
2017-12-04,77.02,77.92,76.62,77.1,23080848.0,77.1
2017-12-01,75.71,76.24,73.78,75.51,18238174.0,75.51
2017-11-30,75.73,76.8893,75.1499,75.5,22424028.0,75.5
2017-11-29,74.42,75.77,74.05,75.04,21801910.0,75.04
2017-11-28,71.44,74.0,71.13,73.7,17601123.0,73.7
2017-11-27,71.99,72.36,71.305,71.39,12359567.0,71.39
2017-11-24,72.41,72.52,71.99,72.02,4676099.0,72.02
2017-11-22,72.45,73.15,72.26,72.26,9120984.0,72.26
2017-11-21,72.5,72.59,72.13,72.38,9502650.0,72.38
2017-11-20,71.77,72.3,71.28,72.05,9969752.0,72.05
2017-11-17,71.16,71.83,70.94,71.33,11786729.0,71.33
2017-11-16,72.11,72.3199,71.51,71.67,12402434.0,71.67
2017-11-15,70.62,72.07,70.02,71.73,17238530.0,71.73
2017-11-14,71.65,71.805,71.04,71.53,13176315.0,71.53
2017-11-13,71.67,72.15,71.48,71.99,13450562.0,71.99
2017-11-10,72.53,72.86,72.11,72.25,12795477.0,72.25
2017-11-09,71.72,72.76,71.45,72.43,15464740.0,72.43
2017-11-07,73.78,74.0,72.3199,72.71,17231545.0,72.71
2017-11-06,73.59,74.03,73.17,73.8,12625454.0,73.8
2017-11-03,74.22,74.39,73.84,74.05,10679159.0,74.05
2017-11-02,73.95,74.85,73.33,74.74,12715634.0,74.418407960199
2017-11-01,73.99,74.52,73.81,74.03,11339574.0,73.711462955493
2017-10-31,73.87,74.09,73.2648,73.5,11659630.0,73.183743444937
2017-10-30,73.21,73.91,73.18,73.78,10553147.0,73.46253865806099
2017-10-27,73.43,73.98,73.01,73.87,11287974.0,73.552151405136
2017-10-26,73.66,74.25,73.5958,73.79,13195742.0,73.472495629958
2017-10-25,74.48,74.63,73.2601,73.64,14109348.0,73.32314105149901
2017-10-24,73.96,74.75,73.73,74.24,14977897.0,73.920559365335
2017-10-23,73.48,74.01,73.43,73.53,10681936.0,73.213614360629
2017-10-20,73.76,73.88,73.1799,73.53,15568492.0,73.213614360629
2017-10-19,72.35,72.94,71.71,72.88,12126309.0,72.566411187307
2017-10-18,72.66,73.33,72.55,73.12,15068248.0,72.805378512841
2017-10-17,72.24,72.72,72.0,72.19,15696950.0,71.87938012639499
2017-10-16,71.38,72.58,71.37,71.77,21114575.0,71.46118730671
2017-10-13,72.1,72.3356,70.91,72.11,30885308.0,71.79972435121701
2017-10-12,75.82,76.14,72.2725,72.37,40045488.0,72.058605620546
2017-10-11,74.97,75.33,74.66,74.94,18088656.0,74.617547398144
2017-10-10,75.4,75.54,74.63,75.18,13850533.0,74.856514723679
2017-10-09,75.83,75.875,75.09,75.39,12823148.0,75.065611133522
2017-10-06,75.81,76.02,75.1,75.64,16091126.0,75.314535430953
2017-10-05,74.07,75.93,73.85,75.72,19203342.0,75.394191206132
2017-10-04,74.18,74.74,73.93,74.06,12801643.0,73.74133387118499
2017-10-03,73.98,74.38,73.85,74.13,11917083.0,73.811032674466
2017-10-02,73.07,73.89,72.91,73.8,13347999.0,73.482452601856
2017-09-29,72.55,72.9,72.36,72.74,12386595.0,72.427013580745
2017-09-28,72.61,72.86,72.02,72.65,13832743.0,72.33740083367
2017-09-27,72.19,72.97,71.91,72.28,18032236.0,71.96899287346999
2017-09-26,70.85,71.24,70.51,70.94,11548891.0,70.634758639236
2017-09-25,71.21,71.51,70.321,70.84,10740339.0,70.53518892026399
2017-09-22,71.6,71.64,71.01,71.4,10418794.0,71.09277934651101
2017-09-21,71.45,72.13,71.15,71.76,11507584.0,71.451230334812
2017-09-20,71.38,72.2,70.82,71.46,19024367.0,71.152521177894
2017-09-19,70.3,71.7,70.3,71.15,15438733.0,70.843855049079
2017-09-18,69.38,70.93,69.27,70.6,17968164.0,70.296221594729
2017-09-15,69.12,69.375,68.905,69.04,18270056.0,68.74293397875499
2017-09-14,69.35,69.75,69.21,69.24,15015618.0,68.9420734167
2017-09-13,68.69,69.53,68.46,69.39,17438525.0,69.091427995159
2017-09-12,68.22,69.2475,68.1,68.79,15474528.0,68.494009681323
2017-09-11,66.76,67.79,66.37,67.71,17115066.0,67.418656716418
2017-09-08,65.97,66.92,65.87100000000001,66.17,13313779.0,65.88528304423801
2017-09-07,67.385,67.435,65.685,66.06,20191226.0,65.775756353368
2017-09-06,67.46,67.6,66.85,67.32,11846354.0,67.030334812424
2017-09-05,67.77,67.945,66.755,67.16,17649476.0,66.87102326206801
2017-09-01,68.11,69.0252,67.98,68.58,10711203.0,68.28491327148001
2017-08-31,68.15,68.29,67.745,68.03,12375788.0,67.73727981713101
2017-08-30,67.7,68.39,67.69,68.01,9128330.0,67.717365873336
2017-08-29,66.7,67.77,66.51,67.48,12410604.0,67.189646362781
2017-08-28,68.08,68.18,67.43,67.81,10741681.0,67.518226435391
2017-08-25,67.8,68.24,67.71,67.85,11865935.0,67.55805432298
2017-08-24,67.45,67.91,66.95,67.69,11505980.0,67.398742772623
2017-08-23,66.21,67.57,66.21,67.23,10025437.0,66.940722065349
2017-08-22,66.29,66.93,66.25,66.85,13241984.0,66.562357133253
2017-08-21,66.58,66.78,65.86,65.95,15224169.0,65.666229662498
2017-08-18,66.39,67.355,66.18,66.58,13583700.0,66.293518892026
2017-08-17,67.31,67.65,66.51,66.6,14263192.0,66.313432835821
2017-08-16,68.15,68.37,67.39,67.71,15010586.0,67.418656716418
2017-08-15,68.58,68.96,67.88,67.97,15406931.0,67.67753798574701
2017-08-14,67.61,68.13,67.41,67.89,15094480.0,67.597882210569
2017-08-11,67.07,67.47,66.59,66.8,15044256.0,66.512572273766
2017-08-10,68.0,68.13,67.15,67.22,19084249.0,66.930765093452
2017-08-09,68.12,68.48,67.92,68.43,19159657.0,68.135558693021
2017-08-08,69.0,69.86,68.82,68.88,16622360.0,68.583622428399
2017-08-07,69.13,69.26,68.695,69.04,12959210.0,68.74293397875499
2017-08-04,68.79,69.41,68.71,68.98,18033391.0,68.683192147371
2017-08-03,68.93,69.2,68.01,68.13,20924351.0,67.836849536103
2017-08-02,69.57,69.65,68.82,69.42,19089808.0,68.79816062521999
2017-08-01,69.09,69.62,68.75,69.6,21843629.0,68.976548250004
2017-07-31,67.87,68.65,67.52,68.45,23029011.0,67.836849536103
2017-07-28,67.42,67.77,67.0,67.43,13555958.0,66.82598632899101
2017-07-27,68.0,68.7154,67.36,67.6,21611576.0,66.994463530177
2017-07-26,68.47,68.84,67.79,67.98,19205417.0,67.371059626944
2017-07-25,67.93,68.42,67.81,68.03,30764182.0,67.42061174493901
2017-07-24,65.92,66.43,65.91,66.1,14842270.0,65.507899990306
2017-07-21,66.1,66.44,65.89,66.0,13908488.0,65.408795754314
2017-07-20,66.62,67.04,66.33,66.36,13993295.0,65.765571003883
2017-07-19,67.15,67.36,66.5,66.7,12330716.0,66.102525406254
2017-07-18,66.44,67.1,66.22,66.89,15957801.0,66.290823454638
2017-07-17,66.76,67.1,66.42,66.83,17496026.0,66.231360913043
2017-07-14,66.32,66.93,65.52,66.72,20643929.0,66.122346253452
2017-07-13,67.15,67.29,66.69,67.02,19983656.0,66.419658961426
2017-07-12,66.76,67.2,66.54,66.92,16810419.0,66.320554725435
2017-07-11,67.5,67.57,66.6,66.82,17040421.0,66.221450489444
2017-07-10,67.69,68.04,67.44,67.65,12584831.0,67.04401564817199
2017-07-07,68.03,68.3,67.435,67.91,14381919.0,67.30168666175
2017-07-06,68.45,68.76,67.5701,67.63,17764899.0,67.024194800974
2017-07-05,68.33,68.73,67.95,68.45,17775625.0,67.836849536103
2017-07-03,67.24,68.91,67.24,68.26,16488292.0,67.64855148772
2017-06-30,67.56,67.59,66.72,66.88,15640114.0,66.280913031039
2017-06-29,67.65,67.75,66.2601,66.98,40554484.0,66.38001726703
2017-06-28,65.0,65.36,64.52,65.18,23407499.0,64.596141019185
2017-06-27,64.24,64.86,64.01,64.23,16295861.0,63.654650777267
2017-06-26,63.55,64.12,63.205,63.78,14976471.0,63.20868171530599
2017-06-23,64.05,64.18,63.16,63.41,16176850.0,62.841996042137005
2017-06-22,63.62,63.91,63.34,63.62,11286344.0,63.050114937719
2017-06-21,63.88,64.26,63.6,63.83,13515268.0,63.258233833301
2017-06-20,64.31,64.42,63.91,63.91,12148974.0,63.337517222094
2017-06-19,64.4,64.89,64.255,64.48,12578181.0,63.902411367244994
2017-06-16,64.16,64.23,63.71,63.89,19508987.0,63.317696374896
2017-06-15,64.31,64.94,63.94,64.1,14061587.0,63.525815270478
2017-06-14,64.25,64.92,63.5,64.72,20648406.0,64.14026153362501
2017-06-13,64.88,65.26,64.335,64.69,18725276.0,64.110530262827
2017-06-12,64.51,65.4,64.07,64.32,27442813.0,63.743844589659005
2017-06-09,63.84,64.74,63.51,64.45,31102115.0,63.872680096448
2017-06-08,61.84,63.82,61.72,63.21,25839619.0,62.643787570155
2017-06-07,61.21,62.225,61.1,61.88,16017222.0,61.325701231469004
2017-06-06,60.68,61.17,60.44,61.01,10691367.0,60.463494378344
2017-06-05,61.04,61.77,60.96,61.25,10023552.0,60.701344544723995
2017-06-02,60.33,61.6,60.3,61.11,13642744.0,60.562598614336004
2017-06-01,60.89,61.09,60.165,61.08,13529919.0,60.532867343538
2017-05-31,61.59,61.6,59.87,60.54,22626955.0,59.997704469185
2017-05-30,61.79,62.0668,61.51,61.64,12595697.0,61.08785106509
2017-05-26,61.87,62.33,61.65,62.07,10848159.0,61.513999279853
2017-05-25,62.25,62.69,61.78,61.95,13351710.0,61.395074196662996
2017-05-24,61.84,62.44,61.66,62.27,16102728.0,61.712207751836004
2017-05-23,61.09,61.95,60.73,61.71,12403627.0,61.157224030284006
2017-05-22,61.41,61.55,60.72,61.06,11715887.0,60.513046496339996
2017-05-19,60.41,61.765,60.24,61.1,20221366.0,60.552688190736
2017-05-18,59.73,60.6,59.1,60.08,25109140.0,59.541824983624004
2017-05-17,61.4,61.96,59.67,59.98,33231159.0,59.442720747633
2017-05-16,61.49,62.58,61.38,62.49,21155052.0,61.930237071017
2017-05-15,61.22,61.7,61.09,61.42,14803533.0,60.86982174590901
2017-05-12,60.36,61.1,60.21,61.07,15261047.0,60.522956919939006
2017-05-11,60.25,60.915,59.92,60.7,16276607.0,60.156271246771
2017-05-10,60.1,60.64,60.0,60.37,11558148.0,59.829227267999
2017-05-09,60.65,61.04,60.07,60.23,13168382.0,59.690481337611
2017-05-08,60.15,60.73,60.12,60.5,8455615.0,59.958062774788
2017-05-05,60.49,60.58,60.1,60.24,11435022.0,59.700391761211
2017-05-04,60.7,60.94,60.09,60.21,14508897.0,59.670660490413
2017-05-03,59.5,60.3262,59.3,60.24,12861094.0,59.700391761211
2017-05-02,59.45,59.72,58.93,59.71,11068888.0,59.175139310456
2017-05-01,59.39,60.059,59.155,59.46,12829550.0,58.927378720478
2017-04-28,59.36,59.57,59.05,59.12,11896745.0,58.590424318107004
2017-04-27,59.98,59.99,58.93,59.39,14021538.0,58.858005755284005
2017-04-26,60.04,60.7,59.96,60.1,15991789.0,59.401614540597
2017-04-25,60.08,60.79,60.0,60.21,21450685.0,59.51033629766
2017-04-24,59.18,59.71,59.07,59.44,24400342.0,58.749283998220996
2017-04-21,58.38,58.44,57.63,57.72,15255858.0,57.049271069605
2017-04-20,58.17,58.65,57.55,58.41,17072987.0,57.731253000270996
2017-04-19,58.85,59.0995,57.6,57.73,18104168.0,57.059154865702
2017-04-18,58.58,58.89,58.07,58.42,16890955.0,57.741136796366995
2017-04-17,58.36,59.06,57.925,58.99,14657279.0,58.304513173874
2017-04-13,58.3,59.73,57.68,58.04,31784350.0,57.365552544695994
2017-04-12,59.09,59.125,58.27,58.51,15223437.0,57.830090961237005
2017-04-11,58.68,59.05,58.08,59.03,15244568.0,58.344048358260004
2017-04-10,59.36,59.975,58.98,59.28,12096712.0,58.591143260675004
2017-04-07,59.33,59.885,59.26,59.43,13447843.0,58.739400202125
2017-04-06,59.44,60.23,59.0099,59.89,13805963.0,59.194054822568
