Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,149.9,151.12,145.79,146.99,4860757.0,146.99
2018-03-26,147.82,149.56,145.26,149.19,5394479.0,149.19
2018-03-23,147.7,148.95,143.79,144.29,6452195.0,144.29
2018-03-22,152.87,153.5,146.25,146.9,7975803.0,146.9
2018-03-21,154.16,157.28,153.21,155.8,3856508.0,155.8
2018-03-20,153.0,155.2,152.54,154.06,3536659.0,154.06
2018-03-19,154.24,154.83,150.82,152.15,5462021.0,152.15
2018-03-16,154.32,157.45,153.31,156.46,10640670.0,156.46
2018-03-15,153.18,155.59,151.65,154.57,4898883.0,154.57
2018-03-14,154.8,155.2537,151.31,152.54,4855128.0,152.54
2018-03-13,156.3,157.87,153.2,153.69,4784377.0,153.69
2018-03-12,158.24,159.34,153.85,154.5,4747838.0,154.5
2018-03-09,155.12,158.42,154.33,158.25,4533663.0,158.25
2018-03-08,151.73,153.97,150.29,153.59,3898171.0,153.59
2018-03-07,150.0,152.27,148.81,151.51,5491026.0,151.51
2018-03-06,152.64,154.98,151.67,153.75,5787654.0,153.75
2018-03-05,145.15,151.86,144.01,151.12,8453004.0,151.12
2018-03-02,149.13,149.88,145.86,146.38,9509411.0,146.38
2018-03-01,153.67,156.19,148.51,150.23,9434816.0,150.23
2018-02-28,161.5,162.34,154.17,154.63,7241202.0,154.63
2018-02-27,163.26,164.6,161.24,161.26,4104920.0,161.26
2018-02-26,163.05,164.05,161.55,163.69,6234118.0,163.69
2018-02-23,159.4,162.48,159.22,162.41,4397133.0,162.41
2018-02-22,156.41,159.78,156.2,158.86,4721523.0,158.86
2018-02-21,155.7,158.4,155.04,155.23,4159885.0,155.23
2018-02-20,155.17,158.25,154.27,155.56,5071082.0,155.56
2018-02-16,160.13,161.0,156.0876,156.29,5967012.0,156.29
2018-02-15,159.8,160.3431,157.48,159.98,4910548.0,159.98
2018-02-14,152.39,158.59,152.34,158.06,5536759.0,158.06
2018-02-13,151.25,155.2,151.0,153.97,5349813.0,153.97
2018-02-12,151.87,153.45,150.25,152.29,5732527.0,152.29
2018-02-09,148.71,150.89,142.88,149.21,9452458.0,149.21
2018-02-08,153.85,154.19,145.92,145.99,8867108.0,145.99
2018-02-07,155.36,158.09,154.28,154.34,7095767.0,154.34
2018-02-06,148.07,156.5599,146.81,156.41,13852311.0,156.41
2018-02-05,154.93,158.93,142.85,151.08,11221553.0,151.08
