Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,43.25,43.42,41.2,41.59,4969233.0,41.59
2018-03-26,42.03,43.225,41.71,43.12,6161710.0,43.12
2018-03-23,43.1,43.23,41.185,41.27,5119319.0,41.27
2018-03-22,44.29,44.53,42.865,42.95,5373732.0,42.95
2018-03-21,44.77,45.56,44.53,44.92,3592500.0,44.92
2018-03-20,45.19,45.42,44.69,44.77,2044747.0,44.77
2018-03-19,44.86,45.06,44.27,44.91,3142596.0,44.91
2018-03-16,45.08,45.65,44.85,44.87,6239720.0,44.87
2018-03-15,45.37,45.46,44.76,44.96,3121268.0,44.96
2018-03-14,45.86,45.91,44.99,45.13,5004555.0,45.13
2018-03-13,46.47,46.55,45.625,45.73,3026226.0,45.73
2018-03-12,46.3,46.66,46.11,46.15,3545309.0,46.15
2018-03-09,45.58,46.315,45.33,46.26,4132302.0,46.26
2018-03-08,45.68,45.9,44.56,45.22,3571023.0,45.22
2018-03-07,44.76,45.56,44.6,45.44,3468164.0,45.44
2018-03-06,45.16,45.51,44.44,45.32,3830703.0,45.32
2018-03-05,43.73,45.08,43.38,44.86,5293323.0,44.86
2018-03-02,43.14,44.275,42.58,44.18,5850779.0,44.18
2018-03-01,43.54,44.53,43.21,43.53,7400863.0,43.53
2018-02-28,44.17,44.7,43.47,43.49,7866285.0,43.49
2018-02-27,44.52,45.46,43.75,43.75,13826300.0,43.75
2018-02-26,46.525,46.62,43.82,44.54,14437263.0,44.54
2018-02-23,45.71,46.44,45.66,46.43,2357320.0,46.43
2018-02-22,46.53,46.79,45.37,45.45,2453000.0,45.45
2018-02-21,45.98,46.96,45.76,46.3,4462092.0,46.3
2018-02-20,45.89,46.61,45.69,46.09,4777534.0,46.09
2018-02-16,45.73,46.56,45.73,45.93,2791535.0,45.93
2018-02-15,46.33,46.64,45.6,46.02,3020736.0,46.02
2018-02-14,44.01,45.89,44.01,45.85,6281532.0,45.85
2018-02-13,43.53,44.42,43.39,44.39,3238804.0,44.39
2018-02-12,43.51,44.52,43.15,43.96,4343296.0,43.96
2018-02-09,42.94,43.48,41.49,43.05,6866932.0,43.05
2018-02-08,44.89,45.02,42.17,42.19,4680649.0,42.19
2018-02-07,44.33,45.39,43.7,44.84,6545771.0,44.84
2018-02-06,42.5,45.08,41.48,44.6,8285521.0,44.6
2018-02-05,45.08,46.245,43.57,43.68,5775199.0,43.68
2018-02-02,46.65,47.06,45.765,46.02,6058581.0,46.02
2018-02-01,45.91,46.85,45.76,46.81,6551054.0,46.81
2018-01-31,46.05,46.69,45.78,45.9,4147525.0,45.9
2018-01-30,46.41,46.95,46.155,46.17,3707807.0,46.17
2018-01-29,46.83,47.17,46.66,46.75,3722814.0,46.75
2018-01-26,46.8,47.015,46.41,46.95,3930879.0,46.95
2018-01-25,47.6,47.6416,46.34,46.67,5602319.0,46.67
2018-01-24,48.07,48.23,47.12,47.38,6987448.0,47.38
2018-01-23,47.69,48.14,47.3,47.87,3859565.0,47.87
2018-01-22,47.24,47.87,47.01,47.81,4149900.0,47.81
2018-01-19,46.14,47.32,45.64,46.82,7779128.0,46.82
2018-01-18,45.95,46.125,45.22,45.76,6063819.0,45.76
2018-01-17,45.52,46.01,44.83,45.84,3728350.0,45.84
2018-01-16,45.79,45.93,44.945,45.25,2958415.0,45.25
2018-01-12,45.61,45.79,45.29,45.52,2267332.0,45.52
2018-01-11,45.06,45.305,44.63,45.3,3286271.0,45.3
2018-01-10,44.34,45.46,44.28,44.9,2705023.0,44.9
2018-01-09,44.17,44.85,44.01,44.19,4942445.0,44.19
2018-01-08,43.8,44.27,43.63,44.06,4725735.0,44.06
2018-01-05,43.89,44.24,43.65,43.88,7314370.0,43.88
2018-01-04,43.58,44.33,43.39,43.68,6402521.0,43.68
2018-01-03,42.57,43.29,42.44,43.17,6188420.0,43.17
2018-01-02,42.35,42.68,42.02,42.68,4410866.0,42.68
2017-12-29,42.44,42.66,41.95,41.98,2507611.0,41.98
2017-12-28,42.43,42.46,42.1,42.44,1459860.0,42.44
2017-12-27,42.45,42.52,42.15,42.36,1788627.0,42.36
2017-12-26,42.63,42.92,42.34,42.52,2404011.0,42.52
2017-12-22,42.72,42.91,42.21,42.63,3590347.0,42.63
2017-12-21,42.42,42.93,42.195,42.6,4034127.0,42.6
2017-12-20,42.5,42.67,41.75,41.93,2389762.0,41.93
