Date,Open,High,Low,Close,Volume,AdjClose
2018-03-16,3.03,3.13,2.98,3.06,167240619.0,3.06
2018-03-15,3.06,3.12,2.98,3.02,30995878.0,3.02
2018-03-14,3.15,3.17,3.02,3.03,34743962.0,3.03
2018-03-13,3.12,3.17,3.09,3.12,24272794.0,3.12
2018-03-12,3.11,3.17,3.05,3.11,26183044.0,3.11
2018-03-09,3.05,3.11,3.01,3.1,29084690.0,3.1
2018-03-08,3.06,3.08,2.97,2.97,20643397.0,2.97
2018-03-07,3.05,3.14,3.01,3.04,27705875.0,3.04
2018-03-06,3.16,3.18,3.025,3.11,27335822.0,3.11
2018-03-05,2.95,3.18,2.93,3.12,37361889.0,3.12
2018-03-02,2.8,2.98,2.77,2.96,31861759.0,2.96
2018-03-01,2.83,2.9,2.77,2.8,43314007.0,2.8
2018-02-28,3.06,3.09,2.8,2.82,53186044.0,2.82
2018-02-27,3.18,3.23,3.06,3.06,38849307.0,3.06
2018-02-26,3.2,3.28,3.06,3.21,38124627.0,3.21
2018-02-23,3.38,3.43,3.04,3.2,78298613.0,3.2
2018-02-22,2.87,3.33,2.86,3.2,130067771.0,3.2
2018-02-21,2.78,2.7928,2.63,2.63,35918131.0,2.63
2018-02-20,2.77,2.79,2.73,2.77,21174367.0,2.77
2018-02-16,2.85,2.86,2.7,2.73,28935403.0,2.73
2018-02-15,2.82,2.88,2.72,2.86,27501484.0,2.86
2018-02-14,2.7,2.865,2.66,2.8,26859155.0,2.8
2018-02-13,2.85,2.87,2.72,2.74,30901157.0,2.74
2018-02-12,2.92,2.97,2.84,2.85,32834052.0,2.85
2018-02-09,2.85,2.87,2.53,2.85,66305726.0,2.85
2018-02-08,2.92,2.955,2.8,2.82,33592516.0,2.82
2018-02-07,3.12,3.16,2.8,2.89,70769168.0,2.89
2018-02-06,3.01,3.19,2.98,3.13,46724634.0,3.13
2018-02-05,3.3,3.37,3.0,3.09,51492896.0,3.09
2018-02-02,3.43,3.44,3.3,3.33,42889438.0,3.33
2018-02-01,3.49,3.5,3.3,3.46,50619101.0,3.46
2018-01-31,3.68,3.69,3.5,3.5,42814199.0,3.5
2018-01-30,3.85,3.85,3.62,3.63,58456297.0,3.63
2018-01-29,3.95,3.99,3.86,3.88,26555816.0,3.88
2018-01-26,4.0,4.01,3.94,4.0,20659935.0,4.0
2018-01-25,4.14,4.18,3.92,3.96,32710854.0,3.96
2018-01-24,4.09,4.18,4.07,4.08,29062793.0,4.08
2018-01-23,4.05,4.11,3.97,4.07,29358055.0,4.07
2018-01-22,3.97,3.99,3.9,3.97,28247415.0,3.97
2018-01-19,4.0,4.0,3.91,3.95,22355359.0,3.95
2018-01-18,4.07,4.08,3.97,3.99,23348127.0,3.99
2018-01-17,4.17,4.18,4.02,4.09,32859081.0,4.09
2018-01-16,4.3,4.3,4.12,4.14,32575300.0,4.14
2018-01-12,4.22,4.335,4.18,4.28,33152887.0,4.28
2018-01-11,4.04,4.26,4.01,4.19,55586287.0,4.19
2018-01-10,4.08,4.1,4.0,4.0,50960998.0,4.0
2018-01-09,4.0,4.1,3.98,4.05,28452900.0,4.05
2018-01-08,4.0,4.0001,3.88,3.97,20846606.0,3.97
2018-01-05,4.02,4.02,3.93,3.99,33487009.0,3.99
2018-01-04,4.12,4.12,4.0,4.05,33702367.0,4.05
2018-01-03,4.14,4.16,4.03,4.07,30242803.0,4.07
2018-01-02,4.05,4.17,4.0,4.1,35157667.0,4.1
2017-12-29,4.08,4.13,3.96,3.96,23948720.0,3.96
2017-12-28,3.96,4.09,3.91,4.04,30438340.0,4.04
2017-12-27,4.01,4.05,3.88,3.88,19386596.0,3.88
2017-12-26,3.89,4.0,3.88,4.0,18534548.0,4.0
2017-12-22,3.82,3.95,3.82,3.85,20147379.0,3.85
2017-12-21,3.72,3.88,3.71,3.84,24095629.0,3.84
2017-12-20,3.65,3.8,3.6,3.78,24189022.0,3.78
2017-12-19,3.685,3.74,3.61,3.61,19392887.0,3.61
2017-12-18,3.58,3.7,3.52,3.69,29880772.0,3.69
2017-12-15,3.655,3.69,3.5,3.51,40641913.0,3.51
2017-12-14,3.73,3.81,3.64,3.64,25301775.0,3.64
2017-12-13,3.83,3.8587,3.71,3.72,16827416.0,3.72
2017-12-12,3.89,3.9,3.7539999999999996,3.81,24379131.0,3.81
2017-12-11,3.71,3.88,3.71,3.83,23957014.0,3.83
2017-12-08,3.75,3.8,3.66,3.68,29929686.0,3.68
2017-12-07,3.81,3.81,3.69,3.7,28112808.0,3.7
2017-12-06,3.92,3.94,3.76,3.77,27730266.0,3.77
2017-12-05,3.98,4.04,3.92,3.92,21699841.0,3.92
2017-12-04,4.08,4.14,3.91,3.95,20505204.0,3.95
2017-12-01,4.1,4.24,4.07,4.09,26783495.0,4.09
2017-11-30,4.05,4.25,4.04,4.07,40852704.0,4.07
2017-11-29,3.89,4.07,3.87,4.05,33364493.0,4.05
2017-11-28,3.83,3.9,3.77,3.87,12706654.0,3.87
2017-11-27,3.92,3.93,3.8,3.81,17859430.0,3.81
2017-11-24,4.0,4.05,3.9,3.92,13086937.0,3.92
2017-11-22,3.87,3.98,3.85,3.97,19155033.0,3.97
2017-11-21,3.9,3.94,3.8,3.81,20288318.0,3.81
2017-11-20,3.94,4.05,3.85,3.87,24034516.0,3.87
2017-11-17,3.9,4.05,3.89,4.02,21734935.0,4.02
2017-11-16,3.865,3.935,3.83,3.85,18893985.0,3.85
2017-11-15,3.92,3.98,3.85,3.85,21121607.0,3.85
2017-11-14,4.12,4.16,3.94,3.94,29795232.0,3.94
2017-11-13,4.11,4.27,4.07,4.15,26862458.0,4.15
2017-11-10,4.13,4.19,4.04,4.14,23392382.0,4.14
2017-11-09,4.0,4.195,3.97,4.11,28423513.0,4.11
2017-11-07,4.15,4.22,4.08,4.18,25200828.0,4.18
2017-11-06,3.78,4.18,3.78,4.18,49729060.0,4.18
2017-11-03,3.65,3.79,3.62,3.74,29055348.0,3.74
2017-11-02,3.78,3.81,3.65,3.66,43304876.0,3.66
2017-11-01,3.98,4.07,3.96,3.96,31391038.0,3.96
2017-10-31,3.8,3.94,3.76,3.9,21421849.0,3.9
2017-10-30,3.75,3.99,3.73,3.84,28770281.0,3.84
2017-10-27,3.49,3.78,3.465,3.77,34982408.0,3.77
2017-10-26,3.54,3.56,3.41,3.53,23537711.0,3.53
2017-10-25,3.61,3.64,3.45,3.56,27624075.0,3.56
2017-10-24,3.65,3.69,3.6,3.65,21232107.0,3.65
2017-10-23,3.8,3.83,3.6,3.61,21112366.0,3.61
2017-10-20,3.84,3.86,3.77,3.8,15391507.0,3.8
2017-10-19,3.7,3.88,3.7,3.84,23836096.0,3.84
2017-10-18,3.8,3.88,3.73,3.77,19419870.0,3.77
2017-10-17,3.86,3.87,3.73,3.78,19242146.0,3.78
2017-10-16,3.92,3.95,3.82,3.82,14101695.0,3.82
2017-10-13,3.9,3.93,3.85,3.88,15932467.0,3.88
