Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,73.35,74.16,72.72,73.13,500463.0,73.13
2018-03-26,72.43,73.31,71.75,73.14,475465.0,73.14
2018-03-23,73.82,75.218,71.48,71.61,527233.0,71.61
2018-03-22,74.89,75.36,73.39,73.44,531063.0,73.44
2018-03-21,75.58,76.05,75.26,75.55,529611.0,75.55
2018-03-20,74.79,75.81,74.54,75.4,557607.0,75.4
2018-03-19,74.78,75.52,74.64,75.11,675756.0,75.11
2018-03-16,74.38,75.64,74.3,75.13,2412106.0,75.13
2018-03-15,74.32,74.87,73.9,74.3,746592.0,74.3
2018-03-14,75.47,75.47,73.74,74.05,518789.0,74.05
2018-03-13,75.66,75.88,74.84,75.08,491105.0,75.08
2018-03-12,77.05,77.05,74.6195,75.24,552157.0,75.24
2018-03-09,75.7,77.12,74.96,77.04,550841.0,77.04
2018-03-08,75.71,75.8599,74.7,75.26,469072.0,75.26
2018-03-07,75.34,76.06,75.31,75.72,577759.0,75.72
2018-03-06,76.01,76.11,75.15,76.04,415326.0,76.04
2018-03-05,74.4,76.27,74.171,75.89,505538.0,75.89
2018-03-02,72.4,74.8,72.33,74.61,768601.0,74.61
2018-03-01,74.8,75.35,73.0,73.34,478941.0,73.34
2018-02-28,76.21,76.75,74.59,74.59,481327.0,74.59
2018-02-27,77.08,77.8,75.87,75.88,592489.0,75.88
2018-02-26,76.0,77.29,75.52,77.26,455262.0,77.26
2018-02-23,75.2,75.83,74.65,75.8,334751.0,75.8
2018-02-22,75.65,76.8,74.76,74.92,396419.0,74.92
2018-02-21,75.78,76.82,75.51,75.54,397858.0,75.54
2018-02-20,76.85,77.2,75.361,75.69,375992.0,75.69
2018-02-16,75.96,77.46,75.93,77.19,516763.0,77.19
2018-02-15,75.86,76.37,75.37,76.19,501840.0,76.19
2018-02-14,73.71,75.67,72.59100000000001,75.57,565283.0,75.57
2018-02-13,73.81,74.35,73.26,73.97,506684.0,73.97
2018-02-12,72.71,75.22,72.0243,74.31,1060563.0,74.31
2018-02-09,71.11,72.52,69.865,72.09,1179447.0,72.09
2018-02-08,73.6,74.06,70.29,70.29,921727.0,70.29
2018-02-07,72.27,73.84,72.27,72.63,965244.0,72.63
2018-02-06,72.35,73.13,69.98,72.6,1093445.0,72.6
2018-02-05,75.93,76.4,73.08,73.75,764637.0,73.75
2018-02-02,76.95,77.68,76.31,76.38,437614.0,76.38
2018-02-01,76.63,77.28,76.31,77.17,470419.0,77.17
2018-01-31,76.52,77.53,76.15,76.9,995817.0,76.9
2018-01-30,76.47,77.5,76.29,76.39,448822.0,76.39
2018-01-29,77.49,77.633,76.51,76.59,386770.0,76.59
2018-01-26,77.48,77.8,77.13,77.51,412864.0,77.51
2018-01-25,77.27,77.65,76.82,77.22,378802.0,77.22
2018-01-24,77.87,78.04,76.98,77.23,530990.0,77.23
2018-01-23,75.88,77.52,75.88,77.01,681833.0,77.01
2018-01-22,75.32,76.105,75.2601,75.93,422822.0,75.93
2018-01-19,75.1,75.6,74.69,75.16,433029.0,75.16
2018-01-18,74.91,75.3,74.76,74.86,382273.0,74.86
2018-01-17,74.6,75.29,74.51,75.06,417864.0,75.06
2018-01-16,74.27,74.62,73.85,74.2,585119.0,74.2
2018-01-12,72.96,74.15,72.63,74.03,376665.0,74.03
2018-01-11,72.29,72.965,72.18,72.77,550131.0,72.77
2018-01-10,73.11,73.6108,72.15,72.19,539006.0,72.19
2018-01-09,73.76,74.61,73.11,73.21,679527.0,73.21
2018-01-08,73.82,74.03,73.29,73.67,468386.0,73.67
2018-01-05,73.8,74.08,73.4,74.0,429502.0,74.0
2018-01-04,72.7,73.79,72.58,73.62,620176.0,73.62
2018-01-03,73.07,73.24,72.34,72.79,533543.0,72.79
2018-01-02,75.37,75.55,72.54,73.08,644408.0,73.08
2017-12-29,75.31,75.54,74.9067,74.97,392201.0,74.97
2017-12-28,74.55,75.11,73.14,75.08,337891.0,75.08
2017-12-27,74.42,74.77,74.03,74.55,217888.0,74.55
2017-12-26,74.13,74.62,73.88,74.27,264900.0,74.27
2017-12-22,73.87,74.09,73.49,73.99,283709.0,73.99
2017-12-21,73.64,73.94,73.5,73.66,369858.0,73.66
2017-12-20,73.8,74.03699999999999,73.28,73.45,367772.0,73.45
2017-12-19,74.25,74.37,73.4,73.55,493244.0,73.55
2017-12-18,74.64,75.21,74.38,74.58,407108.0,74.58
2017-12-15,72.76,74.53,72.69,74.28,1200994.0,74.28
2017-12-14,73.83,74.02,72.55,72.65,459323.0,72.65
2017-12-13,74.6,74.6,73.37,73.68,626108.0,73.68
2017-12-12,74.44,74.8,74.4,74.52,375970.0,74.52
2017-12-11,74.38,74.59,73.98,74.56,320737.0,74.56
2017-12-08,74.17,74.44,73.85,74.4,337882.0,74.4
2017-12-07,74.29,74.76,74.03,74.16,374315.0,74.16
2017-12-06,74.51,75.0566,74.33,74.46,341602.0,74.46
2017-12-05,75.54,75.54,74.28,74.38,409081.0,74.38
2017-12-04,75.02,76.155,74.58,75.37,473974.0,75.37
2017-12-01,75.0,75.24,73.0,74.52,521587.0,74.52
2017-11-30,74.69,75.47,74.08,74.73,703121.0,74.73
2017-11-29,74.25,75.36,74.1471,74.87,552661.0,74.87
2017-11-28,73.41,74.32,73.13,74.25,481230.0,74.25
2017-11-27,72.73,73.58,72.541,73.41,419231.0,73.41
2017-11-24,72.67,72.73,72.36,72.51,188101.0,72.51
2017-11-22,73.31,73.31,72.51,72.66,433895.0,72.66
2017-11-21,73.76,73.96,73.375,73.46,451527.0,73.46
2017-11-20,73.49,73.75,73.15,73.43,522854.0,73.43
2017-11-17,73.92,73.92,73.16,73.46,1825688.0,73.46
2017-11-16,74.17,74.29,73.29,73.59,626934.0,73.59
2017-11-15,73.94,74.52,73.4,74.11,462096.0,74.11
2017-11-14,73.08,74.13,72.69,74.06,433110.0,74.06
2017-11-13,73.26,73.67,73.01,73.3,671847.0,73.3
2017-11-10,73.08,73.97,72.63,73.4,462857.0,73.4
2017-11-09,72.62,73.27,72.36,73.1,398807.0,73.1
2017-11-07,73.06,74.07,72.4994,72.87,525751.0,72.87
2017-11-06,72.34,73.67,72.06,73.27,527531.0,73.27
2017-11-03,72.46,72.92,71.77,72.57,811397.0,72.57
2017-11-02,70.78,72.61,70.735,72.56,1019806.0,72.56
2017-11-01,70.26,71.12,70.21,70.71,564562.0,70.71
2017-10-31,70.27,70.69,70.07,70.17,639788.0,70.17
2017-10-30,70.79,71.6,70.28,70.41,661018.0,70.41
2017-10-27,74.96,76.08,70.5,71.03,1188029.0,71.03
2017-10-26,75.99,76.505,75.42,76.02,415824.0,76.02
2017-10-25,76.18,76.2075,75.28,75.75,361174.0,75.75
2017-10-24,76.17,76.39,75.735,76.26,668224.0,76.26
2017-10-23,76.56,76.56,75.83,76.12,307932.0,76.12
2017-10-20,76.66,76.75,75.92,76.46,615700.0,76.46
2017-10-19,75.75,76.26,75.494,76.19,528564.0,76.19
2017-10-18,76.11,76.24,75.69,76.0,389990.0,76.0
2017-10-17,76.51,76.52,75.78,75.93,305826.0,75.93
2017-10-16,76.7,77.29,76.13,76.42,483912.0,76.42
2017-10-13,75.94,77.06,75.77,76.47,392870.0,76.47
2017-10-12,76.79,76.8998,75.53,75.93,517724.0,75.93
2017-10-11,77.07,77.23,76.63,76.94,342815.0,76.94
2017-10-10,76.26,77.19,76.26,77.12,318357.0,77.12
2017-10-09,76.86,76.995,76.25,76.36,296157.0,76.36
2017-10-06,77.54,77.73,76.45,76.7,466041.0,76.7
2017-10-05,77.58,77.7638,77.04,77.39,332914.0,77.39
2017-10-04,77.02,77.54,76.59,77.38,313684.0,77.38
2017-10-03,77.1,77.39,76.62,77.16,414843.0,77.16
2017-10-02,76.45,77.58,76.251,77.5,326487.0,77.5
2017-09-29,77.32,77.32,76.42,76.57,547961.0,76.57
2017-09-28,76.66,77.545,76.53,77.38,324610.0,77.38
2017-09-27,76.7,77.18,76.23,76.9,384231.0,76.9
2017-09-26,76.31,76.7,75.615,76.17,408067.0,76.17
2017-09-25,75.68,76.45,75.57,76.32,277521.0,76.32
2017-09-22,75.52,76.0,75.485,75.88,221376.0,75.88
2017-09-21,75.96,76.35,75.1181,75.58,296300.0,75.58
2017-09-20,76.12,76.4,75.8,76.33,301428.0,75.828356992639
2017-09-19,76.3,76.45,75.85,76.04,404733.0,75.540262881178
2017-09-18,75.52,76.29,75.02,76.08,705732.0,75.58
2017-09-15,75.54,75.79,74.78,75.22,1285385.0,74.72565194532099
2017-09-14,75.87,76.0103,75.25,75.62,420794.0,75.123023133544
2017-09-13,76.5,76.61,75.83,75.94,497472.0,75.440920084122
2017-09-12,76.34,76.6899,76.0,76.65,390189.0,76.146253943218
2017-09-11,76.21,77.09,76.1,76.52,499977.0,76.017108307045
2017-09-08,73.42,75.97,73.42,75.77,636552.0,75.272037329127
2017-09-07,75.07,75.07,72.88,73.67,742133.0,73.185838590957
2017-09-06,74.94,75.71,74.62,75.12,604415.0,74.626309148265
2017-09-05,76.94,76.94,74.58,74.77,548094.0,74.27860935857
2017-09-01,77.16,77.56,76.83,76.96,408293.0,76.45421661409
2017-08-31,76.92,77.1,76.69,76.84,419602.0,76.33500525762399
2017-08-30,76.68,77.15,76.53,76.83,358601.0,76.32507097791799
2017-08-29,76.73,77.1,76.6,76.78,306510.0,76.27539957939
2017-08-28,77.59,77.6125,76.63,77.09,378900.0,76.58336225026301
2017-08-25,76.77,77.64,76.7,77.46,330590.0,76.950930599369
2017-08-24,76.97,77.14,76.35,76.43,378414.0,75.927699789695
2017-08-23,77.04,77.33,76.77,76.85,362410.0,76.344939537329
2017-08-22,77.24,77.59,76.81,77.48,508307.0,76.97079915878
2017-08-21,77.44,77.44,76.55,76.98,659408.0,76.47408517350199
2017-08-18,77.46,77.95,76.78,77.34,680351.0,76.831719242902
