Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,161.13,162.2287,158.36,158.75,1676214.0,158.75
2018-03-26,159.13,161.12,156.945,160.72,1524080.0,160.72
2018-03-23,158.17,159.19,155.27,155.42,1456939.0,155.42
2018-03-22,159.74,160.2799,157.53,157.55,2009518.0,157.55
2018-03-21,160.93,163.07,160.25,161.48,1153571.0,161.48
2018-03-20,160.26,162.48,159.76,161.0,1185539.0,161.0
2018-03-19,162.85,163.22,158.45,159.61,2280014.0,159.61
2018-03-16,160.21,163.73,159.74,162.57,4118653.0,162.57
2018-03-15,159.93,160.97,159.15,160.16,1088052.0,160.16
2018-03-14,161.22,161.6,159.09,159.61,1184688.0,159.61
2018-03-13,161.0,162.98,159.92,160.35,1766167.0,160.35
2018-03-12,162.36,162.7,159.08100000000002,160.06,1694388.0,160.06
2018-03-09,160.51,163.52,159.83,162.37,1580291.0,162.37
2018-03-08,159.46,160.6,157.99,159.2,1794723.0,159.2
2018-03-07,158.34,160.66,157.13,159.25,2416740.0,159.25
2018-03-06,162.4,163.86,160.53,160.65,1609812.0,160.65
2018-03-05,158.0,161.14,157.4,160.94,1937213.0,160.94
2018-03-02,159.94,160.14,154.58,158.94,3081048.0,158.94
2018-03-01,168.0,168.4,160.18,160.89,2848120.0,160.89
2018-02-28,171.08,172.01,167.6,168.17,1744026.0,168.17
2018-02-27,171.72,173.32,170.04,170.06,1528792.0,170.06
2018-02-26,170.48,172.12,169.23,171.64,1386378.0,171.64
2018-02-23,168.45,169.79,167.55,169.53,1767864.0,169.53
2018-02-22,166.22,168.72,166.04,167.02,1150713.0,167.02
2018-02-21,167.51,169.21,166.24,166.28,1601683.0,166.28
2018-02-20,166.34,167.83,165.27,166.82,1498865.0,166.82
2018-02-16,164.93,167.56,164.39,165.6,1421066.0,165.6
2018-02-15,167.55,167.98,163.34,165.02,1878835.0,165.02
2018-02-14,164.23,166.83,163.1,166.0,1932983.0,166.0
2018-02-13,165.46,166.03,164.1,165.63,1167267.0,165.63
2018-02-12,165.53,167.595,164.49,165.77,1899184.0,165.77
2018-02-09,168.88,168.88,159.36,164.05,2801999.0,164.05
2018-02-08,172.85,173.5,165.7,165.73,2390342.0,165.73
2018-02-07,175.9,179.67,172.565,172.74,2542172.0,172.74
2018-02-06,173.6,180.87,169.24,174.83,3474175.0,174.83
2018-02-05,183.24,187.36,179.01,179.01,2158359.0,179.01
2018-02-02,188.29,189.0,184.02,184.31,1534542.0,184.31
2018-02-01,187.67,190.25,185.94,189.17,926514.0,189.17
2018-01-31,188.9,191.21,187.32,188.0,1461669.0,188.0
2018-01-30,189.22,189.24,185.4575,187.25,1422025.0,187.25
2018-01-29,192.05,194.18,190.07,190.81,1213686.0,190.81
2018-01-26,190.28,192.53,189.11,192.5,1043840.0,192.5
2018-01-25,189.98,189.98,186.65,189.4,1371535.0,189.4
2018-01-24,189.22,191.02,188.06,188.35,1341818.0,188.35
2018-01-23,189.99,190.34,188.02,188.43,992629.0,188.43
2018-01-22,188.8,189.6,187.6025,189.58,1175707.0,189.58
2018-01-19,187.16,189.57,186.67,189.08,1807437.0,189.08
2018-01-18,183.37,185.275,183.3,183.72,788411.0,183.72
2018-01-17,182.74,184.3395,182.4,183.69,996019.0,183.69
2018-01-16,184.81,184.905,181.39,182.55,1449232.0,182.55
2018-01-12,183.89,185.1,183.5,184.18,1469180.0,184.18
2018-01-11,181.24,184.51,180.65,183.9,1216913.0,183.9
2018-01-10,181.86,182.18,180.07,180.56,910783.0,180.56
2018-01-09,182.48,183.34,181.66,181.96,1568694.0,181.96
2018-01-08,181.13,182.38,180.26,182.12,1435013.0,182.12
2018-01-05,182.02,182.3,180.11,181.46,1068192.0,181.46
2018-01-04,179.62,181.85,179.23,181.75,1407514.0,181.75
2018-01-03,177.34,179.2,176.87,179.01,932586.0,179.01
2018-01-02,177.51,178.22,176.3,177.06,1039410.0,177.06
2017-12-29,177.73,177.92,176.5,176.64,551873.0,176.64
2017-12-28,176.24,177.29,175.69,177.2,678180.0,177.2
2017-12-27,176.5,177.31,175.6336,176.24,648265.0,176.24
2017-12-26,175.95,176.63,175.65,176.14,383426.0,176.14
2017-12-22,174.985,176.17,174.37,175.76,504352.0,175.76
2017-12-21,174.87,175.1359,172.56,174.66,1063126.0,174.66
2017-12-20,174.45,175.66,173.41,175.15,1001600.0,175.15
2017-12-19,173.04,174.38,172.34,174.0,1162513.0,174.0
2017-12-18,170.91,173.4597,170.49,172.04,1182733.0,172.04
2017-12-15,169.64,171.0,169.01,169.63,1465265.0,169.63
2017-12-14,169.93,170.5,168.1,168.55,1132978.0,168.55
2017-12-13,169.0,170.88,168.21,169.58,1182594.0,169.58
2017-12-12,170.91,171.015,168.94,169.22,1854177.0,169.22
2017-12-11,170.95,171.56,170.05,170.77,1118714.0,170.77
2017-12-08,169.38,170.88,169.1,170.88,1062052.0,170.88
2017-12-07,166.09,169.82,166.0,169.3,1883124.0,169.3
2017-12-06,164.92,166.38,164.08,165.38,1327183.0,165.38
2017-12-05,164.65,166.22,164.31,164.84,1110248.0,164.84
2017-12-04,166.16,168.45,164.96,164.96,1584971.0,164.96
2017-12-01,166.73,167.09,161.25,165.01,1912255.0,165.01
2017-11-30,165.03,167.75,165.0,167.4,1860814.0,167.4
2017-11-29,164.5,165.22,163.02,164.52,1361561.0,164.52
2017-11-28,162.53,164.98,161.78,164.52,1470354.0,164.52
2017-11-27,160.66,162.1,160.65,161.16,1099944.0,161.16
2017-11-24,163.46,163.8525,160.07,160.66,942424.0,160.66
2017-11-22,161.45,163.95,161.13,163.39,1802995.0,163.39
2017-11-21,161.2,161.66,160.06,160.64,1521774.0,160.64
2017-11-20,160.47,161.62,159.17,159.8,2482090.0,159.8
2017-11-17,163.0,163.96,158.75,159.41,3518103.0,159.41
2017-11-16,167.43,168.69,165.76,167.13,2264224.0,167.13
2017-11-15,168.63,168.8,166.15,166.84,1741015.0,166.84
2017-11-14,168.83,170.4,168.67,169.12,1430963.0,169.12
2017-11-13,168.75,169.9084,168.1183,169.2,1594776.0,169.2
2017-11-10,167.29,169.08,166.8,168.95,1265872.0,168.95
2017-11-09,170.55,170.735,166.51,167.96,1852448.0,167.96
2017-11-07,172.6,173.22,171.555,171.86,1087307.0,171.86
2017-11-06,173.25,173.6499,172.57,172.59,844516.0,172.59
2017-11-03,173.78,174.649,172.74,173.07,1463467.0,173.07
2017-11-02,173.01,173.305,171.04,173.29,2836582.0,173.29
2017-11-01,179.26,181.7901,172.57,172.83,2128564.0,172.83
2017-10-31,176.56,177.95,172.1102,176.88,2861821.0,176.88
2017-10-30,178.82,180.856,178.52,180.35,1699750.0,180.35
2017-10-27,178.23,179.53,177.39,179.5,1001869.0,179.5
2017-10-26,177.4,179.265,176.85,178.64,782322.0,178.64
2017-10-25,177.97,178.34,175.74,177.01,870808.0,177.01
2017-10-24,178.9,180.32,177.45,178.4,1445526.0,178.4
2017-10-23,177.5,178.8067,176.88,177.23,1075538.0,177.23
2017-10-20,176.23,177.3,175.64,177.1,668924.0,177.1
2017-10-19,175.1,175.43,173.55,175.31,947458.0,175.31
2017-10-18,174.72,175.71,173.76,175.02,797141.0,175.02
2017-10-17,174.1,175.32,173.89,174.72,682304.0,174.72
2017-10-16,173.41,174.36,172.59,174.13,966553.0,174.13
2017-10-13,172.85,174.17,172.3845,172.62,709777.0,172.62
2017-10-12,171.0,172.76,170.95,171.91,619254.0,171.91
2017-10-11,172.96,172.96,171.7,172.33,657227.0,172.33
2017-10-10,172.8,173.15,171.37,172.96,819229.0,172.96
2017-10-09,172.52,172.74,171.37,171.74,687800.0,171.74
2017-10-06,171.62,172.51,170.92,172.11,902954.0,172.11
2017-10-05,171.46,172.1587,170.801,171.71,740639.0,171.71
2017-10-04,171.0,172.72,170.83,171.75,1166075.0,171.75
2017-10-03,169.37,170.87,169.35,170.82,1027557.0,170.82
2017-10-02,168.45,169.36,167.4,169.33,953129.0,169.33
2017-09-29,168.27,169.3,167.81,168.03,753586.0,168.03
2017-09-28,167.82,168.9,167.7052,168.33,731941.0,168.33
2017-09-27,168.69,169.01,167.01,168.35,763007.0,168.35
2017-09-26,168.2,169.28,167.65,167.8,774206.0,167.8
2017-09-25,168.08,168.4,165.785,167.78,983665.0,167.78
2017-09-22,166.89,168.66,166.7,167.98,922936.0,167.98
2017-09-21,166.63,167.03,165.87,166.48,985596.0,166.48
2017-09-20,167.35,168.5,166.5501,167.22,875992.0,167.22
2017-09-19,167.44,167.82,166.83,167.5,1108527.0,167.5
2017-09-18,165.83,168.38,165.31,166.94,1398579.0,166.94
2017-09-15,164.09,165.71,163.764,165.23,2309830.0,165.23
2017-09-14,166.16,167.42,165.8,166.68,965719.0,166.68
2017-09-13,164.71,166.76,164.71,166.51,855696.0,166.51
2017-09-12,165.0,166.079,164.67,165.51,855101.0,165.51
2017-09-11,161.58,164.97,161.57,164.67,1164660.0,164.67
2017-09-08,161.34,164.24,160.98,162.82,1007264.0,162.82
2017-09-07,160.08,162.1,159.2,161.85,1284386.0,161.85
2017-09-06,159.82,160.37,159.07,159.48,1354456.0,159.48
2017-09-05,159.41,160.6,158.42,159.07,1429587.0,159.07
2017-09-01,159.27,160.42,159.2,159.36,756299.0,159.36
2017-08-31,158.24,159.99,157.8984,159.38,1400906.0,159.38
2017-08-30,155.0,157.98,154.4824,157.79,1580076.0,157.79
2017-08-29,152.0,155.03,152.0,154.84,1550655.0,154.84
2017-08-28,152.91,153.11,152.51,152.71,699929.0,152.71
2017-08-25,152.29,153.03,151.74,152.1,808799.0,152.1
2017-08-24,152.51,152.769,150.89,151.8,1072926.0,151.8
2017-08-23,152.48,153.27,151.79,152.38,955986.0,152.38
2017-08-22,152.52,153.71,152.52,153.1,1219320.0,153.1
2017-08-21,151.0,152.5,150.63,152.06,1125693.0,152.06
2017-08-18,151.06,152.64,150.2479,150.79,1413319.0,150.79
2017-08-17,154.05,154.43,151.2,151.28,2143448.0,151.28
2017-08-16,155.25,155.5,154.11,154.38,1181219.0,154.38
2017-08-15,156.47,156.7,155.22,155.59,1305987.0,154.50909687378999
