Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,43.87,45.005,43.68,44.75,3162305.0,44.75
2018-03-26,43.4,43.84,43.31,43.82,2616360.0,43.82
2018-03-23,43.79,44.37,43.15,43.25,2474201.0,43.25
2018-03-22,43.76,44.74,43.76,43.95,3015792.0,43.95
2018-03-21,44.02,44.398999999999994,43.65,43.81,2250361.0,43.81
2018-03-20,44.0,44.21,43.81,43.99,2108007.0,43.99
2018-03-19,44.26,44.39,43.69,43.98,3059179.0,43.98
2018-03-16,43.83,44.41,43.68,44.28,9159618.0,44.28
2018-03-15,43.33,43.86,43.28,43.71,3315559.0,43.71
2018-03-14,43.07,43.48,43.01,43.32,1959147.0,43.32
2018-03-13,43.21,43.37,42.78,42.96,1804962.0,42.96
2018-03-12,42.93,43.22,42.86,43.09,2701327.0,43.09
2018-03-09,42.57,42.87,42.51,42.86,2102243.0,42.86
2018-03-08,42.5,42.73,42.425,42.56,2103349.0,42.56
2018-03-07,42.66,42.81,42.26,42.49,2384893.0,42.49
2018-03-06,43.23,43.23,42.505,42.69,2587364.0,42.69
2018-03-05,42.58,43.445,42.45,43.29,3345227.0,43.29
2018-03-02,42.38,42.82,42.22,42.59,4251277.0,42.59
2018-03-01,42.49,43.01,41.98,42.36,3146565.0,42.36
2018-02-28,42.8,42.95,42.45,42.45,3257073.0,42.45
2018-02-27,43.95,43.95,42.75,42.75,3161375.0,42.75
2018-02-26,44.23,44.32,43.65,43.77,2983549.0,43.77
2018-02-23,43.08,43.88,43.0,43.86,3664178.0,43.86
2018-02-22,43.14,43.4,42.86,43.01,2315547.0,43.01
2018-02-21,43.39,43.96,43.0,43.02,3739199.0,43.02
2018-02-20,44.08,44.3686,43.24,43.36,2087519.0,43.36
2018-02-16,43.8,44.38,43.62,44.2,2919068.0,44.2
2018-02-15,42.87,43.77,42.68,43.74,3668741.0,43.74
2018-02-14,42.92,43.31,42.37,42.9,4997599.0,42.9
2018-02-13,42.72,43.21,42.36,43.05,3039037.0,43.05
2018-02-12,42.84,43.13,42.42,42.88,2638592.0,42.88
2018-02-09,41.86,43.12,40.48,42.79,5893354.0,42.79
2018-02-08,42.01,42.65,41.71,41.77,5545028.0,41.77
2018-02-07,42.18,42.75,42.07,42.16,3428170.0,42.16
2018-02-06,42.31,42.48,41.07,42.16,5288141.0,42.16
2018-02-05,43.28,43.8,42.68,42.73,4592595.0,42.73
2018-02-02,43.93,44.3,43.47,43.48,4426664.0,43.48
2018-02-01,44.71,44.98,44.07,44.16,3791355.0,44.16
2018-01-31,44.37,44.83,44.13,44.75,3692664.0,44.75
2018-01-30,44.22,44.45,43.97,44.32,2052358.0,44.32
2018-01-29,44.67,44.7,44.04,44.1,2539721.0,44.1
2018-01-26,45.05,45.09,44.29,44.79,4416237.0,44.79
2018-01-25,44.26,45.08,44.2201,45.0,2193645.0,45.0
2018-01-24,44.36,44.48,44.21,44.26,1418152.0,44.26
2018-01-23,44.21,44.79,44.13,44.46,2006400.0,44.46
2018-01-22,44.33,44.58,44.01,44.16,2078899.0,44.16
2018-01-19,44.2,44.52,43.91,44.05,1919241.0,44.05
2018-01-18,44.39,44.55,43.74,44.1,2852067.0,44.1
2018-01-17,44.38,44.69,44.23,44.55,1899670.0,44.55
2018-01-16,44.15,44.66,43.96,44.26,3555418.0,44.26
2018-01-12,44.4,44.52,43.97,44.01,3402055.0,44.01
2018-01-11,44.98,45.15,44.27,44.39,2816613.0,44.39
2018-01-10,45.56,45.56,44.92,44.98,2244671.0,44.98
2018-01-09,46.24,46.36,45.66,45.71,2035881.0,45.71
2018-01-08,45.9,46.37,45.76,46.34,2250898.0,46.34
2018-01-05,46.23,46.33,45.67,45.81,2597651.0,45.81
2018-01-04,46.56,46.76,46.06,46.14,1706459.0,46.14
2018-01-03,46.77,47.23,46.585,46.66,1931130.0,46.66
2018-01-02,47.39,47.43,46.86,46.95,1689295.0,46.95
2017-12-29,47.42,47.58,47.225,47.3,1429907.0,47.3
2017-12-28,47.34,47.425,47.06,47.39,1049877.0,47.39
2017-12-27,46.97,47.21,46.8,47.21,1336694.0,47.21
2017-12-26,47.29,47.441,46.8,46.81,908781.0,46.81
2017-12-22,47.42,47.46,47.255,47.35,1375955.0,47.35
2017-12-21,46.965,47.44,46.76,47.26,2469854.0,47.26
2017-12-20,47.71,47.76,47.09,47.16,2392458.0,47.16
2017-12-19,48.64,48.71,47.7,47.72,2546221.0,47.72
2017-12-18,49.255,49.44,48.57,48.65,1616003.0,48.65
2017-12-15,49.245,49.43,49.035,49.25,2409060.0,49.25
2017-12-14,48.92,49.38,48.74,49.07,1230979.0,49.07
2017-12-13,49.24,49.51,49.04,49.25,1530048.0,49.25
2017-12-12,50.0,50.15,49.16,49.17,1715603.0,49.17
2017-12-11,49.71,50.11,49.55,50.09,1980541.0,50.09
2017-12-08,49.51,49.91,49.34,49.87,2836549.0,49.87
2017-12-07,49.45,49.58,49.11,49.58,1917581.0,49.58
2017-12-06,49.45,49.56,49.19,49.41,1409456.0,49.41
2017-12-05,49.83,49.85,49.05,49.31,1982716.0,49.31
2017-12-04,49.91,50.01,49.575,49.76,1753397.0,49.76
2017-12-01,50.09,50.245,49.54,49.74,2304096.0,49.74
2017-11-30,49.68,50.045,49.11,49.9,3680547.0,49.9
2017-11-29,49.63,50.09,49.51,49.61,2235116.0,49.61
2017-11-28,49.76,49.98,49.64,49.7,1952540.0,49.7
2017-11-27,49.62,49.85,49.42,49.75,1568975.0,49.75
2017-11-24,49.51,49.71,49.44,49.44,435212.0,49.44
2017-11-22,49.42,49.54,49.255,49.4,1078608.0,49.4
2017-11-21,49.53,49.65,49.397,49.48,1427124.0,49.48
2017-11-20,49.62,49.76,49.35,49.41,1356232.0,49.41
2017-11-17,50.04,50.26,49.52,49.59,1626355.0,49.59
2017-11-16,50.1,50.3,50.0,50.17,1349467.0,50.17
2017-11-15,50.62,50.85,50.2,50.22,2031455.0,50.22
2017-11-14,49.59,50.71,49.59,50.55,3279286.0,50.55
2017-11-13,49.35,49.85,49.29,49.63,1848057.0,49.63
2017-11-10,49.02,49.35,48.91,49.27,2010434.0,49.27
2017-11-09,49.0,49.41,48.88,49.28,2340251.0,49.28
2017-11-07,48.14,48.93,47.84,48.91,2159183.0,48.91
2017-11-06,48.19,48.43,47.99,48.05,1883745.0,48.05
2017-11-03,48.06,48.535,48.0198,48.13,2281146.0,48.13
2017-11-02,47.83,48.25,47.76,48.12,2074369.0,48.12
2017-11-01,48.5,48.69,47.89,48.07,2056920.0,47.739632220915006
2017-10-31,47.71,48.44,47.71,48.37,2749243.0,48.037570429076005
2017-10-30,48.14,48.29,47.73,47.8,3372025.0,47.471487833571
2017-10-27,47.94,48.37,47.77,48.2,1689908.0,47.868738777785
2017-10-26,48.44,48.92,47.9,47.94,2219766.0,47.610525664046
2017-10-25,48.2,48.31,47.54,47.97,2339142.0,47.640319484862005
2017-10-24,48.45,48.47,48.09,48.42,1575273.0,48.087226797102005
2017-10-23,48.28,48.32,48.02,48.21,1361172.0,47.878670051389996
2017-10-20,48.13,48.28,47.955,48.18,1204322.0,47.848876230574
2017-10-19,47.88,48.21,47.74,48.19,1530909.0,47.858807504179
2017-10-18,47.66,47.845,47.44,47.81,2042189.0,47.481419107176
2017-10-17,47.27,47.835,47.2,47.81,1328285.0,47.481419107176
2017-10-16,47.44,47.64,47.19,47.41,1138437.0,47.084168162962
2017-10-13,47.84,48.08,47.43,47.54,1108806.0,47.213274719832
2017-10-12,47.39,47.72,47.386,47.72,1490184.0,47.392037644728
2017-10-11,47.0,47.49,46.97,47.35,2544532.0,47.024580521329995
2017-10-10,46.55,47.02,46.39,47.0,2631731.0,46.676985945143
2017-10-09,46.42,46.62,46.31,46.48,1057798.0,46.160559717665
2017-10-06,46.36,46.5,46.15,46.3,2509134.0,45.981796792768
2017-10-05,46.53,46.59,46.15,46.53,2692620.0,46.210216085691
2017-10-04,46.0,46.5,45.82,46.49,2028079.0,46.17049099127
2017-10-03,46.38,46.38,45.87,45.97,1925311.0,45.654064763792
2017-10-02,46.42,46.57,46.1,46.42,1455037.0,46.100972076032
2017-09-29,46.36,46.51,46.185,46.32,1496650.0,46.001659339979
2017-09-28,46.13,46.46,45.925,46.35,1221609.0,46.031453160795
2017-09-27,46.68,46.78,45.92,46.23,1455583.0,45.912277877531004
2017-09-26,46.98,47.055,46.665,46.94,1786447.0,46.617398303511
2017-09-25,46.43,47.1,46.36,47.1,2310730.0,46.776298681196
2017-09-22,47.3,47.3,46.27,46.47,2771103.0,46.150628444059
2017-09-21,46.92,47.365,46.92,47.06,1356300.0,46.736573586774995
2017-09-20,47.5,47.63,47.0,47.07,4311771.0,46.74650486038
2017-09-19,47.68,47.72,47.37,47.39,2297279.0,47.064305615750996
2017-09-18,47.86,47.96,47.25,47.63,2201397.0,47.302656182279996
2017-09-15,47.77,47.91,47.49,47.87,3241174.0,47.541006748808
2017-09-14,47.41,47.9,47.27,47.89,2518313.0,47.560869296019
2017-09-13,48.0,48.08,47.49,47.5,2639235.0,47.17354962541
2017-09-12,49.06,49.09,47.94,48.08,1623094.0,47.74956349452
2017-09-11,48.62,49.11,48.54,49.1,1290643.0,48.76255340226599
2017-09-08,48.43,48.78,48.31,48.66,1525888.0,48.325577363631
2017-09-07,48.29,48.53,48.18,48.46,1066448.0,48.126951891524
2017-09-06,48.52,48.52,48.04,48.18,989772.0,47.848876230574
2017-09-05,48.5,48.5,48.18,48.43,1158740.0,48.097158070708
2017-09-01,48.63,48.66,48.32,48.42,1003957.0,48.087226797102005
2017-08-31,48.61,48.7,48.5,48.54,1579203.0,48.206402080367
2017-08-30,48.67,48.765,48.51,48.57,884707.0,48.236195901183
2017-08-29,48.75,48.91,48.59,48.74,903000.0,48.405027552474
2017-08-28,48.57,48.7,48.41,48.63,1179870.0,48.295783542815
2017-08-25,48.48,48.75,48.4,48.5,1424529.0,48.166676985944996
2017-08-24,48.57,48.64,48.33,48.34,1155748.0,48.00777660826
2017-08-23,48.28,48.59,48.14,48.58,906426.0,48.246127174788
2017-08-22,48.25,48.33,48.09,48.26,1410819.0,47.928326419417
2017-08-21,48.23,48.38,48.12,48.28,942342.0,47.948188966626994
2017-08-18,47.85,48.495,47.61,48.21,3353461.0,47.878670051389996
2017-08-17,48.01,48.13,47.765,47.84,1686269.0,47.511212927992
2017-08-16,47.86,48.02,47.7,48.01,1050672.0,47.680044579283
2017-08-15,47.31,47.79,47.175,47.76,862310.0,47.431762739149
2017-08-14,47.36,47.55,47.305,47.46,1360109.0,47.133824530988996
2017-08-11,47.5,47.55,47.11,47.31,1193755.0,46.984855426909
2017-08-10,47.34,47.55,47.09,47.48,1360776.0,47.153687078199
2017-08-09,47.56,47.56,47.29,47.38,1989492.0,47.054374342146
2017-08-08,47.09,47.42,47.075,47.42,1374711.0,47.094099436567
2017-08-07,47.04,47.19,46.89,47.19,1147836.0,46.865680143644
2017-08-04,46.87,47.08,46.65,47.03,2044895.0,46.706779765959
2017-08-03,46.51,47.065,46.5,47.02,1537639.0,46.696848492353
2017-08-02,46.27,46.65,45.98,46.64,1454947.0,46.319460095349996
2017-08-01,46.28,46.75,46.26,46.64,3845093.0,45.991093156646
2017-07-31,46.3,46.42,46.16,46.24,1940609.0,45.59665839544001
2017-07-28,46.75,46.93,46.06,46.3,3411976.0,45.655823609621
2017-07-27,46.46,46.89,46.4407,46.89,1570049.0,46.237614882399996
2017-07-26,46.15,46.56,46.0571,46.53,1700956.0,45.882623597313994
2017-07-25,46.39,46.51,46.09,46.16,1860779.0,45.517771443198
2017-07-24,46.8,47.02,46.39,46.39,2353787.0,45.744571430892
2017-07-21,46.56,46.79,46.33,46.75,1813953.0,46.099562715978
2017-07-20,46.4,46.7,46.25,46.59,2036470.0,45.941788811495
2017-07-19,46.2,46.24,45.92,46.24,1499028.0,45.59665839544001
2017-07-18,46.12,46.22,45.91,46.1,2002963.0,45.458606229018
2017-07-17,45.89,46.0,45.73,46.0,1305350.0,45.359997538716
2017-07-14,45.87,46.09,45.86,45.9,1872147.0,45.261388848414
2017-07-13,46.01,46.01,45.68,45.7,2559571.0,45.064171467811
2017-07-12,45.99,46.07,45.81,46.04,2418449.0,45.399441014836995
2017-07-11,45.68,45.71,45.34,45.57,1117718.0,44.93598017041899
2017-07-10,45.82,45.98,45.59,45.59,1118358.0,44.955701908479995
2017-07-07,45.76,46.0,45.66,45.75,962627.0,45.113475812962
2017-07-06,45.7,45.81,45.55,45.7,1404549.0,45.064171467811
2017-07-05,46.11,46.46,45.57,45.81,1657055.0,45.172641027143
2017-07-03,46.32,46.46,46.0,46.0,1065372.0,45.359997538716
2017-06-30,46.45,46.65,46.25,46.25,1672572.0,45.60651926447
2017-06-29,46.22,46.49,46.02,46.33,2612962.0,45.685406216710994
2017-06-28,47.21,47.21,46.53,46.6,1515495.0,45.951649680524994
2017-06-27,47.29,47.4,46.8299,47.02,1224475.0,46.365806179792
2017-06-26,47.31,47.81,47.14,47.56,1133445.0,46.89829310742
2017-06-23,47.59,47.745,47.25,47.31,1234541.0,46.651771381666
2017-06-22,47.68,47.93,47.57,47.62,1269335.0,46.957458321601
2017-06-21,48.06,48.06,47.465,47.71,1294559.0,47.046206142873004
2017-06-20,48.01,48.12,47.88,48.02,1268483.0,47.351893082806995
2017-06-19,48.28,48.31,47.765,47.96,1626236.0,47.292727868626
2017-06-16,48.19,48.37,48.08,48.25,2646745.0,47.578693070501004
2017-06-15,47.62,48.085,47.47,48.08,1400407.0,47.411058296988
2017-06-14,47.7,47.865,47.53,47.74,2921597.0,47.075788749962996
2017-06-13,46.97,47.28,46.87,47.27,1860388.0,46.612327905545996
2017-06-12,47.03,47.16,46.54,47.02,2375119.0,46.365806179792
2017-06-09,46.79,47.01,46.62,46.98,1933118.0,46.326362703670995
2017-06-08,47.43,47.43,46.62,46.92,1927528.0,46.26719748949
2017-06-07,47.39,47.64,47.26,47.52,1507871.0,46.858849631300004
2017-06-06,47.46,47.46,47.205,47.32,2262643.0,46.661632250697004
2017-06-05,47.7,47.79,47.215,47.32,2299416.0,46.661632250697004
2017-06-02,47.95,47.95,47.48,47.79,1847978.0,47.125093095114
2017-06-01,47.4,47.68,47.14,47.68,1873941.0,47.016623535782
2017-05-31,47.46,47.695,47.35,47.41,3880678.0,46.750380071968
2017-05-30,47.39,47.61,47.2501,47.48,2108132.0,46.819406155179
2017-05-26,47.34,47.5,47.24,47.41,1319542.0,46.750380071968
2017-05-25,46.81,47.435,46.72,47.41,1630904.0,46.750380071968
2017-05-24,46.66,46.85,46.58,46.82,2672869.0,46.168588799188996
2017-05-23,46.48,46.94,46.46,46.67,1864667.0,46.020675763736
2017-05-22,45.87,46.52,45.87,46.47,2185648.0,45.823458383133
2017-05-19,45.77,46.08,45.38,46.05,2082069.0,45.409301883866995
2017-05-18,45.63,45.96,45.33,45.75,2111033.0,45.113475812962
2017-05-17,45.43,45.76,45.24,45.56,2275175.0,44.926119301389
2017-05-16,45.56,45.69,45.25,45.31,1309823.0,44.67959757563501
2017-05-15,45.49,45.77,45.47,45.71,1050414.0,45.074032336841
2017-05-12,45.27,45.62,45.17,45.54,1593571.0,44.906397563329
2017-05-11,45.06,45.25,44.8239,45.2,1155069.0,44.571128016303994
2017-05-10,44.93,45.275,44.86,45.18,1847268.0,44.551406278243
2017-05-09,45.42,45.44,44.865,44.9,1639756.0,44.275301945399
2017-05-08,45.55,45.55,45.135,45.48,1360963.0,44.847232349147994
2017-05-05,45.09,45.58,45.09,45.44,1433730.0,44.807788873027
2017-05-04,44.77,45.18,44.745,45.13,1520866.0,44.502101933092
2017-05-03,45.09,45.25,44.75,44.98,2287109.0,44.35418889764
2017-05-02,45.29,45.49,45.11,45.32,2015720.0,44.361040779490004
2017-05-01,45.74,45.94,44.875,45.15,1891320.0,44.194637934554
2017-04-28,45.42,45.58,45.255,45.4,1731920.0,44.439348000637
2017-04-27,45.41,45.85,45.41,45.49,1282023.0,44.527443624427
2017-04-26,45.43,45.75,45.29,45.36,1249486.0,44.400194390064
2017-04-25,45.3,45.56,45.21,45.51,1158965.0,44.547020429713
2017-04-24,45.23,45.525,44.925,45.47,1725039.0,44.507866819140006
2017-04-21,44.82,45.3,44.81,45.19,1848454.0,44.233791545127
2017-04-20,45.07,45.07,44.52,44.82,2972215.0,43.871620647325
2017-04-19,45.6,45.71,44.985,45.14,2974779.0,44.184849531911
2017-04-18,45.56,45.76,45.44,45.69,1434786.0,44.723211677292994
2017-04-17,45.41,45.55,45.31,45.55,1368318.0,44.586174040287
2017-04-13,45.52,45.56,45.06,45.21,2159757.0,44.253368350414
2017-04-12,45.22,45.77,45.02,45.55,3647011.0,44.586174040287
2017-04-11,45.16,45.39,44.95,45.3,1757266.0,44.341463974204
2017-04-10,44.95,45.28,44.74,45.24,1523564.0,44.282733558344
2017-04-07,45.27,45.345,44.93,44.95,1974931.0,43.998869881688
2017-04-06,45.11,45.22,44.92,45.1,1816338.0,44.145695921337996
2017-04-05,44.9,45.3,44.82,45.26,2054604.0,44.302310363631
2017-04-04,44.82,45.1,44.69,44.91,1022548.0,43.959716271115
2017-04-03,44.76,44.84,44.36,44.83,1477284.0,43.881409049968006
2017-03-31,44.63,44.91,44.58,44.74,1735200.0,43.793313426177995
2017-03-30,44.7,44.72,44.42,44.63,1549872.0,43.685640997102006
2017-03-29,45.01,45.07,44.75,44.82,1581120.0,43.871620647325
2017-03-28,45.09,45.21,44.85,45.16,1943373.0,44.204426337197
2017-03-27,45.48,45.5465,44.935,45.1,1344849.0,44.145695921337996
2017-03-24,45.12,45.4314,44.97,45.28,1797210.0,44.321887168916994
2017-03-23,45.07,45.49,44.98,45.1,2001603.0,44.145695921337996
2017-03-22,45.22,45.55,45.07,45.19,1985084.0,44.233791545127
2017-03-21,44.19,45.14,44.19,45.01,1841440.0,44.057600297548
