Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,26.86,27.465,26.76,27.09,6439087.0,27.09
2018-03-26,26.65,26.92,26.43,26.84,4114078.0,26.84
2018-03-23,26.84,27.14,26.44,26.5,4625072.0,26.5
2018-03-22,26.53,27.0,26.4,26.73,6914202.0,26.73
2018-03-21,26.8,27.28,26.705,26.84,6477670.0,26.84
2018-03-20,26.93,26.99,26.595,26.81,7609850.0,26.81
2018-03-19,27.16,27.18,26.78,26.95,4717851.0,26.95
2018-03-16,26.89,27.26,26.855,27.15,13624386.0,27.15
2018-03-15,27.13,27.43,26.47,26.92,8587016.0,26.92
2018-03-14,27.39,27.5499,26.77,27.05,8892177.0,27.05
2018-03-13,27.48,27.59,27.26,27.31,3486783.0,27.31
2018-03-12,27.16,27.44,27.14,27.43,4251875.0,27.43
2018-03-09,27.19,27.19,26.95,27.13,3898803.0,27.13
2018-03-08,26.85,27.11,26.8,27.09,3996474.0,27.09
2018-03-07,26.73,26.81,26.53,26.71,3239947.0,26.71
2018-03-06,27.13,27.14,26.64,26.77,3544391.0,26.77
2018-03-05,26.67,27.24,26.58,27.15,4651047.0,27.15
2018-03-02,26.73,27.02,26.465,26.69,3971579.0,26.69
2018-03-01,27.05,27.32,26.64,26.72,5152536.0,26.72
2018-02-28,27.33,27.405,27.02,27.05,4845542.0,27.05
2018-02-27,27.85,27.88,27.23,27.25,3847771.0,27.25
2018-02-26,27.78,27.87,27.67,27.79,3513589.0,27.79
2018-02-23,27.09,27.76,26.96,27.73,3953745.0,27.73
2018-02-22,27.14,27.52,26.44,27.0,5520527.0,27.0
2018-02-21,26.78,26.82,26.22,26.23,3772225.0,26.23
2018-02-20,26.81,27.0,26.645,26.73,3629760.0,26.73
2018-02-16,26.69,26.99,26.64,26.91,3042858.0,26.91
2018-02-15,26.26,26.76,26.2,26.76,3154959.0,26.76
2018-02-14,26.36,26.48,26.12,26.19,2975446.0,26.19
2018-02-13,26.65,26.88,26.415,26.77,3316573.0,26.77
2018-02-12,26.54,26.89,26.335,26.73,2699964.0,26.73
2018-02-09,25.92,26.72,25.88,26.5,4151420.0,26.5
2018-02-08,26.32,26.525,25.84,25.85,5390550.0,25.85
2018-02-07,26.31,26.84,26.25,26.36,4914385.0,26.36
2018-02-06,26.64,26.64,25.85,26.32,6671140.0,26.32
