Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,82.29,82.74,79.34,80.08,2994199.0,80.08
2018-03-26,80.66,81.87,79.65,81.63,3286618.0,81.63
2018-03-23,81.06,81.46,79.2,79.26,2912173.0,79.26
2018-03-22,82.51,83.0,80.66,80.97,5080977.0,80.97
2018-03-21,84.25,84.565,83.05,83.35,3606406.0,83.35
2018-03-20,84.03,84.69,83.91,84.31,3079020.0,84.31
2018-03-19,84.37,84.76,82.95,83.81,3077504.0,83.81
2018-03-16,84.8,85.0,84.23,84.6,3944318.0,84.6
2018-03-15,83.75,85.1,83.68,84.83,2946309.0,84.83
2018-03-14,84.01,84.62,83.45,83.63,2216625.0,83.63
2018-03-13,84.57,84.99,83.52,83.79,2253414.0,83.79
2018-03-12,84.62,84.92,83.8,84.07,4491658.0,84.07
2018-03-09,83.62,84.95,83.51,84.71,2905567.0,84.71
2018-03-08,83.65,83.68,82.655,83.22,3087971.0,83.22
2018-03-07,82.69,83.56,82.41,83.25,2706034.0,83.25
2018-03-06,82.83,83.27,82.01,83.07,2907927.0,83.07
2018-03-05,80.73,82.58,80.57,82.27,2532403.0,82.27
2018-03-02,79.92,81.42,79.52,81.28,3055243.0,81.28
2018-03-01,82.24,82.5,80.11,80.65,3738979.0,80.65
2018-02-28,82.98,83.55,81.86,82.02,2509926.0,82.02
2018-02-27,83.22,83.79,82.25,82.51,2873909.0,82.51
2018-02-26,83.31,83.34,82.27,82.97,2657511.0,82.97
2018-02-23,82.32,82.53,80.81,82.53,3444342.0,82.53
2018-02-22,82.25,82.57,81.37,81.61,3323962.0,81.61
2018-02-21,81.47,83.56,81.35,81.8,4540177.0,81.8
2018-02-20,80.69,82.18,80.61,81.54,3889088.0,81.54
2018-02-16,81.49,81.87,80.65,80.95,4510490.0,80.95
2018-02-15,80.29,81.37,79.33,81.37,3212807.0,81.37
2018-02-14,77.43,80.13,77.38,79.82,4625740.0,79.82
2018-02-13,76.9,78.3,76.66,78.11,4091504.0,78.11
2018-02-12,76.51,77.9,76.42,77.43,5594775.0,77.43
2018-02-09,75.84,76.82,74.06,76.22,5844559.0,76.22
2018-02-08,76.71,78.08,75.09,75.09,6100157.0,75.09
2018-02-07,76.63,79.28,76.5,76.52,6991076.0,76.52
2018-02-06,72.24,74.27,71.95,73.9,6342726.0,73.9
2018-02-05,75.65,76.59,73.48,73.82,3403056.0,73.82
2018-02-02,75.81,77.08,75.7,75.72,4939282.0,75.72
2018-02-01,77.91,78.44,77.09100000000001,77.5,3122678.0,77.5
2018-01-31,77.58,78.23,77.32,77.98,3187711.0,77.98
2018-01-30,78.17,78.74,77.515,77.76,2767122.0,77.76
2018-01-29,78.05,78.4188,77.78,78.15,2672286.0,78.15
2018-01-26,78.22,78.53,77.68,78.4,2353710.0,78.4
2018-01-25,78.72,78.83,77.72,77.95,2683441.0,77.95
2018-01-24,78.54,78.95,78.11,78.45,3510360.0,78.45
2018-01-23,77.64,78.78,77.5466,78.26,2626803.0,78.26
2018-01-22,77.39,78.34,77.19,77.96,3678600.0,77.96
2018-01-19,76.99,77.38,76.78,77.29,3079223.0,77.29
2018-01-18,77.0,77.14,76.11,76.75,4063701.0,76.75
2018-01-17,75.15,76.03,75.095,75.84,3939154.0,75.84
2018-01-16,75.45,75.78,74.4203,74.73,3264386.0,74.73
2018-01-12,74.1,74.85,73.89,74.56,3757655.0,74.56
2018-01-11,73.98,74.2,73.62,74.01,3737922.0,74.01
2018-01-10,73.24,74.02,73.2,73.97,3156034.0,73.97
2018-01-09,73.2,73.63,73.2,73.46,3014775.0,73.46
2018-01-08,73.16,73.66,73.01,73.37,2155295.0,73.37
2018-01-05,73.11,73.59,72.76,73.3,2743680.0,73.3
2018-01-04,71.95,72.97,71.86,72.68,3389884.0,72.68
2018-01-03,71.18,71.765,70.9,71.55,4256228.0,71.55
2018-01-02,71.16,71.33,70.54,70.95,2972072.0,70.95
2017-12-29,71.38,71.71,71.01,71.02,2165357.0,71.02
2017-12-28,71.27,71.53,70.95,71.39,1890653.0,71.39
2017-12-27,71.63,71.63,71.081,71.2,2544218.0,71.2
2017-12-26,71.56,71.92,71.12,71.24,2035595.0,71.24
2017-12-22,72.35,72.44,71.5,71.7,5807992.0,71.7
2017-12-21,73.44,73.86,72.32,72.4,4682767.0,72.4
2017-12-20,72.535,72.77,71.95,72.71,3278522.0,72.71
2017-12-19,71.8,72.44,71.37,71.93,2639861.0,71.93
2017-12-18,72.37,72.47,71.72,71.87,2931043.0,71.87
2017-12-15,72.05,72.3,71.07,72.08,7368557.0,72.08
2017-12-14,71.65,72.79,71.65,71.81,4558471.0,71.81
2017-12-13,71.8,72.12,71.06,71.19,2809032.0,71.19
2017-12-12,71.49,72.03,70.94,71.45,4321548.0,71.45
2017-12-11,71.65,72.04,71.25,71.56,2186572.0,71.56
2017-12-08,72.04,72.8264,71.49,71.82,3261723.0,71.82
2017-12-07,71.36,71.79,70.01,71.61,5531503.0,71.61
2017-12-06,70.16,71.62,69.94,71.5,4674782.0,71.5
2017-12-05,70.06,71.31,69.69,70.43,3236708.0,70.43
2017-12-04,71.65,71.86,70.32,70.32,4453058.0,70.32
2017-12-01,71.91,72.41,70.76,71.36,4746102.0,71.36
2017-11-30,71.45,72.78,71.45,72.28,3764886.0,72.28
2017-11-29,72.99,72.99,71.96,72.11,3078128.0,72.11
2017-11-28,72.53,73.23,72.38,72.87,3229444.0,72.87
2017-11-27,72.23,72.61,72.001,72.4,3882102.0,72.4
2017-11-24,71.93,72.37,71.53,72.27,1827562.0,72.27
2017-11-22,71.92,72.0599,71.48,71.71,2403971.0,71.71
2017-11-21,72.78,72.89,71.49,71.77,4218480.0,71.77
2017-11-20,72.74,72.91,71.57,71.9,5750694.0,71.9
2017-11-17,75.07,75.16,72.88,72.91,4370631.0,72.91
2017-11-16,74.4,75.77,74.39,75.38,3361445.0,75.225236791678
2017-11-15,74.94,75.11,73.97,74.09,3219596.0,73.937885299754
2017-11-14,73.84,75.19,73.78,74.97,2229669.0,74.816078565563
2017-11-13,74.0,74.66,73.81,74.56,1742936.0,74.406920339447
2017-11-10,73.59,74.44,73.42,74.26,2586631.0,74.107536271558
2017-11-09,73.86,74.24,73.5,73.94,1952741.0,73.788193265809
2017-11-07,74.81,75.06,74.53,74.65,2848322.0,74.496735559814
2017-11-06,74.11,75.29,74.0,74.78,3155636.0,74.626468655899
2017-11-03,74.33,74.725,73.77,74.27,3736365.0,74.11751574048701
2017-11-02,74.14,75.11,73.73,74.36,4372815.0,74.207330960854
2017-11-01,74.64,75.0,70.53,73.54,9918700.0,73.38901450862299
2017-10-31,75.73,76.51,75.36,75.67,6004569.0,75.514641390638
2017-10-30,75.32,75.62,74.75,75.51,4117564.0,75.354969887763
2017-10-27,74.71,75.5,74.0,75.39,3174912.0,75.235216260608
2017-10-26,75.31,75.51,74.54,74.5703,3364121.0,74.417199192445
2017-10-25,74.43,74.75,74.1,74.25,2262741.0,74.097556802628
2017-10-24,74.32,74.7,74.15,74.68,3079712.0,74.526673966603
2017-10-23,74.98,75.0,74.3,74.4,2640997.0,74.247248836573
2017-10-20,74.5,74.82,74.19,74.8,2863676.0,74.646427593759
2017-10-19,73.61,74.47,73.42,74.27,1599719.0,74.11751574048701
2017-10-18,74.0,74.33,73.64,73.94,2024589.0,73.788193265809
2017-10-17,74.12,74.13,73.6,73.97,1378556.0,73.818131672598
2017-10-16,74.44,74.51,73.79,74.17,1204734.0,74.01772105119099
2017-10-13,74.61,74.77,74.23,74.38,1400632.0,74.227289898713
2017-10-12,73.74,74.47,73.74,74.09,2615632.0,73.937885299754
2017-10-11,73.89,74.01,73.15,73.6,2446447.0,73.448891322201
2017-10-10,73.62,74.1,73.62,74.0,2055692.0,73.848070079387
2017-10-09,73.91,73.91,73.2,73.65,1917171.0,73.49878866684901
2017-10-06,73.0,73.83,73.0,73.8,2173136.0,73.648480700794
2017-10-05,73.06,73.23,72.625,73.2,3085061.0,73.049712565015
2017-10-04,72.5,73.03,72.26,72.65,4437984.0,72.500841773884
