Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,61.73,61.87,60.14,60.6,7840978.0,60.6
2018-03-26,61.28,61.825,61.0499,61.6,7482877.0,61.6
2018-03-23,62.0,62.4515,60.78,60.86,6817682.0,60.86
2018-03-22,62.06,63.26,61.74,61.79,8279650.0,61.79
2018-03-21,62.96,63.24,62.4,62.42,7496783.0,62.42
2018-03-20,63.97,64.09,61.87,62.94,9632162.0,62.94
2018-03-19,65.72,65.88,63.31,63.63,8692280.0,63.63
2018-03-16,66.09,66.45,65.65,65.65,14255487.0,65.65
2018-03-15,67.23,67.58,65.66,65.86,9473608.0,65.86
2018-03-14,68.31,68.5,66.63,67.05,7400218.0,67.05
2018-03-13,69.27,69.33,68.08,68.25,7097226.0,68.25
2018-03-12,69.27,69.56,68.7701,69.01,4748876.0,69.01
2018-03-09,68.77,69.37,68.23,69.27,5789452.0,69.27
2018-03-08,67.85,69.36,67.85,68.36,8279667.0,68.36
2018-03-07,66.96,67.89,66.54,67.51,6790081.0,67.51
2018-03-06,68.38,68.47,67.06,67.65,8834979.0,67.65
2018-03-05,67.5,68.6,66.99,68.31,7754206.0,68.31
2018-03-02,67.11,67.61,66.6276,67.46,10613869.0,67.46
2018-03-01,67.7,68.53,66.76,67.15,9556429.0,67.15
2018-02-28,68.37,68.69,67.61,67.73,10110177.0,67.73
2018-02-27,69.3,69.66,68.1184,68.25,7103107.0,68.25
2018-02-26,68.2,68.47,67.57,68.23,7425613.0,68.23
2018-02-23,68.51,68.78,67.425,68.16,5669336.0,68.16
2018-02-22,68.96,69.14,67.56,68.0,10034270.0,68.0
2018-02-21,70.59,70.8999,68.72,68.76,9656832.0,68.76
2018-02-20,71.25,71.45,69.7275,70.66,6396675.0,70.66
2018-02-16,70.37,72.21,70.32,71.9,6443769.0,71.9
2018-02-15,70.59,70.94,69.09,70.49,6765597.0,70.49
2018-02-14,69.66,70.22,69.56,69.79,6297826.0,69.79
2018-02-13,69.71,71.22,69.6,70.11,8790348.0,70.11
2018-02-12,70.09,70.64,69.5,69.87,8922866.0,69.87
2018-02-09,71.01,71.35,67.31,69.39,16694087.0,69.39
2018-02-08,74.0,75.34,70.5,70.55,11646445.0,70.55
2018-02-07,73.84,75.56,73.57,74.35,9377529.0,74.35
2018-02-06,72.5,74.645,71.77,74.02,11037013.0,74.02
2018-02-05,75.31,76.399,73.29,73.32,12107503.0,73.32
2018-02-02,78.36,78.54,75.58,76.45,10370537.0,76.45
2018-02-01,78.3,79.2042,77.6,78.79,9128552.0,78.79
2018-01-31,80.6,81.27,78.04,78.69,12381503.0,78.69
2018-01-30,78.49,80.94,78.18,80.19,16353923.0,80.19
2018-01-29,82.0,83.88,81.75,83.63,8261723.0,83.63
2018-01-26,81.64,82.01,80.92,82.01,5773056.0,82.01
2018-01-25,81.3,81.99,80.76,81.58,6352503.0,81.58
2018-01-24,80.76,81.19,80.35,80.92,7270193.0,80.92
2018-01-23,80.48,80.7,79.7,80.44,5729327.0,80.44
2018-01-22,80.09,80.98,79.93,80.95,6259947.0,80.95
2018-01-19,79.58,80.0399,79.11,79.86,7944833.0,79.86
2018-01-18,79.92,80.69,79.26,79.35,7870500.0,79.35
2018-01-17,79.6,79.97,78.93,79.5,7418408.0,79.5
2018-01-16,78.83,80.15,78.83,79.44,8391297.0,79.44
2018-01-12,78.92,79.68,78.51,78.78,7075419.0,78.78
2018-01-11,78.01,79.06,77.68,79.02,7146931.0,79.02
2018-01-10,77.16,77.63,76.6,77.44,8765115.0,77.44
2018-01-09,77.98,78.33,77.44,77.69,7762047.0,77.69
2018-01-08,78.32,78.78,77.15,77.77,9581927.0,77.77
2018-01-05,76.31,78.5586,76.14,78.45,14240985.0,78.45
2018-01-04,75.19,76.67,74.68,75.13,13695605.0,75.13
2018-01-03,73.73,73.9,73.06,73.2,6136065.0,73.2
2018-01-02,73.06,74.03,72.87,73.52,5697104.0,73.52
2017-12-29,72.96,73.1,72.44,72.5,4731237.0,72.5
2017-12-28,72.87,73.23,72.47,73.05,4187840.0,73.05
2017-12-27,73.81,73.9,72.65,72.76,5146826.0,72.76
2017-12-26,73.5,74.0,72.76,73.68,4797192.0,73.68
2017-12-22,74.71,74.715,73.3,73.41,5241297.0,73.41
2017-12-21,73.75,75.87,73.39,74.64,10454832.0,74.64
2017-12-20,72.855,74.18,72.61,73.56,9785335.0,73.56
2017-12-19,71.65,72.9757,71.6,72.31,11803270.0,72.31
2017-12-18,73.32,73.39,71.65,71.67,12633425.0,71.67
2017-12-15,71.14,73.68,70.76,73.08,13478260.0,73.08
2017-12-14,71.7,71.885,70.4699,70.8,7828671.0,70.8
2017-12-13,72.77,72.9,71.0,71.62,9851606.0,71.62
2017-12-12,72.9,73.19,72.17,72.85,7819824.0,72.85
2017-12-11,72.91,73.6,72.56,73.08,6356904.0,73.08
2017-12-08,71.58,73.8,70.8901,73.09,12393667.0,73.09
2017-12-07,71.13,71.33,69.52,71.09,12300205.0,71.09
2017-12-06,71.22,71.57,70.2,71.38,12141121.0,71.38
2017-12-05,71.92,72.15,70.5,71.01,14867449.0,71.01
2017-12-04,72.95,73.28,70.19,71.69,40175696.0,71.69
2017-12-01,75.62,76.59,73.63,75.12,10566187.0,75.12
2017-11-30,73.69,77.79,73.55,76.6,20016079.0,76.6
2017-11-29,72.76,74.68,72.75,73.4,6911215.0,73.4
2017-11-28,70.64,72.71,70.0,72.7,7194929.0,72.7
2017-11-27,70.62,70.94,70.21,70.4,6001489.0,70.4
2017-11-24,71.89,71.93,70.5,70.55,2992871.0,70.55
2017-11-22,71.39,72.07,71.2,71.48,5315374.0,71.48
2017-11-21,70.68,71.63,70.53,71.5,9470331.0,71.5
2017-11-20,70.58,71.0,69.77,70.38,8356260.0,70.38
2017-11-17,70.25,71.03,70.0,70.68,5177147.0,70.68
2017-11-16,70.1,71.05,69.55,70.26,6384469.0,70.26
2017-11-15,70.0,70.38,69.4,69.8,5284950.0,69.8
2017-11-14,71.15,71.44,69.91,70.44,5758401.0,70.44
2017-11-13,71.18,74.0,70.29,71.48,9850577.0,71.48
2017-11-10,69.63,71.51,69.19,70.99,10297023.0,70.99
2017-11-09,69.2,69.43,68.46,69.02,6986710.0,69.02
2017-11-07,66.86,69.42,66.68,68.95,12081114.0,68.95
2017-11-06,68.23,69.82,66.45,66.8,14175750.0,66.8
2017-11-03,69.3,69.67,68.12,69.25,9853397.0,69.25
2017-11-02,69.14,69.92,69.11,69.38,5371064.0,69.38
2017-11-01,68.82,69.525,68.19,69.0,8420077.0,69.0
2017-10-31,68.36,69.343,68.36,68.53,7116695.0,68.53
2017-10-30,68.77,69.66,68.01,68.45,10313148.0,68.45
2017-10-27,73.89,74.99,68.16,68.99,32434414.0,68.99
2017-10-26,75.79,76.47,70.78,73.31,21815174.0,73.31
2017-10-25,76.48,76.62,74.48,75.525,5658245.0,75.525
2017-10-24,76.17,76.43,75.4,76.01,4898630.0,76.01
2017-10-23,76.03,76.48,75.79,75.91,6983043.0,75.91
2017-10-20,74.98,76.5,74.52,76.49,9112183.0,75.98947650830999
2017-10-19,74.26,75.2,74.2,74.63,8015469.0,74.14164769009301
2017-10-18,72.88,74.56,72.28,74.1,10454251.0,73.615115822536
2017-10-17,72.41,72.905,72.12,72.63,5991005.0,72.154734982332
2017-10-16,72.5,73.4,72.12,72.44,5899769.0,71.965978275095
2017-10-13,74.11,74.2,72.52,72.6,6699703.0,72.12493129171601
2017-10-12,73.9,74.57,73.51,73.78,6136836.0,73.297209789295
2017-10-11,74.71,74.97,73.78,73.9,6987536.0,73.41642455176
2017-10-10,74.29,75.43,73.3,74.71,10698748.0,74.22112419840299
2017-10-09,77.05,77.22,73.76,74.3,13341932.0,73.813807093312
2017-10-06,80.39,80.47,76.535,76.92,11706459.0,76.416662740479
2017-10-05,80.1,80.945,80.05,80.9,6016944.0,80.370619028923
2017-10-04,80.9,80.96,79.93,80.07,4345331.0,79.546050255202
2017-10-03,80.52,81.31,80.52,80.91,6644294.0,80.380553592462
2017-10-02,81.35,81.61,80.6,80.77,4436391.0,80.241469702918
2017-09-29,81.39,81.68,80.81,81.32,4059397.0,80.78787069755299
2017-09-28,81.26,81.48,80.7301,81.26,3429846.0,80.72826331632
2017-09-27,81.72,82.0,80.8,81.47,3280791.0,80.93688915063501
2017-09-26,81.43,81.89,81.15,81.65,2778080.0,81.115711294333
2017-09-25,79.82,81.62,79.63,81.37,4931872.0,80.837543515247
2017-09-22,79.2,79.9,78.62,79.63,5969727.0,79.108929459495
2017-09-21,80.65,80.72,79.181,79.56,5141838.0,79.03938751472299
2017-09-20,83.2,83.76,80.16,80.7,9824260.0,80.171927758147
2017-09-19,83.75,84.0,82.9,83.1,4508262.0,82.55622300745999
2017-09-18,83.19,83.53,82.86,83.31,4177185.0,82.76484884177499
2017-09-15,82.21,83.36,81.48,83.17,7395941.0,82.625764952231
2017-09-14,82.88,83.06,82.37100000000001,82.64,4485615.0,82.09923308467499
2017-09-13,82.3,83.69,82.13,83.08,6746002.0,82.53635388038201
2017-09-12,80.0,82.79,79.83,82.43,8029118.0,81.89060725035999
2017-09-11,80.0,80.0,79.33,79.72,3724370.0,79.198340531344
2017-09-08,80.01,80.55,79.48,79.72,4232364.0,79.198340531344
2017-09-07,79.98,80.61,79.55,80.41,5494046.0,79.883825415522
2017-09-06,78.83,80.0,78.83,79.88,5060491.0,79.357293547965
2017-09-05,77.61,78.95,77.53,78.69,4469008.0,78.175080486847
2017-09-01,77.54,78.445,77.3,77.92,4653550.0,77.410119094359
2017-08-31,76.5,77.78,76.49,77.34,5464710.0,76.833914409109
2017-08-30,76.09,76.66,75.98,76.38,3571721.0,75.880196309384
2017-08-29,75.43,76.32,75.0,76.09,4505596.0,75.592093966758
2017-08-28,75.5,75.96,75.17,75.46,5031221.0,74.966216463814
2017-08-25,75.57,76.28,75.33,75.35,6405655.0,74.856936264887
2017-08-24,77.19,77.64,74.59,75.39,9480066.0,74.896674519042
2017-08-23,77.5,77.88,77.1,77.61,3312849.0,77.102147624656
2017-08-22,77.85,78.39,77.65,77.76,5380937.0,77.251166077739
2017-08-21,77.69,77.92,77.52,77.64,3563971.0,77.131951315273
2017-08-18,78.45,78.75,77.55,77.66,4328636.0,77.15182044235
2017-08-17,79.07,79.78,78.87,78.89,4270009.0,78.37377175762299
2017-08-16,79.44,80.13,79.0,79.25,3538857.0,78.73141604502
2017-08-15,79.46,79.67,78.91,79.11,3064838.0,78.592332155477
2017-08-14,79.54,80.14,79.1724,79.3,3792785.0,78.781088862714
2017-08-11,78.95,79.81,78.95,79.41,2963972.0,78.890369061641
2017-08-10,79.11,80.3,78.89,79.14,4566537.0,78.622135846093
2017-08-09,78.43,79.49,78.06,79.43,4866847.0,78.91023818871899
2017-08-08,78.64,79.0,76.72,78.57,8601307.0,78.055865724382
2017-08-07,78.0,79.28,77.99,79.12,4576744.0,78.602266719016
2017-08-04,79.22,79.25,77.92,77.97,6041958.0,77.459791912053
2017-08-03,79.38,79.81,78.53,78.6,5028505.0,78.085669414998
2017-08-02,79.61,80.28,79.5,79.75,4533597.0,79.22814422196001
2017-08-01,79.9,80.3,79.45,79.7,4084518.0,79.178471404266
2017-07-31,80.0,80.615,79.62,79.93,4932510.0,79.406966365659
2017-07-28,78.91,79.95,78.84,79.75,3872771.0,79.22814422196001
2017-07-27,78.18,78.92,77.63,78.92,3745891.0,78.40357544824
2017-07-26,78.97,78.97,77.03,78.29,6577938.0,77.777697945295
2017-07-25,77.48,78.97,77.25,78.91,4550933.0,78.393640884701
2017-07-24,76.93,77.35,76.67,77.1,2913311.0,76.595484884177
2017-07-21,77.09,77.37,76.61,77.03,3395416.0,76.52594293940601
2017-07-20,77.12,77.6,76.48,77.16,6052477.0,76.65509226540999
2017-07-19,78.12,78.74,77.34,77.39,6219196.0,76.388586021377
2017-07-18,78.25,78.38,77.49,78.0,4802976.0,76.99069272086
2017-07-17,78.19,78.45,77.9,78.3,4642761.0,77.286810769787
2017-07-14,77.94,78.279,77.66,77.93,4127769.0,76.921598509444
2017-07-13,77.67,78.24,77.61,77.92,4879165.0,76.911727907813
2017-07-12,77.89,78.43,77.35,77.45,4664710.0,76.447809631162
2017-07-11,78.18,78.23,77.36,77.64,4204484.0,76.635351062149
2017-07-10,78.64,78.86,77.77,78.14,4291513.0,77.128881143692
2017-07-07,78.8,79.13,78.05,78.64,3311064.0,77.622411225236
2017-07-06,79.81,79.93,78.66,78.71,4419606.0,77.691505436653
2017-07-05,80.4,80.63,79.65,79.66,4686977.0,78.629212591586
2017-07-03,80.77,81.34,80.46,80.62,2379814.0,79.576790348151
2017-06-30,80.52,80.71,79.78,80.46,4301845.0,79.418860722057
2017-06-29,81.65,82.15,79.54,80.27,6125017.0,79.23131929107
2017-06-28,80.6,82.0,80.54,81.25,6667641.0,80.198638250896
2017-06-27,80.23,81.15,79.95,80.49,8970625.0,79.44847252694899
2017-06-26,77.88,80.585,77.88,80.12,8574089.0,79.083260266607
2017-06-23,77.36,77.94,76.93,77.41,15833813.0,76.408327224638
2017-06-22,77.94,78.24,77.21,77.22,5357127.0,76.220785793652
2017-06-21,78.0,79.07,77.75,78.16,4747959.0,77.148622346954
2017-06-20,78.19,78.57,77.69,77.78,5688121.0,76.773539484981
2017-06-19,77.3,78.1,76.53,78.1,5753810.0,77.08939873716899
2017-06-16,79.22,79.46,75.46,77.06,15390398.0,76.062856167558
2017-06-15,80.68,80.9,79.65,80.09,4643081.0,79.053648461714
2017-06-14,80.02,80.86,79.66,80.8,5027207.0,79.754461177506
2017-06-13,79.64,79.99,78.99,79.85,5040360.0,78.81675402257301
2017-06-12,79.86,80.91,78.9,79.68,6333000.0,78.648953794848
2017-06-09,78.61,79.74,78.1734,79.71,5390226.0,78.678565599741
2017-06-08,78.2,78.56,77.93,78.43,4072259.0,77.41512859098799
2017-06-07,78.05,78.37,77.38,78.16,5108482.0,77.148622346954
2017-06-06,78.48,78.52,77.64,77.9,4714815.0,76.891986704551
2017-06-05,79.0,79.05,78.24,78.79,6237537.0,77.7704702497
2017-06-02,78.51,79.08,78.35,79.05,6359117.0,78.02710589210301
2017-06-01,76.84,78.29,76.695,78.29,4765546.0,77.276940168156
2017-05-31,76.78,76.97,76.25,76.83,6577257.0,75.835832330047
2017-05-30,76.41,76.98,76.4,76.77,5104997.0,75.776608720262
2017-05-26,76.0,76.65,75.935,76.64,3610771.0,75.648290899061
2017-05-25,76.62,76.695,75.685,75.95,5499180.0,74.96721938653
2017-05-24,77.31,77.54,76.32,76.42,5488788.0,75.431137663181
2017-05-23,76.66,77.83,76.35,77.27,7782812.0,76.270138801806
2017-05-22,76.5,76.63,76.19,76.34,7726866.0,75.352172850134
2017-05-19,76.76,76.995,76.21,76.32,5654326.0,75.332431646872
2017-05-18,76.41,77.465,76.29,76.62,7302685.0,75.628549695799
