Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,115.75,116.86,113.98,114.66,5130782.0,114.66
2018-03-26,114.24,115.585,113.25,115.35,5993539.0,115.35
2018-03-23,114.37,115.77,112.7,112.98,6092387.0,112.98
2018-03-22,115.55,115.74,113.48,113.7,6159114.0,113.7
2018-03-21,114.98,118.11,114.8,117.04,5793246.0,117.04
2018-03-20,114.55,115.7,114.435,114.5,4528695.0,114.5
2018-03-19,115.07,115.23,113.22,113.89,4764370.0,113.89
2018-03-16,115.4,116.19,114.561,115.4,13497514.0,115.4
2018-03-15,115.36,116.2101,114.75,115.58,4495022.0,115.58
2018-03-14,116.98,117.45,114.86,115.13,4805249.0,115.13
2018-03-13,117.23,118.18,116.0,116.46,6654588.0,116.46
2018-03-12,117.5,118.35,116.56,116.79,6762387.0,116.79
2018-03-09,114.31,117.3901,114.24,117.22,8724188.0,117.22
2018-03-08,114.6,114.745,112.6,113.35,5895492.0,113.35
2018-03-07,112.95,115.08,112.63,113.84,6660025.0,113.84
2018-03-06,113.85,115.52,113.02,113.65,7956950.0,113.65
2018-03-05,111.4,113.33,111.02,113.15,7814896.0,113.15
2018-03-02,111.5,112.18,109.83,111.64,6607334.0,111.64
2018-03-01,111.53,113.9001,110.97,112.04,7516691.0,112.04
2018-02-28,115.02,115.4613,111.88,111.92,7294475.0,111.92
2018-02-27,114.87,116.05,113.61,113.61,6025181.0,113.61
2018-02-26,113.18,114.66,112.85,114.6,7277865.0,114.6
2018-02-23,110.46,112.74,110.25,112.59,6252007.0,112.59
2018-02-22,109.55,111.44,108.9,109.89,7391045.0,109.89
2018-02-21,111.14,112.06,109.06,109.06,6746247.0,109.06
2018-02-20,112.28,112.76,110.58,110.98,6243484.0,110.98
2018-02-16,112.35,112.94,111.21,112.14,5933186.0,112.14
2018-02-15,112.86,113.02,110.84,112.53,5388555.0,112.53
2018-02-14,112.5,114.05,111.4,113.63,7003061.0,113.63
2018-02-13,113.34,113.605,111.8586,113.29,7024693.0,113.29
