Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,157.42,158.47,156.27,157.0,2090660.0,157.0
2018-03-26,155.24,157.31,154.03,157.22,1227365.0,157.22
2018-03-23,153.78,156.65,152.795,153.53,1178273.0,153.53
2018-03-22,151.92,153.96,151.92,153.02,1619867.0,153.02
2018-03-21,149.75,155.0,149.42,153.16,1442140.0,153.16
2018-03-20,147.57,149.695,146.71,148.64,885980.0,148.64
2018-03-19,147.09,148.08,144.94,146.34,798166.0,146.34
2018-03-16,148.55,150.33,147.71,148.49,1540448.0,148.49
2018-03-15,150.51,151.6,147.38,148.26,837343.0,148.26
2018-03-14,151.04,151.9,149.61,150.21,729257.0,150.21
2018-03-13,154.39,154.39,149.58,150.5,1003694.0,150.5
2018-03-12,153.91,154.45,151.385,153.48,922565.0,153.48
2018-03-09,151.29,153.77,150.98,153.29,1230378.0,153.29
2018-03-08,152.98,153.69,149.06,149.74,1210188.0,149.74
2018-03-07,150.22,152.84,150.03,152.55,1040845.0,152.55
2018-03-06,153.61,153.705,150.77,151.36,1014147.0,151.36
2018-03-05,150.19,153.72,149.745,152.95,732305.0,152.95
2018-03-02,149.5,151.07,147.75,150.57,1285887.0,150.57
2018-03-01,151.18,152.12,149.25,150.34,1215865.0,150.34
2018-02-28,154.34,155.02,150.79,150.8,1191365.0,150.8
2018-02-27,154.79,156.12,153.08,153.09,1124444.0,153.09
2018-02-26,153.92,157.01,153.01,154.95,1515768.0,154.95
2018-02-23,149.76,152.97,149.14,152.81,1250676.0,152.81
2018-02-22,150.39,151.02,147.95,149.18,1598981.0,149.18
2018-02-21,153.7,153.7,144.9,149.16,2899257.0,149.16
2018-02-20,147.0,149.21,145.98,147.15,1369208.0,147.15
2018-02-16,145.59,147.52,144.86,146.52,994922.0,146.52
2018-02-15,146.89,147.35,143.65,146.04,1380540.0,146.04
2018-02-14,140.66,147.28,140.12,146.86,1118761.0,146.86
2018-02-13,142.22,143.37,141.01,141.66,924707.0,141.66
2018-02-12,140.97,145.13,140.31,143.48,1714854.0,143.48
2018-02-09,140.64,141.39,133.58,138.98,2268018.0,138.98
2018-02-08,148.01,148.95,140.07,140.09,2181519.0,140.09
2018-02-07,149.98,151.77,147.92,148.1,1762191.0,148.1
2018-02-06,148.97,152.42,145.42,149.05,2790504.0,149.05
2018-02-05,152.46,156.495,150.56,151.44,1950545.0,151.44
2018-02-02,156.81,157.775,153.46,154.53,1708137.0,154.53
2018-02-01,158.03,159.65,156.44,159.26,1001641.0,159.26
2018-01-31,157.75,158.5,156.17,157.44,994142.0,157.44
2018-01-30,159.9,159.9,156.14,157.36,1597204.0,157.36
2018-01-29,160.61,162.91,159.96,161.28,793656.0,161.28
2018-01-26,160.46,162.015,159.66,161.66,847153.0,161.66
2018-01-25,161.54,162.21,159.061,159.79,782445.0,159.79
2018-01-24,161.17,161.96,158.82,160.9,1137961.0,160.9
2018-01-23,160.84,161.9,159.24,160.53,925026.0,160.53
2018-01-22,156.8,160.52,156.445,160.41,1230027.0,160.41
2018-01-19,156.29,157.21,155.12,156.19,1071273.0,156.19
2018-01-18,155.52,158.4489,154.85,156.47,843779.0,156.47
2018-01-17,156.79,157.6,155.02,156.58,916533.0,156.58
2018-01-16,159.56,160.37,156.315,156.72,989853.0,156.72
2018-01-12,158.46,159.37,156.9,159.09,877840.0,159.09
2018-01-11,155.48,159.52,154.41,157.86,1404302.0,157.86
2018-01-10,155.17,156.04,153.57,154.51,800052.0,154.51
2018-01-09,156.36,156.77,154.6,154.99,714070.0,154.99
2018-01-08,155.1,156.36,154.17,156.04,1052045.0,156.04
2018-01-05,152.94,155.7,152.0,155.6,1077148.0,155.6
2018-01-04,154.73,154.8,152.1,153.61,1049855.0,153.61
2018-01-03,152.37,153.96,151.41,152.59,1113140.0,152.59
2018-01-02,150.87,152.29,150.535,151.9,791513.0,151.9
2017-12-29,152.38,152.95,149.2,150.22,887000.0,150.22
2017-12-28,151.03,151.91,150.25,151.33,824892.0,151.33
2017-12-27,153.69,154.13,150.04,151.03,921175.0,151.03
2017-12-26,152.52,155.05,151.12,153.92,1150930.0,153.92
2017-12-22,149.98,152.6699,149.33,151.77,1165331.0,151.77
2017-12-21,146.55,151.02,145.4,149.83,1946441.0,149.83
2017-12-20,140.75,147.0,140.28,146.81,1459863.0,146.81
2017-12-19,138.96,140.58,138.47,140.31,959544.0,140.31
2017-12-18,136.35,139.06,135.88,138.51,921885.0,138.51
2017-12-15,137.18,138.02,136.0,136.4,1131956.0,136.4
2017-12-14,138.04,139.09,136.7,136.8,738868.0,136.8
2017-12-13,139.45,140.17,138.13,138.29,845732.0,138.29
2017-12-12,141.46,141.46,138.9401,139.5,807915.0,139.5
2017-12-11,140.47,142.11,140.07,141.15,636249.0,141.15
2017-12-08,139.45,141.665,138.81,140.21,724884.0,140.21
2017-12-07,136.63,138.76,135.44,138.21,1110025.0,138.21
2017-12-06,137.96,138.41,135.66,135.97,846717.0,135.97
2017-12-05,139.09,141.2,137.99,138.31,758033.0,138.31
2017-12-04,141.09,141.41,139.01,139.19,913775.0,139.19
2017-12-01,140.92,144.42,140.35,141.46,1407873.0,141.46
2017-11-30,138.14,141.38,137.99,139.86,1376271.0,139.86
2017-11-29,137.69,138.9,136.1989,137.51,792646.0,137.51
2017-11-28,138.53,138.97,137.27,137.78,713307.0,137.78
2017-11-27,139.72,140.34,137.79,138.42,1425047.0,138.42
2017-11-24,141.35,141.64,140.41,140.58,374991.0,140.58
2017-11-22,140.85,141.4334,139.56,140.29,897797.0,140.29
2017-11-21,139.22,140.85,139.02,139.63,975466.0,139.63
2017-11-20,138.21,139.78,137.01,139.03,725810.0,139.03
2017-11-17,138.56,139.85,137.95,138.65,532973.0,138.65
2017-11-16,138.47,138.92,137.2,138.24,695128.0,138.24
2017-11-15,138.69,140.2,137.09,138.16,1186857.0,138.16
2017-11-14,141.61,142.27,139.375,140.46,1163753.0,140.46
2017-11-13,142.55,144.3,141.32,142.41,865247.0,142.41
2017-11-10,144.31,145.06,142.51,143.21,830299.0,143.21
2017-11-09,144.41,145.94,143.725,144.43,935249.0,144.43
2017-11-07,146.83,147.77,145.45,146.71,1505522.0,146.71
2017-11-06,143.26,147.12,143.1708,146.62,1547143.0,146.62
2017-11-03,140.41,144.39,139.68,142.85,1796115.0,142.85
2017-11-02,139.81,140.5,138.23,139.98,1495778.0,139.98
2017-11-01,139.84,144.89,136.57,140.26,2521224.0,140.26
2017-10-31,132.73,134.88,132.235,134.21,1180430.0,134.21
2017-10-30,132.32,134.75,132.07,132.8,1330850.0,132.8
2017-10-27,129.31,133.67,129.13,132.37,1918403.0,132.37
2017-10-26,130.9,130.965,128.86,130.12,806335.0,130.12
2017-10-25,130.08,131.2,129.27,130.5,969116.0,130.5
2017-10-24,132.79,132.96,130.38,130.66,1223414.0,130.66
2017-10-23,134.26,134.375,131.62,131.7,961253.0,131.7
2017-10-20,132.72,134.59,131.89,134.11,851994.0,134.11
2017-10-19,132.08,133.4,131.74,132.26,685382.0,132.26
2017-10-18,133.59,135.0,132.8,133.06,598677.0,133.06
2017-10-17,133.29,134.14,131.84,133.42,852215.0,133.42
2017-10-16,134.32,134.89,132.38,133.27,1335475.0,133.27
2017-10-13,136.5,136.62,133.21,133.39,859761.0,133.39
2017-10-12,133.86,135.08,132.6,135.0,1046781.0,135.0
2017-10-11,135.0,136.34,133.54,135.67,696677.0,135.67
2017-10-10,136.62,137.28,134.74,135.08,1063607.0,135.08
2017-10-09,135.05,135.35,133.93,134.96,507919.0,134.96
2017-10-06,134.08,135.49,133.76,134.91,754582.0,134.91
2017-10-05,135.89,136.53,135.06,135.7,559076.0,135.7
2017-10-04,135.94,136.82,134.65,135.22,795496.0,135.22
2017-10-03,135.0,136.39,134.3,135.39,913664.0,135.39
2017-10-02,129.81,135.465,128.87,135.32,1293215.0,135.32
2017-09-29,131.26,132.45,130.67,131.72,1004598.0,131.72
2017-09-28,132.25,133.68,130.9,131.85,1365605.0,131.85
2017-09-27,131.17,132.35,130.12,132.25,927799.0,132.25
2017-09-26,129.43,131.09,129.3,130.69,827190.0,130.69
2017-09-25,128.16,130.14,127.7301,129.93,1234257.0,129.93
2017-09-22,125.58,127.53,125.58,127.06,844810.0,127.06
2017-09-21,124.73,126.69,124.1901,126.3,881403.0,126.3
