Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,72.19,72.51,69.67,70.23,2369846.0,70.23
2018-03-26,71.02,72.01,70.26,71.79,1800490.0,71.79
2018-03-23,72.14,72.675,69.98,70.07,2607684.0,70.07
2018-03-22,74.28,74.77,71.75,71.89,2532814.0,71.89
2018-03-21,75.38,76.04,74.83,74.86,2950461.0,74.86
2018-03-20,76.26,76.48,75.3,75.36,2200547.0,75.36
2018-03-19,76.4,76.74,75.17,76.04,1928776.0,76.04
2018-03-16,75.72,77.01,75.38,76.54,3213814.0,76.54
2018-03-15,76.73,76.88,74.88,75.37,2456148.0,75.37
2018-03-14,77.78,77.815,76.14,76.46,1991738.0,76.46
2018-03-13,78.65,78.65,77.02,77.33,2272112.0,77.33
2018-03-12,78.62,78.82,78.04,78.15,1594664.0,78.15
2018-03-09,77.77,78.49,77.2,78.42,2791284.0,78.42
2018-03-08,76.91,77.285,76.01,77.1,1218687.0,77.1
2018-03-07,75.79,76.76,75.52,76.63,1633414.0,76.63
2018-03-06,77.18,77.435,75.78,76.81,1672357.0,76.81
2018-03-05,75.37,77.38,74.9,77.07,1829130.0,77.07
2018-03-02,74.81,75.96,74.24,75.84,2470435.0,75.84
2018-03-01,78.64,79.34,74.6325,75.21,4146102.0,75.21
2018-02-28,80.0,80.76,78.81,78.83,2164017.0,78.83
2018-02-27,80.5,81.34,79.56,79.56,2021573.0,79.56
2018-02-26,79.47,80.49,78.95,80.43,2046276.0,80.43
2018-02-23,78.32,79.45,78.13,79.42,1292629.0,79.42
2018-02-22,79.0,79.17,77.6,77.75,2223176.0,77.75
2018-02-21,79.08,80.45,78.52,78.59,2667583.0,78.59
2018-02-20,79.11,80.22,79.01,79.63,2267524.0,79.63
2018-02-16,78.35,80.09,78.35,79.53,2096337.0,79.53
2018-02-15,78.33,79.27,78.1,78.57,2178620.0,78.57
2018-02-14,76.26,77.74,76.13,77.61,1826679.0,77.61
2018-02-13,75.62,76.53,75.27,76.5,1711713.0,76.5
2018-02-12,74.9,76.84,74.58,75.95,2034073.0,75.95
2018-02-09,73.27,74.74,71.6,74.11,3046551.0,74.11
2018-02-08,76.72,76.72,72.331,72.4,2838566.0,72.4
2018-02-07,75.67,77.57,75.67,76.63,1854645.0,76.63
2018-02-06,73.07,76.34,71.31,76.14,3306089.0,76.14
2018-02-05,77.79,79.33,74.5,74.88,2618633.0,74.88
2018-02-02,80.45,80.84,78.85,78.97,2163672.0,78.97
2018-02-01,79.51,80.8,79.31,80.62,2120734.0,80.62
2018-01-31,80.32,80.69,79.69,79.8,1699347.0,79.8
2018-01-30,81.44,81.44,79.72,79.72,1760712.0,79.72
2018-01-29,80.75,81.93,80.75,81.31,1979469.0,81.31
2018-01-26,80.51,80.99,79.44,80.98,2331204.0,80.98
2018-01-25,78.28,81.25,78.05,80.3,3045457.0,80.3
2018-01-24,78.97,79.53,78.34,78.74,3192176.0,78.74
2018-01-23,78.53,78.96,77.6,78.72,2751783.0,78.72
2018-01-22,78.09,78.905,77.83,78.87,1817766.0,78.87
2018-01-19,78.18,78.39,77.12,78.32,4275812.0,78.32
2018-01-18,79.07,79.14,78.12,78.22,1697725.0,78.22
2018-01-17,79.3,79.3,78.37,78.93,2415361.0,78.93
2018-01-16,81.0,81.23,78.56,78.94,1970109.0,78.94
2018-01-12,80.86,81.0,80.22,80.51,2078410.0,80.51
2018-01-11,79.75,80.38,79.435,80.36,1878071.0,80.36
2018-01-10,78.41,79.91,78.38,79.47,2405008.0,79.47
2018-01-09,77.83,78.415,77.41,78.24,2301970.0,78.24
2018-01-08,78.16,78.19,77.44,77.57,1645454.0,77.57
2018-01-05,78.53,78.53,77.34,78.16,1593009.0,78.16
2018-01-04,78.0,78.83,77.81,78.25,1981165.0,78.25
2018-01-03,77.11,77.66,77.11,77.48,1808616.0,77.48
2018-01-02,77.24,77.47,76.38,76.91,2899029.0,76.91
2017-12-29,77.79,77.79,76.92,76.92,1322056.0,76.92
2017-12-28,77.0,77.54,76.98,77.5,1909652.0,77.5
2017-12-27,77.15,77.15,76.52,76.96,1819818.0,76.96
2017-12-26,77.03,77.52,76.97,77.26,1071034.0,77.26
2017-12-22,76.355,77.25,76.1,77.13,2218463.0,77.13
2017-12-21,76.01,76.5125,75.75,76.04,2064534.0,76.04
2017-12-20,76.22,76.52,75.66,75.74,1846516.0,75.74
