Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,98.7,98.99,96.69,97.25,2027985.0,97.25
2018-03-26,97.15,98.35,96.47,98.16,3169868.0,98.16
2018-03-23,97.91,98.41,95.71,95.94,2389114.0,95.94
2018-03-22,99.08,99.87,97.22,97.49,1834034.0,97.49
2018-03-21,100.86,100.99,99.8,99.81,1928498.0,99.81
2018-03-20,100.31,100.86,100.005,100.56,2307447.0,100.56
2018-03-19,101.79,101.845,99.55,100.31,2067302.0,100.31
2018-03-16,102.51,102.665,101.89,101.93,2384539.0,101.93
2018-03-15,102.38,102.66,101.97,102.22,1286716.0,102.22
2018-03-14,102.98,103.48,101.85,102.18,1512933.0,102.18
2018-03-13,103.89,104.29,102.565,102.8,2026832.0,102.8
2018-03-12,103.92,104.29,102.86,103.4,2292182.0,103.4
2018-03-09,102.13,104.07,101.665,103.74,3448059.0,103.74
2018-03-08,101.04,101.66,100.66,101.61,2395843.0,101.61
2018-03-07,97.24,101.23,96.95,100.82,3872602.0,100.82
2018-03-06,97.73,97.77,96.89,97.75,1525899.0,97.75
2018-03-05,95.64,97.99,95.385,97.58,1701657.0,97.58
2018-03-02,95.52,96.42,94.91,96.22,2318770.0,96.22
2018-03-01,97.75,98.0,95.145,95.99,2299886.0,95.99
2018-02-28,99.8,100.2,97.76,97.78,2033922.0,97.78
2018-02-27,100.84,101.8,99.54,99.57,2524021.0,99.57
2018-02-26,99.52,101.49,99.25,100.83,3589206.0,100.83
2018-02-23,97.71,99.39,97.64,99.33,1600101.0,99.33
2018-02-22,97.88,98.44,97.06,97.36,1850957.0,97.36
2018-02-21,96.69,98.9,96.63,97.35,2158046.0,97.35
2018-02-20,97.15,97.74,96.58,96.85,2088084.0,96.85
2018-02-16,97.34,98.42,96.82,97.54,1855195.0,97.54
2018-02-15,96.99,97.78,96.38,97.47,1883192.0,97.47
2018-02-14,94.39,96.17,94.12,96.1,1500671.0,96.1
2018-02-13,94.73,95.45,94.04,94.98,1994248.0,94.98
2018-02-12,95.13,95.89,94.595,95.41,2234628.0,95.41
2018-02-09,93.3,95.28,91.84100000000001,94.46,3684046.0,94.46
2018-02-08,95.4,95.55,92.14,92.16,3426827.0,92.16
2018-02-07,96.38,96.97,94.75,95.25,5326275.0,95.25
2018-02-06,95.3,98.58,94.75,97.05,6617660.0,97.05
2018-02-05,101.45,101.85,96.29,96.7,4707249.0,96.7
2018-02-02,101.27,102.53,101.27,102.18,4545418.0,102.18
2018-02-01,100.92,102.1923,100.5,101.86,2287545.0,101.86
2018-01-31,101.91,102.57,100.853,101.28,3257002.0,101.28
2018-01-30,102.64,104.82,101.13,101.6,3866486.0,101.6
2018-01-29,103.61,104.22,103.3,103.69,2524374.0,103.69
