Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,62.55,63.04,61.33,61.63,941057.0,61.63
2018-03-26,62.0,62.72,61.3,62.33,1172146.0,62.33
2018-03-23,62.65,64.05,60.8005,60.88,1400022.0,60.88
2018-03-22,63.54,64.02,62.36,62.47,1416553.0,62.47
2018-03-21,64.35,64.925,64.01,64.06,823848.0,64.06
2018-03-20,64.41,64.69,64.09,64.22,680008.0,64.22
2018-03-19,63.99,64.37,63.305,64.13,960036.0,64.13
2018-03-16,63.73,64.26,63.36,64.08,1511081.0,64.08
2018-03-15,63.97,64.3,63.68,63.7,782357.0,63.7
2018-03-14,65.35,65.37,63.84,63.9,1360037.0,63.9
2018-03-13,65.0,65.45,64.8201,65.06,989218.0,65.06
2018-03-12,64.95,64.995,64.6,64.68,1222733.0,64.68
2018-03-09,63.74,64.88,63.51,64.74,1001846.0,64.74
2018-03-08,62.95,63.77,62.7,63.51,1494831.0,63.51
2018-03-07,63.11,63.22,62.57,63.04,1596155.0,63.04
2018-03-06,63.64,63.92,62.9,63.72,990874.0,63.72
2018-03-05,63.17,63.56,62.01,63.49,2277652.0,63.49
2018-03-02,62.4,63.46,62.09,63.28,1358323.0,63.28
2018-03-01,64.89,65.24,62.69,63.01,1746499.0,63.01
2018-02-28,65.88,66.295,64.94,64.96,1118206.0,64.96
2018-02-27,66.87,67.63,65.51,65.52,1247252.0,65.52
2018-02-26,65.71,67.17,65.5101,66.73,1381982.0,66.73
2018-02-23,64.48,65.7,64.48,65.52,1330750.0,65.52
2018-02-22,64.2,64.87,64.13,64.34,1339440.0,64.34
2018-02-21,62.1,64.94,62.1,63.99,2140884.0,63.99
2018-02-20,64.02,65.35,60.87,61.93,2752232.0,61.93
2018-02-16,63.92,64.42,63.4725,64.12,2785587.0,64.12
2018-02-15,64.0,64.36,63.115,64.19,1226010.0,64.19
2018-02-14,62.76,63.76,62.32,63.67,1249401.0,63.67
2018-02-13,62.1,63.58,61.73,63.12,1275215.0,63.12
2018-02-12,60.76,62.4,60.7,62.37,1816126.0,62.37
2018-02-09,60.7,61.1,59.101000000000006,60.59,1203335.0,60.59
2018-02-08,62.25,62.435,60.34,60.34,1052591.0,60.34
2018-02-07,61.64,62.92,61.38,62.13,1581601.0,62.13
2018-02-06,60.73,62.41,60.17,61.87,1738469.0,61.87
2018-02-05,63.46,64.01,61.84,62.02,1249818.0,62.02
2018-02-02,64.33,64.57,63.33,63.61,899554.0,63.61
2018-02-01,64.48,65.07,64.08,64.57,1281240.0,64.57
2018-01-31,64.99,65.7,64.49,64.95,1600400.0,64.95
2018-01-30,66.05,66.92,64.96,64.96,864561.0,64.96
2018-01-29,66.9,67.33,66.14,66.27,598550.0,66.27
2018-01-26,66.66,67.18,60.89,67.05,662927.0,67.05
2018-01-25,67.06,67.24,65.81,66.71,715538.0,66.71
2018-01-24,67.03,67.54,66.27,67.07,1150803.0,67.07
2018-01-23,66.48,67.19,65.9,66.89,1125134.0,66.89
2018-01-22,66.22,66.48,65.76,66.44,498222.0,66.44
2018-01-19,66.4,66.55,66.0,66.4,897639.0,66.4
2018-01-18,66.15,66.38,65.73,66.09,653019.0,66.09
2018-01-17,65.6,66.35,65.19,66.07,901005.0,66.07
2018-01-16,66.76,66.76,65.07,65.47,1121815.0,65.47
2018-01-12,66.4,66.83,66.01,66.73,584989.0,66.73
2018-01-11,65.66,66.43,65.5,66.39,1114425.0,66.39
2018-01-10,66.03,66.27,65.34,65.44,1013848.0,65.44
2018-01-09,65.67,66.3,65.5,66.05,1076266.0,66.05
2018-01-08,65.13,65.76,65.13,65.48,1084764.0,65.48
2018-01-05,65.21,65.53,64.79,65.09,940746.0,65.09
2018-01-04,65.31,65.64,64.92,65.0,1210698.0,65.0
2018-01-03,64.97,65.45,64.66,65.07,844034.0,65.07
2018-01-02,66.25,66.25,64.59,64.98,1086682.0,64.98
2017-12-29,65.54,65.5601,64.68,64.69,607147.0,64.69
2017-12-28,65.44,65.44,64.74,65.36,693724.0,65.36
2017-12-27,65.11,65.38,64.74,65.21,510204.0,65.21
2017-12-26,64.83,65.321,64.64,64.86,347021.0,64.86
2017-12-22,64.28,64.79,63.73,64.77,619304.0,64.77
2017-12-21,64.76,64.79,63.75,64.15,658187.0,64.15
2017-12-20,64.6,65.185,64.21,64.48,966674.0,64.48
2017-12-19,64.82,65.005,64.4,64.67,898843.0,64.67
2017-12-18,64.66,65.48,64.62,64.96,941899.0,64.96
2017-12-15,64.27,64.63,63.78,64.44,1639157.0,64.44
2017-12-14,64.69,65.0,63.71,64.06,1317699.0,64.06
2017-12-13,64.25,65.05,63.91,64.8,1191026.0,64.8
2017-12-12,64.27,64.57,63.99,64.35,899205.0,64.35
2017-12-11,64.46,64.58,63.87,64.16,1047944.0,64.16
2017-12-08,64.49,64.58,64.0,64.46,704814.0,64.46
2017-12-07,64.16,64.64,63.77,64.18,1243988.0,64.18
2017-12-06,64.7,64.84,64.03,64.34,937573.0,64.34
2017-12-05,64.85,65.24,64.43,64.8,1179516.0,64.8
2017-12-04,64.66,66.01,64.35,64.93,1969819.0,64.93
2017-12-01,64.77,65.05,63.38,64.47,1628909.0,64.47
2017-11-30,63.56,65.41,62.691,64.78,2016233.0,64.78
2017-11-29,61.15,64.61,61.15,64.41,2179533.0,64.41
2017-11-28,60.43,61.385,60.22,61.27,878359.0,61.27
2017-11-27,59.82,60.49,59.62,60.25,1075448.0,60.25
2017-11-24,59.98,59.99,59.52,59.88,337873.0,59.88
2017-11-22,59.95,60.09,59.64,59.82,954604.0,59.82
2017-11-21,59.18,60.47,59.05,59.95,1482833.0,59.95
2017-11-20,59.05,59.28,58.97,59.09,797062.0,59.09
2017-11-17,59.61,59.83,58.8208,59.13,914166.0,59.13
2017-11-16,59.29,59.87,58.66,59.78,1380432.0,59.78
2017-11-15,59.06,59.39,58.73,58.98,883619.0,58.98
2017-11-14,59.1,59.73,58.96,59.39,1237267.0,59.39
2017-11-13,59.86,59.9,59.39,59.41,1112462.0,59.41
2017-11-10,59.25,60.22,58.9001,59.85,1024700.0,59.85
2017-11-09,60.09,60.4599,59.6,59.87,1414839.0,59.87
2017-11-07,59.75,62.63,58.78,62.04,3181683.0,62.04
2017-11-06,58.04,58.06,57.3,57.49,1100683.0,57.49
2017-11-03,58.2,58.37,56.445,57.95,753784.0,57.95
2017-11-02,58.41,58.6,57.78,58.16,931128.0,58.16
2017-11-01,58.67,58.91,58.21,58.47,652784.0,58.47
2017-10-31,58.54,58.75,58.28,58.38,680653.0,58.38
