Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,32.33,32.43,31.065,31.34,4642002.0,31.34
2018-03-26,31.59,32.185,31.26,32.12,4890979.0,32.12
2018-03-23,32.44,32.54,31.0,31.03,6691187.0,31.03
2018-03-22,33.21,33.33,32.27,32.3,6857624.0,32.3
2018-03-21,33.49,33.975,33.2825,33.62,4176448.0,33.62
2018-03-20,33.81,33.91,33.48,33.53,4518726.0,33.53
2018-03-19,33.71,33.81,33.3,33.62,3810544.0,33.62
2018-03-16,33.72,34.055,33.59,33.72,8835692.0,33.72
2018-03-15,33.72,33.79,33.36,33.57,3418296.0,33.57
2018-03-14,33.95,34.14,33.51,33.62,4214056.0,33.62
2018-03-13,34.51,34.57,33.93,34.06,5059884.0,34.06
2018-03-12,34.2,34.41,33.97,34.26,4267293.0,34.26
2018-03-09,33.85,34.22,33.7,34.21,3626299.0,34.21
2018-03-08,33.73,33.84,33.115,33.67,3745094.0,33.67
2018-03-07,33.18,33.775,33.18,33.68,3662009.0,33.68
2018-03-06,33.56,33.75,33.04,33.66,3123720.0,33.66
2018-03-05,32.6,33.52,32.375,33.36,5013122.0,33.36
2018-03-02,32.53,33.01,32.11,32.91,4091256.0,32.91
2018-03-01,33.02,33.38,32.6,32.79,5035307.0,32.79
2018-02-28,33.42,33.75,33.04,33.05,5920778.0,33.05
2018-02-27,33.74,34.09,33.25,33.26,6965046.0,33.26
2018-02-26,33.71,33.77,33.305,33.76,3419988.0,33.76
2018-02-23,32.98,33.47,32.98,33.45,2801383.0,33.45
2018-02-22,33.63,33.71,32.75,32.87,5049014.0,32.87
2018-02-21,33.33,33.93,33.16,33.44,4490955.0,33.44
2018-02-20,33.03,33.44,33.03,33.21,3839282.0,33.21
2018-02-16,33.11,33.43,32.93,33.13,5479881.0,33.13
2018-02-15,33.45,33.53,33.1,33.2,3702781.0,33.2
2018-02-14,32.37,33.375,32.22,33.25,4622718.0,33.25
2018-02-13,32.09,32.49,31.92,32.39,3193656.0,32.39
2018-02-12,32.18,32.67,31.89,32.25,5367907.0,32.25
2018-02-09,31.66,32.15,30.89,31.98,7756887.0,31.98
2018-02-08,32.3,32.35,31.1,31.1,6378462.0,31.1
2018-02-07,31.94,32.79,31.83,32.34,5253109.0,32.34
2018-02-06,30.78,32.14,30.53,32.02,8149750.0,32.02
2018-02-05,32.68,33.3,31.52,31.89,6047075.0,31.89
2018-02-02,33.5,33.91,32.995,33.13,4896391.0,33.13
2018-02-01,33.15,33.67,32.98,33.66,3264663.0,33.66
2018-01-31,33.08,33.47,32.99,33.1,4270928.0,33.1
2018-01-30,32.97,33.38,32.88,33.02,3406987.0,33.02
2018-01-29,33.31,33.5889,33.12,33.17,2909802.0,33.17
2018-01-26,32.94,33.395,32.84,33.35,3339474.0,33.35
2018-01-25,33.51,33.51,32.82,32.84,4275694.0,32.84
2018-01-24,33.17,33.4,32.9134,33.33,4496039.0,33.33
2018-01-23,32.65,33.17,32.06,32.92,6969881.0,32.92
2018-01-22,32.5,32.875,32.33,32.77,5518776.0,32.77
2018-01-19,32.12,32.55,32.07,32.5,4953573.0,32.5
2018-01-18,32.53,32.65,32.07,32.17,4312366.0,32.17
2018-01-17,32.45,32.56,31.945,32.49,4402751.0,32.49
2018-01-16,32.4,32.685,32.085,32.28,4942275.0,32.28
2018-01-12,32.0,32.36,31.87,32.35,4340746.0,32.35
2018-01-11,31.68,31.9,31.535,31.86,3249116.0,31.86
2018-01-10,31.32,31.925,31.28,31.58,3384880.0,31.58
2018-01-09,30.82,31.53,30.76,31.25,4300973.0,31.25
2018-01-08,30.67,30.81,30.455,30.7,5839284.0,30.7
2018-01-05,30.72,30.81,30.43,30.71,4357598.0,30.71
2018-01-04,30.73,31.0075,30.56,30.63,6086894.0,30.63
2018-01-03,30.4,30.64,30.29,30.52,4288008.0,30.52
2018-01-02,31.19,31.19,30.18,30.43,4433114.0,30.43
2017-12-29,30.68,30.78,30.34,30.34,2948150.0,30.34
2017-12-28,30.6,30.7,30.41,30.64,3140755.0,30.64
2017-12-27,30.76,30.81,30.55,30.66,2233777.0,30.66
2017-12-26,30.78,31.03,30.52,30.68,1969129.0,30.68
2017-12-22,31.12,31.12,30.615,30.84,2619503.0,30.84
2017-12-21,30.75,31.03,30.65,30.93,4309598.0,30.93
2017-12-20,30.93,31.0699,30.46,30.51,4986059.0,30.51
2017-12-19,30.68,30.89,30.5,30.62,5582985.0,30.62
2017-12-18,30.34,30.815,30.16,30.47,6810841.0,30.47
2017-12-15,29.85,30.33,29.585,30.03,16787129.0,30.03
2017-12-14,30.07,30.1,29.59,29.675,9008313.0,29.675
2017-12-13,30.4,30.65,29.9,29.94,6658303.0,29.94
2017-12-12,30.26,30.71,30.1502,30.45,6485611.0,30.45
2017-12-11,30.32,30.68,30.16,30.3,4887733.0,30.3
2017-12-08,30.67,30.73,29.9,30.37,10185776.0,30.37
2017-12-07,30.39,30.73,30.03,30.4,10071551.0,30.4
2017-12-06,30.75,31.045,30.45,30.58,8058937.0,30.58
2017-12-05,31.41,31.64,30.72,30.78,6391256.0,30.78
2017-12-04,31.21,31.83,31.17,31.36,6014234.0,31.36
2017-12-01,30.6,30.97,29.75,30.69,7343980.0,30.69
2017-11-30,30.67,31.115,30.44,30.51,7505543.0,30.51
2017-11-29,29.51,30.55,29.5,30.46,6378255.0,30.46
2017-11-28,28.5,29.27,28.4,29.24,5422608.0,29.24
2017-11-27,28.25,28.4,28.15,28.4,5387393.0,28.4
2017-11-24,28.53,28.55,28.16,28.2,2281089.0,28.2
2017-11-22,28.49,28.675,28.38,28.42,2669152.0,28.42
2017-11-21,28.71,28.71,28.415,28.48,3423927.0,28.48
2017-11-20,28.53,28.68,28.4,28.57,4803168.0,28.57
2017-11-17,28.18,28.54,28.13,28.45,3765003.0,28.45
2017-11-16,28.67,28.88,28.35,28.47,3926341.0,28.47
2017-11-15,28.44,28.61,28.2,28.46,4844132.0,28.46
2017-11-14,28.07,28.62,28.03,28.61,4517305.0,28.61
2017-11-13,27.52,28.28,27.3825,28.19,7250779.0,28.19
2017-11-10,28.08,28.56,27.65,27.67,6716938.0,27.67
2017-11-09,28.09,28.42,27.79,28.01,6197895.0,28.01
2017-11-07,29.23,29.37,28.42,28.45,4823329.0,28.45
2017-11-06,29.09,29.33,28.99,29.24,2947601.0,29.24
2017-11-03,29.16,29.26,29.05,29.12,3586053.0,29.12
2017-11-02,28.93,29.39,28.76,29.26,4080520.0,29.26
2017-11-01,29.07,29.23,28.89,28.96,3638918.0,28.96
2017-10-31,28.95,29.18,28.84,28.9,4547827.0,28.9
2017-10-30,28.88,29.21,28.81,29.01,4974128.0,29.01
2017-10-27,28.85,29.09,28.76,29.07,4289214.0,29.07
2017-10-26,28.64,29.01,28.495,28.85,5260816.0,28.85
2017-10-25,28.88,29.22,28.41,28.58,6916263.0,28.58
2017-10-24,27.99,28.71,27.99,28.6,7683338.0,28.6
2017-10-23,28.59,28.65,28.37,28.43,4868746.0,28.43
2017-10-20,28.61,28.66,28.43,28.6,3875731.0,28.6
