Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,42.92,43.09,41.87,42.16,1565679.0,42.16
2018-03-26,42.84,42.97,42.15,42.86,1361300.0,42.86
2018-03-23,43.39,43.665,41.97,42.11,936890.0,42.11
2018-03-22,44.36,44.71,43.21,43.27,1446961.0,43.27
2018-03-21,44.12,45.25,43.89,44.92,1310292.0,44.92
2018-03-20,44.2,44.68,44.04,44.1,843991.0,44.1
2018-03-19,44.29,44.46,43.3,43.94,940082.0,43.94
2018-03-16,43.8,44.73,43.71,44.54,1036046.0,44.54
2018-03-15,44.29,44.47,43.76,43.85,1000899.0,43.85
2018-03-14,45.06,45.32,44.17,44.26,617579.0,44.26
2018-03-13,45.14,45.64,44.45,44.6,1253035.0,44.6
2018-03-12,45.67,46.15,45.03,45.16,1052821.0,45.16
2018-03-09,44.92,45.77,44.58,45.58,1443020.0,45.58
2018-03-08,44.4,44.63,43.93,44.5,1234090.0,44.5
2018-03-07,43.56,44.52,43.56,44.37,1557777.0,44.37
2018-03-06,43.55,44.34,43.55,44.13,1544488.0,44.13
2018-03-05,42.28,43.62,42.18,43.44,1998695.0,43.44
2018-03-02,41.0,42.51,40.73,42.29,1843208.0,42.29
2018-03-01,42.39,42.49,41.1,41.2,1684442.0,41.2
2018-02-28,44.09,44.18,42.33,42.35,1411395.0,42.35
2018-02-27,44.96,45.21,43.96,43.97,1236763.0,43.97
2018-02-26,44.53,45.43,44.27,44.92,2034915.0,44.92
2018-02-23,43.89,44.31,43.44,44.26,783636.0,44.26
2018-02-22,43.82,44.7,43.5,43.58,1176037.0,43.58
2018-02-21,43.45,44.9,43.45,43.78,2039942.0,43.78
2018-02-20,44.0,46.1,43.4,43.7,2305713.0,43.7
2018-02-16,42.33,44.95,40.41,44.05,4332735.0,44.05
2018-02-15,42.39,43.15,41.91,42.87,2105025.0,42.87
2018-02-14,40.83,42.41,40.55,42.19,1409151.0,42.19
2018-02-13,41.09,41.34,40.22,41.09,1195593.0,41.09
2018-02-12,40.59,41.77,40.43,41.42,1412172.0,41.42
2018-02-09,41.25,41.71,38.79,40.36,2569159.0,40.36
2018-02-08,41.49,41.81,40.63,40.82,1852420.0,40.82
2018-02-07,41.86,42.42,41.53,41.55,1821170.0,41.55
