Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,45.6,46.43,44.96,45.31,9038344.0,45.31
2018-03-26,44.63,45.48,44.6,45.3,9041122.0,45.3
2018-03-23,44.96,45.68,44.15,44.21,10194808.0,44.21
2018-03-22,45.43,45.94,44.44,44.45,11565199.0,44.45
2018-03-21,45.03,46.25,44.79,45.51,24992707.0,45.51
2018-03-20,50.34,50.53,49.7,49.93,6355717.0,49.93
2018-03-19,50.38,50.825,50.035,50.21,4895833.0,50.21
2018-03-16,51.0,51.27,50.41,50.49,8366507.0,50.49
2018-03-15,51.79,52.11,50.52,50.93,5304831.0,50.93
2018-03-14,52.1,52.87,51.73,51.81,4575205.0,51.81
2018-03-13,52.23,52.35,51.83,51.99,4133100.0,51.99
2018-03-12,51.58,52.48,51.58,51.97,3588628.0,51.97
2018-03-09,51.9,51.98,51.16,51.45,2692080.0,51.45
2018-03-08,51.18,51.79,50.91,51.7,4032150.0,51.7
2018-03-07,50.64,51.34,50.47,51.06,4674368.0,51.06
2018-03-06,50.62,51.13,50.305,51.06,6230291.0,51.06
2018-03-05,50.79,51.4155,50.61,50.62,5695240.0,50.62
2018-03-02,50.43,51.21,50.43,50.94,3815302.0,50.94
2018-03-01,50.6,51.3599,50.215,50.57,8649332.0,50.57
2018-02-28,50.9,51.25,50.27,50.55,7316888.0,50.55
2018-02-27,51.7,51.94,50.67,50.78,10796938.0,50.78
2018-02-26,51.47,52.49,51.01,51.42,10204140.0,51.42
2018-02-23,52.3,53.43,51.66,52.98,11820514.0,52.98
2018-02-22,54.76,55.69,54.68,54.95,3572679.0,54.95
2018-02-21,55.96,56.32,54.48,54.48,5041129.0,54.48
2018-02-20,56.12,56.37,55.32,55.95,4483211.0,55.95
2018-02-16,56.47,56.72,56.07,56.43,3361001.0,56.43
2018-02-15,56.12,56.905,55.1522,56.89,2627091.0,56.89
2018-02-14,54.87,56.08,54.51,56.03,3222363.0,56.03
2018-02-13,54.71,55.05,54.141000000000005,54.79,2068513.0,54.79
2018-02-12,55.0,55.45,54.56,54.92,2577813.0,54.92
2018-02-09,54.41,55.23,53.31,54.72,3020509.0,54.72
2018-02-08,54.75,55.27,53.96,53.99,3342382.0,53.99
2018-02-07,55.47,56.24,54.62,54.65,3502588.0,54.65
2018-02-06,53.49,55.8538,52.96,55.78,5546978.0,55.78
2018-02-05,55.83,56.335,54.01,54.01,4496072.0,54.01
2018-02-02,57.59,57.6,55.88,55.95,4116789.0,55.95
2018-02-01,58.9,59.01,57.715,57.88,3538534.0,57.88
2018-01-31,58.65,58.93,58.22,58.49,3495336.0,58.49
2018-01-30,59.43,59.95,58.57,58.58,3157115.0,58.58
2018-01-29,60.35,60.49,59.52,59.58,2201595.0,59.58
2018-01-26,60.15,60.2,59.4,60.2,5376520.0,60.2
2018-01-25,59.93,60.69,59.55,60.14,2352070.0,60.14
2018-01-24,59.92,60.12,59.72,59.72,4365007.0,59.72
2018-01-23,59.51,60.06,59.18,59.79,2664037.0,59.79
2018-01-22,59.18,59.79,58.99,59.77,3149693.0,59.77
2018-01-19,58.86,59.556000000000004,58.63,59.11,4127389.0,59.11
2018-01-18,59.23,59.23,58.37,58.66,2227253.0,58.66
2018-01-17,58.67,59.49,58.49,59.12,3177900.0,59.12
2018-01-16,57.97,58.75,57.9,58.43,3900023.0,58.43
2018-01-12,58.27,58.3365,57.7292,57.85,2553094.0,57.85
2018-01-11,58.7,58.785,57.92,58.09,2878418.0,58.09
2018-01-10,58.89,58.955,58.36,58.63,3090075.0,58.63
2018-01-09,59.68,59.68,59.2,59.32,2865642.0,59.32
2018-01-08,59.78,60.2,59.57,60.12,3311246.0,60.12
2018-01-05,59.58,59.95,59.32,59.92,2288108.0,59.92
2018-01-04,59.01,59.61,58.63,59.41,3186319.0,59.41
2018-01-03,59.59,59.62,58.71,58.73,3118761.0,58.73
2018-01-02,59.43,59.51,58.55,59.04,4085431.0,59.04
2017-12-29,59.49,60.1499,59.28,59.29,2420632.0,59.29
2017-12-28,60.1,60.17,59.34,59.55,2236819.0,59.55
2017-12-27,60.0,60.59,59.931000000000004,60.18,2268142.0,60.18
2017-12-26,60.04,60.32,59.95,60.12,2223547.0,60.12
2017-12-22,59.935,60.19,59.63,60.13,6496319.0,60.13
2017-12-21,58.97,60.08,58.78,59.53,7526993.0,59.53
2017-12-20,58.19,59.03,56.63,58.76,6874802.0,58.76
2017-12-19,58.01,58.38,57.56,57.63,5565634.0,57.63
2017-12-18,57.61,58.1,57.43,57.8,5102019.0,57.8
2017-12-15,56.39,57.17,56.16,56.89,8177880.0,56.89
2017-12-14,56.36,56.48,56.12,56.13,2842044.0,56.13
2017-12-13,56.06,56.58,55.84,56.47,4257631.0,56.47
2017-12-12,56.04,56.36,55.97,56.06,2767809.0,56.06
2017-12-11,55.65,55.93,55.38,55.89,3283576.0,55.89
2017-12-08,56.71,56.71,55.47,55.84,3937153.0,55.84
2017-12-07,57.2,57.235,56.5299,56.69,3124260.0,56.69
2017-12-06,57.2,57.63,57.0618,57.41,2968630.0,57.41
2017-12-05,57.9,58.09,56.78,57.25,4072709.0,57.25
2017-12-04,56.65,57.93,56.5,57.86,6292244.0,57.86
2017-12-01,56.51,56.66,55.29,56.46,4281578.0,56.46
2017-11-30,56.32,56.96,55.71,56.56,6298807.0,56.56
2017-11-29,54.79,56.56,54.78,56.34,5624023.0,56.34
2017-11-28,54.2,54.85,53.88,54.84,3932752.0,54.84
2017-11-27,53.67,54.18,53.42,54.05,2870645.0,54.05
2017-11-24,53.84,53.98,53.58,53.65,1036309.0,53.65
2017-11-22,53.41,53.67,53.21,53.65,2186533.0,53.65
2017-11-21,53.83,54.12,53.34,53.52,3908017.0,53.52
2017-11-20,53.69,54.47,53.66,54.24,3666496.0,54.24
2017-11-17,53.49,53.93,53.38,53.72,4449797.0,53.72
2017-11-16,52.78,53.77,52.73,53.67,3354011.0,53.67
2017-11-15,53.95,54.41,52.5,52.53,4855926.0,52.53
2017-11-14,53.06,54.28,53.03,54.12,5394057.0,54.12
2017-11-13,53.02,53.59,52.74,52.97,3432731.0,52.97
2017-11-10,51.58,53.4,51.5,53.28,5047637.0,53.28
2017-11-09,52.06,52.61,51.71,51.78,3906143.0,51.78
2017-11-07,50.07,51.03,49.65,50.97,3655478.0,50.97
2017-11-06,51.08,51.19,50.08,50.1,3777202.0,50.1
2017-11-03,51.61,51.8,51.245,51.34,1955005.0,51.34
2017-11-02,51.97,52.11,51.4,51.76,2645428.0,51.76
2017-11-01,51.98,52.34,51.57,52.03,2632843.0,52.03
2017-10-31,51.06,52.2,51.06,51.92,4657010.0,51.92
2017-10-30,51.76,51.81,50.44,50.66,5328416.0,50.66
2017-10-27,51.8,51.83,51.23,51.57,2087922.0,51.57
2017-10-26,51.59,52.04,51.31,51.76,3240249.0,51.76
2017-10-25,51.67,51.76,51.155,51.54,2425869.0,51.54
2017-10-24,51.8,52.06,51.6108,51.79,3034733.0,51.79
2017-10-23,52.11,52.34,51.59,51.67,2987815.0,51.67
2017-10-20,52.11,52.13,51.69,52.01,3368009.0,52.01
2017-10-19,52.11,52.3,51.56,52.03,3903828.0,52.03
2017-10-18,51.68,52.48,51.27,52.25,5962855.0,52.25
2017-10-17,51.81,51.85,51.31,51.7,3041696.0,51.7
2017-10-16,51.53,51.88,51.43,51.81,2644257.0,51.81
2017-10-13,51.45,51.55,51.31,51.53,3593741.0,51.53
2017-10-12,50.86,51.57,50.76,51.27,3383447.0,51.27
2017-10-11,50.97,51.2701,50.645,50.87,3870525.0,50.87
2017-10-10,50.42,50.96,50.34,50.95,3375477.0,50.95
2017-10-09,51.44,51.52,50.125,50.19,4764436.0,50.19
2017-10-06,51.73,51.84,51.31,51.4,2602958.0,51.4
2017-10-05,52.03,52.56,51.9646,52.09,3197203.0,51.598111389478
2017-10-04,51.32,52.82,51.08,52.01,5458912.0,51.518866833687
2017-10-03,51.87,51.87,51.29,51.32,3420206.0,50.835382539988004
2017-10-02,51.57,51.97,51.21,51.81,4333941.0,51.320755444209006
2017-09-29,52.46,52.72,51.74,51.76,4391825.0,51.271227596839
2017-09-28,52.13,52.88,52.0,52.26,2748786.0,51.766506070534
2017-09-27,51.94,52.465,51.39,52.43,4215964.0,51.93490075159001
2017-09-26,52.3,52.45,51.86,51.97,2782906.0,51.479244555791
2017-09-25,51.23,52.43,51.22,52.27,4116079.0,51.776411640008
2017-09-22,51.8,52.175,51.06,51.23,4492342.0,50.746232414722996
2017-09-21,52.07,52.5,51.39,51.69,6406685.0,51.201888610522005
2017-09-20,51.75,53.22,50.4,52.17,15940564.0,51.677355945269
2017-09-19,56.18,56.3,55.19,55.38,6205369.0,54.85704374638699
2017-09-18,55.82,56.54,55.7,56.43,4519427.0,55.897128541145
2017-09-15,55.04,55.85,54.93,55.8,4258540.0,55.27307766429
2017-09-14,55.15,55.26,54.67,55.05,3127074.0,54.530159953748
2017-09-13,55.5,55.86,55.23,55.29,2195375.0,54.767893621122
2017-09-12,55.84,56.205,55.38,55.56,2893740.0,55.035343996917
2017-09-11,55.58,56.065,55.47,55.78,2836887.0,55.253266525342
2017-09-08,54.66,55.74,54.57,55.35,3388521.0,54.827327037965
2017-09-07,54.42,54.98,54.09,54.66,4731751.0,54.143842744267
2017-09-06,53.88,54.73,53.6,54.7,5698121.0,54.183465022162
2017-09-05,53.76,54.06,53.38,53.72,4257158.0,53.212719213721
2017-09-01,53.26,54.12,53.26,53.72,3912358.0,53.212719213721
2017-08-31,53.42,53.8,52.76,53.26,6364925.0,52.757063017923
2017-08-30,53.95,54.12,53.43,53.75,3916864.0,53.242435922143
