Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,88.77,89.88,88.18,88.6,639314.0,88.6
2018-03-26,87.45,88.84,87.2,88.61,735344.0,88.61
2018-03-23,88.2,88.72,86.45,86.52,797535.0,86.52
2018-03-22,89.94,90.2699,87.89,87.98,719570.0,87.98
2018-03-21,90.87,91.32,90.45,90.48,549297.0,90.48
2018-03-20,90.84,91.23,90.0,90.78,607446.0,90.78
2018-03-19,90.77,91.65,89.995,90.49,697986.0,90.49
2018-03-16,90.43,91.4835,89.92,90.78,3745568.0,90.78
2018-03-15,90.56,91.01,89.935,90.25,716163.0,90.25
2018-03-14,92.04,92.18,90.18,90.38,826309.0,90.38
2018-03-13,92.74,93.01,91.43,91.73,626388.0,91.73
2018-03-12,92.62,93.14,91.62,92.37,860374.0,92.37
2018-03-09,91.16,92.66,90.45,92.62,542725.0,92.62
2018-03-08,91.29,91.325,90.275,90.52,579212.0,90.52
2018-03-07,91.62,92.175,90.9,91.66,696817.0,91.66
2018-03-06,91.96,92.64,91.11,92.53,735931.0,92.53
2018-03-05,90.38,92.19,90.06,91.78,683921.0,91.78
2018-03-02,90.9,91.28,90.16,90.86,1017538.0,90.86
2018-03-01,91.73,92.615,90.5,91.41,883878.0,91.41
2018-02-28,92.88,93.54,91.82,91.84,962950.0,91.84
2018-02-27,95.13,95.21,92.56,92.56,797565.0,92.56
2018-02-26,94.71,95.03,93.85,94.87,659205.0,94.87
2018-02-23,93.33,94.6,92.67,94.53,813907.0,94.53
2018-02-22,93.54,94.83,92.45,92.93,975371.0,92.93
2018-02-21,94.4,94.7904,92.5,93.34,1248768.0,93.34
2018-02-20,96.56,96.89,94.4,94.67,1709713.0,94.67
2018-02-16,100.49,101.08,99.1,99.83,1110362.0,99.83
2018-02-15,99.5,100.92,98.57,100.91,979543.0,100.91
2018-02-14,96.3,99.32,96.03,98.95,922083.0,98.95
2018-02-13,97.79,98.15,96.08,96.73,1100316.0,96.73
2018-02-12,98.09,98.63,96.52,97.72,950574.0,97.72
2018-02-09,97.12,98.0389,92.82,97.05,1288018.0,97.05
2018-02-08,99.33,100.44,96.28,96.31,1319128.0,96.31
2018-02-07,99.96,101.83,99.17,99.27,1020147.0,99.27
2018-02-06,98.28,100.63,96.91,100.06,1219799.0,100.06
2018-02-05,101.39,102.87,99.66,99.67,1458755.0,99.67
2018-02-02,102.99,104.14,101.9,102.19,1090446.0,102.19
2018-02-01,103.38,104.31,102.78,103.21,906438.0,103.21
2018-01-31,105.37,105.88,103.22,104.07,1879052.0,104.07
2018-01-30,106.69,106.91,104.86,105.19,667341.0,105.19
2018-01-29,107.58,107.75,106.82,107.01,566419.0,107.01
2018-01-26,106.54,107.63,106.02,107.58,489066.0,107.58
2018-01-25,105.94,106.81,105.2605,106.31,838746.0,106.31
2018-01-24,105.0,106.75,104.34,106.63,715334.0,106.63
2018-01-23,103.89,104.9,103.6302,104.73,533322.0,104.73
2018-01-22,104.25,104.25,102.99,104.13,656035.0,104.13
2018-01-19,103.14,104.45,103.14,104.14,517740.0,104.14
2018-01-18,103.75,103.83,102.15,102.93,558603.0,102.93
2018-01-17,103.09,103.8,102.82,103.48,633436.0,103.48
2018-01-16,104.04,104.88,102.7,102.8,1040168.0,102.8
2018-01-12,101.95,103.39,101.63,103.28,1023253.0,103.28
2018-01-11,99.39,101.97,98.93,101.9,876623.0,101.9
2018-01-10,98.4,99.64,98.29,99.4,890287.0,99.4
2018-01-09,98.15,99.3,98.15,98.95,999325.0,98.95
2018-01-08,97.74,98.56,97.5,97.98,834072.0,97.98
2018-01-05,97.58,97.73,96.19,97.5,680296.0,97.5
2018-01-04,97.67,98.44,96.96,97.41,648992.0,97.41
2018-01-03,96.77,97.48,96.48,97.3,647318.0,97.3
2018-01-02,95.54,97.13,95.54,96.58,942303.0,96.58
2017-12-29,95.4,95.93,94.98,95.01,493733.0,95.01
2017-12-28,95.67,95.85,94.4301,95.48,491066.0,95.48
2017-12-27,95.46,95.76,95.13,95.67,422996.0,95.67
2017-12-26,94.95,95.96,94.86,95.39,339812.0,95.39
2017-12-22,94.73,95.54,94.55,95.11,754591.0,95.11
2017-12-21,93.46,94.58,93.2875,94.53,604435.0,94.53
2017-12-20,93.06,93.71,92.7759,93.22,446169.0,93.22
2017-12-19,93.62,93.97,93.01,93.01,577633.0,93.01
2017-12-18,92.69,93.72,92.435,93.44,572185.0,93.44
2017-12-15,92.74,93.4,91.58,91.98,1237348.0,91.98
2017-12-14,93.05,93.33,91.43,91.48,761605.0,91.48
2017-12-13,92.58,93.81,92.58,93.26,677417.0,93.26
2017-12-12,93.74,93.96,92.33,92.73,710744.0,92.73
2017-12-11,94.59,94.64,92.99,93.49,709638.0,93.49
2017-12-08,94.17,94.97,93.725,94.85,771276.0,94.85
2017-12-07,92.87,94.32,92.87,93.8,1320434.0,93.8
2017-12-06,94.23,94.55,93.41,93.72,1339140.0,93.72
2017-12-05,94.75,95.24,93.4,94.16,911860.0,94.16
2017-12-04,93.35,94.17,93.28,93.96,1005889.0,93.96
2017-12-01,93.09,93.33,90.97,92.86,1098679.0,92.86
2017-11-30,91.53,93.175,91.31,92.97,1233856.0,92.97
2017-11-29,89.47,91.87,89.47,91.5,958105.0,91.5
2017-11-28,87.65,89.41,87.65,89.34,895597.0,89.34
2017-11-27,86.96,87.74,86.92,87.62,674405.0,87.62
2017-11-24,86.93,87.04,86.41,86.84,246854.0,86.84
2017-11-22,85.95,87.23,85.92,86.91,390790.0,86.91
2017-11-21,86.6,86.6,85.27,85.95,935964.0,85.95
2017-11-20,86.13,86.59,85.9001,86.26,519786.0,86.26
2017-11-17,85.95,86.8,85.8,86.13,526048.0,86.13
2017-11-16,85.22,86.06,84.71,85.99,712352.0,85.99
2017-11-15,85.41,88.32,84.83,85.0,639181.0,85.0
2017-11-14,86.06,87.38,85.78,86.01,711022.0,86.01
2017-11-13,85.06,86.0,84.83,85.29,943211.0,85.29
2017-11-10,85.06,86.36,85.0,85.45,1193513.0,85.45
2017-11-09,85.68,86.31,85.2,85.56,1015493.0,85.56
2017-11-07,87.18,87.805,86.05,86.43,724633.0,86.43
2017-11-06,88.03,88.039,86.99,87.26,566699.0,87.26
2017-11-03,88.55,88.7,87.76,87.8,567549.0,87.8
2017-11-02,87.36,88.78,86.45,88.53,623223.0,88.53
2017-11-01,88.8,88.8,87.37,87.43,613683.0,87.43
2017-10-31,88.16,88.72,87.82,88.23,567274.0,88.23
2017-10-30,88.2,88.59,87.66,88.04,625737.0,88.04
2017-10-27,89.1,89.205,87.95,88.35,751726.0,88.35
2017-10-26,88.45,90.03,87.33,89.4,976601.0,89.4
2017-10-25,89.02,89.16,88.06,88.46,608488.0,88.46
2017-10-24,89.39,90.33,88.83,88.91,1165801.0,88.91
2017-10-23,88.69,89.87,88.31,89.27,1314183.0,89.27
2017-10-20,89.64,89.64,88.135,88.63,1596247.0,88.63
2017-10-19,92.33,92.49,88.12,89.71,2620569.0,89.71
2017-10-18,97.42,98.63,97.09,98.04,1234509.0,98.04
2017-10-17,96.26,97.02,96.15,96.86,609363.0,96.86
2017-10-16,95.87,96.14,95.39,96.01,361949.0,96.01
2017-10-13,95.88,96.5,95.51,95.86,527897.0,95.86
2017-10-12,95.43,96.19,94.81,95.86,474441.0,95.86
2017-10-11,95.61,95.98,95.2,95.5,680897.0,95.5
2017-10-10,95.31,95.98,95.16,95.52,688023.0,95.52
2017-10-09,95.76,95.84,95.1,95.18,445057.0,95.18
2017-10-06,95.43,95.845,95.25,95.55,534860.0,95.55
2017-10-05,95.31,95.8,95.0,95.79,688829.0,95.79
2017-10-04,95.75,95.77,95.08,95.49,652103.0,95.49
2017-10-03,96.37,96.54,95.36,95.95,561905.0,95.95
2017-10-02,95.49,96.67,94.94,96.37,728682.0,96.37
2017-09-29,95.47,96.05,95.03,95.65,735782.0,95.65
2017-09-28,93.94,95.34,93.86,95.19,834207.0,95.19
2017-09-27,94.15,94.84,92.92,94.46,1296933.0,94.46
2017-09-26,93.7,95.65,93.53,94.16,1759683.0,94.16
2017-09-25,97.01,97.645,92.5999,93.22,4255229.0,93.22
2017-09-22,86.47,88.1,86.45,87.98,612443.0,87.98
2017-09-21,86.8,87.005,86.27,86.35,405972.0,86.35
2017-09-20,86.02,87.24,85.83,86.72,844699.0,86.72
2017-09-19,87.17,87.25,84.84,85.86,1147460.0,85.86
2017-09-18,86.88,86.98,86.42,86.88,726037.0,86.88
2017-09-15,86.32,86.73,86.03,86.65,892242.0,86.65
2017-09-14,86.92,86.92,86.05,86.39,512734.0,86.39
2017-09-13,86.39,86.95,86.155,86.94,556226.0,86.94
2017-09-12,86.02,87.12,85.95,86.44,962748.0,86.44
2017-09-11,85.68,86.49,85.3175,85.82,743764.0,85.82
2017-09-08,84.53,85.67,84.31,85.35,744210.0,85.35
2017-09-07,84.79,84.79,84.02,84.44,918420.0,84.44
2017-09-06,84.64,85.35,84.4259,85.31,893572.0,84.633453562827
2017-09-05,83.53,84.92,83.53,84.31,850665.0,83.641384009869
2017-09-01,83.23,84.13,83.1,83.84,442760.0,83.175111319979
2017-08-31,82.91,83.55,82.75,82.83,1035802.0,82.173121071492
2017-08-30,81.87,83.045,81.63,82.9,621704.0,82.242565940199
2017-08-29,82.35,82.83,81.79,81.83,543379.0,81.181051518534
2017-08-28,83.48,83.53,82.45,82.95,409374.0,82.292169417846
2017-08-25,82.65,83.87,82.65,83.3,516056.0,82.639393761382
2017-08-24,82.96,83.31,82.21,82.48,663896.0,81.82589672795599
2017-08-23,82.36,82.8,82.08,82.57,481845.0,81.91518298772199
2017-08-22,82.96,83.2,82.2,82.64,631654.0,81.98462785643001
2017-08-21,81.75,83.11,81.3531,82.67,974018.0,82.014389943018
