Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,255.89,257.06,245.61,247.26,2970625.0,247.26
2018-03-26,250.65,255.36,248.45,254.88,3733912.0,254.88
2018-03-23,253.63,254.954,244.93,245.26,3603803.0,245.26
2018-03-22,258.42,260.82,252.18,252.6,4175915.0,252.6
2018-03-21,263.01,266.49,260.31,261.85,2811962.0,261.85
2018-03-20,263.29,264.64,261.8873,263.19,1463860.0,263.19
2018-03-19,266.99,267.5,259.47,262.53,2418918.0,262.53
2018-03-16,266.01,269.85,265.33,267.6,3955445.0,267.6
2018-03-15,265.72,269.0,265.35,266.61,2246194.0,266.61
2018-03-14,270.4,270.78,263.911,264.43,2426042.0,264.43
2018-03-13,274.34,275.03,267.44,268.53,2258955.0,268.53
2018-03-12,271.0,275.31,270.77,273.38,3056321.0,273.38
2018-03-09,268.7,271.09,267.04,270.77,4389640.0,270.77
2018-03-08,266.48,268.1,262.63,266.34,2471696.0,266.34
2018-03-07,262.69,266.43,260.9455,265.35,2509352.0,265.35
2018-03-06,264.77,267.87,263.21,266.93,2211212.0,266.93
2018-03-05,256.46,264.55,256.24,263.12,2445846.0,263.12
2018-03-02,255.0,259.24,252.1,258.12,3122826.0,258.12
2018-03-01,262.61,263.55,256.20099999999996,256.78,3483534.0,256.78
2018-02-28,269.14,269.49,262.57,262.93,3096496.0,262.93
2018-02-27,271.0,273.12,267.93,267.93,3010962.0,267.93
2018-02-26,267.5,271.78,266.77,271.26,2728234.0,271.26
2018-02-23,263.0,266.98,262.4,266.77,2477939.0,266.77
2018-02-22,264.4,266.32,260.72,261.43,2678252.0,261.43
2018-02-21,263.92,270.0,263.13,263.4,2761563.0,263.4
2018-02-20,266.89,268.85,263.31,264.89,2610013.0,264.89
2018-02-16,265.99,269.28,265.9,267.62,2598674.0,267.62
2018-02-15,265.76,268.0,262.91,267.68,3517137.0,267.68
2018-02-14,255.0,262.71,254.477,262.58,3789465.0,262.58
2018-02-13,252.01,256.4,250.58,255.53,2698641.0,255.53
2018-02-12,251.15,256.15,248.82,253.16,3684800.0,253.16
2018-02-09,249.62,251.67,239.29,249.3,5965301.0,249.3
2018-02-08,257.93,258.78,246.05,246.35,4150315.0,246.35
2018-02-07,255.9,261.95,255.66,257.1,4073759.0,257.1
2018-02-06,244.21,258.75,242.11,258.7,6710075.0,258.7
2018-02-05,257.51,263.3,241.5,249.11,6450834.0,249.11
2018-02-02,270.0,271.75,259.35,260.04,5829923.0,260.04
2018-02-01,266.15,272.59,266.001,272.23,3383620.0,272.23
2018-01-31,268.55,270.0,266.33,267.89,3702043.0,267.89
2018-01-30,270.39,272.0,267.111,268.94,3935274.0,268.94
2018-01-29,269.04,273.79,268.81,272.48,3476724.0,272.48
2018-01-26,267.49,269.0,266.05,268.14,3321668.0,268.14
2018-01-25,266.35,270.5,265.01,269.03,4870208.0,269.03
2018-01-24,260.74,265.78,260.3,265.68,4300836.0,265.68
2018-01-23,258.0,260.26,256.85,260.09,4002531.0,260.09
2018-01-22,255.45,262.8699,255.19,261.52,4675331.0,261.52
2018-01-19,251.0,256.14,250.26,256.12,4631716.0,256.12
