Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,26.94,27.08,26.46,26.73,2396783.0,26.73
2018-03-26,26.92,27.11,26.26,26.88,2893340.0,26.88
2018-03-23,27.48,27.71,26.575,26.61,2910751.0,26.61
2018-03-22,27.82,28.06,27.34,27.36,2594297.0,27.36
2018-03-21,28.0,28.59,28.0,28.18,1823108.0,28.18
2018-03-20,28.15,28.29,27.96,28.04,1883711.0,28.04
2018-03-19,28.52,28.6,27.84,28.08,1990600.0,28.08
2018-03-16,28.04,28.59,28.01,28.51,4001019.0,28.51
2018-03-15,28.03,28.3,27.82,28.03,2086489.0,28.03
2018-03-14,28.46,28.59,27.98,28.04,2155384.0,28.04
2018-03-13,29.0,29.07,28.25,28.35,3011588.0,28.35
2018-03-12,28.79,29.19,28.7,28.89,1997420.0,28.89
2018-03-09,28.62,29.04,28.5,28.75,2337109.0,28.75
2018-03-08,28.46,28.75,28.3248,28.46,2249175.0,28.46
2018-03-07,28.06,28.4,28.0,28.31,2337731.0,28.31
2018-03-06,28.23,28.595,28.03,28.37,3702849.0,28.37
2018-03-05,27.92,28.41,27.9,28.16,3707402.0,28.16
2018-03-02,28.02,28.51,27.85,28.14,4075715.0,28.14
2018-03-01,28.82,29.06,28.03,28.19,3799291.0,28.19
2018-02-28,29.6,29.75,28.94,28.94,3022487.0,28.94
2018-02-27,29.87,30.005,29.47,29.49,2594321.0,29.49
2018-02-26,29.7,29.9,29.46,29.82,1863103.0,29.82
2018-02-23,29.2,29.66,29.2,29.52,1921461.0,29.52
2018-02-22,29.35,29.42,28.915,29.13,2565794.0,29.13
2018-02-21,29.45,29.63,29.12,29.15,2561518.0,29.15
2018-02-20,29.56,29.78,29.2248,29.48,2910474.0,29.48
2018-02-16,30.0,30.005,29.6065,29.66,2855804.0,29.66
2018-02-15,29.79,30.07,29.56,29.96,3385295.0,29.96
2018-02-14,29.0,29.67,28.81,29.58,4647254.0,29.58
2018-02-13,29.94,30.205,29.05,29.34,5353057.0,29.34
