Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,98.25,98.92,96.93,97.43,2093626.0,97.43
2018-03-26,99.7,99.99,96.86,97.98,1884066.0,97.98
2018-03-23,100.3,101.61,98.59,98.78,1789620.0,98.78
2018-03-22,100.49,101.72,99.65,99.79,1640706.0,99.79
2018-03-21,100.07,101.8,100.07,100.9,1850784.0,100.9
2018-03-20,102.75,102.77,99.75,100.6,1470238.0,100.6
2018-03-19,102.58,102.82,101.64,102.66,1063632.0,102.66
2018-03-16,103.16,103.93,102.48,102.77,1995274.0,102.77
2018-03-15,102.24,103.87,102.01,103.15,1199934.0,103.15
2018-03-14,102.84,103.5,101.6,101.93,1653014.0,101.93
2018-03-13,103.99,103.99,102.25,102.58,1755718.0,102.58
2018-03-12,103.76,104.2,102.8,103.56,2349913.0,103.56
2018-03-09,102.69,104.17,102.19,103.9,1561235.0,103.9
2018-03-08,101.51,102.745,101.21,102.35,1248508.0,102.35
2018-03-07,100.35,101.58,100.03,101.31,1686352.0,101.31
2018-03-06,101.27,101.74,100.43,100.99,1474679.0,100.99
2018-03-05,100.9,101.4,99.72,101.11,1755770.0,101.11
2018-03-02,99.0,101.64,98.82,101.38,2054685.0,101.38
2018-03-01,99.5,100.91,98.04,99.43,2312944.0,99.43
2018-02-28,101.23,101.87,99.23,99.25,2885708.0,99.25
2018-02-27,100.36,102.98,100.06,101.56,3106249.0,101.56
2018-02-26,100.7,100.85,99.05,100.02,1815372.0,100.02
2018-02-23,101.27,101.42,99.82,100.84,1639110.0,100.84
2018-02-22,100.94,101.935,100.16,100.54,1444136.0,100.54
2018-02-21,100.68,101.85,100.29,100.35,1334829.0,100.35
2018-02-20,100.68,101.41,100.54,101.0,1356772.0,101.0
2018-02-16,100.72,102.22,100.285,101.0,1886027.0,101.0
2018-02-15,100.54,101.36,99.43,100.95,1875008.0,100.95
2018-02-14,98.26,100.99,97.89,99.91,2223599.0,99.91
2018-02-13,97.48,99.2,97.3,98.92,1139458.0,98.92
2018-02-12,98.53,99.0,96.42,98.28,1510078.0,98.28
2018-02-09,97.01,98.8,94.75,97.84,2521075.0,97.84
2018-02-08,98.61,99.25,95.91,95.97,2098087.0,95.97
2018-02-07,98.26,100.3,98.0,98.4,1894833.0,98.4
2018-02-06,94.63,99.13,94.11,98.71,3351195.0,98.71
2018-02-05,98.93,99.75,95.618,95.89,2613275.0,95.89
2018-02-02,101.54,102.25,99.59,99.69,2415719.0,99.69
2018-02-01,100.75,103.57,100.29,102.24,3192083.0,102.24
2018-01-31,102.0,103.18,100.24,101.16,3632966.0,101.16
2018-01-30,101.55,106.84,101.0,101.45,6520185.0,101.45
2018-01-29,96.76,98.42,96.36,97.62,3574045.0,97.62
2018-01-26,93.06,97.12,92.72,97.07,3553220.0,97.07
2018-01-25,92.02,93.25,91.85,92.83,2051742.0,92.83
2018-01-24,92.06,92.42,91.06,91.49,1153808.0,91.49
2018-01-23,92.31,92.71,91.11,91.73,1517412.0,91.73
2018-01-22,92.88,93.385,92.08,92.86,1801262.0,92.86
2018-01-19,90.32,93.32,90.06,93.01,4202946.0,93.01
2018-01-18,89.57,90.48,89.13,90.11,2074985.0,90.11
2018-01-17,89.04,89.69,88.59,89.4,1256211.0,89.4
2018-01-16,89.03,90.03,88.505,88.79,2377532.0,88.79
2018-01-12,87.36,89.03,86.72,88.8,1815964.0,88.8
2018-01-11,85.32,87.37,85.305,86.97,1762703.0,86.97
2018-01-10,85.74,86.44,84.92,84.96,1732676.0,84.96
2018-01-09,86.5,87.02,85.94,86.0,1837053.0,86.0
2018-01-08,86.64,86.935,85.8,86.75,1354227.0,86.75
2018-01-05,86.18,87.03,85.24,86.93,3073451.0,86.93
2018-01-04,86.34,86.74,85.4,85.96,2735831.0,85.96
2018-01-03,88.71,89.3,86.61,87.04,2319692.0,87.04
2018-01-02,88.0,89.81,87.79,89.51,1815227.0,89.51
2017-12-29,88.48,89.06,87.78,87.84,1233601.0,87.84
2017-12-28,88.16,88.5,87.6308,88.31,1223255.0,88.31
2017-12-27,88.94,89.1,87.23,87.89,1679023.0,87.89
2017-12-26,89.24,89.94,88.96,89.14,917428.0,89.14
2017-12-22,88.045,89.1,87.85,89.09,1906728.0,89.09
2017-12-21,86.86,88.41,86.42,87.84,1817479.0,87.84
2017-12-20,86.135,87.94,84.72,86.45,3294401.0,86.45
2017-12-19,90.0,90.29,88.7,88.83,2438144.0,88.83
2017-12-18,89.04,90.09,88.68,89.69,2365277.0,89.69
2017-12-15,86.55,88.69,86.49,88.46,3752218.0,88.46
2017-12-14,87.655,87.7784,86.09,86.15,1666344.0,86.15
2017-12-13,86.53,88.3,85.44,87.59,3031667.0,87.59
2017-12-12,86.37,87.16,86.11,86.45,2995999.0,86.45
2017-12-11,84.81,85.75,84.62,84.97,2212138.0,84.97
2017-12-08,85.39,85.55,84.13,84.84,2677194.0,84.84
2017-12-07,83.04,85.73,82.21,85.06,3034459.0,85.06
2017-12-06,83.32,83.47,82.08,83.1,1760277.0,83.1
2017-12-05,84.31,84.31,82.375,83.22,2453913.0,83.22
2017-12-04,84.75,85.88,84.2,84.27,2257337.0,84.27
2017-12-01,84.68,84.88,82.73,84.05,3483241.0,84.05
2017-11-30,82.74,86.04,82.74,85.0,8234327.0,85.0
2017-11-29,78.03,81.59,77.76,80.14,3615991.0,80.14
2017-11-28,77.35,78.22,76.93,78.07,1268279.0,78.07
2017-11-27,77.19,77.69,76.48,77.35,1345517.0,77.35
2017-11-24,77.28,77.36,76.34,77.19,482260.0,77.19
2017-11-22,75.84,78.19,75.45,77.07,1408416.0,77.07
2017-11-21,74.78,75.94,74.28,75.89,1735078.0,75.89
2017-11-20,75.24,75.42,74.26,74.61,2102920.0,74.61
2017-11-17,75.6,75.93,74.97,75.24,1729232.0,75.24
2017-11-16,75.12,76.22,75.12,75.97,2548171.0,75.97
2017-11-15,75.73,75.8,74.84,74.93,2401488.0,74.93
2017-11-14,77.5,77.68,75.72,76.05,3296922.0,76.05
2017-11-13,78.53,78.53,77.22,77.71,1873262.0,77.71
2017-11-10,79.15,79.33,78.31,78.68,1804600.0,78.68
2017-11-09,78.49,79.48,78.46,79.41,2598300.0,79.41
2017-11-07,76.99,78.2,76.92,77.92,1705188.0,77.92
2017-11-06,76.45,77.47,76.43,76.87,2453422.0,76.87
2017-11-03,76.91,77.49,75.72,76.43,2124505.0,76.43
2017-11-02,76.34,77.47,75.775,76.43,2392657.0,76.43
2017-11-01,75.73,77.53,75.29,76.83,3886220.0,76.83
2017-10-31,76.16,77.61,74.99,75.65,3475970.0,75.65
2017-10-30,76.26,76.9,75.95,76.18,2865591.0,76.18
2017-10-27,76.85,77.84,75.98,76.67,2899604.0,76.67
2017-10-26,79.43,79.58,76.7,76.89,3761911.0,76.89
