Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,38.25,38.725,37.45,37.63,2411107.0,37.63
2018-03-26,37.51,37.74,36.71,37.67,2690208.0,37.67
2018-03-23,38.2,38.47,37.2,37.26,1914591.0,37.26
2018-03-22,37.89,38.61,37.79,38.15,3255771.0,38.15
2018-03-21,37.78,38.48,37.78,38.19,2704639.0,38.19
2018-03-20,37.95,38.17,37.67,37.81,2943313.0,37.81
2018-03-19,38.45,38.5,37.47,37.84,2780374.0,37.84
2018-03-16,38.4,38.89,38.4,38.46,3052592.0,38.46
2018-03-15,38.46,38.895,38.295,38.48,1218422.0,38.48
2018-03-14,39.03,39.1,38.33,38.44,1434168.0,38.44
2018-03-13,39.19,39.31,38.57,38.78,2339816.0,38.78
2018-03-12,39.53,39.84,38.824,38.93,1937251.0,38.93
2018-03-09,38.88,39.65,38.86,39.57,1599333.0,39.57
2018-03-08,38.8,38.97,38.415,38.66,1992555.0,38.66
2018-03-07,38.24,38.875,38.24,38.64,2034343.0,38.64
2018-03-06,38.74,38.78,37.955,38.41,2021746.0,38.41
2018-03-05,37.91,38.75,37.91,38.64,1566962.0,38.64
2018-03-02,37.71,38.44,37.71,38.21,2075722.0,38.21
2018-03-01,38.82,38.82,37.68,37.99,2240877.0,37.99
2018-02-28,39.72,39.91,38.83,38.83,2725385.0,38.83
2018-02-27,39.86,40.14,39.545,39.56,1927829.0,39.56
2018-02-26,39.33,39.84,38.93,39.83,2069323.0,39.83
2018-02-23,39.21,39.28,38.38,39.21,1457292.0,39.21
2018-02-22,38.86,39.21,38.65,38.94,2147682.0,38.94
2018-02-21,38.98,39.42,38.83,38.85,1820036.0,38.85
2018-02-20,39.24,39.3,38.74,38.87,1396193.0,38.87
2018-02-16,39.12,39.56,38.85,39.29,3099745.0,39.29
2018-02-15,38.4,39.43,38.33,39.18,2823517.0,39.18
2018-02-14,37.64,38.16,37.25,38.03,3299984.0,38.03
2018-02-13,37.75,38.19,37.5975,37.8,3384319.0,37.8
2018-02-12,37.79,38.68,37.41,38.04,4435631.0,38.04
2018-02-09,35.62,38.1,35.33,37.74,8046912.0,37.74
2018-02-08,40.44,40.51,38.8,38.8,2916903.0,38.8
2018-02-07,40.15,40.78,40.14,40.45,2635325.0,40.45
2018-02-06,39.76,40.86,39.35,40.39,2400568.0,40.39
2018-02-05,42.07,42.33,40.29,40.47,2663334.0,40.47
2018-02-02,42.31,42.6,42.01,42.04,1886804.0,42.04
2018-02-01,42.5,43.06,42.19,42.58,2955301.0,42.58
2018-01-31,43.23,43.43,42.47,42.7,2895993.0,42.7
2018-01-30,43.7,43.84,42.56,43.13,3156610.0,43.13
2018-01-29,43.3,43.84,43.3,43.75,2133347.0,43.75
2018-01-26,42.8,43.45,42.69,43.38,1935174.0,43.38
2018-01-25,43.09,43.33,42.65,42.9,2088655.0,42.9
2018-01-24,43.1,43.48,42.71,42.9,2607628.0,42.9
2018-01-23,43.15,43.42,42.8,42.95,1675461.0,42.95
2018-01-22,43.53,43.595,42.83,43.24,2675818.0,43.24
2018-01-19,43.2,43.57,42.55,43.46,4329158.0,43.46
2018-01-18,43.91,44.1,43.42,43.85,2083192.0,43.85
2018-01-17,44.04,44.08,43.51,44.0,2051143.0,44.0
2018-01-16,43.92,44.25,43.58,43.75,3990205.0,43.75
2018-01-12,43.68,43.9,43.32,43.71,3050887.0,43.71
2018-01-11,43.68,43.72,43.05,43.55,2905043.0,43.55
2018-01-10,44.22,44.43,42.78,43.56,4391546.0,43.56
2018-01-09,44.6,45.09,44.075,44.22,2848471.0,44.22
2018-01-08,43.92,44.56,43.49,44.42,2716702.0,44.42
2018-01-05,43.87,44.21,43.75,43.98,1817254.0,43.98
2018-01-04,44.35,44.85,43.72,43.77,2404525.0,43.77
2018-01-03,43.0,43.8,42.755,43.49,1824822.0,43.49
2018-01-02,42.75,43.35,42.61,42.87,2164508.0,42.87
2017-12-29,43.5,43.5,42.68,42.75,1205906.0,42.75
2017-12-28,43.34,43.37,42.95,43.3,756145.0,43.3
2017-12-27,43.39,43.45,43.14,43.23,641253.0,43.23
2017-12-26,43.34,43.61,43.16,43.23,508104.0,43.23
2017-12-22,43.24,43.49,43.13,43.37,809313.0,43.37
2017-12-21,43.6,43.665,43.12,43.25,1338783.0,43.25
2017-12-20,43.51,43.9,43.3,43.44,1778200.0,43.44
2017-12-19,43.36,43.82,43.255,43.49,1945795.0,43.49
2017-12-18,43.79,44.19,43.25,43.36,1980583.0,43.36
2017-12-15,43.4,43.67,42.668,43.53,3542596.0,43.53
2017-12-14,43.77,43.94,42.93,42.96,2312051.0,42.96
2017-12-13,43.75,43.92,43.35,43.68,2842828.0,43.68
2017-12-12,43.81,43.8233,43.04,43.57,2360362.0,43.57
2017-12-11,43.47,44.18,43.1,43.82,4379646.0,43.82
2017-12-08,42.84,44.0,42.18,42.69,3058056.0,42.69
