Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,22.23,22.34,21.68,21.77,14796678.0,21.77
2018-03-26,22.25,22.44,21.92,22.2,9397222.0,22.2
2018-03-23,22.51,22.7,21.83,21.85,16512235.0,21.85
2018-03-22,23.04,23.1,22.43,22.47,13112294.0,22.47
2018-03-21,23.26,23.57,23.18,23.28,6214754.0,23.28
2018-03-20,23.25,23.555,23.2201,23.28,8313505.0,23.28
2018-03-19,23.45,23.4799,23.01,23.2,7385050.0,23.2
2018-03-16,23.57,23.82,23.49,23.51,19824220.0,23.51
2018-03-15,23.55,23.64,23.37,23.48,10308007.0,23.48
2018-03-14,23.79,23.81,23.28,23.48,9301344.0,23.48
2018-03-13,23.79,24.01,23.55,23.62,16915720.0,23.62
2018-03-12,24.69,24.69,23.82,23.83,19616660.0,23.83
2018-03-09,24.06,24.75,24.0,24.65,12892356.0,24.65
2018-03-08,24.15,24.24,23.75,23.95,6876519.0,23.95
2018-03-07,23.7451,24.14,23.695,24.04,8420580.0,24.04
2018-03-06,23.8,24.15,23.72,23.95,9874879.0,23.95
2018-03-05,23.46,23.875,23.335,23.69,10034124.0,23.69
2018-03-02,23.23,23.63,23.08,23.57,10112562.0,23.57
2018-03-01,23.47,23.79,23.02,23.35,12042409.0,23.35
2018-02-28,23.67,23.9,23.39,23.39,13264933.0,23.39
2018-02-27,23.37,23.83,23.26,23.52,15253996.0,23.52
2018-02-26,22.55,23.55,22.55,23.46,21337455.0,23.46
2018-02-23,22.75,23.22,22.0,22.13,21855893.0,22.13
2018-02-22,21.26,21.64,21.25,21.39,10396070.0,21.39
2018-02-21,21.45,21.735,21.17,21.17,7443505.0,21.17
2018-02-20,21.27,21.585,21.23,21.39,8000645.0,21.39
2018-02-16,21.4,21.71,21.3275,21.4,6063183.0,21.4
2018-02-15,21.48,21.53,20.95,21.45,7901374.0,21.45
2018-02-14,20.44,21.35,20.35,21.29,12084718.0,21.29
2018-02-13,20.3,20.66,20.3,20.58,11600472.0,20.58
2018-02-12,20.29,20.625,20.14,20.41,12410160.0,20.41
2018-02-09,20.21,20.31,19.31,20.11,13164030.0,20.11
2018-02-08,21.27,21.34,19.91,19.92,16480244.0,19.92
2018-02-07,21.36,21.525,21.0475,21.21,11803698.0,21.21
2018-02-06,20.65,21.49,20.01,21.43,20306168.0,21.43
2018-02-05,22.32,22.56,21.28,21.29,13099879.0,21.29
2018-02-02,23.08,23.19,22.47,22.48,8914468.0,22.48
2018-02-01,23.22,23.475,23.14,23.3,7311987.0,23.3
2018-01-31,23.56,23.74,23.29,23.32,13627152.0,23.32
2018-01-30,23.64,23.76,23.285,23.44,7872857.0,23.44
2018-01-29,24.1,24.1,23.71,23.81,6681864.0,23.81
2018-01-26,23.54,23.92,23.54,23.91,7931494.0,23.91
2018-01-25,23.77,23.835,23.3,23.32,7048523.0,23.32
2018-01-24,23.89,23.998,23.54,23.66,6622429.0,23.66
2018-01-23,23.43,23.86,23.36,23.81,7441794.0,23.81
2018-01-22,23.68,23.96,23.53,23.85,9103550.0,23.85
2018-01-19,23.43,23.79,23.42,23.7,11456696.0,23.7
2018-01-18,23.43,23.57,23.25,23.29,12066923.0,23.29
2018-01-17,22.7,23.49,22.66,23.46,11149850.0,23.46
