Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,153.95,154.8697,151.16,151.91,3810994.0,151.91
2018-03-26,151.21,153.657,150.28,153.37,4038586.0,153.37
2018-03-23,152.25,152.58,148.541,148.89,4389015.0,148.89
2018-03-22,155.0,155.2499,152.0,152.09,4617371.0,152.09
2018-03-21,156.57,158.2,155.92,156.69,3240695.0,156.69
2018-03-20,157.52,157.93,155.29,156.2,4296935.0,156.2
2018-03-19,159.71,159.8899,156.45,157.35,5415258.0,157.35
2018-03-16,160.06,161.98,159.64,160.26,8447294.0,160.26
2018-03-15,158.71,161.25,158.52,159.61,3860479.0,159.61
2018-03-14,160.17,160.68,157.74,158.12,3614293.0,158.12
2018-03-13,160.09,162.1122,158.81,159.32,4097662.0,159.32
2018-03-12,159.64,161.02,158.87,160.26,5056489.0,160.26
2018-03-09,157.47,159.5825,157.3,159.31,4783247.0,159.31
2018-03-08,159.0,159.57,155.07,156.21,6095521.0,156.21
2018-03-07,155.0,158.83,154.73,158.32,4607677.0,158.32
2018-03-06,157.28,157.89,155.1568,155.72,3594049.0,155.72
2018-03-05,154.12,157.49,153.75,156.95,3670630.0,156.95
2018-03-02,152.79,154.76,151.88,154.49,3261141.0,154.49
2018-03-01,155.53,156.9742,152.79,153.81,4039339.0,153.81
2018-02-28,157.5,158.1399,155.8,155.83,3761597.0,155.83
2018-02-27,158.46,159.78,156.53,156.55,4192962.0,156.55
2018-02-26,155.81,158.88,155.51,158.58,3576723.0,158.58
2018-02-23,154.3,155.855,154.07,155.52,3208908.0,155.52
2018-02-22,154.5,155.04,152.79,153.18,4017699.0,153.18
2018-02-21,155.43,156.79,153.9,153.96,3492694.0,153.96
2018-02-20,155.79,155.96,153.87,155.16,4267801.0,155.16
2018-02-16,155.71,157.7905,155.69,156.18,4239560.0,156.18
2018-02-15,155.5,156.86,153.7,156.01,5525079.0,156.01
2018-02-14,150.19,155.0,150.0,154.76,5422862.0,154.76
2018-02-13,150.9,151.179,149.64,150.75,4854790.0,150.75
2018-02-12,150.9,152.4,150.3,151.4,5659623.0,151.4
2018-02-09,148.6,150.54,144.3955,149.51,7763603.0,149.51
2018-02-08,152.48,153.16,147.5,147.59,6599136.0,147.59
2018-02-07,154.17,155.34,153.28,153.85,6069258.0,153.85
2018-02-06,150.29,155.49,149.11,155.34,9823824.0,155.34
2018-02-05,157.89,158.5,150.0,152.53,8600416.0,152.53
2018-02-02,161.7,162.0,158.8663,159.03,5174779.0,159.03
2018-02-01,163.19,164.13,161.9,162.4,4422505.0,162.4
