Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,243.85,248.5033,236.0,237.37,630734.0,237.37
2018-03-26,239.14,242.62,236.0,242.28,919275.0,242.28
2018-03-23,241.22,244.32,235.32,235.36,855359.0,235.36
2018-03-22,244.75,247.89,240.97,241.12,808785.0,241.12
2018-03-21,252.25,252.73,245.97,246.84,698214.0,246.84
2018-03-20,249.62,253.18,247.48,252.65,574910.0,252.65
2018-03-19,252.5,254.205,246.79,248.73,752717.0,248.73
2018-03-16,252.92,256.64,252.24,253.91,1016597.0,253.91
2018-03-15,252.26,255.57,251.24,251.61,675543.0,251.61
2018-03-14,254.65,255.92,250.46,251.79,845885.0,251.79
2018-03-13,254.94,256.04900000000004,251.11,253.54,603813.0,253.54
2018-03-12,251.33,254.89,250.07,253.17,636848.0,253.17
2018-03-09,244.59,250.67,244.15,250.12,739028.0,250.12
2018-03-08,241.5,243.72,240.3,243.52,709738.0,243.52
2018-03-07,233.54,242.19,231.6184,241.2,818299.0,241.2
2018-03-06,231.34,236.74,230.79,235.76,600273.0,235.76
2018-03-05,227.17,232.47,226.05,230.88,543884.0,230.88
2018-03-02,222.29,229.85,221.49,229.19,866186.0,229.19
2018-03-01,227.41,229.49,222.9294,224.54,747899.0,224.54
2018-02-28,231.25,233.25,227.95,228.02,700670.0,228.02
2018-02-27,232.87,234.08,229.73,229.73,658262.0,229.73
2018-02-26,234.54,235.43,231.0301,233.43,633049.0,233.43
2018-02-23,228.5,233.92,226.615,233.84,524645.0,233.84
2018-02-22,229.49,230.88,225.92,226.74,442205.0,226.74
2018-02-21,226.57,233.25,226.46,227.91,546292.0,227.91
2018-02-20,228.35,229.95,225.455,226.57,504530.0,226.57
2018-02-16,228.85,230.95,227.03,229.2,672608.0,229.2
2018-02-15,224.6,229.545,223.7262,229.13,684557.0,229.13
2018-02-14,217.47,223.85,216.34,223.11,806252.0,223.11
2018-02-13,219.36,221.1,217.8,220.44,652760.0,220.44
2018-02-12,218.43,222.855,216.35,221.03,995187.0,221.03
2018-02-09,211.35,219.58,210.08,217.14,1679191.0,217.14
2018-02-08,220.96,221.0,209.55,209.75,1195707.0,209.75
2018-02-07,218.85,223.64,216.77,221.2,1093935.0,221.2
2018-02-06,210.0,221.55,207.51,220.8,1722790.0,220.8
2018-02-05,221.45,223.54,213.0011,214.18,1297299.0,214.18
2018-02-02,227.98,228.99,219.54,220.18,1525190.0,220.18
2018-02-01,232.0,233.56,229.08,230.29,935211.0,230.29
2018-01-31,247.45,248.1,229.16,232.64,1741768.0,232.64
2018-01-30,240.69,243.55,238.95,241.18,1024127.0,241.18
2018-01-29,244.18,244.9,238.51,241.78,758503.0,241.78
2018-01-26,244.21,244.92,242.09,244.83,657015.0,244.83
2018-01-25,243.48,243.97,240.16,243.39,601662.0,243.39
2018-01-24,243.12,243.85,241.19,242.49,636976.0,242.49
2018-01-23,244.07,245.07,241.95,242.94,800754.0,242.94
2018-01-22,245.0,247.63,242.87,245.19,645054.0,245.19
2018-01-19,242.31,244.88,241.44,243.55,870361.0,243.55
2018-01-18,242.24,243.9,240.13,241.31,728804.0,241.31
2018-01-17,244.48,244.48,240.8718,242.05,716382.0,242.05
2018-01-16,247.33,248.97,241.07,241.42,984131.0,241.42
2018-01-12,240.95,245.96,240.63,244.72,974374.0,244.72
2018-01-11,243.85,244.2,239.32,240.04,751780.0,240.04
2018-01-10,242.8,244.0,238.24,242.59,920886.0,242.59
2018-01-09,236.77,245.74,235.48,242.8,2698445.0,242.8
2018-01-08,227.55,228.9,225.665,227.06,952435.0,227.06
2018-01-05,231.99,232.9,225.796,228.17,1456897.0,228.17
2018-01-04,231.83,233.54,231.23,232.99,858660.0,232.99
2018-01-03,224.5,231.225,224.265,230.32,899842.0,230.32
2018-01-02,224.78,224.85,222.13,224.03,795821.0,224.03
2017-12-29,217.38,220.4895,217.38,218.49,880670.0,218.49
