Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,52.42,52.9007,51.79,52.13,3351239.0,52.13
2018-03-26,51.26,52.565,51.01,52.37,4572513.0,52.37
2018-03-23,51.66,51.97,50.04,50.15,3178185.0,50.15
2018-03-22,53.0,53.15,50.42,51.41,2933457.0,51.41
2018-03-21,53.2,53.93,52.81,53.53,2819536.0,53.53
2018-03-20,53.51,54.04,53.0,53.2,2836092.0,53.2
2018-03-19,54.5,54.59,52.89,53.22,2990410.0,53.22
2018-03-16,54.46,55.165,54.29,54.57,3700978.0,54.57
2018-03-15,54.8,54.97,54.35,54.42,2529154.0,54.42
2018-03-14,55.36,55.42,54.44,54.75,2977807.0,54.75
2018-03-13,55.3,55.64,54.9,55.0,2845386.0,55.0
2018-03-12,55.51,55.8199,54.9,54.98,3262246.0,54.98
2018-03-09,55.05,55.32,54.37,55.24,3872745.0,55.24
2018-03-08,55.0,55.38,54.56,54.9,3544686.0,54.9
2018-03-07,56.04,56.18,54.28,55.0,7476810.0,55.0
2018-03-06,58.34,58.605,57.19,57.7,4452804.0,57.7
2018-03-05,58.11,59.17,58.05,58.94,1993546.0,58.94
2018-03-02,57.99,58.67,57.68,58.47,1931886.0,58.47
2018-03-01,59.64,59.8656,57.953,58.36,2243668.0,58.36
2018-02-28,60.47,60.74,59.56,59.59,2354380.0,59.59
2018-02-27,60.6,61.3,60.16,60.16,1824087.0,60.16
2018-02-26,59.85,60.75,59.52,60.57,1453564.0,60.57
2018-02-23,58.71,59.52,58.42,59.5,2237071.0,59.5
2018-02-22,58.74,59.08,58.16,58.31,1437342.0,58.31
2018-02-21,58.0,59.5,57.8,58.4,2282198.0,58.4
2018-02-20,58.23,59.05,57.86,58.0,2794752.0,58.0
2018-02-16,58.44,59.58,58.29,58.94,2312692.0,58.94
2018-02-15,58.84,58.9705,57.83,58.6,2865144.0,58.6
2018-02-14,57.57,58.5,57.43,58.38,2029129.0,58.38
2018-02-13,57.7,58.14,57.02,58.03,2240432.0,58.03
2018-02-12,57.61,58.3099,57.16,57.88,2558583.0,57.88
2018-02-09,56.95,57.74,55.13,57.2,3340114.0,57.2
2018-02-08,59.15,59.22,56.0,56.05,3701703.0,56.05
2018-02-07,59.33,60.5995,59.1322,59.25,3841289.0,59.25
2018-02-06,58.53,59.76,57.2824,59.57,4303469.0,59.57
2018-02-05,61.83,62.83,59.235,59.44,3375937.0,59.44
2018-02-02,61.49,62.95,61.26,62.17,4197376.0,62.17
2018-02-01,62.89,63.32,61.36,61.67,4267529.0,61.67
2018-01-31,63.34,63.49,62.41,62.86,4818749.0,62.86
2018-01-30,64.42,65.07,63.66,64.2,2408523.0,64.2
2018-01-29,66.94,66.94,64.95,65.08,3725829.0,65.08
2018-01-26,63.55,66.73,63.25,64.75,3093288.0,64.75
2018-01-25,63.84,64.07,63.21,63.4,1598210.0,63.4
2018-01-24,63.62,64.31,63.41,63.66,1750198.0,63.66
2018-01-23,63.14,63.57,62.99,63.32,1680954.0,63.32
2018-01-22,63.32,63.53,62.76,63.46,1914700.0,63.46
2018-01-19,62.89,63.7069,62.8,63.5,3077436.0,63.5
2018-01-18,61.24,62.82,61.16,62.62,4359842.0,62.62
2018-01-17,61.59,61.79,61.32,61.49,1547011.0,61.49
2018-01-16,62.1,62.29,60.88,61.23,1825599.0,61.23
2018-01-12,62.37,62.43,61.71,62.26,2226553.0,62.26
2018-01-11,62.07,62.23,61.69,62.23,1238152.0,62.23
2018-01-10,61.53,61.96,61.28,61.62,1341461.0,61.62
2018-01-09,62.19,62.37,61.34,61.49,2484369.0,61.49
2018-01-08,61.8,62.44,61.65,62.13,2454444.0,62.13
2018-01-05,61.87,61.89,61.46,61.7,1730978.0,61.7
2018-01-04,60.88,61.88,60.73,61.58,2454051.0,61.58
2018-01-03,59.95,60.83,59.79,60.56,2705527.0,60.56
2018-01-02,58.7,59.8358,58.26,59.77,3111362.0,59.77
2017-12-29,57.99,58.25,57.63,57.94,1562882.0,57.94
2017-12-28,57.71,57.83,57.25,57.83,1007328.0,57.83
2017-12-27,57.67,57.93,57.47,57.65,904600.0,57.65
2017-12-26,58.03,58.26,57.4,57.49,1303139.0,57.49
2017-12-22,57.595,58.14,57.4011,57.98,1228632.0,57.98
2017-12-21,57.87,58.1,57.435,57.48,1335186.0,57.48
2017-12-20,58.02,58.18,57.84,57.97,1838587.0,57.97
2017-12-19,57.54,58.21,57.46,57.76,3098622.0,57.76
2017-12-18,56.73,57.57,56.55,57.41,2873345.0,57.41
2017-12-15,56.05,56.46,55.77,56.25,4653182.0,56.25
2017-12-14,56.375,56.73,55.18,55.18,2201026.0,55.18
2017-12-13,56.68,57.21,56.47,56.48,1584623.0,56.48
2017-12-12,57.4,57.4,56.54,56.63,2582139.0,56.63
2017-12-11,56.86,57.43,56.65,57.32,2628337.0,57.32
2017-12-08,56.92,57.23,56.66,56.91,1294082.0,56.91
2017-12-07,56.75,57.1,56.55,56.8,1198462.0,56.8
2017-12-06,56.95,57.25,56.69,56.8,1378071.0,56.8
2017-12-05,56.96,57.34,56.42,56.92,2295818.0,56.92
2017-12-04,56.0,57.28,55.72,56.88,2457494.0,56.88
2017-12-01,56.54,56.55,54.7721,55.63,2807824.0,55.63
2017-11-30,55.53,56.93,55.38,56.61,2825834.0,56.61
2017-11-29,55.54,55.7706,55.0,55.52,2317147.0,55.52
2017-11-28,55.34,55.62,55.0,55.58,2301700.0,55.58
2017-11-27,54.91,55.2,54.63,55.04,1560397.0,55.04
2017-11-24,54.98,55.45,54.73,54.92,566999.0,54.92
2017-11-22,54.85,55.07,54.61,54.75,1085762.0,54.75
2017-11-21,54.46,54.99,54.26,54.71,1994682.0,54.71
2017-11-20,54.0,54.29,53.8785,54.15,1203618.0,54.15
2017-11-17,53.93,54.38,53.7,54.21,1248361.0,54.21
2017-11-16,54.08,54.47,53.73,54.07,1982726.0,54.07
2017-11-15,53.97,54.46,53.1,53.89,1840775.0,53.89
2017-11-14,53.8,54.43,53.7465,54.33,1879334.0,54.33
2017-11-13,54.57,54.69,54.129,54.39,2438065.0,54.39
2017-11-10,54.75,54.94,54.32,54.85,1785446.0,54.85
2017-11-09,55.02,55.33,54.803000000000004,54.93,1422871.0,54.93
2017-11-07,55.61,55.83,55.11,55.25,2251427.0,55.25
2017-11-06,57.1,57.19,55.66,55.81,2328420.0,55.81
2017-11-03,57.45,57.64,56.9343,57.12,1516087.0,57.12
2017-11-02,57.87,58.45,57.385,57.5,2195322.0,57.5
2017-11-01,57.65,57.93,57.31,57.72,1777798.0,57.72
2017-10-31,57.23,57.65,57.08,57.27,1268586.0,57.27
2017-10-30,57.62,57.84,56.955,57.19,1420483.0,57.19
2017-10-27,58.0,58.053000000000004,56.14,57.95,2605710.0,57.95
2017-10-26,58.52,58.55,57.55,58.0,1978255.0,58.0
2017-10-25,58.91,58.95,57.52,58.005,1976692.0,58.005
2017-10-24,58.61,58.96,58.09,58.67,1797255.0,58.67
2017-10-23,58.43,58.57,57.89,58.25,1221943.0,58.25
2017-10-20,57.97,58.25,57.64,58.21,1180550.0,58.21
2017-10-19,57.75,57.9,57.27,57.61,1213776.0,57.61
2017-10-18,58.3,58.33,57.805,58.02,1265797.0,58.02
2017-10-17,57.7,58.19,57.7,58.14,1355890.0,58.14
2017-10-16,57.59,57.72,57.25,57.72,1285422.0,57.72
2017-10-13,57.33,57.59,57.26,57.45,1306714.0,57.45
2017-10-12,57.28,57.56,57.13,57.23,1676393.0,57.23
2017-10-11,57.69,57.98,57.14,57.39,1552576.0,57.39
2017-10-10,57.03,57.69,57.03,57.64,1119953.0,57.64
2017-10-09,57.43,57.44,56.945,57.03,1313009.0,57.03
2017-10-06,57.71,57.95,57.25,57.45,982049.0,57.45
2017-10-05,57.68,57.77,57.26,57.71,1279546.0,57.71
2017-10-04,57.49,57.93,57.25,57.78,1367153.0,57.78
2017-10-03,57.49,57.54,57.01,57.39,1379799.0,57.39
2017-10-02,56.87,57.6141,56.76,57.38,2137618.0,57.38
2017-09-29,56.77,57.03,56.44,56.82,1430212.0,56.82
2017-09-28,56.54,57.09,56.54,56.87,1763184.0,56.87
2017-09-27,56.15,56.855,55.99,56.65,2111665.0,56.65
2017-09-26,55.85,56.15,55.6,55.9,1757938.0,55.9
2017-09-25,56.0,56.06,55.38,55.67,2418596.0,55.67
2017-09-22,57.2,57.3,55.44,56.05,3454964.0,56.05
2017-09-21,57.85,58.09,57.16,57.29,1319006.0,57.29
2017-09-20,57.44,57.97,57.18,57.84,1616412.0,57.84
2017-09-19,57.06,57.51,56.54,57.5,1959941.0,57.5
2017-09-18,56.51,57.15,56.42,57.05,2010045.0,57.05
2017-09-15,56.07,56.585,55.85,56.23,2146470.0,56.23
2017-09-14,55.92,56.65,55.69,56.26,1463588.0,56.26
2017-09-13,55.99,56.3999,55.24,56.15,1923932.0,56.15
2017-09-12,56.56,57.15,55.89,56.02,1948718.0,56.02
2017-09-11,55.1,56.3462,54.74,56.1,3428248.0,56.1
2017-09-08,54.67,55.0499,54.5,54.78,1448830.0,54.78
2017-09-07,54.98,55.03,54.4,54.69,1120159.0,54.69
2017-09-06,54.96,55.23,54.44,54.88,1241675.0,54.88
