Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,32.17,32.24,31.06,31.36,3904282.0,31.36
2018-03-26,31.4,32.18,31.06,32.13,3999667.0,32.13
2018-03-23,31.53,31.71,30.66,30.72,2925322.0,30.72
2018-03-22,32.45,32.62,31.36,31.45,3983274.0,31.45
2018-03-21,32.58,33.55,32.54,32.94,3744124.0,32.94
2018-03-20,32.79,32.85,32.415,32.53,2888729.0,32.53
2018-03-19,33.11,33.2,32.29,32.64,3390495.0,32.64
2018-03-16,33.05,33.47,33.04,33.2,10855867.0,33.2
2018-03-15,33.35,33.37,32.605,32.92,5065433.0,32.92
2018-03-14,34.23,34.23,33.205,33.27,4175675.0,33.27
2018-03-13,34.64,34.885,33.97,34.11,2831723.0,34.11
2018-03-12,34.61,35.03,34.47,34.52,4189639.0,34.52
2018-03-09,34.24,34.57,33.795,34.52,3514480.0,34.52
2018-03-08,33.37,33.96,33.2,33.9,5522825.0,33.9
2018-03-07,32.74,33.38,32.7,33.34,4082329.0,33.34
2018-03-06,32.93,33.225,32.57,33.12,3012752.0,33.12
2018-03-05,32.11,32.9,31.8,32.67,3225602.0,32.67
2018-03-02,31.64,32.28,31.44,32.21,3727600.0,32.21
2018-03-01,32.55,32.74,31.57,31.81,4218443.0,31.81
2018-02-28,33.25,33.515,32.52,32.54,4098235.0,32.54
2018-02-27,33.75,34.0,33.01,33.02,3266875.0,33.02
2018-02-26,33.43,33.88,33.14,33.84,2636577.0,33.84
2018-02-23,33.06,33.2,32.8,33.19,2230435.0,33.19
2018-02-22,33.36,33.6,32.85,32.94,3783075.0,32.94
2018-02-21,33.34,33.95,33.2,33.22,3769741.0,33.22
2018-02-20,33.71,34.03,33.05,33.21,4281635.0,33.21
2018-02-16,33.12,34.05,33.02,33.92,4801236.0,33.92
2018-02-15,33.4,33.81,32.86,33.19,3747809.0,33.19
2018-02-14,32.06,33.19,31.92,33.17,3932443.0,33.17
2018-02-13,32.49,33.01,32.31,32.51,3180873.0,32.51
2018-02-12,32.72,32.95,32.1537,32.52,2715961.0,32.52
2018-02-09,32.4,32.73,31.24,32.44,5316685.0,32.44
2018-02-08,33.45,33.53,31.92,31.92,4143576.0,31.92
2018-02-07,33.54,34.36,33.43,33.46,4162831.0,33.46
2018-02-06,32.39,33.86,32.08,33.61,6412809.0,33.61
2018-02-05,34.53,35.1538,33.02,33.17,6208166.0,33.17
2018-02-02,35.65,35.7,34.815,35.16,4996773.0,35.16
2018-02-01,36.25,36.64,35.85,36.03,3966626.0,36.03
2018-01-31,36.25,36.66,35.41,36.13,4906359.0,36.13
2018-01-30,37.12,37.4,36.68,36.68,3924828.0,36.68
2018-01-29,38.26,38.43,37.47,37.48,3056512.0,37.48
2018-01-26,37.7,38.43,37.45,38.4,3271482.0,38.4
2018-01-25,37.69,37.71,37.24,37.59,2018986.0,37.59
2018-01-24,37.88,38.2,37.49,37.61,2673014.0,37.61
2018-01-23,37.78,38.0149,37.435,37.61,3187251.0,37.61
2018-01-22,37.96,38.06,37.33,37.87,3096192.0,37.87
2018-01-19,37.98,38.25,37.92,38.13,2450570.0,38.13
2018-01-18,38.08,38.21,37.79,37.86,2308808.0,37.86
2018-01-17,37.4,38.29,37.31,38.08,3170584.0,38.08
2018-01-16,38.13,38.42,37.09,37.2,3768076.0,37.2
2018-01-12,37.59,37.88,37.41,37.86,2511785.0,37.86
2018-01-11,36.92,37.33,36.6,37.3,2974177.0,37.3
2018-01-10,37.31,37.66,36.68,36.82,3929525.0,36.82
2018-01-09,36.97,37.4799,36.97,37.2,2825481.0,37.2
2018-01-08,36.57,37.09,36.56,36.84,3534044.0,36.84
2018-01-05,36.99,37.33,36.81,37.28,3219762.0,37.28
2018-01-04,36.67,37.12,36.64,36.83,2362264.0,36.83
2018-01-03,36.0,36.58,35.89,36.53,2876736.0,36.53
2018-01-02,36.84,36.86,36.18,36.35,2814381.0,36.35
2017-12-29,36.89,36.89,36.54,36.54,1490256.0,36.54
2017-12-28,36.65,36.795,36.48,36.77,1388134.0,36.77
2017-12-27,36.68,36.68,36.4,36.54,1040641.0,36.54
2017-12-26,36.66,36.79,36.42,36.6,637852.0,36.6
2017-12-22,36.62,36.79,36.51,36.64,1303404.0,36.64
2017-12-21,36.62,36.79,36.455,36.61,2601350.0,36.61
2017-12-20,36.94,37.05,36.41,36.52,1785709.0,36.52
2017-12-19,37.0,37.09,36.6,36.61,2467526.0,36.61
2017-12-18,36.99,37.09,36.67,36.81,2231816.0,36.81
2017-12-15,36.48,36.85,36.41,36.56,4892301.0,36.56
2017-12-14,37.0,37.15,36.29,36.29,2791350.0,36.29
2017-12-13,37.24,37.72,36.92,36.96,3606382.0,36.96
2017-12-12,37.17,37.4,36.81,37.17,2837564.0,37.17
2017-12-11,37.75,37.8464,37.22,37.39,2489336.0,37.39
2017-12-08,37.46,37.77,37.28,37.67,1481585.0,37.67
2017-12-07,36.97,37.82,36.82,37.34,2101636.0,37.34
2017-12-06,36.6,37.35,36.54,37.09,2394200.0,37.09
2017-12-05,36.95,36.95,36.53,36.63,1537479.0,36.63
2017-12-04,36.88,37.12,36.67,36.88,2978289.0,36.88
2017-12-01,36.28,36.42,35.09,36.21,3224800.0,36.21
2017-11-30,36.35,36.68,36.04,36.17,2590954.0,36.17
2017-11-29,36.23,36.48,35.67,36.1,3486310.0,36.1
2017-11-28,35.37,36.205,35.2,36.0,3287004.0,36.0
2017-11-27,35.14,35.32,35.0,35.2,2949409.0,35.2
2017-11-24,35.35,35.4,35.045,35.09,687914.0,35.09
2017-11-22,35.67,35.85,35.16,35.23,1419693.0,35.23
2017-11-21,35.63,35.88,35.44,35.63,2075361.0,35.63
2017-11-20,35.05,35.81,35.01,35.46,2935663.0,35.46
2017-11-17,34.43,35.07,34.365,34.98,2888351.0,34.98
2017-11-16,34.71,34.87,34.5,34.57,2280142.0,34.57
2017-11-15,34.21,34.8,33.95,34.48,4630082.0,34.48
2017-11-14,34.29,34.525,34.26,34.47,2107846.0,34.47
2017-11-13,34.63,34.68,34.351,34.52,1896445.0,34.52
2017-11-10,35.46,35.54,35.03,35.15,1595813.0,35.15
2017-11-09,35.42,35.57,35.19,35.5,1865447.0,35.5
2017-11-07,35.93,36.09,35.38,35.61,1630999.0,35.61
2017-11-06,35.99,36.12,35.8,35.87,1496622.0,35.87
2017-11-03,36.16,36.19,35.73,36.05,2448831.0,36.05
2017-11-02,35.81,36.31,35.71,36.16,3301223.0,36.16
2017-11-01,36.05,36.25,35.74,35.76,1726377.0,35.76
2017-10-31,36.04,36.167,35.73,35.79,2722092.0,35.79
2017-10-30,36.63,36.78,35.94,36.04,2693892.0,36.04
2017-10-27,37.2,37.379,36.75,36.89,1788348.0,36.89
2017-10-26,37.7,37.75,36.42,37.15,2334045.0,37.15
2017-10-25,37.4,37.4,36.37,36.825,3106521.0,36.825
2017-10-24,37.5,37.585,37.28,37.41,1980840.0,37.41
2017-10-23,37.32,37.51,37.17,37.26,2169349.0,37.26
2017-10-20,37.33,37.42,37.13,37.34,3190870.0,37.34
2017-10-19,36.5,36.88,36.48,36.88,2214465.0,36.88
2017-10-18,36.34,36.83,36.27,36.79,2773095.0,36.79
2017-10-17,36.34,36.3425,36.025,36.19,1974859.0,36.19
2017-10-16,36.24,36.39,36.085,36.32,2255479.0,36.32
2017-10-13,36.27,36.55,36.12,36.15,3107405.0,36.15
2017-10-12,36.28,36.685,36.19,36.29,4411378.0,36.29
2017-10-11,36.11,36.56,36.11,36.29,2641890.0,36.29
2017-10-10,35.88,36.21,35.8,36.08,2818238.0,36.08
2017-10-09,35.9,35.92,35.67,35.73,1745014.0,35.73
2017-10-06,35.89,35.89,35.6,35.77,2082198.0,35.77
2017-10-05,35.61,36.17,35.58,35.8,2661911.0,35.8
2017-10-04,35.67,35.91,35.45,35.59,1903789.0,35.59
2017-10-03,35.51,35.83,35.355,35.76,2235063.0,35.76
2017-10-02,35.01,35.545,34.63,35.53,3007193.0,35.53
2017-09-29,34.46,35.44,34.46,35.04,3322490.0,35.04
2017-09-28,34.0,34.29,33.65,34.28,2716441.0,34.28
2017-09-27,34.47,34.575,34.1,34.4,1714271.0,34.4
2017-09-26,34.29,34.4,34.07,34.09,1161092.0,34.09
2017-09-25,34.11,34.415,33.925,34.23,1476093.0,34.23
2017-09-22,33.49,34.235,33.35,34.2,2653112.0,34.2
2017-09-21,33.48,33.65,33.18,33.56,1556508.0,33.56
2017-09-20,33.55,33.6,33.26,33.45,2122752.0,33.45
2017-09-19,33.44,33.63,33.25,33.51,2538243.0,33.51
2017-09-18,33.12,33.6,33.12,33.44,2835958.0,33.44
2017-09-15,32.77,33.09,32.59,33.08,3773658.0,33.08
2017-09-14,32.64,33.01,32.545,32.79,2331573.0,32.79
2017-09-13,32.48,32.74,32.37,32.73,1985152.0,32.73
2017-09-12,32.42,32.62,32.29,32.51,1755212.0,32.51
2017-09-11,32.1,32.56,32.03,32.1,1930311.0,32.1
2017-09-08,31.67,31.88,31.58,31.69,2158241.0,31.69
2017-09-07,32.08,32.15,31.6,31.75,1935558.0,31.75
2017-09-06,32.48,32.59,32.01,32.05,2401530.0,32.05
2017-09-05,32.93,32.94,32.14,32.26,2743096.0,32.26
2017-09-01,32.95,33.2993,32.88,33.12,1832663.0,33.12
2017-08-31,32.65,32.86,32.42,32.78,1989641.0,32.78
2017-08-30,32.23,32.54,32.1,32.44,2307253.0,32.44
2017-08-29,32.08,32.36,31.85,32.23,2821559.0,32.23
2017-08-28,32.93,32.97,32.32,32.45,1791620.0,32.45
2017-08-25,32.78,33.0,32.59,32.77,2033187.0,32.77
2017-08-24,32.95,32.95,32.39,32.58,2270634.0,32.58
2017-08-23,32.98,33.255,32.85,32.87,1892244.0,32.87
2017-08-22,32.94,33.27,32.71,33.25,1771145.0,33.25
2017-08-21,32.81,32.93,32.59,32.88,1357666.0,32.88
2017-08-18,32.67,33.185,32.57,32.86,2969321.0,32.86
2017-08-17,33.5,33.6,32.76,32.77,2487919.0,32.77
2017-08-16,34.02,34.15,33.61,33.66,2005247.0,33.66
2017-08-15,33.9,33.99,33.645,33.82,1717247.0,33.82
2017-08-14,34.29,34.2925,33.935,34.0,1795131.0,33.710935209616
2017-08-11,33.53,34.105,33.36,33.99,2768167.0,33.701020228672
2017-08-10,34.29,34.42,33.52,33.54,2476493.0,33.254846086192
2017-08-09,34.38,34.58,34.17,34.57,1901172.0,34.276089123424
2017-08-08,34.64,35.11,34.53,34.61,2101926.0,34.3157490472
2017-08-07,34.67,34.795,34.443000000000005,34.76,1634773.0,34.46447376136
2017-08-04,34.78,34.795,34.42,34.57,1987363.0,34.276089123424
2017-08-03,34.59,35.11,34.32,34.53,2500515.0,34.236429199648
2017-08-02,35.11,35.22,34.6,34.63,4380813.0,34.335579009088
2017-08-01,34.94,35.23,34.73,35.2,2170326.0,34.900732922897
2017-07-31,34.55,35.17,34.44,34.77,5075754.0,34.474388742304
2017-07-28,34.32,34.73,34.11,34.36,4212974.0,34.067874523600004
2017-07-27,36.34,36.34,33.86,34.6,6188153.0,34.305834066256
2017-07-26,36.6,36.75,36.29,36.44,2799996.0,36.130190559953
2017-07-25,36.72,36.835,36.44,36.53,2185704.0,36.219425388449004
2017-07-24,36.05,36.335,35.98,36.27,1971023.0,35.961635883905004
2017-07-21,36.08,36.26,35.87,36.05,1726619.0,35.743506303137
2017-07-20,36.31,36.43,36.1,36.14,2165550.0,35.832741131633
2017-07-19,36.11,36.21,35.92,36.2,1493899.0,35.892231017297
2017-07-18,35.94,36.18,35.81,35.94,2087063.0,35.634441512753
2017-07-17,36.48,36.48,35.82,36.17,1920763.0,35.862486074465
2017-07-14,35.68,36.2,35.53,36.11,2049596.0,35.802996188800996
2017-07-13,36.1,36.1,35.55,35.9,3739289.0,35.594781588977
2017-07-12,35.79,36.27,35.72,36.11,2419607.0,35.802996188800996
2017-07-11,36.48,36.48,35.625,35.72,2846867.0,35.416311931985
2017-07-10,35.78,36.63,35.775,36.47,2932496.0,36.159935502785004
2017-07-07,35.48,35.99,35.28,35.92,2941078.0,35.614611550865
2017-07-06,35.33,35.67,35.145,35.16,3099506.0,34.861072999120005
2017-07-05,35.56,35.82,35.3,35.5,2032722.0,35.198182351217
2017-07-03,35.46,35.97,35.46,35.51,1497301.0,35.208097332161
2017-06-30,35.3,35.44,35.06,35.19,2345956.0,34.890817941953
2017-06-29,35.73,35.91,34.69,35.0,2727587.0,34.702433304016
2017-06-28,35.05,35.32,34.735,35.31,3614961.0,35.009797713281
2017-06-27,35.24,35.25,34.75,34.77,3310200.0,34.474388742304
2017-06-26,35.17,35.36,34.86,35.01,2910819.0,34.71234828496
2017-06-23,35.14,35.14,34.77,34.97,3305619.0,34.672688361184
2017-06-22,34.74,35.18,34.71,34.99,1780311.0,34.692518323072
2017-06-21,35.15,35.19,34.76,34.8,2259194.0,34.504133685136
2017-06-20,35.26,35.39,35.07,35.07,1791144.0,34.771838170624
2017-06-19,34.8,35.48,34.71,35.4,2660501.0,35.099032541777
2017-06-16,34.55,34.72,34.38,34.61,3174310.0,34.3157490472
2017-06-15,34.13,34.69,34.13,34.58,2084081.0,34.286004104368
2017-06-14,34.29,34.73,34.14,34.68,2034771.0,34.385153913808
2017-06-13,34.57,34.79,34.345,34.49,2151221.0,34.196769275872
2017-06-12,34.31,34.7,34.21,34.45,2583281.0,34.157109352096
2017-06-09,34.15,34.34,33.925,34.32,2898645.0,34.028214599824
