Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,34.86,35.12,34.09,34.32,4580115.0,34.32
2018-03-26,34.72,35.0,33.89,34.94,5376671.0,34.94
2018-03-23,35.5,35.69,34.21,34.33,5418509.0,34.33
2018-03-22,36.02,36.415,35.43,35.5,6090431.0,35.5
2018-03-21,35.98,36.76,35.85,36.33,4144533.0,36.33
2018-03-20,36.43,36.51,35.61,35.85,6981216.0,35.85
2018-03-19,36.69,36.86,36.13,36.41,4099670.0,36.41
2018-03-16,36.73,36.91,36.56,36.7,7011590.0,36.7
2018-03-15,37.29,37.34,36.77,37.05,5241651.0,37.05
2018-03-14,39.05,39.05,37.15,37.22,7567487.0,37.22
2018-03-13,39.01,39.69,38.81,38.88,4577121.0,38.88
2018-03-12,39.25,39.51,38.43,38.7,5994352.0,38.7
2018-03-09,37.81,38.54,37.67,38.54,3016616.0,38.54
2018-03-08,37.18,37.65,37.03,37.63,3840470.0,37.63
2018-03-07,36.92,37.15,36.33,37.07,4190371.0,37.07
2018-03-06,37.05,37.54,36.87,37.39,3705579.0,37.39
2018-03-05,36.08,37.02,36.04,36.92,5658790.0,36.92
2018-03-02,35.51,36.35,34.99,36.27,6717177.0,36.27
2018-03-01,36.87,36.87,35.06,35.9,9791625.0,35.9
2018-02-28,38.03,38.1792,36.865,36.87,4511939.0,36.87
2018-02-27,38.73,38.99,38.02,38.02,3517643.0,38.02
2018-02-26,38.87,39.0,38.4,38.74,3043915.0,38.74
2018-02-23,38.13,38.85,38.05,38.82,3274752.0,38.82
2018-02-22,38.1,38.675,37.83,37.98,3353522.0,37.98
2018-02-21,37.86,38.55,37.82,37.85,2900277.0,37.85
2018-02-20,38.19,38.47,37.75,37.87,3547140.0,37.87
2018-02-16,38.17,38.84,38.09,38.42,4975067.0,38.42
2018-02-15,37.75,38.26,37.45,38.19,6694697.0,38.19
2018-02-14,37.1,37.68,37.1,37.51,7110967.0,37.51
2018-02-13,37.26,37.82,37.13,37.39,4490911.0,37.39
2018-02-12,36.58,37.63,36.5201,37.41,8804625.0,37.41
2018-02-09,36.97,37.13,35.43,36.29,7982202.0,36.29
2018-02-08,37.61,37.72,36.53,36.55,5352640.0,36.55
2018-02-07,37.51,38.235,37.45,37.6,5143066.0,37.6
2018-02-06,36.91,38.0,36.46,37.62,7396644.0,37.62
2018-02-05,39.33,39.54,37.47,37.52,7250828.0,37.52
2018-02-02,39.42,39.925,39.41,39.53,5231060.0,39.53
2018-02-01,38.79,40.2046,38.78,39.81,8165548.0,39.81
2018-01-31,40.18,40.41,38.36,39.13,8061292.0,39.13
2018-01-30,40.23,40.415,39.3,39.84,6843923.0,39.84
2018-01-29,41.26,41.44,40.4,40.46,5881678.0,40.46
2018-01-26,40.95,41.53,40.79,41.43,7995028.0,41.43
2018-01-25,40.75,40.89,40.28,40.79,4050724.0,40.79
2018-01-24,40.47,40.69,40.01,40.6,5598145.0,40.6
2018-01-23,39.55,40.57,39.35,40.47,7365679.0,40.47
2018-01-22,38.9,39.21,38.6,39.2,6688101.0,39.2
2018-01-19,39.34,39.36,38.68,38.9,10379994.0,38.9
2018-01-18,38.72,39.68,38.55,39.29,9549370.0,39.29
2018-01-17,40.17,40.27,39.38,39.53,9540587.0,39.53
2018-01-16,39.93,40.32,39.86,40.17,7651818.0,40.17
2018-01-12,39.66,39.97,39.44,39.8,5939600.0,39.8
2018-01-11,39.05,39.61,39.05,39.56,3519785.0,39.56
2018-01-10,38.87,39.19,38.46,39.06,4268156.0,39.06
2018-01-09,38.99,39.165,38.67,38.75,7897970.0,38.75
2018-01-08,38.21,39.16,38.14,38.94,5221914.0,38.94
2018-01-05,39.32,39.92,38.05,38.42,9322017.0,38.42
2018-01-04,39.3,40.135,39.16,39.85,10826824.0,39.85
2018-01-03,38.17,39.07,38.09,38.96,4783118.0,38.96
2018-01-02,38.32,38.46,37.75,38.23,5571678.0,38.23
2017-12-29,38.2,38.35,38.04,38.11,3876979.0,38.11
2017-12-28,37.89,38.19,37.71,38.18,3757793.0,38.18
2017-12-27,37.9,38.02,37.63,37.92,4127342.0,37.92
2017-12-26,38.11,38.29,37.88,37.9,3642017.0,37.9
2017-12-22,38.0,38.21,37.875,38.11,4245968.0,38.11
2017-12-21,37.75,38.08,37.64,38.0,5910007.0,38.0
2017-12-20,37.51,37.86,37.43,37.65,4739042.0,37.65
2017-12-19,37.56,37.65,37.2,37.46,4170520.0,37.46
2017-12-18,37.53,37.75,37.19,37.51,5516578.0,37.51
2017-12-15,37.33,37.48,36.79,37.26,7889117.0,37.26
2017-12-14,37.58,37.71,37.37,37.41,3041530.0,37.41
2017-12-13,38.09,38.22,37.65,37.66,5078762.0,37.66
2017-12-12,37.73,38.29,37.45,38.25,6616882.0,38.25
2017-12-11,37.29,38.03,37.2856,37.71,4361189.0,37.71
2017-12-08,36.72,37.45,36.52,37.41,6049052.0,37.41
2017-12-07,37.68,37.91,37.21,37.36,5477713.0,37.36
2017-12-06,37.13,37.69,37.0761,37.24,5472648.0,37.24
2017-12-05,37.42,37.455,37.02,37.13,6423268.0,37.13
2017-12-04,37.72,37.79,37.31,37.43,7563594.0,37.43
2017-12-01,37.73,37.82,36.77,37.42,6181671.0,37.42
2017-11-30,38.21,38.31,37.453,37.64,8180538.0,37.64
2017-11-29,38.36,38.5,37.9,38.09,4797484.0,38.09
2017-11-28,37.25,38.53,37.04,38.42,6251806.0,38.42
2017-11-27,36.93,37.25,36.69,37.09,6240180.0,37.09
2017-11-24,36.81,36.94,36.565,36.91,1935052.0,36.91
2017-11-22,36.0,36.825,36.0,36.79,5735441.0,36.79
2017-11-21,36.01,36.35,35.73,36.0,4462392.0,36.0
2017-11-20,36.74,36.79,35.9,36.06,4247411.0,36.06
2017-11-17,35.96,36.54,35.73,36.39,5009461.0,36.39
2017-11-16,35.82,36.22,35.36,36.14,5511029.0,36.14
2017-11-15,35.49,35.81,34.51,35.73,10835114.0,35.73
2017-11-14,35.85,36.17,35.62,35.89,12358121.0,35.89
2017-11-13,36.63,36.66,35.8497,36.0,11404662.0,36.0
2017-11-10,37.8,37.8,36.48,36.93,13767467.0,36.93
2017-11-09,40.21,41.26,38.28,38.51,10563760.0,38.51
2017-11-07,41.22,41.56,40.77,40.99,4193932.0,40.99
2017-11-06,40.84,41.35,40.73,41.09,3468315.0,41.09
2017-11-03,40.51,40.98,40.33,40.68,3560733.0,40.68
2017-11-02,41.15,41.4,40.56,40.65,3370120.0,40.65
2017-11-01,41.76,41.85,41.1,41.2,3951313.0,41.2
2017-10-31,41.98,41.98,41.24,41.39,4996737.0,41.39
2017-10-30,42.18,42.45,41.835,42.14,4776665.0,42.14
2017-10-27,42.12,42.6,42.03,42.41,3472647.0,42.41
2017-10-26,41.49,42.31,41.41,42.17,5357643.0,42.17
2017-10-25,41.96,42.12,40.78,41.21,4105906.0,41.21
2017-10-24,41.59,42.185,41.45,41.96,4167958.0,41.96
2017-10-23,41.63,41.78,41.45,41.61,3012524.0,41.61
2017-10-20,41.46,41.93,41.35,41.62,4003043.0,41.62
2017-10-19,40.67,41.35,40.6,41.24,3260462.0,41.24
2017-10-18,40.87,41.18,40.63,40.66,3722976.0,40.66
2017-10-17,41.62,41.73,41.095,41.2,3336998.0,41.2
2017-10-16,41.82,41.86,41.41,41.75,2961656.0,41.75
2017-10-13,41.45,41.77,41.35,41.69,3171032.0,41.69
2017-10-12,41.15,41.48,41.01,41.39,2879767.0,41.39
2017-10-11,41.5,41.65,41.18,41.35,3683909.0,41.35
2017-10-10,40.66,41.93,40.66,41.49,8196054.0,41.49
2017-10-09,41.11,41.2,40.52,40.6,2932173.0,40.6
2017-10-06,41.17,41.3,40.99,41.07,3119878.0,41.07
2017-10-05,40.91,41.46,40.793,41.2,3645912.0,41.2
2017-10-04,40.55,41.0,40.29,40.95,3838962.0,40.95
2017-10-03,40.5,40.74,40.21,40.47,3771371.0,40.47
2017-10-02,40.42,40.76,40.31,40.45,3456076.0,40.45
2017-09-29,40.0,40.35,39.76,40.29,3468897.0,40.29
2017-09-28,40.3,40.4,39.305,40.06,6972866.0,40.06
2017-09-27,41.1,41.19,40.39,40.45,6113570.0,40.45
2017-09-26,40.02,41.12,39.92,40.94,6579801.0,40.94
2017-09-25,39.89,40.13,39.73,40.12,3731601.0,40.12
2017-09-22,39.79,39.95,39.49,39.89,2607685.0,39.89
2017-09-21,39.82,40.03,39.51,39.98,3170715.0,39.730996512207
2017-09-20,39.18,40.32,39.18,39.75,5649142.0,39.502428998505
2017-09-19,39.64,39.64,38.95,39.04,5638005.0,38.796851021425
2017-09-18,39.88,39.88,39.28,39.57,5757607.0,39.323550074738
2017-09-15,40.02,40.1,39.665,39.81,5959280.0,39.562055306428
2017-09-14,39.76,40.11,39.61,40.1,4053848.0,39.850249128052
2017-09-13,40.08,40.095,39.695,39.9,3014183.0,39.651494768311
2017-09-12,39.47,40.11,39.4201,40.0,2874320.0,39.750871948181
2017-09-11,39.34,39.65,39.07,39.4,4628484.0,39.154608868958995
2017-09-08,39.2,39.48,38.96,39.16,4261197.0,38.916103637270005
2017-09-07,39.8,39.8,39.04,39.21,3512242.0,38.965792227205
2017-09-06,40.04,40.34,39.55,39.62,5058801.0,39.373238664674
2017-09-05,39.89,40.12,39.76,40.0,4166075.0,39.750871948181
2017-09-01,39.67,40.07,39.49,39.89,3953925.0,39.641557050324
2017-08-31,39.34,40.0,39.26,39.59,7629721.0,39.343425510713
2017-08-30,38.93,39.22,38.68,39.14,3370154.0,38.896228201294996
2017-08-29,38.7,38.8753,38.475,38.75,2569013.0,38.508657199801
2017-08-28,38.91,38.99,38.61,38.84,2636699.0,38.598096661683996
2017-08-25,38.87,39.12,38.72,38.83,3941318.0,38.588158943696996
2017-08-24,38.64,38.84,38.43,38.59,5346274.0,38.349653712008
2017-08-23,38.37,38.84,38.27,38.56,6232969.0,38.319840558047
2017-08-22,38.34,38.65,37.77,38.62,8586431.0,38.379466865969
2017-08-21,37.15,38.83,37.1411,38.27,13068436.0,38.031646736423
2017-08-18,36.87,37.42,36.74,37.05,4295389.0,36.819245142003005
2017-08-17,37.45,37.71,36.82,36.89,10395571.0,36.66024165421
2017-08-16,37.92,37.97,37.37,37.55,9616461.0,37.316131041355
2017-08-15,38.47,38.5,37.75,37.83,6643392.0,37.594387144993
2017-08-14,38.95,38.985,38.54,38.65,3149915.0,38.40928001993
2017-08-11,39.0,39.105,38.65,38.67,2936758.0,38.429155455904
2017-08-10,39.19,39.41,38.81,38.89,4254074.0,38.647785251619
2017-08-09,39.46,39.625,39.31,39.45,3490327.0,39.204297458894
2017-08-08,39.7145,39.98,39.41,39.61,5272855.0,39.363300946687005
2017-08-07,39.2005,39.88,39.16,39.78,5036525.0,39.532242152466004
2017-08-04,39.42,39.42,38.91,39.17,6439660.0,38.926041355257
2017-08-03,39.34,39.51,38.77,39.46,4978399.0,39.214235176881
2017-08-02,38.6,39.48,38.51,39.37,5680750.0,39.124795714998
2017-08-01,39.1,39.15,38.54,38.75,5364073.0,38.508657199801
2017-07-31,39.64,39.69,38.65,38.95,8468943.0,38.707411559541995
2017-07-28,40.04,40.2,38.9,39.64,14418530.0,39.393114100648
2017-07-27,40.01,40.5,38.75,40.14,17866966.0,39.89
2017-07-26,44.08,44.18,43.31,43.32,7298308.0,43.05019431988
2017-07-25,44.35,44.37,43.93,44.18,4789126.0,43.904838066766004
2017-07-24,44.1,44.19,43.9,44.0,3308445.0,43.725959142999
2017-07-21,44.04,44.27,43.9,44.19,2983866.0,43.914775784753
2017-07-20,44.16,44.24,43.87,44.11,2865279.0,43.835274040857
2017-07-19,44.07,44.16,43.85,44.15,2986084.0,43.875024912805
2017-07-18,43.97,44.08,43.78,44.0,3553396.0,43.725959142999
2017-07-17,43.84,44.18,43.7925,44.09,2973712.0,43.815398604883
2017-07-14,43.55,44.09,43.38,43.87,3313916.0,43.596768809168
2017-07-13,43.3,43.775,43.3,43.55,3265752.0,43.278761833582
2017-07-12,43.33,43.71,43.31,43.4,2810231.0,43.129696063777
2017-07-11,43.31,43.46,42.865,43.08,5875923.0,42.811689088191
2017-07-10,43.15,43.79,43.06,43.38,3096386.0,43.109820627803
2017-07-07,43.14,43.32,43.005,43.16,2641502.0,42.891190832088
2017-07-06,43.48,43.51,43.03,43.05,2692095.0,42.78187593423
2017-07-05,43.3,43.7,43.21,43.57,3756379.0,43.298637269557
2017-07-03,43.61,43.74,43.115,43.25,2933859.0,42.980630293971004
2017-06-30,42.8,43.71,42.78,43.36,5888547.0,43.089945191829
2017-06-29,42.88,43.03,42.33,42.55,4897280.0,42.284990034878
2017-06-28,42.46,42.93,42.39,42.88,5715059.0,42.61293472845
2017-06-27,42.28,42.28,42.03,42.15,4370584.0,41.887481315396
2017-06-26,41.73,42.42,41.73,42.31,5475168.0,42.046484803189
2017-06-23,41.94,42.02,41.67,41.82,15345675.0,41.315413403885
2017-06-22,41.41,42.11,41.28,41.82,3925945.0,41.315413403885
2017-06-21,42.08,42.17,41.4,41.45,4205869.0,40.949877704232996
2017-06-20,42.3,42.32,41.88,42.01,4469497.0,41.503120925328005
