Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,64.4,65.03,64.16,64.38,1959611.0,64.38
2018-03-26,63.75,64.24,63.28,64.13,1719637.0,64.13
2018-03-23,63.65,64.35,62.95,62.95,2198048.0,62.95
2018-03-22,63.61,64.48,63.35,63.37,2915408.0,63.37
2018-03-21,63.98,64.31,63.03,63.68,5260284.0,63.68
2018-03-20,66.63,67.14,65.87,66.32,4122543.0,66.32
2018-03-19,66.37,67.29,66.15,66.43,3540981.0,66.43
2018-03-16,67.19,67.72,65.88,66.44,8386851.0,66.44
2018-03-15,69.01,69.36,66.48,66.99,3550686.0,66.99
2018-03-14,69.91,70.66,68.89,69.0,2551037.0,69.0
2018-03-13,70.15,70.62,69.46,69.64,2696651.0,69.64
2018-03-12,70.39,71.08,69.83,69.83,2458078.0,69.83
2018-03-09,69.85,70.81,69.3,70.25,2907826.0,70.25
2018-03-08,69.5,69.73,69.03,69.64,1431062.0,69.64
2018-03-07,69.01,69.7,68.62,69.3,1906918.0,69.3
2018-03-06,69.15,70.01,68.83,69.9,3269430.0,69.9
2018-03-05,67.43,69.22,67.42,69.2,3908560.0,69.2
2018-03-02,66.37,67.98,66.37,67.68,2292979.0,67.68
2018-03-01,66.81,67.84,66.4,66.91,2790468.0,66.38036939310001
2018-02-28,67.24,67.47,66.18,66.2,2110125.0,66.2
2018-02-27,69.0,69.3,67.11,67.13,3121526.0,67.13
2018-02-26,68.46,69.16,67.8,68.95,1917635.0,68.95
2018-02-23,68.13,68.54,66.92,68.54,2727720.0,68.54
2018-02-22,68.34,69.6,68.16,68.26,1820571.0,68.26
2018-02-21,69.51,69.86,68.25,68.31,2776045.0,68.31
2018-02-20,69.33,70.29,69.33,69.68,3392104.0,69.68
2018-02-16,69.14,69.89,68.79,69.66,1962475.0,69.66
2018-02-15,68.1,69.93,67.35,69.82,3552190.0,69.82
2018-02-14,67.32,68.02,66.72,67.74,2364524.0,67.74
2018-02-13,66.89,67.8,66.67,67.49,3132727.0,67.49
2018-02-12,67.65,68.47,66.96,67.07,3275392.0,67.07
2018-02-09,66.6,67.78,66.0,67.33,4190978.0,67.33
2018-02-08,64.59,67.32,64.55,65.98,5909079.0,65.98
2018-02-07,65.17,66.7,64.16,64.21,4860586.0,64.21
2018-02-06,63.14,65.31,62.96,65.16,5054573.0,65.16
2018-02-05,65.64,66.34,64.075,64.13,4176780.0,64.13
2018-02-02,68.17,68.17,65.42,65.45,3142878.0,65.45
2018-02-01,68.0,68.96,67.17,68.32,3021066.0,68.32
2018-01-31,68.03,68.55,67.42,68.11,3008680.0,68.11
2018-01-30,67.67,68.24,67.11,67.94,2779643.0,67.94
2018-01-29,68.12,68.41,67.73,67.76,2095102.0,67.76
2018-01-26,67.79,68.44,67.62,68.33,2304979.0,68.33
2018-01-25,67.37,68.35,67.33,67.91,2206212.0,67.91
2018-01-24,67.04,67.8501,67.01,67.3,4229807.0,67.3
2018-01-23,66.97,67.32,66.51,66.93,1778178.0,66.93
2018-01-22,66.95,67.19,66.28,67.17,2125538.0,67.17
2018-01-19,65.95,67.01,65.8,66.62,3453635.0,66.62
2018-01-18,66.37,66.37,65.36,65.8,3388519.0,65.8
2018-01-17,66.22,67.38,66.13,66.51,3808956.0,66.51
2018-01-16,65.25,66.2,65.06,65.94,4682779.0,65.94
2018-01-12,66.01,66.06,64.6601,64.69,4940157.0,64.69
2018-01-11,67.29,67.29,65.57,65.98,3822291.0,65.98
2018-01-10,68.34,68.46,66.82,67.02,3378835.0,67.02
2018-01-09,69.2,69.21,68.595,68.78,3050762.0,68.78
2018-01-08,68.87,69.21,68.62,69.17,1940827.0,69.17
2018-01-05,68.85,69.19,68.6,68.94,2147424.0,68.94
2018-01-04,67.73,68.77,67.49,68.73,2432591.0,68.73
2018-01-03,68.11,68.13,67.41,67.65,2223131.0,67.65
2018-01-02,68.03,68.17,67.6,67.97,2957337.0,67.97
2017-12-29,68.16,68.62,67.96,67.98,1132302.0,67.98
2017-12-28,68.23,68.385,67.77,68.03,1538544.0,68.03
2017-12-27,68.21,68.71,68.09,68.29,1588810.0,68.29
2017-12-26,67.96,68.225,67.8,68.15,1372705.0,68.15
2017-12-22,67.83,68.25,67.67,68.1,2451539.0,68.1
2017-12-21,66.92,67.84,66.83,67.65,3455902.0,67.65
2017-12-20,65.775,67.15,65.14,66.87,5318861.0,66.87
2017-12-19,65.85,66.02,65.38,65.47,4964883.0,65.47
2017-12-18,65.21,66.13,64.9,65.64,4500747.0,65.64
2017-12-15,65.48,65.92,64.21,64.99,6852455.0,64.99
2017-12-14,65.62,65.87,65.01,65.05,3015194.0,65.05
2017-12-13,66.22,66.32,65.79,65.83,3018575.0,65.83
2017-12-12,66.62,66.62,65.93,65.95,2144795.0,65.95
2017-12-11,66.46,66.625,66.03,66.55,1662093.0,66.55
2017-12-08,67.07,67.23,66.36,66.53,2344666.0,66.53
2017-12-07,68.0,68.13,67.24,67.27,1758238.0,67.27
2017-12-06,67.97,68.29,67.635,68.13,1879467.0,68.13
2017-12-05,67.65,68.29,67.28,67.97,4291629.0,67.97
2017-12-04,66.15,67.72,65.97,67.54,3654099.0,67.54
2017-12-01,66.02,66.53,65.09,65.99,3105063.0,65.99
2017-11-30,66.79,67.225,65.74,66.16,4403325.0,66.16
2017-11-29,65.59,67.74,65.59,66.8,3213158.0,66.8
2017-11-28,65.23,65.96,64.78,65.94,2059568.0,65.94
2017-11-27,64.9,65.34,64.4,65.07,1877808.0,65.07
2017-11-24,64.96,65.03,64.5,64.93,797500.0,64.93
2017-11-22,64.94,64.94,64.16,64.71,1770709.0,64.71
2017-11-21,65.27,65.27,64.07,64.35,3873346.0,64.35
2017-11-20,65.28,66.22,65.25,65.56,4059244.0,65.56
2017-11-17,64.98,65.84,64.93,65.36,4609844.0,65.36
2017-11-16,64.05,65.34,63.88,65.28,2948825.0,65.28
2017-11-15,65.0,65.06,63.0,63.74,4549094.0,63.74
2017-11-14,63.75,65.25,63.6,65.18,4270135.0,65.18
2017-11-13,64.6,65.0,63.62,63.76,3419122.0,63.76
2017-11-10,63.04,65.19,62.91,64.7,6215490.0,64.7
2017-11-09,62.69,63.42,62.485,63.28,4597076.0,63.28
2017-11-07,60.25,61.39,60.13,60.84,6315084.0,60.84
2017-11-06,61.85,61.85,60.19,60.2,3584171.0,60.2
2017-11-03,62.44,62.4899,61.65,61.96,3072042.0,61.96
2017-11-02,62.84,63.07,62.335,62.38,3333103.0,62.38
2017-11-01,62.64,63.72,61.81,63.01,4617202.0,63.01
2017-10-31,62.49,63.93,61.77,62.53,11574880.0,62.53
2017-10-30,60.07,60.16,58.76,58.87,6122225.0,58.87
2017-10-27,60.42,60.49,59.82,60.26,3142922.0,60.26
2017-10-26,60.76,60.89,60.03,60.55,3216317.0,60.55
2017-10-25,60.96,61.06,60.005,60.54,3669143.0,60.54
2017-10-24,61.46,61.74,60.97,61.2,3021610.0,61.2
2017-10-23,61.55,61.92,61.32,61.48,3450665.0,61.48
2017-10-20,61.66,61.75,60.96,61.45,3901460.0,61.45
2017-10-19,61.72,61.97,61.41,61.7,2221676.0,61.7
2017-10-18,61.75,61.955,61.53,61.79,2688559.0,61.79
2017-10-17,61.87,62.09,61.59,61.74,2028784.0,61.74
2017-10-16,61.89,62.26,61.82,61.91,1754781.0,61.91
2017-10-13,62.44,62.4623,61.64,61.96,2875629.0,61.96
2017-10-12,61.19,62.59,61.19,62.39,3103880.0,62.39
2017-10-11,61.54,61.95,61.22,61.25,4966487.0,61.25
2017-10-10,61.27,61.73,61.12,61.47,3671361.0,61.47
2017-10-09,62.42,62.48,61.03,61.04,4129695.0,61.04
2017-10-06,62.91,63.185,62.33,62.4,3192075.0,62.4
2017-10-05,62.56,63.15,62.3701,62.7,2237929.0,62.7
2017-10-04,61.98,62.82,61.96,62.42,2772496.0,62.42
2017-10-03,62.71,62.82,61.99,62.02,2831477.0,62.02
2017-10-02,62.22,63.12,61.7,62.72,4187853.0,62.72
2017-09-29,63.05,63.175,62.11,62.37,4049944.0,62.37
2017-09-28,62.94,63.77,62.3,62.81,3937659.0,62.81
2017-09-27,63.42,63.48,62.41,63.04,3072328.0,63.04
2017-09-26,63.93,63.95,62.97,63.42,2920195.0,63.42
2017-09-25,63.32,64.23,63.0,64.03,2991181.0,64.03
2017-09-22,64.08,64.38,63.11,63.36,1956654.0,63.36
2017-09-21,64.72,64.99,63.72,63.92,2310185.0,63.92
2017-09-20,64.89,65.59,63.7,64.72,5994856.0,64.72
2017-09-19,67.87,68.03,65.6,65.87,5897505.0,65.87
2017-09-18,68.31,68.65,68.09,68.61,1867476.0,68.61
2017-09-15,67.67,68.32,67.62,68.32,2524363.0,68.32
2017-09-14,67.84,68.03,67.2,67.62,2702059.0,67.62
2017-09-13,68.53,68.77,67.87,67.98,1760186.0,67.98
2017-09-12,68.69,69.22,68.35,68.49,1399817.0,68.49
2017-09-11,68.6,69.11,68.56,68.77,2596182.0,68.77
2017-09-08,67.715,68.8,67.38,68.45,2764585.0,68.45
2017-09-07,67.95,68.43,67.22,67.75,2474977.0,67.75
2017-09-06,66.35,67.87,65.94,67.84,4041138.0,67.84
2017-09-05,65.48,66.64,65.43,66.4,3256286.0,66.4
2017-09-01,65.47,65.79,65.06,65.45,2474693.0,65.45
2017-08-31,65.64,66.1,65.16,65.46,3004970.0,65.46
2017-08-30,66.0,66.18,65.49,66.05,2120305.0,66.05
2017-08-29,66.76,66.99,66.06,66.3,1827183.0,65.76235170446
2017-08-28,67.76,67.81,66.31,66.78,2039066.0,66.238459228112
2017-08-25,68.0,68.1,67.4,67.71,2235925.0,67.16091755518799
2017-08-24,69.43,69.44,67.82,67.91,2703365.0,67.35929569004401
2017-08-23,69.69,70.07,69.58,69.91,1753203.0,69.343077038594
2017-08-22,70.14,70.26,69.72,70.0,1825517.0,69.43234719927901
2017-08-21,69.97,70.68,69.675,70.2,1268018.0,69.630725334134
2017-08-18,70.05,70.07,69.54,69.95,1957733.0,69.38275266556501
2017-08-17,69.94,70.59,69.92,70.1,2086985.0,69.53153626670701
2017-08-16,69.71,70.54,69.71,70.07,1291786.0,69.501779546478
2017-08-15,69.89,70.08,69.63,69.81,1397507.0,69.243887971167
2017-08-14,69.25,69.87,69.02,69.86,1983177.0,69.293482504881
2017-08-11,68.63,69.0,68.48,68.81,1054904.0,68.251997296891
2017-08-10,68.84,69.04,68.6,68.75,2019143.0,68.192483856435
2017-08-09,69.03,69.32,68.89,69.04,1560165.0,68.480132151975
2017-08-08,69.84,69.94,68.96,69.22,1702661.0,68.658672473344
2017-08-07,69.81,70.145,69.62,70.11,2915564.0,69.541455173449
2017-08-04,71.52,71.65,69.37,69.62,2854025.0,69.055428743055
2017-08-03,68.1,70.93,67.81,70.36,5033065.0,69.789427842018
2017-08-02,67.21,67.98,66.53,67.44,2578715.0,66.893107073134
2017-08-01,67.96,68.145,67.29,67.46,2020366.0,66.91294488662
2017-07-31,67.75,68.19,67.54,68.0,4095352.0,67.448565850728
2017-07-28,67.65,67.8,67.35,67.65,1781224.0,67.10140411473199
2017-07-27,67.27,67.75,67.05,67.68,2414509.0,67.13116083496
2017-07-26,67.57,67.64,67.05,67.31,1156716.0,66.764161285478
2017-07-25,66.97,67.70100000000001,66.83,67.57,1742261.0,67.02205286079
2017-07-24,67.25,67.49,66.65,66.83,1707330.0,66.288053761826
2017-07-21,66.61,67.28,66.54,67.22,1435773.0,66.674891124794
2017-07-20,66.45,66.86,66.24,66.75,3272117.0,66.208702507884
2017-07-19,66.44,66.7,66.23,66.35,1770577.0,65.811946238174
2017-07-18,66.7,66.75,66.15,66.26,1957104.0,65.722676077489
2017-07-17,66.23,66.94,66.23,66.75,1785026.0,66.208702507884
2017-07-14,66.3,66.45,66.15,66.38,1402237.0,65.84170295840201
2017-07-13,65.76,66.1899,65.6101,66.02,2021756.0,65.484622315663
2017-07-12,65.74,66.17,65.655,65.74,1369901.0,65.206892926866
2017-07-11,65.63,66.08,65.32,65.34,2706811.0,64.810136657156
2017-07-10,66.54,66.69,65.78,65.87,2588837.0,65.335838714522
2017-07-07,66.65,66.9,66.41,66.52,2951125.0,65.980567652801
2017-07-06,67.53,67.8008,66.5,66.55,2707802.0,66.01032437302901
2017-07-05,68.73,68.95,67.5701,67.7,4133325.0,67.15099864844599
2017-07-03,69.58,69.58,68.74,68.76,1086069.0,68.202402763178
2017-06-30,69.11,69.91,69.05,69.46,2481921.0,68.89672623517
2017-06-29,69.5,69.58,68.56,68.69,3499253.0,68.13297041597801
2017-06-28,69.87,70.36,69.5,69.53,2083530.0,68.96615858237
2017-06-27,70.12,70.27,69.29,69.34,3003591.0,68.777699354257
2017-06-26,70.77,71.3554,70.53,70.99,1203601.0,70.414318966812
2017-06-23,70.5,70.89,70.39,70.56,1647690.0,69.98780597687299
2017-06-22,70.5,70.95,70.35,70.41,1585686.0,69.839022375732
2017-06-21,71.28,71.47,70.39,70.48,1565913.0,69.908454722931
2017-06-20,71.8,72.0,71.06,71.09,1784121.0,70.513508034239
2017-06-19,72.0,72.13,71.355,71.76,2258506.0,71.178074786004
2017-06-16,72.94,73.0,71.08,71.88,3569979.0,71.297101666917
2017-06-15,73.3,73.64,72.885,73.1,1660962.0,72.50720828953301
2017-06-14,73.56,74.28,73.44,73.49,1689548.0,72.8940456525
2017-06-13,72.87,73.47,72.33,73.3,1675674.0,72.705586424388
2017-06-12,72.79,73.63,72.75,73.08,2511831.0,72.487370476047
2017-06-09,72.19,72.77,72.08,72.66,1400320.0,72.070776392852
2017-06-08,72.97,73.25,72.23,72.25,1856388.0,71.664101216399
2017-06-07,72.75,73.23,72.7,73.13,1629469.0,72.536965009761
2017-06-06,72.84,73.09,72.64,72.84,1175341.0,72.249316714221
2017-06-05,72.66,73.04,72.55,72.95,1542917.0,72.358424688392
2017-06-02,73.5,73.5,72.73,72.97,1759980.0,72.378262501877
2017-06-01,71.89,72.95,71.56,72.94,2073476.0,72.348505781649
2017-05-31,71.81,72.17,71.55,71.6,1678988.0,71.01937227811999
2017-05-30,71.94,71.94,71.18,71.68,1819806.0,71.098723532062
2017-05-26,72.81,73.03,72.29,72.62,1312642.0,71.512317214658
2017-05-25,72.85,73.12,72.40899999999999,72.68,2206999.0,71.571402026458
2017-05-24,71.61,72.6,71.56,72.52,2531930.0,71.413842528326
2017-05-23,71.35,71.82,71.26,71.61,1986112.0,70.5177228827
2017-05-22,70.6,71.43,70.6,71.31,1221985.0,70.222298823703
2017-05-19,70.2,71.1,69.82,71.03,2264715.0,69.946569701972
2017-05-18,70.38,70.54,69.85,70.08,2417068.0,69.01106018181301
2017-05-17,70.07,70.95,69.97,70.53,2521728.0,69.454196270309
