Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,13.97,14.31,13.69,14.13,5400972.0,14.13
2018-03-26,14.1,14.21,13.91,14.19,2703330.0,14.19
2018-03-23,14.25,14.36,13.97,14.01,3717559.0,14.01
2018-03-22,14.07,14.46,14.05,14.2,4665153.0,14.2
2018-03-21,14.14,14.24,13.97,14.14,4027172.0,14.14
2018-03-20,14.26,14.44,14.035,14.17,4054670.0,14.17
2018-03-19,14.46,14.48,14.1,14.25,4695908.0,14.25
2018-03-16,14.45,14.57,14.28,14.54,6364315.0,14.54
2018-03-15,14.59,14.63,14.28,14.44,3734281.0,14.44
2018-03-14,14.7,14.81,14.48,14.59,4344667.0,14.59
2018-03-13,14.76,14.885,14.595,14.68,4592012.0,14.68
2018-03-12,14.43,14.735,14.41,14.69,6203538.0,14.69
2018-03-09,15.1,15.12,14.3,14.48,7359021.0,14.48
2018-03-08,15.16,15.26,15.07,15.14,3138387.0,15.14
2018-03-07,14.95,15.24,14.92,15.21,4502234.0,15.21
2018-03-06,15.14,15.2,14.92,14.96,6051322.0,14.96
2018-03-05,15.04,15.37,15.0,15.14,6681382.0,15.14
2018-03-02,15.19,15.315,14.97,15.29,3438194.0,15.29
2018-03-01,14.88,15.42,14.82,15.16,3904719.0,15.16
2018-02-28,14.94,15.13,14.9,14.96,7688964.0,14.96
2018-02-27,15.53,15.62,14.84,14.85,4814073.0,14.85
2018-02-26,15.4,15.56,15.22,15.49,4747222.0,15.49
2018-02-23,15.06,15.27,14.86,15.26,3610898.0,15.26
2018-02-22,14.67,15.235,14.63,14.99,4541225.0,14.99
2018-02-21,15.25,15.285,14.67,14.68,4513954.0,14.68
2018-02-20,15.23,15.585,15.21,15.25,7192850.0,15.25
2018-02-16,14.62,15.23,14.62,15.2,7702852.0,15.2
2018-02-15,14.65,14.99,14.47,14.67,9580781.0,14.67
2018-02-14,14.2,14.395,13.99,14.26,5105431.0,14.26
2018-02-13,14.32,14.48,14.09,14.34,4140356.0,14.34
2018-02-12,14.22,14.4,13.9,14.32,7084106.0,14.32
2018-02-09,14.11,14.235,13.7,14.18,11241158.0,14.18
2018-02-08,14.41,14.52,14.0,14.01,7050457.0,14.01
2018-02-07,14.67,14.9406,14.51,14.52,5329633.0,14.52
2018-02-06,14.57,14.79,14.33,14.67,7505979.0,14.67
2018-02-05,14.77,15.31,14.62,14.66,8332084.0,14.66
2018-02-02,15.25,15.25,14.71,14.87,11156525.0,14.87
2018-02-01,15.9,15.95,15.28,15.36,6852517.0,15.36
2018-01-31,15.62,15.93,15.56,15.91,17749552.0,15.91
2018-01-30,15.9,15.99,15.57,15.6,5430725.0,15.6
2018-01-29,15.98,15.99,15.46,15.93,6926481.0,15.93
2018-01-26,16.23,16.28,15.85,15.99,12419440.0,15.99
2018-01-25,16.33,16.41,16.06,16.19,4042229.0,16.19
2018-01-24,16.56,16.67,16.26,16.33,5034905.0,16.33
2018-01-23,16.65,16.74,16.52,16.6,3227593.0,16.6
2018-01-22,16.4,16.63,16.4,16.58,6272279.0,16.58
2018-01-19,16.43,16.53,16.35,16.41,4734489.0,16.41
2018-01-18,16.57,16.57,16.405,16.47,3034851.0,16.47
2018-01-17,16.61,16.67,16.45,16.6,5918623.0,16.6
2018-01-16,16.85,16.97,16.55,16.55,3716299.0,16.55
2018-01-12,16.98,17.04,16.68,16.76,5446619.0,16.76
2018-01-11,17.2,17.25,16.98,17.01,2620720.0,17.01
2018-01-10,17.11,17.18,16.93,17.13,3048937.0,17.13
2018-01-09,17.74,17.8,17.19,17.22,5299305.0,17.22
2018-01-08,17.73,17.86,17.581,17.8,3342993.0,17.8
2018-01-05,17.74,17.785,17.57,17.7,2720281.0,17.7
2018-01-04,17.97,18.0,17.605,17.68,5996171.0,17.68
2018-01-03,18.1,18.1939,17.86,18.0,6536510.0,18.0
2018-01-02,18.24,18.37,18.09,18.12,3627736.0,18.12
2017-12-29,18.09,18.23,18.03,18.15,2291219.0,18.15
2017-12-28,18.25,18.42,18.12,18.37,3125189.0,18.37
2017-12-27,18.29,18.355,18.21,18.25,2412337.0,18.25
2017-12-26,18.07,18.37,17.96,18.25,1749906.0,18.25
2017-12-22,17.95,18.14,17.83,18.02,2668828.0,18.02
2017-12-21,18.05,18.1267,17.91,17.95,3434170.0,17.95
2017-12-20,18.31,18.51,18.015,18.03,2952794.0,18.03
2017-12-19,18.72,18.85,18.29,18.31,3970996.0,18.31
2017-12-18,18.55,18.86,18.45,18.85,4002764.0,18.85
2017-12-15,18.45,18.635,18.37,18.47,6848708.0,18.47
2017-12-14,18.43,18.52,18.26,18.36,3234371.0,18.36
2017-12-13,18.46,18.71,18.34,18.41,3663865.0,18.41
2017-12-12,18.24,18.57,18.155,18.41,4651196.0,18.41
2017-12-11,18.27,18.46,18.06,18.11,2052541.0,18.11
2017-12-08,18.24,18.34,18.095,18.29,2127954.0,18.29
2017-12-07,18.01,18.2656,17.93,18.16,3682267.0,18.16
2017-12-06,18.62,18.6352,17.895,18.04,3886671.0,18.04
2017-12-05,19.11,19.11,18.46,18.48,4564220.0,18.48
2017-12-04,18.54,19.38,18.51,19.09,7432300.0,19.09
2017-12-01,18.56,18.565,18.275,18.5,3900292.0,18.5
2017-11-30,18.5,18.77,18.42,18.52,4620054.0,18.52
2017-11-29,18.24,18.6,18.24,18.47,4019118.0,18.47
2017-11-28,18.0,18.32,17.96,18.3,5732559.0,18.3
2017-11-27,18.58,18.64,18.11,18.19,7503136.0,18.19
2017-11-24,18.82,18.87,18.7,18.8,1305410.0,18.8
2017-11-22,18.71,19.0,18.67,18.78,4783557.0,18.78
2017-11-21,19.01,19.01,18.67,18.74,7359903.0,18.74
2017-11-20,19.36,19.37,18.94,18.99,2782410.0,18.99
2017-11-17,19.31,19.53,19.29,19.35,4277986.0,19.35
2017-11-16,19.02,19.38,18.94,19.3,2534375.0,19.3
2017-11-15,18.89,19.22,18.8,19.1,2145311.0,19.1
2017-11-14,18.96,19.15,18.65,18.92,2846584.0,18.92
2017-11-13,19.19,19.47,18.86,18.95,2399673.0,18.95
2017-11-10,18.96,19.28,18.96,19.15,3424103.0,19.15
2017-11-09,18.84,19.36,18.805,19.07,4624566.0,19.07
2017-11-07,18.66,19.07,18.64,18.82,4655123.0,18.82
2017-11-06,18.36,18.87,18.35,18.62,3171397.0,18.62
2017-11-03,18.85,18.98,18.51,18.57,4446273.0,18.57
2017-11-02,18.69,19.11,18.63,18.96,4932108.0,18.96
2017-11-01,18.22,18.73,18.12,18.55,4467760.0,18.55
2017-10-31,18.43,18.43,17.76,18.16,5896729.0,18.16
2017-10-30,18.34,18.48,18.205,18.43,3407519.0,18.43
2017-10-27,18.16,18.36,17.76,18.36,4531697.0,18.36
2017-10-26,18.5,18.75,17.775,18.33,7425111.0,18.33
2017-10-25,18.66,18.755,18.14,18.49,4331545.0,18.49
2017-10-24,18.83,18.93,18.535,18.73,3159064.0,18.73
2017-10-23,18.75,19.01,18.65,18.87,2071384.0,18.87
2017-10-20,19.07,19.1,18.7,18.77,3045972.0,18.77
2017-10-19,19.19,19.38,19.0,19.07,2626827.0,19.07
2017-10-18,19.26,19.5056,19.06,19.18,1760708.0,19.18
2017-10-17,19.25,19.34,19.16,19.26,3285594.0,19.26
2017-10-16,19.42,19.55,19.1945,19.26,2204459.0,19.26
2017-10-13,19.42,19.79,19.28,19.46,2650603.0,19.46
2017-10-12,19.41,19.56,19.22,19.28,3380545.0,19.28
2017-10-11,19.49,19.6,19.385,19.42,2087448.0,19.42
2017-10-10,19.24,19.56,19.21,19.46,2728854.0,19.46
2017-10-09,19.12,19.3,19.065,19.16,2172068.0,19.16
2017-10-06,19.19,19.2197,18.97,19.11,3057794.0,19.11
2017-10-05,19.28,19.62,19.21,19.29,3211328.0,19.29
2017-10-04,19.11,19.22,18.96,19.22,4339342.0,19.22
