Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,15.19,15.41,14.92,15.09,17866129.0,15.09
2018-03-26,15.1,15.18,14.82,15.13,18004111.0,15.13
2018-03-23,15.4,15.485,14.99,15.01,20307283.0,15.01
2018-03-22,15.74,15.79,15.36,15.36,18537457.0,15.36
2018-03-21,15.91,16.0,15.69,15.91,20839367.0,15.91
2018-03-20,16.05,16.19,15.47,15.61,23019022.0,15.61
2018-03-19,16.4,16.4,15.865,16.0,20332189.0,16.0
2018-03-16,16.27,16.5,16.12,16.41,20317579.0,16.41
2018-03-15,16.45,16.51,15.07,16.31,72166225.0,16.31
2018-03-14,16.59,16.6,16.35,16.42,9655189.0,16.42
2018-03-13,16.61,16.61,16.4,16.5,9914843.0,16.5
2018-03-12,16.31,16.61,16.21,16.55,11262453.0,16.55
2018-03-09,16.12,16.33,16.1,16.33,8477773.0,16.33
2018-03-08,16.1,16.1,15.95,16.01,10660790.0,16.01
2018-03-07,16.02,16.16,15.9699,16.05,9583446.0,16.05
2018-03-06,16.28,16.29,16.0,16.11,13057111.0,16.11
2018-03-05,16.03,16.28,15.95,16.21,13559696.0,16.21
2018-03-02,16.12,16.18,15.86,16.1,13356358.0,16.1
2018-03-01,16.18,16.29,15.96,16.21,15126382.0,16.21
2018-02-28,16.75,16.76,16.19,16.2,16904335.0,16.2
2018-02-27,16.93,16.955,16.64,16.64,11433543.0,16.64
2018-02-26,17.06,17.06,16.76,16.92,12317410.0,16.92
2018-02-23,16.7,17.03,16.64,17.01,9642301.0,17.01
2018-02-22,16.84,17.04,16.605,16.66,10517928.0,16.66
2018-02-21,16.97,17.06,16.75,16.75,13273651.0,16.75
2018-02-20,17.05,17.19,16.9,17.0,13382727.0,17.0
2018-02-16,17.26,17.34,16.96,17.06,15028757.0,17.06
2018-02-15,17.58,17.65,17.15,17.31,14891656.0,17.31
2018-02-14,17.21,17.58,17.145,17.45,10164327.0,17.45
2018-02-13,17.2,17.45,17.135,17.39,9021238.0,17.39
2018-02-12,17.35,17.44,17.05,17.3,16577420.0,17.3
2018-02-09,16.96,17.39,16.62,17.24,30811968.0,17.24
2018-02-08,17.33,17.56,16.8,16.8,15794744.0,16.8
2018-02-07,17.3,17.54,17.23,17.29,18442084.0,17.29
2018-02-06,16.6,17.38,16.56,17.33,27036292.0,17.33
2018-02-05,17.28,17.475,16.57,16.81,23014355.0,16.81
2018-02-02,17.9,17.93,17.46,17.5,17765488.0,17.5
2018-02-01,18.02,18.08,17.81,18.06,13856071.0,18.06
2018-01-31,18.27,18.38,17.95,17.98,17919439.0,17.98
2018-01-30,18.5,18.541,18.22,18.23,18391888.0,18.23
2018-01-29,18.77,18.83,18.57,18.71,17009601.0,18.71
2018-01-26,18.98,18.99,18.69,18.77,16945150.0,18.77
2018-01-25,19.2,19.32,18.79,18.82,16501438.0,18.82
2018-01-24,19.52,19.56,19.13,19.14,16998459.0,19.14
2018-01-23,19.66,19.7144,19.4,19.45,19811447.0,19.45
2018-01-22,19.05,19.64,19.01,19.63,15411628.0,19.63
2018-01-19,19.04,19.2,18.89,19.01,17980449.0,19.01
2018-01-18,19.5,19.52,18.77,19.01,36752044.0,19.01
2018-01-17,19.52,19.64,19.32,19.57,19261623.0,19.57
2018-01-16,19.67,19.83,19.38,19.39,20311289.0,19.39
2018-01-12,19.24,19.66,19.16,19.52,16108248.0,19.52
2018-01-11,18.8,19.22,18.75,19.2,17357346.0,19.2
2018-01-10,19.0,19.06,18.88,18.88,12533694.0,18.88
