Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,23.95,24.135,23.425,23.47,6818836.0,23.47
2018-03-26,23.48,23.91,23.26,23.87,8608382.0,23.87
2018-03-23,24.27,24.31,23.2441,23.28,17824075.0,23.28
2018-03-22,23.3,23.535,23.05,23.39,11473867.0,23.39
2018-03-21,23.38,23.8,23.37,23.45,5876240.0,23.45
2018-03-20,23.3,23.52,23.14,23.41,6539527.0,23.41
2018-03-19,23.58,23.98,23.11,23.16,9826747.0,23.16
2018-03-16,23.68,23.94,23.45,23.69,13295957.0,23.69
2018-03-15,23.61,23.96,23.51,23.63,8013881.0,23.63
2018-03-14,23.99,23.99,23.41,23.44,13724594.0,23.44
2018-03-13,24.03,24.39,23.92,24.01,10943509.0,24.01
2018-03-12,23.78,24.16,23.4,23.99,18429387.0,23.99
2018-03-09,23.1,24.1,22.88,24.08,22752305.0,24.08
2018-03-08,24.5,24.82,22.85,22.98,61297644.0,22.98
2018-03-07,27.67,27.6899,26.02,26.23,22122553.0,26.23
2018-03-06,27.88,28.29,27.79,28.01,8668346.0,28.01
2018-03-05,27.29,28.01,27.27,27.99,9747286.0,27.99
2018-03-02,27.24,27.621,26.96,27.35,8605014.0,27.35
2018-03-01,27.29,27.85,27.1,27.46,8548048.0,27.46
2018-02-28,27.49,27.62,27.12,27.12,8325079.0,27.12
2018-02-27,27.9,28.1,27.27,27.27,6754279.0,27.27
2018-02-26,27.5,28.02,27.4,27.85,7042768.0,27.85
2018-02-23,27.36,27.53,27.18,27.42,5723945.0,27.42
2018-02-22,27.64,27.66,26.91,27.22,10634824.0,27.22
2018-02-21,27.67,28.025,27.28,27.41,9808464.0,27.41
2018-02-20,27.81,28.095,27.22,27.49,12421044.0,27.49
2018-02-16,28.64,29.075,28.57,28.69,5827071.0,28.69
2018-02-15,28.62,28.93,28.325,28.79,6089891.0,28.79
2018-02-14,27.85,28.67,27.77,28.4,8711105.0,28.4
2018-02-13,27.17,28.21,27.14,28.12,7788167.0,28.12
2018-02-12,27.87,27.88,27.02,27.2,10810432.0,27.2
2018-02-09,27.82,28.04,26.63,27.66,10252662.0,27.66
