Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,49.96,50.16,48.91,49.1,2024326.0,49.1
2018-03-26,49.68,50.19,49.22,50.12,1338244.0,50.12
2018-03-23,50.25,50.555,48.99,49.07,1554325.0,49.07
2018-03-22,51.06,51.44,50.22,50.24,1576148.0,50.24
2018-03-21,51.5,52.05,51.48,51.59,1108312.0,51.59
2018-03-20,51.2,51.75,51.2,51.41,2113421.0,51.41
2018-03-19,51.14,51.44,50.69,50.99,1968854.0,50.99
2018-03-16,50.72,51.43,50.72,51.16,2991739.0,51.16
2018-03-15,51.06,51.5,50.89,50.94,1915032.0,50.94
2018-03-14,51.45,51.62,50.91,50.96,2291777.0,50.96
2018-03-13,51.78,51.9,51.195,51.24,1503163.0,51.24
2018-03-12,51.74,51.99,51.26,51.51,1113370.0,51.51
2018-03-09,51.5,51.74,51.15,51.72,1888958.0,51.72
2018-03-08,51.14,51.34,50.76,51.26,1690009.0,51.26
2018-03-07,50.44,51.2,50.44,50.94,1616303.0,50.94
2018-03-06,50.5,50.95,50.105,50.88,2546048.0,50.88
2018-03-05,48.48,50.47,48.48,50.37,1926936.0,50.37
2018-03-02,48.42,48.91,48.19,48.82,1450653.0,48.82
2018-03-01,49.34,49.57,48.35,48.65,1550229.0,48.65
2018-02-28,50.45,50.54,49.31,49.33,1196312.0,49.33
2018-02-27,50.61,51.25,50.18,50.18,1278932.0,50.18
2018-02-26,50.48,50.74,50.32,50.73,1466533.0,50.73
2018-02-23,49.83,50.38,49.81,50.34,1237286.0,50.34
2018-02-22,49.88,50.32,49.58,49.6,1646157.0,49.6
2018-02-21,49.89,50.44,49.72,49.75,1278494.0,49.75
2018-02-20,49.87,50.3203,49.72,49.89,1567561.0,49.89
2018-02-16,49.66,50.55,49.66,50.08,1743120.0,50.08
2018-02-15,49.12,49.9,49.05,49.89,1679812.0,49.89
2018-02-14,47.86,48.89,47.78,48.87,1157115.0,48.87
2018-02-13,47.27,48.23,47.14,48.09,1587093.0,48.09
2018-02-12,47.19,48.13,46.985,47.5,1879289.0,47.5
2018-02-09,46.52,47.07,45.52,46.73,1996260.0,46.73
2018-02-08,47.89,47.9,46.02,46.05,2048687.0,46.05
2018-02-07,47.6,48.645,47.6,47.86,2157867.0,47.86
2018-02-06,47.37,48.22,46.61,47.81,3429126.0,47.81
2018-02-05,50.42,50.84,48.18,48.19,2106561.0,48.19
2018-02-02,51.46,51.65,50.81,50.82,1295875.0,50.82
2018-02-01,51.57,51.81,51.26,51.59,1813918.0,51.59
2018-01-31,51.97,52.24,51.605,51.65,1906549.0,51.65
2018-01-30,52.83,53.18,51.99,51.99,1701329.0,51.99
2018-01-29,53.46,53.59,53.11,53.11,909530.0,53.11
2018-01-26,53.3,53.485,53.12,53.46,733447.0,53.46
2018-01-25,53.05,53.3,52.87,53.15,800482.0,53.15
2018-01-24,52.96,53.36,52.85,53.04,908421.0,53.04
2018-01-23,52.61,52.93,52.51,52.9,816648.0,52.9
2018-01-22,52.62,52.8,52.455,52.8,850238.0,52.8
2018-01-19,52.6,52.68,52.44,52.51,1223993.0,52.51
2018-01-18,52.32,52.7949,52.24,52.52,903215.0,52.52
2018-01-17,52.45,52.47,52.23,52.35,1125096.0,52.35
2018-01-16,52.85,52.98,51.95,52.19,1421149.0,52.19
2018-01-12,51.69,52.81,51.44,52.78,2419036.0,52.78
2018-01-11,51.44,51.68,51.35,51.51,1448485.0,51.51
2018-01-10,51.14,51.54,51.14,51.21,936895.0,51.21
2018-01-09,50.81,51.34,50.765,51.13,1208390.0,51.13
2018-01-08,50.49,50.75,50.37,50.58,1121071.0,50.58
2018-01-05,50.86,50.94,50.53,50.62,1041743.0,50.62
2018-01-04,50.6,51.015,50.48,50.72,1150711.0,50.72
2018-01-03,49.91,50.58,49.91,50.47,1111514.0,50.47
2018-01-02,50.24,50.25,49.68,49.89,1104891.0,49.89
2017-12-29,50.2,50.3,50.0,50.03,987466.0,50.03
2017-12-28,50.16,50.19,49.94,50.14,821923.0,50.14
2017-12-27,49.87,50.04,49.86,50.0,666932.0,50.0
2017-12-26,49.8,50.02,49.8,49.92,512287.0,49.92
2017-12-22,49.93,50.0,49.54,49.66,808762.0,49.66
2017-12-21,49.81,49.97,49.61,49.79,633806.0,49.79
2017-12-20,49.89,49.95,49.4651,49.51,1006676.0,49.51
2017-12-19,50.16,50.22,49.63,49.64,1077085.0,49.64
2017-12-18,50.07,50.32,49.755,49.98,990973.0,49.98
2017-12-15,49.77,50.09,49.59,49.75,1910683.0,49.75
2017-12-14,49.86,50.17,49.39,49.45,1121861.0,49.45
2017-12-13,50.26,50.39,49.87,49.9,967801.0,49.9
2017-12-12,50.01,50.49,50.01,50.32,1077745.0,50.32
2017-12-11,49.84,50.21,49.84,50.05,1516625.0,50.05
2017-12-08,50.13,50.13,49.73,49.84,1119644.0,49.84
2017-12-07,49.87,50.11,49.77,49.99,830654.0,49.99
2017-12-06,50.07,50.2,49.92,49.96,557742.0,49.96
2017-12-05,50.69,50.77,50.1,50.11,866613.0,50.11
2017-12-04,50.72,51.02,50.575,50.65,1280929.0,50.65
2017-12-01,50.46,50.6,49.41,50.49,1001654.0,50.49
2017-11-30,50.53,50.66,50.08,50.28,1425176.0,50.28
2017-11-29,50.18,50.69,50.12,50.33,1044385.0,50.33
2017-11-28,49.66,50.12,49.6,50.11,971315.0,50.11
2017-11-27,49.44,49.76,49.38,49.66,789523.0,49.597644151237
2017-11-24,49.55,49.725,49.29,49.35,356144.0,49.28803340442099
2017-11-22,49.42,49.73,49.31,49.36,831104.0,49.298020847866
2017-11-21,49.46,49.78,49.36,49.38,902013.0,49.31799573475799
2017-11-20,49.18,49.41,49.02,49.35,717043.0,49.28803340442099
2017-11-17,49.03,49.35,48.9601,49.22,1025499.0,49.158196639627
2017-11-16,49.79,49.82,49.18,49.2,981135.0,49.138221752735994
2017-11-15,49.69,49.79,49.46,49.69,1193972.0,49.627606481574
2017-11-14,49.61,49.96,49.36,49.94,1083321.0,49.877292567716
2017-11-13,49.36,49.96,49.2997,49.89,1176832.0,49.827355350487004
2017-11-10,49.35,49.57,49.22,49.51,873856.0,49.447832499552
2017-11-09,49.31,49.6,49.15,49.34,1305517.0,49.278045960975
2017-11-07,49.73,49.99,49.37,49.49,888297.0,49.42785761266
2017-11-06,49.49,49.78,49.49,49.68,1579189.0,49.617619038128005
2017-11-03,49.3,49.72,48.8,49.61,901253.0,49.547706934008
2017-11-02,49.61,49.93,49.32,49.5,1235103.0,49.437845056106006
2017-11-01,49.6,49.75,49.42,49.54,2416943.0,49.477794829889
2017-10-31,49.3,49.57,49.0375,49.51,1929631.0,49.447832499552
2017-10-30,48.51,49.51,48.12,49.46,2230443.0,49.397895282323
2017-10-27,48.25,48.32,47.72,47.95,1158794.0,47.88979132202599
2017-10-26,48.44,48.51,48.17,48.37,842915.0,48.309263946744004
2017-10-25,48.43,48.62,48.03,48.25,632526.0,48.189414625396005
2017-10-24,48.7,48.82,48.39,48.51,828557.0,48.449088154984
2017-10-23,49.14,49.14,48.63,48.7,634394.0,48.638849580452
2017-10-20,49.29,49.31,48.86,49.0,601025.0,48.938472883822
2017-10-19,48.6,48.98,48.53,48.98,709632.0,48.918497996931
2017-10-18,48.74,48.85,48.56,48.69,594183.0,48.628862137005996
2017-10-17,49.07,49.09,48.515,48.66,546916.0,48.598899806668996
2017-10-16,48.89,49.11,48.6701,49.06,810982.0,48.998397544496
2017-10-13,48.93,49.22,48.78,48.85,458163.0,48.788661232137
2017-10-12,48.62,48.8999,48.48,48.86,813503.0,48.798648675582
2017-10-11,48.81,48.81,48.47,48.7,456804.0,48.638849580452
2017-10-10,48.57,48.97,48.57,48.95,597706.0,48.888535666594
2017-10-09,48.97,49.0,48.46,48.56,376852.0,48.499025372212
2017-10-06,48.94,49.02,48.59,48.92,570925.0,48.858573336257
2017-10-05,48.56,49.035,48.47,48.9,492869.0,48.838598449364994
