Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,43.96,44.29,43.35,43.62,1372564.0,43.62
2018-03-26,43.68,43.915,43.05,43.78,1252626.0,43.78
2018-03-23,44.34,44.52,43.05,43.13,1030582.0,43.13
2018-03-22,44.95,45.28,44.22,44.23,955314.0,44.23
2018-03-21,45.23,45.58,44.95,45.27,792882.0,45.27
2018-03-20,46.0,46.19,45.14,45.23,586626.0,45.23
2018-03-19,46.07,46.22,45.36,45.81,1915369.0,45.81
2018-03-16,46.0,46.63,45.89,46.26,3156569.0,46.26
2018-03-15,47.44,47.44,45.99,46.01,1729403.0,46.01
2018-03-14,46.91,47.41,46.53,47.41,3412173.0,47.41
2018-03-13,47.02,47.24,46.5,47.02,2822176.0,47.02
2018-03-12,46.47,46.93,46.25,46.87,2109025.0,46.87
2018-03-09,45.5,46.41,45.16,46.41,1920035.0,46.41
2018-03-08,45.25,45.535,44.89,45.32,1206506.0,45.32
2018-03-07,45.03,45.66,44.92,45.07,2133177.0,45.07
2018-03-06,44.01,45.58,43.92,45.51,2699308.0,45.51
2018-03-05,41.8,44.13,41.75,43.93,3047130.0,43.93
2018-03-02,42.18,42.19,41.25,41.8,1973609.0,41.8
2018-03-01,43.52,43.56,42.12,42.32,2550553.0,42.32
2018-02-28,44.04,44.19,43.46,43.46,1412313.0,43.46
2018-02-27,44.48,45.0899,43.79,43.8,1511191.0,43.8
2018-02-26,44.72,44.72,44.3,44.32,1742514.0,44.32
2018-02-23,44.68,44.795,44.355,44.77,880129.0,44.77
2018-02-22,44.98,44.98,44.22,44.36,2060137.0,44.36
2018-02-21,44.52,45.51,44.52,44.88,777137.0,44.88
2018-02-20,44.93,45.13,44.23,44.37,1079770.0,44.37
2018-02-16,45.13,45.76,45.04,45.05,1271423.0,45.05
2018-02-15,45.16,45.468999999999994,44.93,45.24,1326652.0,45.24
2018-02-14,44.0,45.06,44.0,44.93,1067607.0,44.93
2018-02-13,44.65,44.86,44.14,44.39,1290917.0,44.39
2018-02-12,44.54,45.32,44.42,44.92,1299801.0,44.92
2018-02-09,44.47,44.7,43.07,44.28,1515935.0,44.28
2018-02-08,45.67,45.83,43.99,43.99,1931766.0,43.99
2018-02-07,45.34,47.04,45.23,45.78,2697801.0,45.78
2018-02-06,42.57,45.9,42.0,45.58,3661616.0,45.58
2018-02-05,44.8,45.295,43.3,43.45,3681018.0,43.45
2018-02-02,45.55,45.66,44.8,45.05,1511093.0,45.05
2018-02-01,46.27,46.63,45.49,45.64,1996277.0,45.64
2018-01-31,47.02,47.26,46.24,46.51,2454512.0,46.51
2018-01-30,47.36,47.42,46.82,46.98,1248945.0,46.98
2018-01-29,47.85,48.16,47.6,47.64,1307217.0,47.64
2018-01-26,47.78,48.16,47.61,47.83,1154988.0,47.83
2018-01-25,47.5,48.17,47.32,47.79,1833515.0,47.79
2018-01-24,47.54,48.22,47.24,47.33,1380512.0,47.33
2018-01-23,48.37,48.37,47.06,47.35,1321223.0,47.35
2018-01-22,48.19,48.26,47.55,48.09,1620735.0,48.09
2018-01-19,48.54,48.94,47.89,48.25,1269711.0,48.25
2018-01-18,48.54,48.78,48.16,48.36,611383.0,48.36
2018-01-17,48.59,48.91,48.34,48.5,907658.0,48.5
2018-01-16,49.22,49.22,48.41,48.44,1031219.0,48.44
2018-01-12,48.74,48.94,48.42,48.8,883906.0,48.8
2018-01-11,47.76,48.575,47.5,48.57,881794.0,48.57
2018-01-10,47.7,47.86,47.36,47.48,617690.0,47.48
2018-01-09,48.45,48.5,47.92,47.95,1077831.0,47.95
2018-01-08,47.89,48.4,47.31,48.32,1103959.0,48.32
2018-01-05,47.97,48.02,47.59,47.9,523067.0,47.9
2018-01-04,47.82,47.84,47.56,47.73,516127.0,47.73
2018-01-03,47.87,48.16,47.37,47.62,781785.0,47.62
2018-01-02,47.93,49.88,47.07,47.86,1081821.0,47.86
2017-12-29,47.71,48.0,47.69,47.73,784877.0,47.73
2017-12-28,47.66,47.66,47.39,47.53,478012.0,47.53
2017-12-27,47.73,47.73,47.34,47.55,398651.0,47.55
2017-12-26,47.18,47.56,47.14,47.54,507673.0,47.54
2017-12-22,47.11,47.52,46.9,47.06,671712.0,47.06
2017-12-21,47.15,47.57,47.04,47.39,762049.0,47.39
2017-12-20,47.21,47.25,46.92,47.03,398591.0,47.03
2017-12-19,47.17,47.51,46.87,46.94,672881.0,46.94
2017-12-18,47.42,47.8,47.0,47.14,770550.0,47.14
2017-12-15,46.47,47.18,46.26,46.78,1593043.0,46.78
2017-12-14,46.42,46.67,45.97,45.99,1097861.0,45.99
2017-12-13,46.34,46.72,46.16,46.28,887895.0,46.28
2017-12-12,45.97,46.56,45.97,46.33,636197.0,46.33
2017-12-11,46.5,46.81,46.02,46.12,839344.0,46.12
2017-12-08,46.2,46.51,45.92,46.3,772910.0,46.3
2017-12-07,46.02,46.48,45.94,46.17,848375.0,46.17
2017-12-06,47.27,47.27,45.82,46.04,1439043.0,46.04
2017-12-05,48.31,48.35,47.43,47.51,869232.0,47.51
2017-12-04,48.27,49.17,48.145,48.3,790521.0,48.3
2017-12-01,48.39,48.39,46.87,47.88,1029847.0,47.88
2017-11-30,48.03,48.8,48.03,48.24,1446516.0,48.24
2017-11-29,47.48,48.42,47.31,48.1,806926.0,48.1
2017-11-28,46.5,47.36,46.4,47.35,736210.0,47.35
2017-11-27,46.51,46.59,46.28,46.45,756989.0,46.45
2017-11-24,46.85,46.85,46.42,46.49,206632.0,46.49
2017-11-22,46.4,46.78,46.29,46.65,623324.0,46.65
2017-11-21,46.45,46.65,46.08,46.4,917322.0,46.4
2017-11-20,46.51,46.62,46.255,46.34,697377.0,46.34
2017-11-17,45.74,46.53,45.74,46.45,687689.0,46.45
2017-11-16,45.4,46.23,45.4,45.99,807477.0,45.99
2017-11-15,45.26,45.58,44.76,45.38,943620.0,45.38
2017-11-14,45.5,45.77,45.03,45.57,1613510.0,45.57
2017-11-13,45.96,46.1,45.41,45.81,740174.0,45.81
2017-11-10,45.79,46.15,45.79,45.94,687745.0,45.94
2017-11-09,45.33,45.91,45.21,45.88,772674.0,45.88
2017-11-07,46.02,46.09,45.6,45.94,790600.0,45.94
2017-11-06,46.03,46.23,45.81,45.86,719011.0,45.86
2017-11-03,46.0,46.44,45.91,46.0,698466.0,46.0
2017-11-02,46.49,46.75,45.77,46.11,1055443.0,46.11
2017-11-01,47.15,47.53,46.0,46.5,1716972.0,46.5
2017-10-31,47.32,47.48,46.96,47.26,2795974.0,47.26
2017-10-30,48.5,48.78,47.135,47.2,2079551.0,47.2
2017-10-27,49.68,51.99,49.0,49.45,2676100.0,49.45
2017-10-26,48.34,48.41,47.79,48.23,1364934.0,48.23
2017-10-25,48.57,48.63,47.49,47.91,997531.0,47.91
2017-10-24,49.2,49.27,48.34,48.55,1350070.0,48.55
2017-10-23,48.95,49.29,48.85,49.08,858756.0,49.08
2017-10-20,48.68,48.96,48.53,48.92,580131.0,48.92
2017-10-19,48.07,48.44,47.84,48.43,474749.0,48.43
2017-10-18,47.75,48.34,47.75,48.14,699869.0,48.14
2017-10-17,47.76,48.02,47.61,47.73,563801.0,47.73
2017-10-16,47.69,47.94,47.54,47.79,714544.0,47.79
2017-10-13,47.97,48.0641,47.47,47.67,1090026.0,47.67
2017-10-12,48.21,48.3,47.62,47.89,1419436.0,47.89
2017-10-11,47.98,48.44,47.74,48.34,1052519.0,48.34
2017-10-10,48.4,48.48,47.6,47.97,937819.0,47.97
2017-10-09,48.55,48.63,48.24,48.27,301094.0,48.27
2017-10-06,48.38,48.59,48.31,48.46,618353.0,48.46
2017-10-05,48.82,48.86,48.3525,48.48,728873.0,48.48
2017-10-04,48.56,48.81,48.36,48.79,560850.0,48.79
2017-10-03,48.37,48.56,48.07,48.56,719597.0,48.56
2017-10-02,47.75,48.2,47.64,48.19,797562.0,48.19
2017-09-29,47.72,47.9,47.603,47.73,669962.0,47.73
2017-09-28,47.27,47.9,47.27,47.79,721309.0,47.79
2017-09-27,47.55,47.97,47.19,47.31,979425.0,47.31
2017-09-26,47.32,47.81,47.18,47.43,954413.0,47.43
2017-09-25,46.72,47.33,46.71,47.23,1261540.0,47.23
2017-09-22,46.65,46.8,46.17,46.76,1421254.0,46.76
2017-09-21,45.73,45.97,45.69,45.94,491449.0,45.94
2017-09-20,45.53,45.86,45.48,45.75,482443.0,45.75
2017-09-19,45.85,45.91,45.23,45.5,830130.0,45.5
2017-09-18,45.88,46.21,45.83,45.88,865235.0,45.88
2017-09-15,45.65,46.02,45.39,45.85,1588970.0,45.85
2017-09-14,45.2,45.61,45.09,45.51,977316.0,45.51
2017-09-13,45.6,45.79,45.4,45.63,1039997.0,45.271883584041994
2017-09-12,45.38,45.73,45.38,45.59,702941.0,45.232197514716
2017-09-11,45.44,45.66,45.18,45.37,906551.0,45.013924133421
2017-09-08,43.19,45.53,43.19,45.3,1516192.0,44.944473512099
2017-09-07,44.8,45.14,43.165,43.5,2599207.0,43.158600392413
2017-09-06,45.86,46.575,45.78,46.54,1453532.0,46.174741661216004
2017-09-05,46.3,46.46,45.52,45.72,986590.0,45.361177240025995
2017-09-01,46.05,46.53,46.05,46.43,606710.0,46.065604970569
2017-08-31,46.23,46.45,45.945,45.97,1017343.0,45.609215173316
2017-08-30,45.28,46.155,45.17100000000001,46.08,1400667.0,45.718351863963
2017-08-29,44.71,45.28,44.65,45.27,839184.0,44.914708960105
2017-08-28,45.54,45.72,44.85,44.96,654412.0,44.607141922825
2017-08-25,45.37,45.55,45.29,45.32,585188.0,44.964316546763
2017-08-24,45.81,45.83,45.21,45.23,1048163.0,44.875022890778
2017-08-23,46.0,46.2,45.62,45.62,583712.0,45.26196206671
2017-08-22,46.32,46.48,46.11,46.41,806068.0,46.045761935906
2017-08-21,46.41,46.48,45.9,46.19,1068698.0,45.827488554610994
2017-08-18,46.45,46.7,46.27,46.42,707234.0,46.055683453237
2017-08-17,47.77,47.82,46.53,46.53,1056946.0,46.164820143885
2017-08-16,47.25,47.81,47.225,47.76,785275.0,47.38516677567
2017-08-15,47.53,47.53,47.01,47.15,686423.0,46.779954218443
2017-08-14,47.39,47.61,47.15,47.43,700889.0,47.057756703727996
2017-08-11,46.76,47.2045,46.75,46.97,657855.0,46.601366906475
2017-08-10,47.35,47.53,46.9,46.98,842089.0,46.611288423806
2017-08-09,47.9,47.93,47.495,47.7,655242.0,47.325637671681
2017-08-08,48.16,48.29,47.84,47.89,929818.0,47.514146500981
2017-08-07,48.34,48.34,47.82,48.23,735450.0,47.851478090255
2017-08-04,47.78,48.37,47.78,48.34,834286.0,47.96061478090299
2017-08-03,47.75,47.9,47.41,47.76,1187204.0,47.38516677567
2017-08-02,48.06,48.288999999999994,47.52,47.62,1210575.0,47.246265533028
2017-08-01,48.38,48.43,47.49,48.12,1335326.0,47.742341399608
2017-07-31,49.64,49.695,48.16,48.18,1868578.0,47.801870503597
