Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,37.93,38.36,37.39,37.59,2107806.0,37.59
2018-03-26,37.65,37.96,37.03,37.86,1759951.0,37.86
2018-03-23,38.0,38.15,37.07,37.17,1664940.0,37.17
2018-03-22,39.12,39.26,37.87,37.91,1650613.0,37.91
2018-03-21,39.4,39.81,39.24,39.5,751217.0,39.5
2018-03-20,39.37,39.69,39.21,39.4,1118886.0,39.4
2018-03-19,39.51,39.55,38.9,39.25,1374895.0,39.25
2018-03-16,39.06,39.68,39.03,39.55,2069390.0,39.55
2018-03-15,39.03,39.25,38.92,39.05,739247.0,39.05
2018-03-14,39.5,39.5,38.95,39.03,872957.0,39.03
2018-03-13,39.55,39.84,39.3642,39.42,1000191.0,39.42
2018-03-12,39.67,39.7,39.26,39.33,1713757.0,39.33
2018-03-09,38.94,39.75,38.92,39.64,2631536.0,39.64
2018-03-08,39.1,39.19,38.725,38.79,1979539.0,38.79
2018-03-07,39.19,39.33,38.84,39.0,1693495.0,39.0
2018-03-06,39.0,39.63,38.9,39.55,2010619.0,39.55
2018-03-05,38.79,39.04,38.46,38.92,2184431.0,38.92
2018-03-02,39.01,39.29,38.56,38.99,2385495.0,38.99
2018-03-01,39.47,39.8,38.88,39.38,1940695.0,39.38
2018-02-28,39.52,40.2,39.47,39.48,2860292.0,39.48
2018-02-27,40.445,40.5,39.32,39.33,2002430.0,39.33
2018-02-26,40.4,40.86,39.97,40.44,2906098.0,40.44
2018-02-23,40.49,40.87,39.86,40.1,2294162.0,40.1
2018-02-22,41.05,41.6,39.61,40.05,3350002.0,40.05
2018-02-21,41.61,42.28,41.3668,41.58,2185493.0,41.58
2018-02-20,41.48,42.14,41.27,41.46,1531951.0,41.46
2018-02-16,41.67,42.49,41.08,41.77,1707445.0,41.77
2018-02-15,41.75,41.98,41.51,41.77,2003816.0,41.77
2018-02-14,40.33,41.455,39.001,41.44,1880110.0,41.44
2018-02-13,39.96,40.55,39.65,40.53,2093939.0,40.53
2018-02-12,39.74,40.355,39.36,40.16,2327622.0,40.16
2018-02-09,39.41,39.41,37.46,38.91,1753312.0,38.91
2018-02-08,40.28,40.29,38.83,38.85,1258446.0,38.85
2018-02-07,40.31,41.02,40.07,40.35,1256582.0,40.35
2018-02-06,38.92,40.57,38.16,40.53,2704564.0,40.53
2018-02-05,40.73,41.27,39.45,39.59,1855765.0,39.59
2018-02-02,41.54,41.9289,40.9,40.93,1370327.0,40.93
2018-02-01,41.73,42.11,41.37,41.79,860430.0,41.79
2018-01-31,42.19,42.37,41.61,42.03,1624486.0,42.03
2018-01-30,42.53,42.53,40.41,42.19,1362805.0,42.19
