Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,76.09,76.6,75.139,75.66,3646955.0,75.66
2018-03-26,75.61,76.23,74.65,76.18,3477595.0,76.18
2018-03-23,76.77,76.83,74.51,74.76,4235868.0,74.76
2018-03-22,77.56,78.01,76.41,76.53,3695068.0,76.53
2018-03-21,78.46,79.0,78.031,78.24,2890292.0,78.24
2018-03-20,79.04,79.2,77.85,78.37,3795859.0,78.37
2018-03-19,80.12,80.2,78.16,78.73,4920102.0,78.73
2018-03-16,79.2,80.49,79.12,80.49,7789069.0,80.49
2018-03-15,78.58,79.86,78.46,78.75,3907052.0,78.75
2018-03-14,79.39,79.56,78.02,78.49,3147336.0,78.49
2018-03-13,79.08,79.87,78.77,79.15,4845613.0,79.15
2018-03-12,79.83,79.97,78.615,79.04,4763435.0,79.04
2018-03-09,79.28,79.96,78.88,79.61,4379955.0,79.61
2018-03-08,77.65,79.02,77.47,78.89,3428671.0,78.89
2018-03-07,76.58,77.61,76.54,77.44,2266515.0,77.44
2018-03-06,77.86,78.0,76.88,77.19,2963065.0,77.19
2018-03-05,76.9,78.08,76.71,77.7,3816634.0,77.7
2018-03-02,76.38,77.6,76.32,77.23,3216725.0,77.23
2018-03-01,77.06,77.37,75.53,76.5,6258351.0,76.5
2018-02-28,78.78,79.18,77.01,77.02,6107849.0,77.02
2018-02-27,80.15,80.21,78.69,78.7,4845627.0,78.7
2018-02-26,78.99,80.47,78.965,80.18,6009937.0,80.18
2018-02-23,77.73,78.86,77.64,78.75,5073426.0,78.75
2018-02-22,77.19,78.09,76.52,77.19,7600549.0,77.19
2018-02-21,77.59,78.75,77.55,77.55,3858817.0,77.55
2018-02-20,78.18,78.7,77.18,77.55,3138609.0,77.55
2018-02-16,77.95,79.65,77.91,78.97,4632565.0,78.97
2018-02-15,77.75,78.15,77.03,78.02,4799817.0,78.02
2018-02-14,75.41,77.19,75.34,77.03,4355100.0,77.03
2018-02-13,76.02,76.5899,75.75,76.21,4038884.0,76.21
2018-02-12,76.68,77.1,75.2,76.25,6249291.0,76.25
2018-02-09,75.06,76.82,73.69,76.23,8923892.0,76.23
2018-02-08,77.19,77.65,74.19,74.21,8008796.0,74.21
2018-02-07,77.76,78.56,76.71,76.72,8208047.0,76.72
2018-02-06,76.56,79.11,75.71,77.99,10543403.0,77.99
2018-02-05,80.89,81.61,76.55,77.49,7835894.0,77.49
2018-02-02,81.88,83.03,81.12,81.18,5124392.0,81.18
2018-02-01,81.54,82.8737,81.29,82.41,7463129.0,82.41
2018-01-31,86.5,86.73,81.27,81.45,10329543.0,81.45
2018-01-30,86.64,86.94,85.21,86.09,5321085.0,86.09
2018-01-29,86.77,88.33,86.65,87.6,5213076.0,87.6
2018-01-26,84.76,87.47,84.76,87.08,6263378.0,87.08
2018-01-25,84.81,85.4,84.56,85.01,5197396.0,85.01
2018-01-24,84.86,85.16,84.28,84.3,5950446.0,84.3
2018-01-23,85.18,85.9199,84.24,84.42,5687081.0,84.42
2018-01-22,83.25,85.57,82.4003,85.44,6228163.0,85.44
2018-01-19,86.17,86.28,85.32,85.49,5813442.0,85.49
2018-01-18,86.04,86.14,85.27,85.82,4322246.0,85.82
2018-01-17,85.8,86.361,85.47,86.21,4046344.0,86.21
2018-01-16,85.93,86.59,85.15,85.29,4771564.0,85.29
2018-01-12,86.52,87.40799999999999,86.03,86.98,2728855.0,86.98
2018-01-11,86.17,86.59,85.87,86.39,2625267.0,86.39
2018-01-10,85.61,86.17,85.49,86.1,1673330.0,86.1
2018-01-09,86.2,86.42,85.74,86.06,2425989.0,86.06
2018-01-08,86.69,86.709,85.4,86.13,3015436.0,86.13
2018-01-05,86.09,86.75,85.93,86.57,2910172.0,86.57
2018-01-04,85.28,85.8,84.74,85.52,2459830.0,85.52
2018-01-03,84.74,85.415,84.27,85.14,3068865.0,85.14
2018-01-02,84.46,85.0,84.06,84.68,3455236.0,84.68
2017-12-29,85.12,85.44,84.46,84.46,2551377.0,84.46
2017-12-28,85.3,85.44,84.89,85.05,1731683.0,85.05
2017-12-27,85.19,85.459,84.98,85.14,1301457.0,85.14
2017-12-26,85.29,85.43,84.96,84.99,1099897.0,84.99
2017-12-22,85.67,85.78,84.75,85.07,1743038.0,85.07
2017-12-21,86.11,86.18,85.435,85.61,1937645.0,85.61
2017-12-20,86.57,86.94,85.64,85.74,3015254.0,85.74
2017-12-19,86.24,86.77,85.85,86.71,4022483.0,86.71
2017-12-18,86.97,87.45,85.99,86.08,3722456.0,86.08
2017-12-15,86.69,87.605,86.27,86.54,6109217.0,86.54
2017-12-14,88.14,88.33,86.12,86.5,4364272.0,86.5
2017-12-13,86.41,89.0899,86.34,87.89,5769573.0,87.89
2017-12-12,86.49,86.9,85.991,86.71,4249629.0,86.71
2017-12-11,86.46,86.84,86.07,86.67,3321697.0,86.67
2017-12-08,85.66,86.46,85.47,86.45,3756428.0,86.45
2017-12-07,85.21,85.87,84.65,85.87,4342995.0,85.87
2017-12-06,86.04,86.39,84.53,85.32,3126047.0,85.32
2017-12-05,85.59,86.58,85.21,86.06,3868734.0,86.06
2017-12-04,85.49,86.78,85.36,85.58,4224457.0,85.58
2017-12-01,84.98,85.41,84.18,85.32,2734705.0,85.32
2017-11-30,85.25,85.48,84.32,84.64,4822615.0,84.64
2017-11-29,84.79,85.24,84.45,84.96,2302102.0,84.96
2017-11-28,85.07,85.36,84.74,85.05,2616891.0,85.05
2017-11-27,84.15,85.25,84.03,84.81,2980862.0,84.81
2017-11-24,83.87,84.17,83.58,84.03,817624.0,84.03
2017-11-22,83.67,84.26,83.48,83.68,2227682.0,83.68
2017-11-21,83.65,84.53,83.37,83.51,3528321.0,83.51
2017-11-20,83.09,83.32,82.82,83.18,2204753.0,83.18
2017-11-17,83.0,83.48,82.8,82.89,4092443.0,82.89
2017-11-16,82.41,83.63,81.84,83.44,2594709.0,83.44
2017-11-15,82.51,83.14,81.42,82.19,1827865.0,82.19
2017-11-14,82.69,83.11,82.21,82.49,2684795.0,82.49
2017-11-13,83.33,83.33,82.53,82.86,2478737.0,82.86
2017-11-10,83.67,83.87,82.57,83.29,2691533.0,83.29
2017-11-09,83.82,84.26,83.63,83.99,2096762.0,83.99
2017-11-07,83.04,83.415,82.77,83.28,1706956.0,83.28
2017-11-06,83.29,83.43,82.92,82.94,1856541.0,82.94
2017-11-03,82.71,83.59,82.66,83.51,1534808.0,83.51
2017-11-02,82.55,83.92,82.31,83.13,2697249.0,83.13
2017-11-01,82.17,83.82,82.0,82.89,3305537.0,82.89
2017-10-31,82.76,83.1,81.72,81.94,3837470.0,81.94
2017-10-30,83.76,83.76,82.43,82.65,4667181.0,82.65
2017-10-27,84.07,84.81,83.59,83.86,2890662.0,83.86
2017-10-26,84.67,85.11,83.83,84.16,3820737.0,84.16
2017-10-25,85.91,86.37,84.68,84.875,3387641.0,84.875
2017-10-24,87.42,88.33,83.75,85.17,8671970.0,85.17
2017-10-23,87.47,88.19,87.12,87.18,4899884.0,87.18
2017-10-20,86.52,87.38,86.33,87.23,3218361.0,87.23
2017-10-19,85.69,86.38,85.51,86.36,3233406.0,86.36
2017-10-18,86.33,86.56,85.52,85.73,3996812.0,85.73
2017-10-17,85.94,86.5,85.42,86.06,3611395.0,86.06
2017-10-16,86.48,86.735,85.78,85.95,3787730.0,85.95
2017-10-13,86.4,86.7,85.71,86.55,3026538.0,86.55
2017-10-12,86.1,86.45,85.91,86.43,1887794.0,86.43
2017-10-11,86.35,86.66,85.45,86.06,3152907.0,86.06
2017-10-10,85.38,86.7,85.25,86.16,4936331.0,86.16
2017-10-09,87.14,87.28,86.46,87.05,1698825.0,87.05
2017-10-06,87.31,87.49,86.64,87.08,2285061.0,87.08
2017-10-05,86.77,89.09,86.39,87.65,5139850.0,87.65
2017-10-04,86.5,87.16,86.28,86.96,2311985.0,86.96
2017-10-03,86.24,86.56,85.93,86.45,2104050.0,86.45
2017-10-02,85.78,86.68,85.7384,86.35,2711850.0,86.35
2017-09-29,85.17,85.61,84.391,85.54,3491966.0,85.54
2017-09-28,84.59,85.58,84.15,85.0,2839762.0,85.0
2017-09-27,84.34,84.8,83.97,84.65,3062469.0,84.65
2017-09-26,84.43,85.13,84.01,84.22,2131203.0,84.22
2017-09-25,83.87,84.65,83.8,84.64,4192074.0,84.64
2017-09-22,83.34,84.03,82.74,83.91,3138534.0,83.91
2017-09-21,82.01,83.7,81.88,83.33,4322690.0,83.33
2017-09-20,82.06,82.42,81.39,82.02,2785591.0,82.02
2017-09-19,82.64,82.84,81.5501,81.73,2252117.0,81.73
2017-09-18,82.55,82.67,82.07,82.52,2199956.0,82.52
2017-09-15,83.3,83.57,82.18,82.44,5255786.0,82.44
2017-09-14,82.33,83.99,82.12,83.07,3370295.0,83.07
2017-09-13,81.96,82.58,81.88,82.43,2430831.0,82.43
2017-09-12,82.6,82.729,81.93,82.17,2559631.0,82.17
2017-09-11,82.94,83.35,81.77,82.63,4323716.0,82.63
2017-09-08,81.61,83.12,81.54,82.92,3934793.0,82.92
2017-09-07,80.62,82.75,80.37,81.54,6212731.0,81.54
2017-09-06,80.21,80.67,79.86,80.51,2631613.0,80.51
2017-09-05,79.47,80.05,79.05,79.82,3696551.0,79.82
2017-09-01,81.54,81.71,79.43,80.08,4345026.0,80.08
2017-08-31,80.77,81.35,80.34,81.29,3927901.0,81.29
2017-08-30,79.1,80.77,78.75,80.49,5010277.0,80.49
2017-08-29,78.54,78.84,78.12,78.55,2151488.0,78.55
2017-08-28,79.1,79.43,78.63,78.84,1890279.0,78.84
2017-08-25,78.96,79.53,78.74,78.79,2169261.0,78.79
2017-08-24,78.33,79.24,78.26,78.86,4167593.0,78.86
2017-08-23,78.2,78.52,78.05,78.15,1778745.0,78.15
2017-08-22,77.53,78.65,77.53,78.26,2126691.0,78.26
2017-08-21,77.12,77.64,76.89,77.38,3421137.0,77.38
2017-08-18,77.7,77.7,76.94,77.07,4018348.0,77.07
2017-08-17,80.4,80.57,77.7,77.8,7239236.0,77.8
2017-08-16,82.14,82.2,80.02,80.69,3942489.0,80.69
2017-08-15,81.5,82.34,81.5,81.71,1890019.0,81.71
2017-08-14,81.34,81.68,81.18,81.49,1873929.0,81.49
2017-08-11,81.8,81.97,81.12,81.15,2439830.0,81.15
2017-08-10,82.54,82.54,81.66,82.05,3351404.0,81.527580506918
2017-08-09,82.13,82.74,81.97,82.57,2388475.0,82.044269621648
2017-08-08,81.87,82.72,81.63,81.97,3292556.0,81.448089873883
2017-08-07,82.31,82.4,81.72,82.07,2719663.0,81.547453165177
2017-08-04,81.9,82.32,81.76,82.31,2765849.0,81.78592506428299
2017-08-03,81.58,82.28,81.5,81.93,3613259.0,81.408344557365
