Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,345.3,345.94,336.6,338.85,1285800.0,338.85
2018-03-26,342.4,344.6,339.27,343.93,1474530.0,343.93
2018-03-23,327.0,344.1401,326.7658,336.31,2890155.0,336.31
2018-03-22,333.18,335.47,325.7868,327.15,1526869.0,327.15
2018-03-21,336.26,338.73,332.49,335.47,1268768.0,335.47
2018-03-20,335.73,339.5,335.22,335.6,1147876.0,335.6
2018-03-19,330.3,336.23,330.25,335.25,1496464.0,335.25
2018-03-16,333.38,334.35,329.23,331.4,4689527.0,331.4
2018-03-15,331.94,334.43,328.78,333.23,1733508.0,333.23
2018-03-14,335.71,336.375,327.58,331.68,1707138.0,331.68
2018-03-13,334.78,335.91,332.0801,333.46,1616325.0,333.46
2018-03-12,341.0,341.3546,333.04,333.1,2274818.0,333.1
2018-03-09,341.78,342.559,338.08,340.49,1551257.0,340.49
2018-03-08,343.12,343.7,339.34,341.78,1027067.0,341.78
2018-03-07,336.23,343.19,334.1,342.2,1351029.0,342.2
2018-03-06,342.9,343.99,337.95,339.5,1304776.0,339.5
2018-03-05,339.83,342.7828,337.62,342.36,1812373.0,342.36
2018-03-02,337.5,342.85,335.05,341.72,1684069.0,341.72
2018-03-01,352.46,353.58,337.58,339.69,2307149.0,339.69
2018-02-28,357.36,359.195,352.42,352.44,985685.0,352.44
2018-02-27,359.35,362.32,358.09,358.17,1372940.0,358.17
2018-02-26,360.0,361.32,357.08,358.7,1154151.0,358.7
2018-02-23,356.25,358.69,353.84,358.69,892019.0,358.69
2018-02-22,358.44,358.97,354.51,355.41,1398532.0,355.41
2018-02-21,359.0,362.98,357.0,357.06,1356968.0,357.06
2018-02-20,359.15,362.67,357.23,358.69,1092183.0,358.69
2018-02-16,361.0,363.0,357.84,360.53,1082316.0,360.53
2018-02-15,357.4,361.02,354.74,361.0,1164162.0,361.0
2018-02-14,348.81,355.39,348.2,354.66,1643884.0,354.66
2018-02-13,345.2,351.0625,344.51,350.23,1277675.0,350.23
2018-02-12,344.54,348.4705,340.1,345.81,1816965.0,345.81
2018-02-09,338.1,344.88,332.25,341.42,2356028.0,341.42
2018-02-08,350.21,350.99,334.01,334.3,2608484.0,334.3
2018-02-07,338.29,350.34,337.82,345.43,2043798.0,345.43
2018-02-06,328.71,340.01,327.23,337.59,2585315.0,337.59
2018-02-05,348.63,353.99,326.11,336.46,2903116.0,336.46
2018-02-02,355.0,358.0,351.52,352.66,1954538.0,352.66
2018-02-01,354.26,361.79,354.01,357.38,1578548.0,357.38
2018-01-31,353.28,358.52,352.45,354.85,1833926.0,354.85
2018-01-30,346.52,352.72,345.05,350.39,2021559.0,350.39
2018-01-29,350.0,354.32,342.15,351.42,2857519.0,351.42
2018-01-26,336.87,345.11,334.74,344.9,2024927.0,344.9
2018-01-25,331.04,335.185,330.21,334.72,1773212.0,334.72
2018-01-24,328.87,332.48,327.42,330.49,1228919.0,330.49
2018-01-23,329.99,331.15,328.51,328.7,1032660.0,328.7
2018-01-22,331.77,332.7,328.97,329.0,1457776.0,329.0
2018-01-19,334.24,334.89,331.78,332.0,1477311.0,332.0
2018-01-18,334.11,335.92,332.99,333.0,973190.0,333.0
2018-01-17,331.46,335.74,330.32,334.86,998217.0,334.86
2018-01-16,336.35,336.6699,330.0,330.11,1369098.0,330.11
2018-01-12,331.35,336.35,331.03,336.25,1426497.0,336.25
2018-01-11,331.85,332.08,330.16,331.13,1027994.0,331.13
2018-01-10,331.07,333.74,330.005,331.05,1503360.0,331.05
2018-01-09,329.0,331.83,328.415,330.51,865448.0,330.51
2018-01-08,328.96,330.41,327.81,328.16,1081948.0,328.16
2018-01-05,325.99,330.18,325.98,329.68,1141187.0,329.68
2018-01-04,321.19,326.9,320.99,326.72,1440831.0,326.72
2018-01-03,318.98,321.52,318.63,321.21,893449.0,321.21
2018-01-02,322.0,322.62,317.5,318.54,1182393.0,318.54
2017-12-29,322.22,323.15,321.02,321.05,728366.0,321.05
2017-12-28,319.83,322.3,319.71,322.1,634570.0,322.1
2017-12-27,319.67,319.67,318.0701,319.44,566273.0,319.44
2017-12-26,318.36,319.77,317.97,318.51,516895.0,318.51
2017-12-22,317.99,319.24,317.6,318.03,542062.0,318.03
2017-12-21,317.605,319.2,317.01,317.19,862380.0,317.19
2017-12-20,319.75,321.255,317.65,317.72,928975.0,317.72
2017-12-19,321.66,323.13,319.78,319.97,929451.0,319.97
2017-12-18,322.81,323.94,319.0,322.76,1243760.0,322.76
2017-12-15,319.15,323.38,318.43,322.82,1674889.0,322.82
2017-12-14,318.37,319.03,316.42,317.01,867314.0,317.01
