Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,39.91,40.86,39.64,40.53,1691406.0,40.53
2018-03-26,39.49,39.91,39.43,39.84,1280964.0,39.84
2018-03-23,39.94,40.26,39.38,39.45,1930006.0,39.45
2018-03-22,39.71,40.58,39.64,39.83,1636463.0,39.83
2018-03-21,39.72,40.2,39.555,39.66,1078868.0,39.66
2018-03-20,39.84,40.08,39.6,39.68,1115583.0,39.68
2018-03-19,40.0,40.3,39.645,39.83,1553302.0,39.83
2018-03-16,39.81,40.22,39.68,40.13,5747585.0,40.13
2018-03-15,39.46,40.01,39.375,39.66,2027425.0,39.66
2018-03-14,39.44,39.86,39.27,39.54,1787761.0,39.54
2018-03-13,39.31,39.7,39.14,39.3,2121946.0,39.3
2018-03-12,38.84,39.32,38.75,39.21,3190045.0,39.21
2018-03-09,38.35,38.71,38.195,38.71,1721263.0,38.71
2018-03-08,38.07,38.43,38.07,38.32,997482.0,38.32
2018-03-07,38.11,38.32,37.92,38.06,1081202.0,38.06
2018-03-06,38.58,38.71,38.11,38.17,1415107.0,38.17
2018-03-05,38.05,38.99,37.91,38.93,2390164.0,38.93
2018-03-02,38.58,38.96,37.85,38.22,2124209.0,38.22
2018-03-01,38.71,39.2,38.32,38.49,2222189.0,38.49
2018-02-28,38.97,39.12,38.64,38.65,1917067.0,38.65
2018-02-27,39.5,39.82,38.79,38.8,1927720.0,38.8
2018-02-26,39.45,39.59,39.1,39.53,1642900.0,39.53
2018-02-23,38.33,39.42,38.01,39.42,1949657.0,39.42
2018-02-22,38.71,38.9854,38.45,38.6,1895619.0,38.6
2018-02-21,39.0,39.4,38.62,38.62,1731243.0,38.62
2018-02-20,39.51,39.7,38.95,39.14,2603841.0,39.14
2018-02-16,38.93,39.81,38.87,39.75,3076356.0,39.75
2018-02-15,38.32,39.06,38.23,39.05,1745055.0,39.05
2018-02-14,38.38,38.49,38.05,38.11,1922432.0,38.11
2018-02-13,38.31,38.755,37.89,38.63,1635319.0,38.63
2018-02-12,38.43,38.67,38.04,38.48,2150281.0,38.48
2018-02-09,37.14,38.72,37.14,38.42,3220511.0,38.42
2018-02-08,37.49,38.145,37.13,37.14,2604560.0,37.14
2018-02-07,37.5,38.04,37.35,37.5,1867028.0,37.5
2018-02-06,37.78,38.03,36.84,37.51,3192454.0,37.51
2018-02-05,38.87,39.335,38.22,38.22,2363187.0,38.22
2018-02-02,38.46,39.19,38.46,38.91,1887280.0,38.91
2018-02-01,39.74,39.9,38.97,39.08,1502578.0,39.08
2018-01-31,39.28,39.8,39.07,39.75,1848852.0,39.75
2018-01-30,39.65,39.79,39.18,39.26,1903917.0,39.26
2018-01-29,40.13,40.18,39.61,39.61,1216003.0,39.61
2018-01-26,40.47,40.54,39.9,40.3,1403542.0,40.3
2018-01-25,39.85,40.42,39.79,40.39,1414574.0,40.39
2018-01-24,40.02,40.07,39.83,39.85,1070369.0,39.85
2018-01-23,39.59,40.24,39.59,40.16,1795714.0,40.16
2018-01-22,39.6,39.86,39.45,39.55,1678099.0,39.55
2018-01-19,39.81,39.955,39.34,39.41,2032886.0,39.41
2018-01-18,40.07,40.11,39.36,39.68,1982714.0,39.68
2018-01-17,39.7,40.17,39.65,40.06,2362181.0,40.06
2018-01-16,39.76,39.89,39.33,39.56,4648677.0,39.56
2018-01-12,39.77,39.91,39.49,39.53,1631126.0,39.53
2018-01-11,40.12,40.33,39.71,39.84,1566341.0,39.84
2018-01-10,40.7,40.81,40.15,40.19,1784445.0,40.19
2018-01-09,41.43,41.5,40.88,40.91,1746463.0,40.91
2018-01-08,41.08,41.58,41.05,41.54,1718035.0,41.54
2018-01-05,41.38,41.49,40.92,41.08,1662394.0,41.08
2018-01-04,41.64,41.99,41.21,41.25,1345489.0,41.25
2018-01-03,42.03,42.36,41.49,41.74,1481825.0,41.74
2018-01-02,42.62,42.72,42.045,42.11,1392947.0,42.11
2017-12-29,42.79,42.97,42.57,42.61,1098986.0,42.61
2017-12-28,42.65,42.73,42.43,42.66,1189568.0,42.66
2017-12-27,42.31,42.52,42.27,42.42,972116.0,42.42
2017-12-26,42.53,42.77,42.18,42.19,1079484.0,42.19
2017-12-22,42.45,42.65,42.3,42.5,1083798.0,42.5
2017-12-21,42.29,42.58,42.18,42.32,960854.0,42.32
2017-12-20,42.72,43.02,42.5,42.51,1152256.0,42.51
2017-12-19,43.595,43.64,42.72,42.77,1487834.0,42.77
2017-12-18,44.275,44.37,43.43,43.6,1621448.0,43.6
2017-12-15,44.19,44.46,43.935,44.43,2903756.0,44.43
2017-12-14,43.75,44.24,43.56,43.95,1097556.0,43.95
2017-12-13,44.24,44.59,44.02,44.29,1322892.0,44.29
2017-12-12,44.94,44.99,44.0,44.01,982861.0,44.01
2017-12-11,44.89,45.1,44.5,45.08,920076.0,45.08
2017-12-08,44.53,44.95,44.41,44.94,748247.0,44.94
2017-12-07,44.57,44.64,44.27,44.64,1080665.0,44.64
2017-12-06,44.38,44.685,44.3,44.54,1374812.0,44.54
2017-12-05,44.76,44.785,43.96,44.34,1260196.0,44.34
2017-12-04,45.03,45.22,44.61,44.69,963387.0,44.69
2017-12-01,45.26,45.38,44.525,44.83,1500238.0,44.83
2017-11-30,44.94,45.225,44.87,45.11,2288443.0,45.11
2017-11-29,44.75,45.31,44.63,44.9,1131360.0,44.9
2017-11-28,44.67,44.85,44.3,44.78,950931.0,44.78
2017-11-27,44.33,44.64,44.11,44.61,934064.0,44.61
2017-11-24,44.22,44.41,44.15,44.22,339715.0,44.22
2017-11-22,44.13,44.33,44.01,44.19,949838.0,44.19
2017-11-21,44.31,44.4,44.04,44.15,1290962.0,44.15
2017-11-20,44.43,44.49,44.125,44.26,1133696.0,44.26
2017-11-17,44.51,44.71,44.1669,44.4,3549001.0,44.4
2017-11-16,44.66,44.75,44.46,44.63,1204401.0,44.63
2017-11-15,45.3,45.55,44.64,44.71,1341186.0,44.71
2017-11-14,44.22,45.23,44.205,45.18,1523235.0,45.18
2017-11-13,43.69,44.31,43.69,44.3,1757823.0,44.3
2017-11-10,43.94,43.99,43.66,43.68,1485482.0,43.68
2017-11-09,43.85,44.18,43.81,44.1,898160.0,44.1
2017-11-07,43.69,44.21,43.51,44.17,1063389.0,44.17
