Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,22.55,22.61,22.03,22.15,2707114.0,22.15
2018-03-26,22.21,22.52,22.08,22.48,2008086.0,22.48
2018-03-23,22.42,22.51,21.72,21.85,2834816.0,21.85
2018-03-22,22.93,23.14,22.35,22.36,2111212.0,22.36
2018-03-21,23.16,23.39,23.08,23.16,2103973.0,23.16
2018-03-20,24.09,24.1,23.19,23.19,2719273.0,23.19
2018-03-19,24.6,24.63,23.76,24.0,2739408.0,24.0
2018-03-16,24.41,24.72,24.345,24.65,2875013.0,24.65
2018-03-15,24.4,24.58,24.28,24.41,3203668.0,24.41
2018-03-14,24.39,24.52,24.19,24.3,2750602.0,24.3
2018-03-13,24.65,24.65,24.23,24.3,2049575.0,24.3
2018-03-12,24.47,24.61,24.41,24.5,1797338.0,24.5
2018-03-09,24.22,24.72,24.13,24.5,1694486.0,24.5
2018-03-08,24.04,24.1,23.63,23.98,2110138.0,23.98
2018-03-07,23.82,24.04,23.67,24.0,1599227.0,24.0
2018-03-06,24.09,24.2,23.765,24.07,2705839.0,24.07
2018-03-05,23.61,24.13,23.46,23.92,1704636.0,23.92
2018-03-02,23.45,23.87,23.13,23.81,1601634.0,23.81
2018-03-01,23.93,24.26,23.56,23.64,2122832.0,23.64
2018-02-28,24.68,24.72,23.98,23.99,2087861.0,23.99
2018-02-27,25.14,25.45,24.55,24.56,1311332.0,24.56
2018-02-26,25.09,25.23,24.86,25.02,1164714.0,25.02
2018-02-23,24.58,25.0,24.46,24.97,1734538.0,24.97
2018-02-22,25.1,25.11,24.435,24.48,1392164.0,24.48
2018-02-21,25.05,25.415,24.96,24.98,1437292.0,24.98
2018-02-20,24.92,25.3,24.91,25.1,1657662.0,25.1
2018-02-16,24.83,25.15,24.82,24.97,2042345.0,24.97
2018-02-15,25.3,25.4,24.73,24.93,1858740.0,24.93
2018-02-14,24.41,25.23,24.4,25.22,1300936.0,25.22
2018-02-13,24.62,24.78,24.545,24.6,1403867.0,24.6
2018-02-12,24.45,25.095,24.345,24.84,2207168.0,24.84
2018-02-09,24.18,24.45,23.46,24.25,1966514.0,24.25
2018-02-08,25.01,25.01,23.86,23.86,2202231.0,23.86
2018-02-07,24.58,25.42,24.58,25.01,2243140.0,25.01
2018-02-06,24.22,25.07,23.9004,24.73,4659478.0,24.73
2018-02-05,26.0,26.31,24.76,24.77,2416269.0,24.77
2018-02-02,26.92,27.02,26.22,26.29,1575544.0,26.29
2018-02-01,27.03,27.11,26.78,27.03,1268320.0,27.03
2018-01-31,27.1,27.24,26.93,27.07,1394156.0,27.07
2018-01-30,27.05,27.21,26.95,27.09,1192942.0,27.09
2018-01-29,27.51,27.7,27.165,27.18,958031.0,27.18
2018-01-26,27.55,27.65,27.36,27.63,997409.0,27.63
2018-01-25,27.63,27.655,27.34,27.43,755085.0,27.43
2018-01-24,27.87,27.92,27.54,27.54,1299517.0,27.54
2018-01-23,27.89,27.95,27.61,27.64,1195840.0,27.64
2018-01-22,27.8,28.01,27.665,27.91,1086816.0,27.91
2018-01-19,27.78,28.11,27.74,28.01,1174830.0,28.01
2018-01-18,27.77,27.8,27.44,27.63,958800.0,27.63
2018-01-17,27.7,27.89,27.42,27.82,1143089.0,27.82
2018-01-16,28.08,28.17,27.445,27.55,1322277.0,27.55
2018-01-12,28.14,28.3,27.81,27.93,1255364.0,27.93
2018-01-11,27.87,28.22,27.87,27.98,1314378.0,27.98
2018-01-10,27.54,27.91,27.42,27.84,1488042.0,27.84
