Date,Open,High,Low,Close,Volume,AdjClose
2017-10-31,53.0,53.63,52.66,53.63,3117591.0,53.63
2017-10-30,50.99,52.78,50.82,52.7,4364089.0,52.7
2017-10-27,52.8,52.86,51.25,51.31,4967361.0,51.31
2017-10-26,52.9,53.16,52.67,52.85,2447330.0,52.85
2017-10-25,52.94,53.12,52.74,52.87,2003569.0,52.87
2017-10-24,53.18,53.63,53.09,53.2,1324306.0,53.2
2017-10-23,53.44,53.9,52.985,53.19,3468738.0,53.19
2017-10-20,52.9,53.77,52.79,53.51,2068606.0,53.51
2017-10-19,53.05,53.43,52.49,52.78,3671172.0,52.78
2017-10-18,53.5,53.63,52.875,52.93,10149483.0,52.93
2017-10-17,54.56,54.97,53.39,53.47,7042409.0,53.47
2017-10-16,55.3,55.36,54.56,54.68,1979719.0,54.68
2017-10-13,55.55,55.82,55.14,55.36,3939197.0,55.36
2017-10-12,55.21,55.61,55.01,55.4,16627904.0,55.4
2017-10-11,55.51,55.77,55.3,55.39,4779343.0,55.39
2017-10-10,55.06,55.53,55.05,55.49,1512299.0,55.49
2017-10-09,55.2,55.31,54.93,55.16,886702.0,55.16
2017-10-06,54.95,55.08,54.41,55.08,952088.0,55.08
2017-10-05,55.28,55.64,54.89,55.06,2370144.0,55.06
2017-10-04,55.16,55.58,55.02,55.16,2984581.0,55.16
2017-10-03,54.55,55.33,53.64,55.3,3245321.0,55.3
2017-10-02,53.38,54.08,53.14,53.94,2767260.0,53.94
2017-09-29,53.7,53.82,53.14,53.29,1621240.0,53.29
2017-09-28,53.72,54.01,53.4699,53.7,1329020.0,53.7
2017-09-27,53.93,54.43,53.72,53.84,941203.0,53.84
2017-09-26,53.8,54.09,53.7,53.9,1120912.0,53.9
2017-09-25,52.7,54.01,52.7,53.85,2914132.0,53.85
2017-09-22,52.79,52.79,52.43,52.77,1274754.0,52.77
2017-09-21,52.78,52.92,52.47,52.72,1082359.0,52.72
2017-09-20,52.68,53.31,52.57,52.93,2192833.0,52.93
2017-09-19,52.45,53.0,52.33,52.76,1610134.0,52.76
2017-09-18,53.33,53.37,52.22,52.45,1703844.0,52.45
2017-09-15,53.19,53.53,53.01,53.37,2196080.0,53.37
2017-09-14,53.08,53.3,52.7501,52.93,1125095.0,52.93
2017-09-13,53.61,54.25,52.945,53.07,4643997.0,53.07
2017-09-12,52.67,53.87,52.53,53.62,2080370.0,53.62
2017-09-11,53.0,53.14,52.32,52.49,2807615.0,52.49
