Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,158.5,159.7655,156.47,157.48,3194878.0,157.48
2018-03-26,156.21,158.2,156.21,158.01,3419642.0,158.01
2018-03-23,157.59,158.08,154.92,154.98,3337592.0,154.98
2018-03-22,157.85,159.12,156.85,157.04,3646979.0,157.04
2018-03-21,160.0,160.41,158.29,158.66,3494739.0,158.66
2018-03-20,159.75,160.67,159.25,159.38,3034736.0,159.38
2018-03-19,162.0,162.36,158.21,159.01,4031469.0,159.01
2018-03-16,161.88,163.23,161.58,162.36,13580136.0,162.36
2018-03-15,158.71,162.15,158.59,161.61,5715337.0,161.61
2018-03-14,159.0,159.51,157.24,158.24,3874466.0,158.24
2018-03-13,158.56,159.89,158.21,158.22,4305389.0,158.22
2018-03-12,157.74,159.45,157.505,157.74,4137391.0,157.74
2018-03-09,155.62,157.73,154.84,157.24,4722315.0,157.24
2018-03-08,152.73,154.61,152.65,154.44,4246657.0,154.44
2018-03-07,149.86,152.74,149.68,152.38,4492049.0,152.38
2018-03-06,151.25,151.71,150.13,151.2,5012250.0,151.2
2018-03-05,148.28,151.48,147.92,151.03,6397841.0,151.03
2018-03-02,148.91,150.45,146.84,148.27,11754262.0,148.27
2018-03-01,157.8,160.43,155.21,155.7,5608962.0,155.7
2018-02-28,160.43,161.21,157.72,157.74,6043547.0,157.74
2018-02-27,164.19,164.5,160.64,160.66,4895502.0,160.66
2018-02-26,164.0,164.75,162.3,163.58,3895851.0,163.58
2018-02-23,161.44,163.31,161.44,163.06,4209915.0,163.06
2018-02-22,158.95,161.4,158.9,160.66,4393003.0,160.66
2018-02-21,157.76,161.32,157.6,158.64,6512546.0,158.64
2018-02-20,157.0,159.16,156.275,157.16,5185970.0,157.16
2018-02-16,159.47,159.9,157.76,157.79,7148544.0,157.79
2018-02-15,161.14,161.52,158.81,160.78,4926716.0,160.78
2018-02-14,161.44,162.02,159.68,159.99,5846477.0,159.99
2018-02-13,163.0,163.83,161.72,162.4,5401178.0,162.4
2018-02-12,162.37,165.89,161.5,163.9,5244251.0,163.9
2018-02-09,159.98,161.98,155.23,160.8,7172175.0,160.8
2018-02-08,165.69,165.7329,158.76,158.97,5412844.0,158.97
2018-02-07,164.86,168.26,164.52,165.71,4926698.0,165.71
