Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,41.71,41.72,40.69,40.91,6570556.0,40.91
2018-03-26,41.06,41.4,40.68,41.33,7208515.0,41.33
2018-03-23,41.14,41.54,40.51,40.51,10917445.0,40.51
2018-03-22,41.63,41.8717,40.97,41.03,8792149.0,41.03
2018-03-21,41.68,42.26,41.1,42.03,14543053.0,42.03
2018-03-20,42.39,42.67,42.19,42.35,8174406.0,42.35
2018-03-19,43.08,43.22,42.22,42.35,15473627.0,42.35
2018-03-16,43.56,43.82,43.12,43.19,9128140.0,43.19
2018-03-15,43.77,43.935,43.19,43.39,5908795.0,43.39
2018-03-14,44.27,44.41,43.62,43.88,7109749.0,43.88
2018-03-13,44.69,44.83,43.96,44.04,7106172.0,44.04
2018-03-12,44.55,44.65,44.33,44.39,6132787.0,44.39
2018-03-09,44.44,44.44,43.87,44.27,9062497.0,44.27
2018-03-08,43.77,44.145,43.45,44.0,8237921.0,44.0
2018-03-07,43.5,43.97,43.325,43.58,20757086.0,43.58
2018-03-06,45.0,45.71,44.81,45.57,9352617.0,45.57
2018-03-05,44.08,45.15,44.04,45.06,7365071.0,45.06
2018-03-02,43.44,44.58,43.3,44.42,10029815.0,44.42
2018-03-01,43.97,44.17,43.15,43.62,8331173.0,43.62
2018-02-28,44.24,44.46,43.9,43.9,11235593.0,43.9
2018-02-27,44.4,44.6,43.9,44.01,11628199.0,44.01
2018-02-26,44.15,45.18,43.79,44.77,12188668.0,44.77
2018-02-23,43.79,43.95,43.31,43.75,8692045.0,43.75
2018-02-22,43.74,44.02,43.42,43.51,8438493.0,43.51
2018-02-21,43.91,44.19,43.57,43.62,9969745.0,43.62
2018-02-20,44.09,44.29,43.62,43.78,5112801.0,43.78
2018-02-16,44.05,44.29,43.71,44.14,6736549.0,44.14
2018-02-15,43.17,44.09,42.78,44.08,8558214.0,44.08
2018-02-14,42.66,43.31,42.04,42.96,10078045.0,42.96
2018-02-13,42.26,43.02,42.0,42.8,9223503.0,42.8
2018-02-12,42.37,42.88,42.1,42.53,15745147.0,42.53
2018-02-09,42.83,43.13,41.8234,42.0,12551573.0,42.0
2018-02-08,44.17,44.335,42.67,42.69,12728730.0,42.69
2018-02-07,44.29,44.78,43.85,44.05,8227467.0,44.05
2018-02-06,43.64,44.57,43.27,44.55,11787609.0,44.55
2018-02-05,45.32,46.2,43.935,44.16,12784056.0,44.16
2018-02-02,45.84,46.13,45.44,45.5,10788708.0,45.5
2018-02-01,44.36,46.54,44.285,45.87,20056810.0,45.87
2018-01-31,44.33,44.77,44.17,44.4,14130893.0,44.4
2018-01-30,44.58,45.06,44.25,44.34,6639451.0,44.34
2018-01-29,44.96,45.01,44.31,44.54,10285739.0,44.54
2018-01-26,44.61,44.61,44.12,44.42,5502839.0,44.42
2018-01-25,44.72,45.0,44.2,44.47,7152998.0,44.47
2018-01-24,44.59,44.76,44.46,44.59,6652076.0,44.59
2018-01-23,44.07,44.59,43.93,44.5,5673048.0,44.5
2018-01-22,43.69,44.41,43.69,44.28,6852504.0,44.28
2018-01-19,43.68,44.18,43.67,44.14,8726139.0,44.14
2018-01-18,43.78,44.05,43.235,43.68,6593195.0,43.68
2018-01-17,43.27,44.18,43.13,43.86,11341480.0,43.86
2018-01-16,42.52,43.2,42.5,42.99,8568300.0,42.99
2018-01-12,42.65,42.7,42.34,42.47,7150056.0,42.47
2018-01-11,42.68,42.8,42.29,42.51,6482889.0,42.51
2018-01-10,42.76,43.05,42.455,42.63,6346210.0,42.63
2018-01-09,43.14,43.14,42.89,42.99,5786643.0,42.99
2018-01-08,43.1,43.46,42.98,43.01,8132858.0,43.01
2018-01-05,42.82,43.37,42.7,43.23,10732102.0,43.23
2018-01-04,42.72,43.05,42.48,42.68,8700768.0,42.68
2018-01-03,42.5,42.77,42.36,42.58,8596681.0,42.58
2018-01-02,43.22,43.22,42.4,42.41,6421419.0,42.41
2017-12-29,42.96,43.24,42.77,42.8,4540548.0,42.8
2017-12-28,43.13,43.27,42.9,43.06,4963022.0,43.06
2017-12-27,43.38,43.5901,43.145,43.25,5488323.0,43.25
2017-12-26,43.42,43.73,43.25,43.42,6759409.0,43.42
2017-12-22,43.2,43.47,43.135,43.36,8840040.0,43.36
2017-12-21,43.12,43.29,42.97,43.1,6367514.0,43.1
2017-12-20,43.38,43.47,42.89,42.95,7013801.0,42.95
2017-12-19,43.32,43.65,43.15,43.25,6793268.0,43.25
2017-12-18,43.44,43.98,42.84,43.11,10983749.0,43.11
2017-12-15,42.89,43.52,42.52,43.38,15274213.0,43.38
2017-12-14,42.89,42.99,42.74,42.77,9663497.0,42.77
2017-12-13,42.88,43.13,42.68,42.94,8919199.0,42.94
2017-12-12,42.77,42.98,42.68,42.88,14858299.0,42.88
2017-12-11,42.53,42.88,42.37,42.87,10469703.0,42.87
2017-12-08,42.89,42.92,42.53,42.65,5653623.0,42.65
2017-12-07,43.24,43.3,42.67,42.68,6506535.0,42.68
2017-12-06,43.19,43.415,42.97,43.33,7584690.0,43.33
2017-12-05,43.17,43.43,42.72,42.99,6954759.0,42.99
2017-12-04,42.5,43.37,42.5,43.11,9069835.0,43.11
2017-12-01,42.68,43.16,42.42,42.92,8875572.0,42.92
2017-11-30,43.0,43.34,42.755,42.94,9007927.0,42.94
2017-11-29,42.64,43.43,42.59,42.94,8951772.0,42.94
2017-11-28,42.59,42.76,42.41,42.61,5724988.0,42.61
2017-11-27,42.23,42.63,42.22,42.47,6174556.0,42.47
2017-11-24,42.26,42.53,42.095,42.15,3455230.0,42.15
2017-11-22,42.45,42.45,42.09,42.33,5821709.0,42.33
2017-11-21,42.3,42.34,42.04,42.32,6306000.0,42.32
2017-11-20,42.3,42.62,41.98,42.11,6175934.0,42.11
2017-11-17,42.25,42.765,42.15,42.3,9160511.0,42.3
2017-11-16,41.95,42.51,41.895,42.19,6763204.0,42.19
2017-11-15,42.47,42.64,41.88,41.95,8612929.0,41.95
2017-11-14,41.98,42.63,41.773,42.53,8350883.0,42.53
2017-11-13,41.83,42.19,41.83,42.05,6799337.0,42.05
2017-11-10,41.12,42.08,41.0328,41.95,8311189.0,41.95
2017-11-09,41.31,41.63,41.22,41.35,6708700.0,41.35
2017-11-07,40.52,41.27,40.36,41.21,7095912.0,41.21
2017-11-06,40.94,40.95,40.2,40.42,5536643.0,40.42
2017-11-03,41.16,41.35,40.9,40.97,5145787.0,40.97
2017-11-02,41.26,41.46,40.89,41.16,6866513.0,41.16
2017-11-01,41.85,41.88,41.22,41.27,7518212.0,41.27
2017-10-31,42.33,42.49,41.33,41.43,16554313.0,41.43
2017-10-30,40.46,40.67,39.19,39.3,12986426.0,39.3
2017-10-27,40.38,40.89,40.36,40.68,9633052.0,40.68
2017-10-26,41.3,41.35,40.89,40.91,6184259.0,40.91
2017-10-25,40.92,41.11,40.54,41.08,5751634.0,41.08
2017-10-24,41.05,41.42,40.94,41.09,7703938.0,41.09
2017-10-23,41.14,41.28,40.88,41.04,5380790.0,41.04
2017-10-20,40.67,41.06,40.67,41.02,7491308.0,41.02
2017-10-19,40.84,40.905,40.62,40.73,6171499.0,40.73
2017-10-18,41.03,41.13,40.7248,40.81,5641464.0,40.81
2017-10-17,41.39,41.45,40.98,41.13,6175669.0,41.13
2017-10-16,41.64,41.76,41.435,41.55,4494441.0,41.55
2017-10-13,42.0,42.0,41.62,41.68,7042369.0,41.68
2017-10-12,41.76,41.9,41.52,41.81,5081394.0,41.81
2017-10-11,41.45,41.81,41.4,41.71,6578930.0,41.71
2017-10-10,40.89,41.63,40.83,41.45,10462606.0,41.45
2017-10-09,41.41,41.42,40.71,40.81,4669561.0,40.81
2017-10-06,41.15,41.26,41.03,41.13,5011773.0,41.13
2017-10-05,41.08,41.23,40.95,41.1,6702955.0,41.1
2017-10-04,41.05,41.24,40.9,41.02,5724156.0,41.02
2017-10-03,41.29,41.29,40.83,40.94,8020612.0,40.94
2017-10-02,40.6,41.41,40.56,41.1,15209579.0,41.1
2017-09-29,40.6,40.76,40.3,40.66,7956144.0,40.66
2017-09-28,40.48,40.85,40.335,40.52,6872313.0,40.52
2017-09-27,40.8,40.8,40.29,40.57,9009722.0,40.350918016691
2017-09-26,40.63,40.89,40.46,40.63,8546446.0,40.4105940108
2017-09-25,40.1,40.71,40.05,40.5,9247707.0,40.281296023564
2017-09-22,40.16,40.415,40.04,40.05,8323192.0,39.833726067747
2017-09-21,40.53,40.7,40.14,40.19,8179356.0,39.972970054001
2017-09-20,40.645,40.7908,40.23,40.41,11121233.0,40.191782032401
2017-09-19,40.74,40.87,40.465,40.58,7442532.0,40.360864015709
2017-09-18,41.0,41.0,40.655,40.71,9519612.0,40.490162002946
2017-09-15,40.63,41.07,40.63,40.86,10834303.0,40.639351988218
2017-09-14,41.12,41.27,40.55,40.68,8347830.0,40.460324005890996
2017-09-13,41.0,41.33,40.82,41.12,8253616.0,40.89794796269
2017-09-12,41.33,41.4,40.9,40.98,6180654.0,40.758703976436
2017-09-11,40.83,41.22,40.71,41.19,8599941.0,40.967569955817
2017-09-08,40.97,41.185,40.61,40.63,9811068.0,40.4105940108
2017-09-07,40.77,41.06,40.6,40.96,12018422.0,40.7388119784
2017-09-06,40.78,40.79,40.22,40.59,10186464.0,40.370810014728
2017-09-05,40.95,41.13,40.54,40.73,10615065.0,40.510054000981995
2017-09-01,40.79,40.97,40.6,40.88,6794833.0,40.659243986254
2017-08-31,41.55,41.55,40.47,40.66,16766155.0,40.440432007855
2017-08-30,41.76,42.305,40.39,41.63,27415099.0,41.405193912617
2017-08-29,41.29,41.99,41.07,41.89,7605515.0,41.663789887089
2017-08-28,41.62,41.69,40.96,41.3,12828221.0,41.076975945017
2017-08-25,41.96,42.2,41.41,41.48,11343179.0,41.256003927344
2017-08-24,42.99,43.09,41.79,41.88,15865021.0,41.653843888070995
2017-08-23,43.49,43.49,43.04,43.1,3827770.0,42.867255768287
2017-08-22,43.12,43.49,43.12,43.44,3579457.0,43.205419734904005
2017-08-21,42.9,43.32,42.82,43.11,3830024.0,42.877201767305
2017-08-18,43.46,43.57,42.91,42.94,6717420.0,42.708119783996
2017-08-17,43.46,44.235,43.395,43.41,6438764.0,43.175581737849996
2017-08-16,44.22,44.4784,44.0,44.19,6496244.0,43.951369661267
2017-08-15,43.68,43.93,43.62,43.86,7716273.0,43.623151693667005
2017-08-14,43.76,44.0299,43.65,43.7,6027685.0,43.464015709377
2017-08-11,43.34,43.74,43.21,43.59,4621196.0,43.354609720177
2017-08-10,43.25,43.595,43.19,43.27,5951665.0,43.036337751595
2017-08-09,43.53,43.7464,43.27,43.47,4612887.0,43.235257731959
2017-08-08,43.77,43.96,43.53,43.64,5390404.0,43.404339715268
2017-08-07,43.56,44.06,43.41,43.99,7408969.0,43.752449680903
2017-08-04,43.58,43.76,43.315,43.48,7910929.0,43.245203730977
2017-08-03,44.2,44.345,43.37,43.41,9988572.0,43.175581737849996
2017-08-02,44.03,44.17,42.785,44.1,13418455.0,43.861855670103
2017-08-01,44.04,44.05,43.59,43.62,6641408.0,43.384447717231
2017-07-31,43.99,44.1,43.625,44.02,6716423.0,43.782287677958
2017-07-28,44.37,44.38,43.86,43.93,6681141.0,43.692773686794006
2017-07-27,44.04,44.26,43.75,44.24,7537592.0,44.001099656357
2017-07-26,44.32,44.44,44.06,44.22,3913268.0,43.981207658321
2017-07-25,44.25,44.3767,43.95,44.24,7304260.0,44.001099656357
2017-07-24,43.95,44.23,43.67,43.75,5079774.0,43.513745704467
2017-07-21,43.78,44.11,43.7238,44.03,7342453.0,43.792233676976004
2017-07-20,44.16,44.29,43.76,43.81,6731213.0,43.573421698576006
2017-07-19,43.76,44.18,43.5964,44.14,4753765.0,43.901639666176
2017-07-18,43.76,43.87,43.57,43.8,3721311.0,43.563475699558
2017-07-17,43.65,43.76,43.49,43.69,4455317.0,43.454069710358
2017-07-14,43.52,43.69,43.31,43.62,6004610.0,43.384447717231
2017-07-13,43.18,43.405,43.02,43.29,4918634.0,43.056229749631996
2017-07-12,43.31,43.47,43.185,43.24,5245543.0,43.006499754541
2017-07-11,43.05,43.19,42.755,42.99,4765209.0,42.757849779087
2017-07-10,43.27,43.42,43.0,43.05,5012295.0,42.817525773196
2017-07-07,42.99,43.37,42.89,43.22,8927100.0,42.986607756505
2017-07-06,43.0,43.35,42.94,43.0592,6945533.0,42.826676092293
2017-07-05,43.15,43.42,43.0,43.12,6789519.0,42.887147766323
2017-07-03,43.47,43.58,43.15,43.2,4244365.0,42.966715758468
2017-06-30,43.59,43.64,43.16,43.2,5678148.0,42.966715758468
2017-06-29,43.9,44.055,42.915,43.12,6170841.0,42.887147766323
2017-06-28,44.06,44.47,43.99,44.03,8740782.0,43.792233676976004
2017-06-27,45.0,45.0,43.94,43.97,10778793.0,43.544652075455
2017-06-26,45.1,45.325,44.89,44.9,5258196.0,44.465655633112
2017-06-23,45.07,45.08,44.85,44.9,7187491.0,44.465655633112
2017-06-22,44.98,45.21,44.76,44.85,4985962.0,44.416139312808
2017-06-21,45.23,45.325,44.94,44.98,7036549.0,44.544881745599
2017-06-20,45.48,45.62,45.02,45.03,7010006.0,44.59439806590299
2017-06-19,45.365,45.5,44.96,45.48,4973138.0,45.04004494864
2017-06-16,45.41,45.7,44.73,45.19,15248424.0,44.752850290876
2017-06-15,45.61,45.92,45.28,45.88,6211260.0,45.436175511072996
2017-06-14,45.42,46.1,45.42,45.73,7065476.0,45.287626550161
2017-06-13,45.29,45.81,45.1,45.64,7462992.0,45.198497173613006
2017-06-12,45.4,45.91,45.051,45.37,12875094.0,44.931109043971006
2017-06-09,46.52,46.52,45.43,45.62,10722160.0,45.178690645492
2017-06-08,46.74,46.775,46.34,46.35,9374683.0,45.901628921932
2017-06-07,47.18,47.18,46.71,46.76,4824726.0,46.307662748426
2017-06-06,46.99,47.1957,46.75,46.81,5228287.0,46.35717906873
