Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,110.04,111.07,106.19,107.35,2340227.0,107.35
2018-03-26,106.53,107.26,105.63,106.97,1747163.0,106.97
2018-03-23,106.83,108.12,105.65,105.72,1082070.0,105.72
2018-03-22,106.85,108.22,106.53,106.56,1066072.0,106.56
2018-03-21,107.0,107.68,104.92,107.04,1151901.0,107.04
2018-03-20,108.07,108.57,107.25,107.75,669505.0,107.75
2018-03-19,107.64,108.9,107.29,107.87,698896.0,107.87
2018-03-16,108.81,109.54700000000001,107.7,107.81,1268168.0,107.81
2018-03-15,110.62,110.94,108.6,108.97,640364.0,108.97
2018-03-14,111.02,111.38,110.2748,110.56,776893.0,110.56
2018-03-13,111.29,111.29,110.51,110.74,642523.0,110.74
2018-03-12,110.71,111.46,110.3,110.69,555505.0,110.69
2018-03-09,110.0,110.57,109.38,110.54,1270214.0,110.54
2018-03-08,109.18,109.63,108.7,109.62,591817.0,109.62
2018-03-07,109.2,109.92,108.76,109.19,797859.0,109.19
2018-03-06,109.67,110.27,108.67,110.06,920305.0,110.06
2018-03-05,107.96,110.15,107.96,109.74,1236786.0,109.74
2018-03-02,106.29,108.43,106.21,108.29,648796.0,108.29
2018-03-01,106.32,108.22,106.18,106.74,1283559.0,106.74
2018-02-28,107.12,108.14,106.58,106.78,1232811.0,106.78
2018-02-27,107.73,108.45,106.59,106.59,1062619.0,106.59
2018-02-26,106.21,107.73,105.73,107.42,1105959.0,107.42
2018-02-23,105.09,106.625,104.155,106.22,856849.0,106.22
2018-02-22,104.32,105.85,104.05,105.06,946718.0,105.06
2018-02-21,104.5,105.86,104.0,104.06,820882.0,104.06
2018-02-20,105.49,105.66,104.06,104.6,895882.0,104.6
2018-02-16,104.39,105.87,103.76,105.5,585140.0,105.5
2018-02-15,104.0,104.9,102.19,104.81,592296.0,104.81
2018-02-14,102.2,103.89,101.48,103.76,625975.0,103.76
2018-02-13,101.91,103.22,101.27,102.71,588296.0,102.71
2018-02-12,102.19,103.13,102.02,102.3,695792.0,102.3
2018-02-09,102.15,102.55,99.87,101.84,1057102.0,101.84
2018-02-08,102.93,104.49,101.33,101.36,1094382.0,101.36
2018-02-07,102.04,104.37,102.03,102.66,1034642.0,102.66
2018-02-06,100.52,102.9477,99.49,102.46,1602113.0,102.46
2018-02-05,103.39,104.25,101.53,101.53,1592732.0,101.53
2018-02-02,106.99,106.99,103.51,103.56,1245308.0,103.56
2018-02-01,108.71,109.07,107.41,107.52,1226555.0,107.52
2018-01-31,108.13,109.67,107.76,108.77,1834040.0,108.77
2018-01-30,107.81,108.62,107.43,107.97,1230837.0,107.97
2018-01-29,107.36,108.97,106.55,107.78,1438856.0,107.78
2018-01-26,104.75,107.56,104.26,107.45,1547736.0,107.45
2018-01-25,103.7,106.19,103.0,105.09,2768960.0,105.09
2018-01-24,99.33,100.99,98.99,100.09,1776867.0,100.09
2018-01-23,98.91,99.4,98.34,98.89,1413260.0,98.89
2018-01-22,99.34,100.0,98.42,99.13,1276001.0,99.13
2018-01-19,101.89,101.9,98.57,99.19,2891469.0,99.19
2018-01-18,102.79,103.26,102.1,102.91,972302.0,102.91
2018-01-17,101.76,103.095,101.43,102.65,690099.0,102.65
2018-01-16,101.05,101.98,100.94,101.29,920626.0,101.29
2018-01-12,101.28,101.98,100.62,101.01,572718.0,101.01
2018-01-11,101.52,101.85,100.815,101.0,764703.0,101.0
2018-01-10,102.43,102.8,101.24,101.58,548568.0,101.58
2018-01-09,103.3,103.82,103.08,103.12,569497.0,103.12
2018-01-08,102.82,103.59,102.68,103.22,729741.0,103.22
2018-01-05,102.51,103.3,101.735,103.11,905230.0,103.11
2018-01-04,101.33,102.84,100.94,102.11,761492.0,102.11
2018-01-03,101.08,101.55,100.37,101.47,820170.0,101.47
2018-01-02,102.01,102.32,100.53,101.23,840101.0,101.23
2017-12-29,102.47,103.06,101.84,101.91,718249.0,101.91
2017-12-28,101.89,102.32,101.74,102.24,880736.0,102.24
2017-12-27,102.41,102.775,101.81,102.13,429451.0,102.13
2017-12-26,101.98,102.7,101.9,102.01,347463.0,102.01
2017-12-22,101.79,102.34,100.975,101.92,477925.0,101.92
2017-12-21,101.53,101.77,100.99,101.15,615200.0,101.15
2017-12-20,100.69,101.97,100.25,101.4,755457.0,101.4
2017-12-19,101.9,102.86,101.57,101.57,663326.0,101.57
2017-12-18,102.03,102.85,101.61,101.69,771344.0,101.69
2017-12-15,101.51,101.81,100.5,101.43,1285792.0,101.43
2017-12-14,100.5,101.02,100.23,100.24,587197.0,100.24
2017-12-13,101.47,101.47,100.35,100.96,681812.0,100.96
2017-12-12,101.0,101.65,100.25,101.07,975693.0,101.07
2017-12-11,100.91,101.17,99.4105,100.52,1205828.0,100.52
2017-12-08,102.03,102.35,100.89,101.16,1023342.0,101.16
2017-12-07,103.13,103.16,101.95,102.14,1066523.0,102.14
2017-12-06,102.95,103.6,102.78,103.0,696442.0,103.0
2017-12-05,104.67,104.76,102.69,102.96,1007855.0,102.96
2017-12-04,103.29,104.74,102.9,104.48,972520.0,104.48
2017-12-01,102.23,102.99,100.8,102.85,911066.0,102.85
2017-11-30,102.56,103.94,101.72,102.18,1522732.0,102.18
2017-11-29,101.06,103.37,100.48,102.12,1155280.0,102.12
2017-11-28,100.26,100.97,99.92,100.81,945307.0,100.81
2017-11-27,99.44,100.26,99.12,100.12,723136.0,100.12
2017-11-24,99.32,99.75,99.06,99.13,214283.0,99.13
2017-11-22,99.89,100.14,98.7,99.01,675613.0,99.01
2017-11-21,100.07,101.57,99.81,100.06,869803.0,100.06
2017-11-20,99.37,101.28,99.37,100.08,981603.0,100.08
2017-11-17,99.06,100.57,99.06,99.33,2317182.0,99.33
