Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,24.79,25.1,24.03,24.2,5058288.0,24.2
2018-03-26,24.67,24.69,24.1,24.65,3857614.0,24.65
2018-03-23,24.68,25.03,24.23,24.26,3233674.0,24.26
2018-03-22,24.89,25.49,24.66,24.68,4573192.0,24.68
2018-03-21,25.07,25.71,24.95,25.26,3271717.0,25.26
2018-03-20,25.69,25.78,25.0,25.03,2755299.0,25.03
2018-03-19,25.86,25.91,25.2,25.59,4707169.0,25.59
2018-03-16,26.31,26.43,26.035,26.1,6050759.0,26.1
2018-03-15,27.12,27.2602,26.3525,26.39,3988364.0,26.39
2018-03-14,27.7,27.84,27.05,27.1,3993298.0,27.1
2018-03-13,27.65,28.29,27.52,27.61,4148502.0,27.61
2018-03-12,28.13,28.26,27.45,27.62,4721068.0,27.62
2018-03-09,27.5,29.18,27.1,28.25,7560553.0,28.25
2018-03-08,27.35,27.35,26.59,27.29,4405187.0,27.29
2018-03-07,27.41,27.61,26.99,27.28,3824715.0,27.28
2018-03-06,28.15,28.46,27.45,27.74,5235921.0,27.74
2018-03-05,27.2,28.28,27.13,27.98,8628116.0,27.98
2018-03-02,26.26,26.81,25.71,26.75,3507000.0,26.75
2018-03-01,26.3,26.7,25.85,26.36,4192288.0,26.36
2018-02-28,26.87,26.95,26.32,26.32,5836362.0,26.32
2018-02-27,28.16,28.18,26.8,26.82,6718350.0,26.82
2018-02-26,28.86,29.2,27.91,28.19,4823162.0,28.19
2018-02-23,27.8,28.84,27.59,28.74,6054390.0,28.74
2018-02-22,27.62,28.0513,27.28,27.45,5782590.0,27.45
2018-02-21,27.53,28.08,27.37,27.46,7721917.0,27.46
2018-02-20,26.05,27.37,26.0,26.76,7948499.0,26.76
2018-02-16,25.8,26.0,25.43,25.43,6173467.0,25.43
2018-02-15,26.0,26.11,25.435,25.86,4848381.0,25.86
2018-02-14,24.9,25.925,24.9,25.72,3928019.0,25.72
2018-02-13,25.07,25.34,24.775,25.21,2998602.0,25.21
2018-02-12,24.79,25.36,24.515,25.21,4532654.0,25.21
2018-02-09,24.46,24.63,23.46,24.35,6834469.0,24.35
2018-02-08,25.24,25.42,24.12,24.13,4512255.0,24.13
2018-02-07,25.05,25.69,24.92,25.25,4459867.0,25.25
2018-02-06,24.21,25.25,23.74,25.07,6873127.0,25.07
2018-02-05,25.76,26.1,24.77,24.78,6994120.0,24.78
2018-02-02,26.72,26.84,25.62,26.04,5407307.0,26.04
2018-02-01,27.11,27.69,26.75,26.87,5455852.0,26.87
2018-01-31,27.32,27.41,26.735,27.3,5173163.0,27.3
2018-01-30,27.46,27.93,27.04,27.19,3988705.0,27.19
2018-01-29,27.53,28.3,27.5,27.7,7479725.0,27.7
2018-01-26,26.83,27.74,26.8038,27.62,4234152.0,27.62
2018-01-25,27.39,27.5,26.68,26.69,4450395.0,26.69
2018-01-24,27.41,27.5,27.05,27.2,4864797.0,27.2
2018-01-23,27.11,27.505,27.01,27.3,6031136.0,27.3
2018-01-22,26.44,26.8,26.27,26.66,4654355.0,26.66
2018-01-19,26.35,26.665,25.925,26.53,4358366.0,26.53
2018-01-18,25.51,26.515,25.38,26.22,6335457.0,26.22
2018-01-17,25.84,25.84,25.22,25.54,3761089.0,25.54
2018-01-16,27.25,27.25,25.59,25.68,6052829.0,25.68
2018-01-12,27.14,27.28,27.0,27.22,3240640.0,27.22
2018-01-11,26.04,27.12,26.025,27.07,5724732.0,27.07
