Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,184.8,185.39,178.99,180.33,510319.0,180.33
2018-03-26,180.89,184.915,179.83,184.24,755058.0,184.24
2018-03-23,182.45,183.71,177.01,177.51,945765.0,177.51
2018-03-22,186.69,189.08,182.35,182.45,900974.0,182.45
2018-03-21,189.22,192.15,188.22,189.65,410869.0,189.65
2018-03-20,190.35,191.09,188.08,188.69,473987.0,188.69
2018-03-19,190.39,190.97,187.09,189.29,590160.0,189.29
2018-03-16,190.36,192.35,190.26,190.37,1281442.0,190.37
2018-03-15,191.26,191.69,189.35,190.33,357593.0,190.33
2018-03-14,194.12,194.35,189.525,190.31,472058.0,190.31
2018-03-13,196.26,196.295,192.47,193.05,401542.0,193.05
2018-03-12,196.28,197.35,194.08,194.91,631008.0,194.91
2018-03-09,196.28,196.86,194.44,196.81,780775.0,196.81
2018-03-08,196.0,196.0,191.78,194.69,435426.0,194.69
2018-03-07,194.04,195.44,191.86,195.19,594452.0,195.19
2018-03-06,194.08,195.74,191.83,195.34,513351.0,195.34
2018-03-05,188.94,195.25,186.145,193.75,663829.0,193.75
2018-03-02,187.28,191.45,185.8003,190.98,654643.0,190.98
2018-03-01,190.6,191.99,187.235,188.85,832222.0,188.85
2018-02-28,192.59,195.58,189.84,189.84,742806.0,189.84
2018-02-27,195.67,197.37,192.19,192.19,506444.0,192.19
2018-02-26,194.48,195.6,192.92,195.32,657996.0,195.32
2018-02-23,190.26,193.68,189.985,193.51,518651.0,193.51
2018-02-22,194.14,194.45,188.79,189.5,627846.0,189.5
2018-02-21,191.03,196.64,190.91,192.82,826275.0,192.82
2018-02-20,190.6,193.43,190.28,190.64,696031.0,190.64
2018-02-16,189.92,194.24,189.92,191.64,792211.0,191.64
2018-02-15,192.52,193.0,189.78,191.1,661490.0,191.1
2018-02-14,185.15,192.3,184.92,191.98,759180.0,191.98
2018-02-13,183.34,187.29,183.2,186.15,661761.0,186.15
2018-02-12,183.42,187.37,181.2,184.75,770644.0,184.75
2018-02-09,180.65,183.98,177.0,182.62,810409.0,182.62
2018-02-08,185.2,185.625,178.23,178.35,940239.0,178.35
2018-02-07,183.83,187.35,183.53,184.97,512071.0,184.97
2018-02-06,175.31,188.36,175.31,185.06,1388418.0,185.06
2018-02-05,187.43,188.67,179.09,179.81,986984.0,179.81
2018-02-02,192.0,193.85,188.7,189.2,562991.0,189.2
2018-02-01,190.17,192.91,188.39,192.85,571477.0,192.85
2018-01-31,190.54,192.675,189.84,190.78,626424.0,190.78
2018-01-30,188.56,191.2,187.865,190.57,608463.0,190.57
2018-01-29,189.75,191.93,189.57,189.79,623597.0,189.79
2018-01-26,188.3,189.45,187.07,189.37,420270.0,189.37
2018-01-25,190.06,190.06,187.26,187.66,581102.0,187.66
2018-01-24,189.62,190.07,188.12,189.46,516899.0,189.46
2018-01-23,187.35,190.1,187.26,188.83,930668.0,188.83
2018-01-22,188.0,188.98,186.78,188.76,627180.0,188.76
2018-01-19,187.43,188.85,186.7,188.78,745069.0,188.78
2018-01-18,180.0,188.7,179.2,186.15,1396978.0,186.15
2018-01-17,178.5,179.61,175.6,179.21,822141.0,179.21
2018-01-16,179.18,179.82,176.84,177.78,567259.0,177.78
2018-01-12,178.68,179.49,177.61,178.52,439557.0,178.52
2018-01-11,177.33,178.2,176.04,177.99,340390.0,177.99
2018-01-10,175.25,178.42,174.92,176.75,547234.0,176.75
2018-01-09,173.39,176.57,173.21,174.91,537489.0,174.91
2018-01-08,172.64,172.92,171.73,172.42,468289.0,172.42
2018-01-05,174.46,176.5,171.79,172.82,530543.0,172.82
2018-01-04,173.4,176.71,173.05,173.44,624994.0,173.44
2018-01-03,171.01,173.555,170.38,173.11,421752.0,173.11
2018-01-02,172.48,172.9,170.0,171.19,424005.0,171.19
2017-12-29,172.48,173.07,170.94,170.99,376835.0,170.99
2017-12-28,171.78,172.33,171.27,172.29,224174.0,172.29
2017-12-27,172.34,172.34,170.66,171.57,248261.0,171.57
2017-12-26,173.26,173.91,171.09,171.99,306857.0,171.99
2017-12-22,174.39,174.51,171.78,173.07,332223.0,173.07
2017-12-21,173.11,174.68,172.7,173.59,439710.0,173.59
2017-12-20,174.19,175.79,171.96,172.53,592430.0,172.53
2017-12-19,174.16,175.25,173.2025,173.9,509356.0,173.9
2017-12-18,172.63,174.13,172.27,173.86,616056.0,173.86
2017-12-15,170.16,172.63,169.43,170.9,1470298.0,170.9
2017-12-14,170.48,171.7,168.55,169.04,477801.0,169.04
2017-12-13,172.73,173.77,170.74,171.02,509840.0,171.02
2017-12-12,171.82,173.47,171.025,172.49,945808.0,172.49
2017-12-11,171.61,171.79,169.42,170.51,656334.0,170.51
2017-12-08,171.95,172.02200000000002,170.25,171.72,398846.0,171.72
2017-12-07,169.25,171.59,168.31,171.07,463754.0,171.07
2017-12-06,169.89,171.22,169.15,169.51,436789.0,169.51
2017-12-05,172.82,173.57,169.97,170.43,598014.0,170.43
2017-12-04,172.07,176.62,171.435,172.25,846643.0,172.25
2017-12-01,169.59,169.99,163.27,169.47,699154.0,169.47
2017-11-30,169.03,171.89,168.1,168.95,1060923.0,168.95
2017-11-29,165.0,170.675,165.0,169.11,764823.0,169.11
2017-11-28,159.94,164.63,159.45,164.34,753652.0,164.34
2017-11-27,159.08,160.365,158.56,159.5,346557.0,159.5
2017-11-24,160.59,160.82,158.95,159.14,180748.0,159.14
2017-11-22,160.5,161.29,159.28,159.92,388226.0,159.92
2017-11-21,162.08,162.08,159.61,160.19,596034.0,160.19
2017-11-20,160.73,161.63,160.37,161.61,289938.0,161.61
2017-11-17,158.94,161.32,158.29,160.57,371381.0,160.57
2017-11-16,161.73,162.78,159.75,159.87,514469.0,159.87
2017-11-15,159.81,161.73,158.99,161.22,588314.0,161.22
2017-11-14,158.58,161.19,158.58,160.71,488405.0,160.71
2017-11-13,156.26,159.77,155.77,159.44,1084235.0,159.44
2017-11-10,158.6,159.28,157.06,157.1,672290.0,157.1
2017-11-09,160.28,160.85,156.68,158.61,1108599.0,158.61
2017-11-07,168.96,169.47,162.67,162.88,948550.0,162.88
