Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,13.05,13.1,12.68,12.75,2507156.0,12.75
2018-03-26,12.8,13.06,12.75,13.06,2204457.0,13.06
2018-03-23,13.18,13.29,12.6,12.63,2725395.0,12.63
2018-03-22,13.33,13.44,13.11,13.12,2544251.0,13.12
2018-03-21,13.34,13.54,13.3,13.43,1249276.0,13.43
2018-03-20,13.47,13.59,13.3,13.31,1416524.0,13.31
2018-03-19,13.51,13.64,13.29,13.47,1745324.0,13.47
2018-03-16,13.26,13.6,13.155,13.51,5441342.0,13.51
2018-03-15,13.31,13.31,13.03,13.21,1821346.0,13.21
2018-03-14,13.54,13.55,13.2,13.24,1594549.0,13.24
2018-03-13,13.59,13.71,13.415,13.47,1496177.0,13.47
2018-03-12,13.82,13.85,13.42,13.46,2089197.0,13.46
2018-03-09,13.7,13.86,13.59,13.86,1806347.0,13.86
2018-03-08,13.56,13.8988,13.405,13.57,1194872.0,13.57
2018-03-07,13.34,13.56,13.34,13.53,1915339.0,13.53
2018-03-06,13.48,13.55,13.25,13.48,1532691.0,13.48
2018-03-05,13.04,13.46,13.03,13.43,2330781.0,13.43
2018-03-02,12.83,13.185,12.76,13.16,2064230.0,13.16
2018-03-01,12.73,13.16,12.7,12.95,3511668.0,12.95
2018-02-28,13.12,13.33,12.95,12.96,3035453.0,12.96
2018-02-27,13.3,13.43,13.04,13.07,2765852.0,13.07
2018-02-26,13.27,13.35,13.005,13.25,1501106.0,13.25
2018-02-23,13.13,13.27,13.115,13.23,1557196.0,13.23
2018-02-22,13.47,13.515,13.05,13.07,2180021.0,13.07
2018-02-21,13.61,13.78,13.42,13.43,2128143.0,13.43
2018-02-20,13.96,14.12,13.54,13.64,2949494.0,13.64
2018-02-16,13.75,14.04,13.75,13.99,1468398.0,13.99
2018-02-15,14.09,14.1,13.64,13.81,2484543.0,13.81
2018-02-14,13.5,14.02,13.46,14.0,1968862.0,14.0
2018-02-13,13.47,13.67,13.4,13.6,1451817.0,13.6
2018-02-12,13.49,13.66,13.165,13.56,2034265.0,13.56
2018-02-09,13.58,13.71,12.98,13.47,4606550.0,13.47
2018-02-08,14.02,14.08,13.39,13.39,3118211.0,13.39
2018-02-07,13.66,14.25,13.66,14.04,3990690.0,14.04
2018-02-06,13.19,13.81,13.08,13.76,3918509.0,13.76
2018-02-05,14.04,14.23,13.425,13.65,3176592.0,13.65
2018-02-02,14.5,14.515,14.075,14.21,3145932.0,14.21
2018-02-01,14.19,14.55,14.09,14.53,2503580.0,14.53
2018-01-31,14.23,14.45,14.13,14.245,2587910.0,14.245
2018-01-30,14.29,14.49,14.23,14.23,2800812.0,14.23
2018-01-29,14.48,14.58,14.38,14.39,2098687.0,14.39
2018-01-26,14.65,14.7,14.27,14.54,2144085.0,14.54
2018-01-25,14.76,14.87,14.565,14.66,2775766.0,14.66
2018-01-24,13.27,14.65,13.27,14.51,8543120.0,14.51
2018-01-23,13.46,13.59,13.15,13.44,5317411.0,13.44
2018-01-22,13.62,13.6853,13.45,13.52,3308870.0,13.52
2018-01-19,13.31,13.61,13.31,13.6,2969875.0,13.6
2018-01-18,13.67,13.81,13.3,13.35,2534500.0,13.35
2018-01-17,13.83,13.9,13.62,13.71,1947896.0,13.71
2018-01-16,14.0,14.13,13.73,13.75,3577826.0,13.75
2018-01-12,13.71,14.03,13.66,13.88,3879922.0,13.88
2018-01-11,13.74,14.06,13.73,13.98,3748759.0,13.98
2018-01-10,13.61,13.78,13.54,13.68,3423424.0,13.68
2018-01-09,13.64,13.71,13.48,13.53,2966370.0,13.53
2018-01-08,13.97,13.98,13.48,13.69,3269625.0,13.69
2018-01-05,14.0,14.03,13.82,14.01,2059997.0,14.01
2018-01-04,13.86,14.03,13.805,13.94,2958547.0,13.94
2018-01-03,13.57,13.79,13.55,13.78,2548515.0,13.78
2018-01-02,13.45,13.77,13.34,13.63,3528370.0,13.63
2017-12-29,13.4,13.515,13.27,13.32,1832765.0,13.32
2017-12-28,13.23,13.4,13.1435,13.37,1193606.0,13.37
2017-12-27,13.46,13.58,13.16,13.21,1686178.0,13.21
2017-12-26,13.38,13.6401,13.35,13.46,1735553.0,13.46
2017-12-22,13.27,13.38,13.16,13.35,2289097.0,13.35
2017-12-21,13.16,13.285,13.07,13.12,1932057.0,13.12
2017-12-20,13.2,13.22,13.0,13.09,2763091.0,13.09
2017-12-19,13.31,13.38,13.13,13.13,2867421.0,13.13
2017-12-18,13.34,13.53,13.21,13.27,4140652.0,13.27
2017-12-15,12.64,13.27,12.56,13.2,10943847.0,13.2
2017-12-14,12.91,13.14,12.58,12.62,5012739.0,12.62
2017-12-13,12.94,13.305,12.9,12.94,6617855.0,12.94
2017-12-12,12.8,13.21,12.77,12.96,3602787.0,12.96
2017-12-11,12.83,12.94,12.6,12.76,4673723.0,12.76
2017-12-08,12.82,12.87,12.19,12.76,5091472.0,12.76
2017-12-07,12.88,13.02,12.67,12.73,3952475.0,12.73
2017-12-06,13.16,13.175,12.825,12.91,2736432.0,12.91
2017-12-05,13.3,13.42,13.03,13.13,3296871.0,13.13
2017-12-04,13.25,13.37,13.06,13.27,4241922.0,13.27
2017-12-01,12.65,13.1,12.41,13.01,5346143.0,13.01
2017-11-30,12.69,12.83,12.36,12.61,18599775.0,12.61
2017-11-29,12.16,12.88,11.88,12.83,5449921.0,12.83
2017-11-28,11.94,12.5,11.86,12.46,3654415.0,12.46
2017-11-27,12.35,12.35,11.95,11.98,3544831.0,11.98
2017-11-24,12.49,12.54,12.28,12.34,1252754.0,12.34
2017-11-22,12.62,12.73,12.39,12.45,2156493.0,12.45
2017-11-21,12.85,12.9,12.325,12.59,3921085.0,12.59
2017-11-20,12.5,12.83,12.43,12.82,3526649.0,12.82
2017-11-17,12.55,12.84,12.43,12.49,4870234.0,12.49
2017-11-16,12.62,12.95,12.4,12.76,4839583.0,12.76
2017-11-15,12.19,12.67,11.94,12.61,5215622.0,12.61
2017-11-14,12.01,12.43,11.865,12.35,4708070.0,12.35
2017-11-13,12.16,12.17,11.84,12.08,2557764.0,12.08
2017-11-10,12.1,12.28,12.045,12.21,2328940.0,12.21
2017-11-09,11.96,12.33,11.91,12.14,2511223.0,12.14
2017-11-07,12.35,12.415,12.07,12.09,2479073.0,12.09
2017-11-06,12.17,12.59,12.105,12.38,3023495.0,12.38
2017-11-03,12.33,12.42,12.09,12.22,3922573.0,12.22
2017-11-02,12.11,12.42,11.91,12.36,6535425.0,12.36
2017-11-01,12.46,12.665,12.06,12.1,5349355.0,12.1
2017-10-31,11.85,12.5,11.81,12.46,5134518.0,12.46
2017-10-30,11.81,12.09,11.71,11.83,4879544.0,11.83
2017-10-27,11.88,12.02,11.71,11.85,3507721.0,11.85
2017-10-26,11.84,12.18,11.8,11.95,5066914.0,11.95
2017-10-25,12.36,12.37,11.54,11.79,6611672.0,11.79
2017-10-24,12.25,12.25,12.06,12.1,2730647.0,12.1
2017-10-23,12.34,12.43,12.14,12.18,2717510.0,12.18
2017-10-20,12.46,12.51,12.25,12.36,4215060.0,12.36
2017-10-19,11.93,12.4,11.85,12.31,3691660.0,12.31
2017-10-18,12.38,12.45,11.93,11.98,5183051.0,11.98
2017-10-17,11.96,12.285,11.71,12.2,8352986.0,12.2
2017-10-16,11.58,11.76,11.51,11.73,3617385.0,11.73
2017-10-13,11.77,11.88,11.481,11.62,3937532.0,11.62
2017-10-12,11.76,11.98,11.67,11.8,5829766.0,11.8
2017-10-11,12.43,12.47,11.71,11.79,6251413.0,11.79
2017-10-10,12.28,12.53,12.24,12.47,4035590.0,12.47
2017-10-09,12.71,12.71,12.09,12.22,4371270.0,12.22
2017-10-06,12.61,12.78,12.5101,12.6,5148036.0,12.6
2017-10-05,13.86,13.94,12.5537,12.605,15109472.0,12.605
2017-10-04,14.96,14.97,14.65,14.7,1776680.0,14.7
2017-10-03,14.97,15.1,14.91,14.96,1692062.0,14.96
2017-10-02,15.01,15.02,14.69,14.9,4941173.0,14.9
2017-09-29,14.95,15.22,14.89,15.02,2656237.0,15.02
2017-09-28,15.56,15.61,14.885,14.92,3876998.0,14.92
2017-09-27,15.25,15.605,15.09,15.53,2650616.0,15.53
2017-09-26,14.86,15.22,14.7,15.18,2788263.0,15.18
2017-09-25,14.78,14.97,14.64,14.82,2029716.0,14.82
2017-09-22,14.02,14.8,14.0,14.78,2807046.0,14.78
2017-09-21,14.08,14.13,13.76,14.03,2201077.0,14.03
2017-09-20,14.05,14.15,13.8,14.06,2042509.0,14.06
2017-09-19,13.95,14.12,13.87,14.07,1798638.0,14.07
2017-09-18,14.03,14.16,13.84,13.96,3106929.0,13.96
2017-09-15,13.75,13.94,13.55,13.94,6719781.0,13.94
2017-09-14,14.22,14.3514,13.76,13.78,3887702.0,13.78
2017-09-13,14.41,14.58,14.36,14.44,2246777.0,14.44
2017-09-12,14.14,14.57,14.04,14.42,2481221.0,14.42
2017-09-11,13.61,14.21,13.61,14.13,3177990.0,14.13
2017-09-08,13.36,13.91,13.27,13.51,4237916.0,13.51
2017-09-07,13.78,13.8,13.09,13.14,3233539.0,13.14
2017-09-06,13.91,14.205,13.76,13.8,2333232.0,13.8
2017-09-05,13.86,13.96,13.62,13.84,2895604.0,13.84
2017-09-01,13.25,13.8,13.25,13.75,3366893.0,13.75
2017-08-31,13.39,13.39,13.17,13.2,2955975.0,13.2
2017-08-30,13.38,13.455,13.25,13.28,2163771.0,13.28
2017-08-29,13.38,13.64,13.38,13.52,1560954.0,13.359047619047999
2017-08-28,13.67,13.72,13.51,13.6,1116005.0,13.438095238095
2017-08-25,13.67,13.79,13.63,13.63,1077031.0,13.467738095238
2017-08-24,13.69,13.74,13.6,13.62,997011.0,13.457857142857002
2017-08-23,13.54,13.81,13.44,13.63,1148522.0,13.467738095238
2017-08-22,13.57,13.7,13.51,13.66,1240471.0,13.497380952381
2017-08-21,13.57,13.64,13.36,13.51,1351713.0,13.349166666667
2017-08-18,13.6,13.71,13.54,13.6,1550343.0,13.438095238095
2017-08-17,13.93,14.05,13.635,13.64,1352532.0,13.477619047619
2017-08-16,13.9,14.15,13.88,14.0,1658362.0,13.833333333333002
2017-08-15,13.98,14.06,13.79,13.81,1225531.0,13.645595238095
2017-08-14,13.78,14.1,13.78,13.93,1327211.0,13.764166666666998
2017-08-11,13.77,13.91,13.56,13.68,1485029.0,13.517142857143
2017-08-10,14.04,14.15,13.69,13.7,1794593.0,13.536904761905
2017-08-09,14.34,14.41,14.08,14.15,1527524.0,13.981547619048
2017-08-08,14.5,14.665,14.365,14.48,1449115.0,14.307619047619
