Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,63.39,63.89,60.75,61.19,2538004.0,61.19
2018-03-26,62.09,63.34,61.51,63.3,1933748.0,63.3
2018-03-23,62.64,63.39,61.15,61.15,1894591.0,61.15
2018-03-22,63.31,63.61,61.7,62.16,2933446.0,62.16
2018-03-21,63.4,64.55,62.95,64.11,2101879.0,64.11
2018-03-20,63.09,63.82,62.83,63.31,1974599.0,63.31
2018-03-19,63.65,63.89,62.33,62.84,2813369.0,62.84
2018-03-16,63.63,64.225,63.39,63.93,2523851.0,63.93
2018-03-15,64.66,64.66,63.365,63.67,2483585.0,63.67
2018-03-14,65.25,65.58,64.47,64.55,2237189.0,64.55
2018-03-13,64.53,65.52,64.5,64.83,2565952.0,64.83
2018-03-12,65.36,65.44,64.52,64.53,2457119.0,64.53
2018-03-09,64.29,65.32,63.88,65.26,2128404.0,65.26
2018-03-08,63.62,63.91,63.141000000000005,63.88,2026567.0,63.88
2018-03-07,63.13,63.75,62.86,63.35,2657118.0,63.35
2018-03-06,63.22,64.43,62.91,63.8,4874282.0,63.8
2018-03-05,60.36,62.6199,60.11,62.19,3504908.0,62.19
2018-03-02,60.37,60.9,59.51,60.76,2648372.0,60.76
2018-03-01,60.63,61.57,59.91,60.6,2532910.0,60.6
2018-02-28,60.54,61.55,60.03,60.55,5405527.0,60.55
2018-02-26,60.0,60.63,59.5,60.41,4034153.0,60.41
2018-02-23,59.12,59.63,58.145,59.62,3105597.0,59.62
2018-02-22,58.63,59.52,58.51,58.59,3154141.0,58.59
2018-02-21,58.2,59.88,58.18,58.54,3330498.0,58.54
2018-02-20,56.08,58.85,55.73,58.09,3714848.0,58.09
2018-02-16,57.4,59.0,56.36,56.51,5411347.0,56.51
2018-02-15,54.57,57.74,52.0,57.67,16514021.0,57.67
2018-02-14,58.31,60.99,58.25,60.64,5245707.0,60.64
2018-02-13,59.59,60.14,58.45,58.74,3882187.0,58.74
2018-02-12,57.03,58.34,56.63,57.73,4339229.0,57.73
2018-02-09,56.51,56.85,54.12,56.13,3074022.0,56.13
2018-02-08,57.85,57.89,55.86,55.86,1959154.0,55.86
2018-02-07,57.68,58.72,57.22,57.63,2129372.0,57.63
2018-02-06,55.79,58.43,53.86,58.14,2773523.0,58.14
2018-02-05,59.48,60.16,56.75,57.16,2505432.0,57.16
2018-02-02,61.53,62.0,60.17,60.22,1866594.0,60.22
2018-02-01,61.37,62.37,61.14,62.16,3962264.0,62.16
2018-01-31,62.69,63.22,61.14,61.5,2739097.0,61.5
2018-01-30,62.31,62.7,61.375,62.31,1844235.0,62.31
2018-01-29,63.26,63.49,62.68,62.8,2230632.0,62.8
2018-01-26,62.96,63.41,62.72,63.34,3440609.0,63.34
2018-01-25,63.56,63.69,62.42,62.49,1928302.0,62.49
2018-01-24,63.89,64.0599,62.15,62.93,2771772.0,62.93
2018-01-23,63.61,63.93,63.06100000000001,63.84,2399384.0,63.84
2018-01-22,63.01,63.53,62.78,63.52,2779643.0,63.52
2018-01-19,63.35,63.73,62.99,63.09,3288706.0,63.09
2018-01-18,63.5,63.85,62.78,63.3,3252190.0,63.3
2018-01-17,62.74,63.97,62.68,63.59,1770526.0,63.59
2018-01-16,62.94,63.44,61.71,62.27,2738946.0,62.27
2018-01-12,61.97,62.8,61.69,62.77,2508687.0,62.77
2018-01-11,60.74,61.86,60.23,61.81,3549997.0,61.81
2018-01-10,59.49,60.66,59.08,60.65,2002259.0,60.65
2018-01-09,59.75,60.57,59.4,59.67,3061412.0,59.67
2018-01-08,58.67,59.735,58.21,59.65,3211978.0,59.65
2018-01-05,57.99,58.99,57.66,58.85,2176850.0,58.85
2018-01-04,56.91,58.07,56.86,57.81,2707950.0,57.81
2018-01-03,55.56,57.32,55.45,57.07,2346103.0,57.07
2018-01-02,55.5,56.08,55.41,55.57,1376461.0,55.57
2017-12-29,55.8,55.94,55.26,55.32,1287431.0,55.32
2017-12-28,56.25,56.45,55.39,55.8,904513.0,55.8
2017-12-27,55.9,56.19,55.76,56.15,961107.0,56.15
2017-12-26,56.2,56.3,55.64,55.86,875796.0,55.86
2017-12-22,56.19,56.49,56.16,56.3,1019859.0,56.3
2017-12-21,57.09,57.17,56.13,56.21,2342109.0,56.21
2017-12-20,58.42,58.44,56.88,57.04,1872565.0,57.04
2017-12-19,57.71,58.125,57.47,57.91,3065092.0,57.91
2017-12-18,57.76,58.13,57.43,57.73,2009903.0,57.73
2017-12-15,57.29,57.88,57.26,57.27,4421855.0,57.27
2017-12-14,57.89,58.16,57.25,57.37,2368380.0,57.37
2017-12-13,57.95,58.32,57.71,57.78,2930515.0,57.78
2017-12-12,58.67,58.82,57.76,57.8,2540225.0,57.8
2017-12-11,58.09,58.99,58.0,58.58,2795677.0,58.58
2017-12-08,57.9,58.63,57.475,58.26,3376794.0,58.26
2017-12-07,57.21,57.82,56.72,57.53,2822878.0,57.53
2017-12-06,56.14,57.275,55.92,57.21,3139341.0,57.21
2017-12-05,55.97,56.56,55.62,56.14,2585323.0,56.14
2017-12-04,56.72,58.11,55.92,55.93,4249052.0,55.93
